date, pm10, o3, no2, so2
2020/1/2, 31, 17, 11, 
2020/1/3, 26, 25, 2, 
2020/1/4, 8, 26, 4, 
2020/1/5, 11, 15, 17, 
2020/1/6, 32, 23, 8, 
2020/1/7, 24, 7, 17, 
2020/1/8, 33, 26, 16, 
2020/1/9, 26, 28, 9, 
2020/1/10, 16, 20, 5, 
2020/1/11, 11, 17, 12, 
2020/1/12, 24, 21, 13, 
2020/1/13, 24, 26, 5, 
2020/1/14, 14, 27, 6, 
2020/1/15, 15, , , 
2019/10/1, 11, 29, 3, 
2019/10/2, 8, 32, 2, 
2019/10/3, 9, 27, 7, 
2019/10/4, 10, 27, 3, 
2019/10/5, 10, 26, 2, 
2019/10/6, 6, 29, 1, 
2019/10/7, 10, 34, 9, 
2019/10/8, 13, 21, 11, 
2019/10/9, 16, 29, 4, 
2019/10/10, 9, 31, 10, 
2019/10/11, 15, 29, 6, 
2019/10/12, 13, 32, 3, 
2019/10/13, 14, 31, 3, 
2019/10/14, 20, 29, 4, 
2019/10/15, 11, 29, 8, 
2019/10/16, 10, 33, 4, 
2019/10/17, 11, 33, 4, 
2019/10/18, 13, 36, 3, 
2019/10/19, 15, 32, 2, 
2019/10/20, 16, 24, 6, 
2019/10/21, 10, 17, 7, 
2019/10/22, 12, 30, 4, 
2019/10/23, 16, 29, 6, 
2019/10/24, 15, 22, 6, 
2019/10/25, 10, 21, 12, 
2019/10/26, 18, 23, 12, 
2019/10/27, 22, 25, 11, 
2019/10/28, 24, 23, 8, 
2019/10/29, 25, 15, 10, 
2019/10/30, 21, 12, 9, 
2019/10/31, 28, 19, 7, 
2019/11/1, 15, 22, 5, 
2019/11/2, 9, 26, 3, 
2019/11/3, 8, 23, 7, 
2019/11/4, 10, 24, 8, 
2019/11/5, 9, 20, 6, 
2019/11/6, 8, 13, 10, 
2019/11/7, 12, 17, 11, 
2019/11/8, 15, 21, 10, 
2019/11/9, 18, 9, 6, 
2019/11/10, 14, , , 
2019/11/12, 9, 27, 4, 
2019/11/13, 10, 22, 7, 
2019/11/14, 10, 18, 11, 
2019/11/15, 12, 20, 11, 
2019/11/16, 16, 19, 6, 
2019/11/17, 14, 16, 9, 
2019/11/18, 16, 22, 6, 
2019/11/19, 13, 19, 11, 
2019/11/20, 16, 25, 5, 
2019/11/21, 8, 25, 4, 
2019/11/22, 6, 26, 4, 
2019/11/23, 7, 19, 4, 
2019/11/24, 8, 11, 9, 
2019/11/25, 15, 12, 12, 
2019/11/26, 19, 24, 8, 
2019/11/27, 12, 21, 15, 
2019/11/28, 13, 13, 13, 
2019/11/29, 14, 16, 7, 
2019/11/30, 11, , 6, 
2019/12/1, 7, 11, 5, 
2019/12/2, 10, 10, 8, 
2019/12/3, 16, , 9, 
2019/12/4, 19, , 16, 
2019/12/5, 27, 10, 18, 
2019/12/6, 29, 14, 14, 
2019/12/7, 29, 17, 11, 
2019/12/8, 26, 26, 6, 
2019/12/9, 14, 24, 4, 
2019/12/10, 13, 10, 15, 
2019/12/11, 27, 24, 8, 
2019/12/12, 13, 25, 7, 
2019/12/13, 10, 17, 13, 
2019/12/14, 16, 22, 8, 
2019/12/15, 16, 28, 5, 
2019/12/16, 15, 29, 3, 
2019/12/17, 30, 25, 4, 
2019/12/18, 26, 27, 6, 
2019/12/19, 15, 28, 9, 
2019/12/20, 17, 24, 6, 
2019/12/21, 9, 28, 3, 
2019/12/22, 7, 28, 8, 
2019/12/23, 9, 19, 9, 
2019/12/24, 15, 28, 3, 
