date, pm25, no2, co
2020/1/2, 47, 23, 4
2020/1/3, 68, 17, 5
2020/1/4, 66, 6, 2
2020/1/5, 19, 18, 2
2020/1/6, 35, 22, 3
2020/1/7, 39, 13, 2
2020/1/8, 35, 16, 2
2020/1/9, 21, 24, 3
2020/1/10, 44, 9, 2
2020/1/11, 44, 4, 1
2020/1/12, 28, 16, 3
2020/1/13, 42, 18, 4
2020/1/14, 59, 18, 4
2020/1/15, 59, 14, 3
2020/1/16, 83, , 
2019/10/1, 44, 11, 3
2019/10/2, 56, 9, 2
2019/10/3, 24, 11, 2
2019/10/4, 25, 6, 2
2019/10/5, 36, 5, 3
2019/10/6, 42, 8, 2
2019/10/7, 34, 9, 2
2019/10/8, 32, 5, 
2019/10/9, 28, 7, 2
2019/10/10, 33, 8, 1
2019/10/11, 22, 10, 3
2019/10/12, 30, 10, 3
2019/10/13, 31, 14, 3
2019/10/14, 44, 16, 3
2019/10/15, 38, 13, 3
2019/10/16, 42, 5, 2
2019/10/17, 18, 9, 2
2019/10/18, 20, 15, 2
2019/10/19, 37, 15, 3
2019/10/20, 59, 16, 3
2019/10/21, 42, 15, 2
2019/10/22, 42, 12, 1
2019/10/23, 29, 19, 2
2019/10/24, 37, 26, 3
2019/10/25, 53, 11, 2
2019/10/26, 42, 8, 2
2019/10/27, 30, 12, 43
2019/10/28, 26, 14, 
2019/10/29, 27, 15, 
2019/10/30, 37, 10, 1
2019/10/31, 43, 8, 1
2019/11/1, 21, 14, 2
2019/11/2, 39, 11, 2
2019/11/3, 36, 17, 4
2019/11/4, 42, 21, 3
2019/11/5, 43, 18, 2
2019/11/6, 40, 22, 3
2019/11/7, 54, 12, 1
2019/11/8, 26, 16, 2
2019/11/9, 31, 17, 3
2019/11/10, 58, 30, 5
2019/11/11, 74, 11, 1
2019/11/12, 38, 15, 2
2019/11/13, 22, 24, 3
2019/11/14, 43, 26, 3
2019/11/15, 56, 9, 1
2019/11/16, 26, 5, 1
2019/11/17, 24, 13, 2
2019/11/18, 33, 18, 2
2019/11/19, 35, 17, 2
2019/11/20, 40, 21, 2
2019/11/21, 45, 15, 2
2019/11/22, 54, 15, 2
2019/11/23, 33, 9, 2
2019/11/24, 36, 18, 3
2019/11/25, 65, 30, 4
2019/11/26, 66, 25, 6
2019/11/27, 72, 3, 1
2019/11/28, 20, 8, 2
2019/11/29, 21, 11, 2
2019/11/30, 21, 9, 2
2019/12/1, 24, 10, 3
2019/12/2, 19, 15, 3
2019/12/3, 22, 22, 4
2019/12/4, 50, 13, 3
2019/12/5, 37, 18, 4
2019/12/6, 38, 13, 3
2019/12/7, 17, 15, 3
2019/12/8, 37, 23, 5
2019/12/9, 42, 13, 2
2019/12/10, 46, 14, 2
2019/12/11, 27, 22, 2
2019/12/12, 33, 28, 4
2019/12/13, 55, 11, 2
2019/12/14, 31, 5, 1
2019/12/15, 27, 18, 2
2019/12/16, 27, 18, 2
2019/12/17, 31, 17, 2
2019/12/18, 29, 13, 2
2019/12/19, 25, 18, 2
2019/12/20, 26, 23, 6
2019/12/21, 48, 22, 5
2019/12/22, 92, 27, 4
2019/12/23, 75, 15, 2
2019/12/24, 46, 19, 4
2019/12/25, 43, 20, 4
2019/12/26, 71, 21, 3
2019/12/27, 57, 15, 3
2019/12/28, 71, , 
2019/7/1, 38, 16, 2
2019/7/2, 43, 17, 2
2019/7/3, 60, 13, 3
2019/7/4, 75, 8, 1
2019/7/5, 71, 7, 1
2019/7/6, 56, 5, 1
2019/7/7, 53, 16, 2
2019/7/8, 67, 18, 3
2019/7/9, 53, 16, 3
2019/7/10, 61, 11, 2
2019/7/12, 32, 8, 2
2019/7/13, 44, 7, 2
2019/7/14, 42, 11, 2
2019/7/15, 33, 13, 2
2019/7/16, 52, 11, 2
2019/7/17, 65, 13, 2
2019/7/18, 43, 10, 3
2019/7/19, 62, 6, 2
2019/7/20, 58, 6, 2
2019/7/21, 56, 11, 1
2019/7/22, 44, 11, 2
2019/7/23, 31, 13, 3
2019/7/24, 41, 16, 3
2019/7/25, 46, 18, 3
2019/7/26, 55, 11, 2
2019/7/27, 52, 5, 2
2019/7/28, 58, 10, 2
2019/7/29, 57, 16, 3
2019/7/30, 74, 20, 3
2019/7/31, 65, 16, 2
2019/8/1, 54, 18, 3
2019/8/2, 52, 8, 2
2019/8/3, 49, 7, 2
2019/8/4, 45, 11, 2
2019/8/5, 43, 13, 3
2019/8/6, 59, 12, 2
2019/8/7, 57, 10, 2
2019/8/8, 50, 16, 3
2019/8/9, 41, 8, 3
2019/8/10, 28, 7, 3
2019/8/11, 26, 11, 3
2019/8/12, 42, 15, 3
2019/8/13, 60, 15, 4
2019/8/14, 72, 11, 3
2019/8/15, 58, 11, 2
2019/8/16, 47, 8, 2
2019/8/17, 47, 9, 3
2019/8/18, 52, 14, 2
2019/8/19, 49, 14, 2
2019/8/20, 47, 13, 2
2019/8/21, 56, 14, 2
2019/8/22, 45, 11, 3
2019/8/23, 37, 8, 2
2019/8/24, 27, 4, 2
2019/8/25, 27, 9, 2
2019/8/26, 28, 11, 2
2019/8/27, 40, 12, 2
2019/8/28, 36, 13, 2
2019/8/29, 33, 14, 3
2019/8/30, 45, 8, 3
2019/8/31, 33, 4, 2
2019/9/1, 30, 7, 3
2019/9/2, 40, 11, 3
2019/9/3, 40, 10, 2
2019/9/4, 50, 13, 3
2019/9/5, 26, 11, 3
2019/9/6, 35, 9, 3
2019/9/7, 30, 9, 3
2019/9/8, 38, 10, 3
2019/9/9, 31, 12, 3
2019/9/10, 41, 9, 2
2019/9/11, 51, 11, 2
2019/9/12, 53, 7, 1
2019/9/13, 33, 8, 2
2019/9/14, 42, 6, 2
2019/9/15, 39, 15, 3
2019/9/16, 44, 12, 1
2019/9/17, 29, 12, 2
2019/9/18, 31, 16, 2
2019/9/19, 38, 18, 3
2019/9/20, 47, 20, 3
2019/9/21, 51, 12, 3
2019/9/22, 64, 12, 2
2019/9/23, 61, 10, 2
2019/9/24, 26, 16, 2
2019/9/25, 35, 21, 3
2019/9/26, 49, 16, 2
2019/9/27, 42, 11, 3
2019/9/28, 46, 7, 3
2019/9/29, 38, 8, 1
2019/9/30, 30, 11, 2
2019/4/1, 26, 18, 3
2019/4/2, 34, 12, 2
2019/4/3, 45, 15, 2
2019/4/4, 34, 16, 2
