date, pm10, no2, co
2020/1/2, 31, 27, 
2020/1/3, 25, 15, 
2020/1/4, 13, 16, 
2020/1/5, 14, 20, 
2020/1/6, 12, 27, 
2020/1/7, 28, 19, 
2020/1/8, 17, 23, 
2020/1/9, 24, 23, 
2020/1/10, 40, 19, 
2020/1/11, 16, 19, 
2020/1/12, 15, 29, 
2020/1/13, 40, 26, 
2020/1/14, 35, 29, 
2020/1/15, 58, 17, 
2020/1/16, 38, , 
2019/10/1, 20, 23, 
2019/10/2, 10, 22, 
2019/10/3, 10, 19, 
2019/10/4, 12, 18, 
2019/10/5, 7, 15, 
2019/10/6, 10, 18, 
2019/10/7, 8, 19, 
2019/10/8, 15, 20, 
2019/10/9, 17, 20, 
2019/10/10, 10, 16, 
2019/10/11, 9, 17, 
2019/10/12, 26, 13, 
2019/10/13, 15, 21, 
2019/10/14, 34, 25, 
2019/10/15, 29, 19, 
2019/10/16, 14, 19, 
2019/10/17, 19, 20, 
2019/10/18, 22, 16, 
2019/10/19, 29, 14, 
2019/10/20, 6, 22, 
2019/10/21, 33, 16, 
2019/10/22, 43, 15, 
2019/10/23, 15, 21, 
2019/10/24, 26, 19, 
2019/10/25, 26, 15, 
2019/10/26, 18, 17, 
2019/10/27, 18, 19, 
2019/10/28, 20, 19, 
2019/10/29, 11, 16, 
2019/10/30, 10, 16, 
2019/10/31, 26, 11, 
2019/11/1, 12, 13, 
2019/11/2, 5, 17, 
2019/11/3, 15, 22, 
2019/11/4, 18, 23, 
2019/11/5, 9, 22, 
2019/11/6, 12, 21, 
2019/11/7, 15, 15, 
2019/11/8, 23, 19, 
2019/11/9, 6, 13, 
2019/11/10, 12, 17, 
2019/11/11, 21, 19, 
2019/11/12, 11, 33, 
2019/11/13, 15, 23, 
2019/11/14, 12, 25, 
2019/11/15, 35, 17, 
2019/11/16, 32, 10, 
2019/11/17, 12, 16, 
2019/11/18, 17, 19, 
2019/11/19, 24, 18, 
2019/11/20, 36, 15, 
2019/11/21, 30, 18, 
2019/11/22, 21, 11, 
2019/11/23, 1, 14, 
2019/11/24, 8, 15, 
2019/11/25, 30, 18, 
2019/11/26, 19, 20, 
2019/11/27, 27, 22, 
2019/11/28, 16, 23, 
2019/11/29, 11, 23, 
2019/11/30, 17, 21, 
2019/12/1, 19, 21, 
2019/12/2, 27, 26, 
2019/12/3, 27, 26, 
2019/12/4, 31, 23, 
2019/12/5, 37, 25, 
2019/12/6, 24, 22, 
2019/12/7, 20, 20, 
2019/12/8, 19, 24, 
2019/12/9, 19, 23, 
2019/12/10, 18, 25, 
2019/12/11, 21, 24, 
2019/12/12, 25, 24, 
2019/12/13, 20, 13, 
2019/12/14, 9, 18, 
2019/12/15, 12, 20, 
2019/12/16, 17, 14, 
2019/12/17, 8, 25, 
2019/12/18, 30, 21, 
2019/12/19, 16, 12, 
2019/12/20, 4, 25, 
2019/12/21, 13, 20, 
2019/12/22, 7, 9, 
2019/12/23, 4, 14, 
2019/12/24, 6, 11, 
2019/12/25, 3, 20, 
2019/12/26, 10, 27, 
2019/12/27, 17, 24, 
2019/12/28, 18, , 
2019/7/1, 21, 20, 
2019/7/2, 19, 21, 
2019/7/3, 20, 26, 
2019/7/4, 52, 33, 
2019/7/5, 38, 25, 
2019/7/6, 21, 20, 
2019/7/7, 10, 20, 
2019/7/8, 15, 22, 
2019/7/9, 25, 28, 
2019/7/10, 39, 25, 
2019/7/11, 31, 19, 
2019/7/12, 17, 21, 
2019/7/13, 16, 13, 
2019/7/14, 7, 28, 
2019/7/15, 57, 30, 
2019/7/16, 41, 29, 
2019/7/17, 30, 25, 
2019/7/18, 17, 29, 
2019/7/19, 29, 26, 
2019/7/20, 21, 18, 
2019/7/21, 10, 23, 
2019/7/22, 18, 23, 
2019/7/23, 21, 25, 
2019/7/24, 27, 30, 
2019/7/25, 30, 32, 
