date, pm25, pm10, no2, so2
2020/1/2, 548, , 7, 1
2020/1/3, 77, , , 
2020/1/5, 32, , 32, 6
2020/1/6, 73, , 23, 5
2020/1/7, 58, , 29, 6
2020/1/8, 385, , 32, 8
2020/1/9, 815, , 17, 5
2020/1/10, 491, , 15, 6
2020/1/11, 46, , 22, 5
2020/1/12, 66, , 23, 4
2020/1/13, 73, , 20, 3
2020/1/14, 58, , 17, 4
2020/1/15, 59, , 15, 3
2020/1/16, 38, , , 
2019/10/1, 34, , 9, 6
2019/10/2, 45, , 11, 6
2019/10/3, 46, , 10, 6
2019/10/4, 34, , 9, 6
2019/10/5, 40, , 13, 6
2019/10/6, 37, , 7, 6
2019/10/7, 33, , 8, 6
2019/10/8, 25, , 12, 7
2019/10/9, 45, , 19, 7
2019/10/10, 55, , 15, 8
2019/10/11, 52, , 9, 6
2019/10/12, 38, , 9, 6
2019/10/13, 44, , 10, 6
2019/10/14, 40, , 12, 6
2019/10/15, 73, , 10, 6
2019/10/16, 41, , 11, 6
2019/10/17, 30, , 12, 7
2019/10/18, 29, , 11, 6
2019/10/19, 29, , 11, 6
2019/10/20, 17, , 10, 6
2019/10/21, 122, , 14, 6
2019/10/22, 36, , 13, 6
2019/10/23, 41, , 11, 7
2019/10/24, 33, , 10, 7
2019/10/25, 42, , 14, 7
2019/10/26, 56, , 17, 7
2019/10/27, 72, , 20, 7
2019/10/28, 70, , 15, 7
2019/10/29, 65, , 16, 7
2019/10/30, 60, , 13, 6
2019/10/31, 37, , 14, 7
2019/11/1, 40, , 12, 6
2019/11/2, 27, , 7, 6
2019/11/3, 26, , 13, 6
2019/11/4, 32, , 12, 6
2019/11/5, 36, , 11, 6
2019/11/6, 38, , 10, 6
2019/11/7, 28, , 10, 6
2019/11/8, 30, , 9, 7
2019/11/9, 28, , 13, 7
2019/11/10, 86, , 18, 7
2019/11/11, 45, , 9, 6
2019/11/12, 98, , 20, 6
2019/11/13, 129, , 20, 7
2019/11/14, 24, , 14, 7
2019/11/15, 37, , 20, 7
2019/11/16, 56, , 28, 7
2019/11/17, 61, , 19, 6
2019/11/18, 33, , 25, 8
2019/11/19, 74, , 21, 7
2019/11/20, 65, , 22, 8
2019/11/21, 617, , 17, 8
2019/11/22, 33, , 17, 6
2019/11/23, 70, , 12, 6
2019/11/24, 44, , 24, 7
2019/11/25, 154, 95, , 7
2019/11/26, 128, , 24, 2
2019/11/27, 87, , 15, 4
2019/11/28, 72, , 21, 4
2019/11/29, 83, , 32, 7
2019/11/30, 106, , 12, 3
2019/12/1, 51, , 17, 3
2019/12/2, 49, , 28, 6
2019/12/3, 63, , 27, 6
2019/12/4, 54, , 31, 6
2019/12/5, 65, , 30, 7
2019/12/6, 64, , 22, 7
2019/12/7, 73, , 21, 5
2019/12/8, 70, , 23, 7
2019/12/9, 70, , 19, 4
2019/12/10, 62, , 11, 2
2019/12/11, 37, , 20, 6
2019/12/12, 60, , 26, 8
2019/12/13, 73, , 32, 11
2019/12/14, 73, , 25, 8
2019/12/15, 79, , 15, 3
2019/12/16, 33, , 21, 4
2019/12/17, 62, , 14, 2
2019/12/18, 35, , 19, 9
2019/12/19, 113, , 31, 8
2019/12/20, 92, , 17, 4
2019/12/21, 52, , 16, 3
2019/12/22, 43, , 23, 4
2019/12/23, 69, , 20, 7
2019/12/24, 59, , 15, 6
2019/12/25, 79, , 18, 3
2019/12/26, 40, , 18, 4
2019/12/27, 63, , 10, 3
2019/12/28, 43, , , 
2019/9/18, 73, , 13, 6
2019/9/19, 44, , 13, 10
2019/9/20, 41, , 13, 6
2019/9/21, 49, , 14, 6
2019/9/22, 53, , 11, 6
2019/9/23, 37, , 13, 6
2019/9/24, 53, , 12, 6
2019/9/25, 55, , 14, 7
2019/9/26, 59, , 10, 6
2019/9/27, 43, , 9, 6
2019/9/28, 51, , 11, 7
2019/9/29, 13, , 7, 6
2019/9/30, 88, , 10, 6
2019/7/1, , 518, 10, 
2019/7/2, , 27, 11, 
2019/7/3, , 28, 14, 
2019/7/4, , 39, 8, 
2019/7/5, , 45, 9, 
2019/7/6, , 40, 7, 
2019/7/7, , 33, 7, 
2019/7/8, , 29, 9, 
2019/7/9, , 41, 10, 
2019/7/10, , 31, 9, 
2019/7/11, , 30, 8, 
2019/7/12, , 33, 10, 
2019/7/13, , 33, 10, 
2019/7/14, , 26, 7, 
2019/7/15, , 32, 9, 
2019/7/16, , 30, 10, 
2019/7/17, , 29, 9, 
2019/7/18, , 32, 11, 
2019/7/19, , 39, 10, 
2019/7/20, , 243, 11, 
2019/7/21, , 869, 10, 
2019/7/22, , 485, 11, 
2019/7/23, , 66, 9, 
2019/7/24, , 197, , 
2019/7/25, , 19, 8, 1
2019/7/26, , 23, 8, 5
2019/7/27, , 23, 9, 6
2019/7/28, , 22, 6, 6
2019/7/29, , 29, 8, 6
2019/7/30, , 37, 9, 6
2019/7/31, , 47, 6, 6
2019/8/2, , 29, 7, 6
2019/8/3, , 35, 10, 6
2019/8/4, , 27, 8, 7
2019/8/5, , 27, 8, 6
2019/8/6, , 31, 9, 7
2019/8/7, , 35, 15, 6
2019/8/8, , 35, 16, 7
2019/8/9, , 761, , 6
2019/8/10, , 866, , 6
2019/8/11, , 866, , 6
2019/8/12, , 516, 7, 6
2019/8/13, , 38, 12, 6
2019/8/14, , 31, 10, 6
2019/8/15, , 36, 11, 7
2019/8/16, , 40, 11, 8
2019/8/17, , 33, 10, 7
2019/8/18, , 32, 9, 6
2019/8/19, , 29, 7, 7
2019/8/20, , 28, 7, 6
2019/8/21, , 26, 4, 6
2019/8/23, , 27, 10, 7
2019/8/24, , 20, 11, 7
2019/8/25, , 18, 9, 6
2019/8/26, , 18, 12, 6
2019/8/27, , 22, 15, 10
2019/8/28, , 32, 11, 6
