date, pm10, no2, co
2020/1/2, 22, 13, 
2020/1/3, 15, 12, 
2020/1/4, 12, 13, 
2020/1/5, 14, 23, 
2020/1/6, 13, 20, 
2020/1/7, 16, 14, 
2020/1/8, 14, 14, 
2020/1/9, 10, 16, 
2020/1/10, 8, 14, 
2020/1/11, 12, 5, 
2020/1/12, 10, 21, 
2020/1/13, 10, 9, 
2020/1/14, 9, 11, 
2020/1/15, 8, , 
2019/10/1, 10, 18, 
2019/10/2, 9, 10, 
2019/10/3, 9, 11, 
2019/10/4, 10, 9, 
2019/10/5, 7, 6, 
2019/10/6, 10, 13, 
2019/10/7, 10, 15, 
2019/10/8, 13, 15, 
2019/10/9, 16, 15, 
2019/10/10, 11, 10, 
2019/10/11, 11, 11, 
2019/10/12, 10, 9, 
2019/10/13, 18, 15, 
2019/10/14, 15, 23, 
2019/10/15, 23, 14, 
2019/10/16, 20, 13, 
2019/10/17, 8, 10, 
2019/10/18, 9, 10, 
2019/10/19, 8, 10, 
2019/10/20, 10, 14, 
2019/10/21, 17, 19, 
2019/10/22, 11, 12, 
2019/10/23, 20, 12, 
2019/10/24, 36, 18, 
2019/10/25, 15, 7, 
2019/10/26, 9, 11, 
2019/10/27, 9, 22, 
2019/10/28, 12, 18, 
2019/10/29, 17, 19, 
2019/10/30, 13, 15, 
2019/10/31, 17, 14, 
2019/11/1, 25, 10, 
2019/11/2, 12, 8, 
2019/11/3, 4, 20, 
2019/11/4, 8, 22, 
2019/11/5, 12, 22, 
2019/11/6, 17, 15, 
2019/11/7, 13, 18, 
2019/11/8, 9, 21, 
2019/11/9, 15, 14, 
2019/11/10, 17, 14, 
2019/11/11, 15, 15, 
2019/11/12, 11, 18, 
2019/11/13, 9, 15, 
2019/11/14, 14, 12, 
2019/11/15, 23, 19, 
2019/11/16, 27, 13, 
2019/11/17, 18, 16, 
2019/11/18, 19, 22, 
2019/11/19, 9, 24, 
2019/11/20, 23, 13, 
2019/11/21, 26, 14, 
2019/11/22, 19, 9, 
2019/11/23, 20, 8, 
2019/11/24, 25, 11, 
2019/11/25, 27, 18, 
2019/11/26, 18, 14, 
2019/11/27, 12, 12, 
2019/11/28, 6, 19, 
2019/11/29, 10, 21, 
2019/11/30, 14, 17, 
2019/12/1, 25, 23, 
2019/12/2, 18, 24, 
2019/12/3, 18, 22, 
2019/12/4, 22, 26, 
2019/12/5, 24, 17, 
2019/12/6, 24, 13, 
2019/12/7, 10, 7, 
2019/12/8, 9, 17, 
2019/12/9, 9, 21, 
2019/12/10, 16, 18, 
2019/12/11, 14, 18, 
2019/12/12, 11, 15, 
2019/12/13, 10, 13, 
2019/12/14, 12, 7, 
2019/12/15, 10, 21, 
2019/12/16, 12, 21, 
2019/12/17, 15, 28, 
2019/12/18, 14, 17, 
