date, pm25, no2, co
2020/1/2, 118, 65, 
2020/1/3, 142, 58, 
2020/1/4, 149, 50, 
2020/1/5, 100, 69, 60
2020/1/6, 95, 106, 58
2020/1/7, 146, 110, 45
2020/1/8, 153, 80, 53
2020/1/9, 130, 103, 168
2020/1/10, 122, 83, 156
2020/1/11, 127, 78, 195
2020/1/12, 93, 108, 
2020/1/13, 94, 84, 64
2020/1/14, 134, 97, 46
2020/1/15, 140, 105, 36
2020/1/16, 134, , 
2019/10/1, 111, 105, 
2019/10/2, 124, 105, 
2019/10/3, 107, 106, 
2019/10/4, 119, 106, 
2019/10/5, 112, 105, 
2019/10/6, 112, 107, 
2019/10/7, 124, , 
2019/10/8, 167, 107, 
2019/10/9, 163, 107, 
2019/10/10, 144, 111, 
2019/10/11, 128, 111, 
2019/10/12, 116, 109, 
2019/10/13, 121, 107, 
2019/10/14, 129, 109, 
2019/10/15, 136, 109, 
2019/10/16, 155, , 
2019/10/17, 120, , 
2019/10/18, 121, , 
2019/10/19, 98, , 
2019/10/20, 129, 31, 
2019/10/21, 109, , 
2019/10/22, 102, , 
2019/10/23, 104, 53, 
2019/10/24, 158, 49, 
2019/10/25, 119, 39, 
2019/10/26, 157, 51, 
2019/10/27, 136, 55, 
2019/10/28, 164, 52, 
2019/10/29, 93, 88, 
2019/10/30, 137, 68, 
2019/10/31, 96, 57, 
2019/11/1, 105, 84, 
2019/11/2, 135, 116, 
2019/11/3, 145, 115, 
2019/11/4, 96, 110, 
2019/11/5, 110, 113, 
2019/11/6, 147, 111, 
2019/11/7, 152, 112, 
2019/11/8, 156, 117, 
2019/11/9, 145, 118, 
2019/11/10, 147, , 
2019/11/11, 167, 125, 
2019/11/12, 169, , 
2019/11/13, 175, 114, 
2019/11/14, 171, 99, 
2019/11/15, 158, 85, 
2019/11/16, 84, , 
2019/11/20, 110, 104, 
2019/11/21, 108, 106, 
2019/11/22, 141, 104, 
2019/11/23, 92, 103, 
2019/11/24, 127, , 
2019/11/27, 155, 102, 
2019/11/28, 158, , 
2019/11/30, 162, 108, 
2019/12/1, 132, 113, 
2019/12/2, 159, 111, 
2019/12/3, 152, 110, 
2019/12/4, 108, 108, 
2019/12/5, 120, 114, 
2019/12/6, 155, 106, 
2019/12/7, 111, 107, 
2019/12/8, 101, 112, 
2019/12/9, 85, 107, 
2019/12/10, 95, 112, 
2019/12/11, 139, 90, 
2019/12/12, 110, 59, 
2019/12/13, 152, 47, 
2019/12/14, 157, 52, 
2019/12/15, 158, 56, 
2019/12/16, 161, 56, 
2019/12/17, 163, 50, 
2019/12/18, 108, 58, 
2019/12/19, 131, 63, 
2019/12/20, 151, 62, 
2019/12/21, 155, 61, 
2019/12/22, 166, 66, 
2019/12/23, 168, 67, 
2019/12/24, 163, 70, 
2019/12/25, 173, 75, 
2019/12/26, 171, , 
2019/12/27, 161, , 
2019/12/28, 143, , 
2019/7/1, 120, 52, 
2019/7/2, 133, 49, 
2019/7/3, 113, 77, 
2019/7/4, 111, 105, 
2019/7/5, 123, 97, 
2019/7/6, 112, 75, 
2019/7/7, 107, 60, 
2019/7/8, 103, 107, 
2019/7/9, 110, 58, 
2019/7/10, 103, 52, 
2019/7/11, 103, 60, 
2019/7/12, 98, 102, 
2019/7/13, 115, 100, 
2019/7/14, 106, 111, 
2019/7/15, 112, 54, 
2019/7/16, 88, 77, 
2019/7/17, 87, 108, 
2019/7/18, 84, 107, 
2019/7/19, 91, 98, 
2019/7/20, 91, 100, 
2019/7/21, 95, 82, 
2019/7/22, 89, 106, 
2019/7/23, 87, 97, 
2019/7/24, 87, 99, 
2019/7/25, 99, 96, 
2019/7/26, 110, 79, 
2019/7/27, 102, 49, 
2019/7/28, 79, 45, 
2019/7/29, 104, 50, 
2019/7/30, 82, 102, 
