date, pm25, o3, no2
2019/4/8, 35, 31, 24
2019/4/9, 45, 29, 12
2019/4/10, 24, 33, 21
2019/4/11, 15, 37, 26
2019/4/12, 17, 39, 9
2019/4/13, 29, 20, 13
2019/4/14, 20, 35, 13
2019/4/15, 32, 41, 12
2019/4/16, 12, 36, 20
2019/4/17, 19, 45, 25
2019/4/18, 32, 33, 12
2019/4/19, 26, 33, 12
2019/4/20, 35, 34, 13
2019/4/21, 27, 27, 19
2019/4/22, 26, 43, 19
2019/4/23, 26, 35, 12
2019/4/24, 28, 28, 
2019/4/25, 16, 33, 
2019/4/26, 40, 39, 
2019/4/27, 19, 26, 
2019/4/28, 26, 35, 
2019/4/29, 18, 31, 
2019/4/30, 30, 31, 
2019/5/1, 24, 41, 
2019/5/2, 27, 28, 
2019/5/3, 23, 27, 
2019/5/4, 33, 26, 
2019/5/5, 21, 33, 
2019/5/6, 21, 40, 
2019/5/7, 23, 31, 
2019/5/8, 32, 27, 
2019/5/9, 29, 33, 
2019/5/10, 20, 33, 
2019/5/11, 37, 30, 
2019/5/12, 13, 30, 
2019/5/13, 11, 25, 
2019/5/14, 13, 34, 
2019/5/15, 16, 43, 
2019/5/16, 25, 44, 
2019/5/17, 37, 40, 
2019/5/18, 32, 40, 
2019/5/19, 41, 41, 
2019/5/20, 47, 31, 
2019/5/21, 34, 38, 
2019/5/22, 27, 31, 
2019/5/23, 24, 38, 
2019/5/24, 32, 31, 
2019/5/25, 18, 37, 
2019/5/26, 30, 32, 
2019/5/27, 34, 31, 
2019/5/28, 25, 33, 
2019/5/29, 35, 32, 
2019/5/30, 24, 39, 
2019/5/31, 32, 40, 
2019/6/1, 42, 43, 
2019/6/2, 52, 31, 
2019/6/3, 38, 37, 
2019/6/4, 16, 55, 
2019/6/5, 37, 42, 
2019/6/6, 38, 38, 
2019/6/7, 41, 36, 
2019/6/8, 49, 34, 
2019/6/9, 26, 21, 
2019/6/10, 6, 32, 
2019/6/11, 32, 30, 
2019/6/12, 17, 31, 
2019/6/13, 13, 28, 
2019/6/14, 24, 46, 
2019/6/15, 26, 41, 
2019/6/16, 35, 29, 
2019/6/17, 26, 30, 
2019/6/18, 34, 22, 
2019/6/19, 26, 26, 
2019/6/20, 30, 26, 
2019/6/21, 34, 23, 
2019/6/22, 17, 32, 
2019/6/23, 17, 52, 
2019/6/24, 33, 36, 
2019/6/25, 35, 48, 
2019/6/26, 22, 54, 
2019/6/27, 47, 61, 
2019/6/28, 43, 46, 
2019/6/29, 60, 31, 
2019/6/30, 45, 33, 
2019/1/1, 39, 19, 8
2019/1/2, 22, 18, 12
2019/1/3, 18, 6, 18
2019/1/4, 43, 18, 14
2019/1/5, 28, 27, 3
2019/1/6, 34, 25, 10
2019/1/7, 25, 10, 25
2019/1/8, 38, 23, 5
2019/1/9, 22, 24, 3
2019/1/10, 11, 30, 3
2019/1/11, 15, 27, 10
2019/1/12, 25, 21, 11
2019/1/13, 32, 26, 13
2019/1/14, 20, 21, 17
2019/1/15, 46, 17, 16
2019/1/16, 53, 25, 12
2019/1/17, 22, 10, 28
2019/1/18, 55, 19, 13
2019/1/19, 45, 27, 7
2019/1/20, 21, 30, 2
2019/1/21, 9, 28, 8
2019/1/22, 29, 24, 14
2019/1/23, 29, 28, 1
2019/1/24, 32, 29, 4
2019/1/25, 25, 23, 12
2019/1/26, 33, 29, 10
2019/1/27, 36, 26, 14
2019/1/28, 40, 18, 26
2019/1/29, 50, 29, 5
2019/1/30, 27, 26, 5
2019/1/31, 27, 23, 15
2019/2/1, 46, 14, 19
2019/2/2, 80, 26, 14
2019/2/3, 82, 21, 19
2019/2/4, 60, 24, 16
2019/2/5, 55, 19, 10
2019/2/6, 34, 16, 14
2019/2/7, 27, 28, 7
2019/2/8, 22, 30, 4
2019/2/9, 13, 29, 8
2019/2/10, 23, 21, 22
2019/2/11, 58, 31, 15
2019/2/12, 24, 28, 8
2019/2/13, 26, 32, 10
2019/2/14, 34, 35, 10
2019/2/15, 24, 33, 2
2019/2/16, 30, 28, 6
2019/2/17, 22, 29, 7
2019/2/18, 27, 33, 7
2019/2/19, 22, 24, 14
2019/2/20, 16, 32, 15
2019/2/21, 32, 36, 7
2019/2/22, 47, 28, 12
2019/2/23, 36, 32, 6
2019/2/24, 19, 34, 2
2019/2/25, 23, 35, 4
2019/2/26, 24, 31, 5
2019/2/27, 30, 34, 10
2019/2/28, 32, 28, 20
2019/3/1, 34, 31, 9
2019/3/2, 36, 31, 12
2019/3/3, 53, 40, 11
2019/3/4, 28, 34, 8
2019/3/5, 36, 33, 7
2019/3/6, 42, 33, 14
2019/3/7, 51, 32, 22
2019/3/8, 57, 39, 15
2019/3/9, 62, 37, 14
2019/3/10, 42, 39, 4
2019/3/11, 31, 38, 5
2019/3/12, 28, 35, 16
2019/3/13, 35, 43, 10
2019/3/14, 36, 37, 2
2019/3/15, 30, 37, 1
2019/3/16, 19, 36, 3
2019/3/17, 15, 34, 12
2019/3/18, 19, 36, 16
2019/3/19, 24, 40, 19
2019/3/20, 52, 35, 35
2019/3/21, 25, 36, 9
2019/3/22, 15, 36, 3
2019/3/23, 10, 40, 11
2019/3/24, 22, 35, 15
2019/3/25, 31, 35, 9
2019/3/26, 16, 34, 18
2019/3/27, 28, 40, 29
2019/3/28, 33, 27, 29
2019/3/29, 40, 45, 23
2019/3/30, 49, 34, 7
2019/3/31, 28, 35, 10
2018/10/1, 36, 34, 2
2018/10/2, 42, 26, 4
2018/10/3, 25, 27, 6
2018/10/4, 34, 17, 4
2018/10/5, 30, 15, 3
2018/10/6, 17, 22, 1
2018/10/7, 29, 13, 5
2018/10/8, 28, 22, 4
2018/10/9, 22, 24, 2
2018/10/10, 18, 14, 3
2018/10/11, 21, 23, 2
2018/10/12, 32, 23, 2
2018/10/13, 21, 19, 2
2018/10/14, 24, 16, 3
2018/10/15, 24, 23, 2
2018/10/16, 34, 27, 4
2018/10/17, 27, 25, 4
2018/10/18, 18, 26, 10
2018/10/19, 22, 25, 4
2018/10/20, 28, 24, 5
2018/10/21, 25, 22, 9
2018/10/22, 25, 30, 6
2018/10/23, 26, 19, 3
2018/10/24, 22, 23, 7
2018/10/25, 22, 18, 11
2018/10/26, 24, 24, 4
2018/10/27, 11, 16, 2
2018/10/28, 24, 21, 2
2018/10/29, 22, 28, 5
2018/10/30, 25, 33, 7
2018/10/31, 27, 29, 7
2018/11/1, 43, 23, 2
2018/11/2, 19, 24, 2
2018/11/3, 32, 23, 7
2018/11/4, 29, 23, 9
2018/11/5, 21, 10, 10
2018/11/6, 13, 24, 4
2018/11/7, 31, 19, 8
2018/11/8, 25, 13, 14
2018/11/9, 23, 26, 4
2018/11/10, 32, 20, 6
2018/11/11, 31, 15, 18
2018/11/12, 55, 20, 17
2018/11/13, 33, 27, 4
2018/11/14, 18, 21, 22
2018/11/15, 16, 24, 5
2018/11/16, 25, 19, 4
2018/11/17, 42, 16, 11
2018/11/18, 34, 12, 18
2018/11/19, 59, 18, 14
2018/11/20, 48, 22, 5
2018/11/21, 29, 26, 2
2018/11/22, 27, 22, 15
2018/11/23, 66, 10, 31
2018/11/24, 60, 24, 6
2018/11/25, 29, 23, 11
2018/11/26, 35, 17, 3
2018/11/27, 17, 20, 3
2018/11/28, 8, 21, 4
2018/11/29, 15, 10, 15
2018/11/30, 29, 14, 13
2018/12/1, 43, 19, 16
2018/12/2, 18, 16, 4
2018/12/3, 34, 23, 4
2018/12/4, 17, 20, 21
2018/12/5, 13, 16, 11
2018/12/6, 42, 23, 8
2018/12/7, 26, 19, 15
2018/12/8, 33, 17, 16
2018/12/9, 37, 23, 16
2018/12/10, 46, 16, 20
2018/12/11, 46, 20, 14
2018/12/12, 61, 11, 28
2018/12/13, 60, 19, 17
2018/12/14, 39, 14, 22
2018/12/15, 29, 22, 8
2018/12/16, 22, 23, 5
2018/12/17, 18, 26, 4
2018/12/18, 12, 8, 18
2018/12/19, 27, 13, 21
2018/12/20, 52, 29, 3
2018/12/21, 27, 22, 2
2018/12/22, 28, 22, 8
2018/12/23, 20, 21, 6
2018/12/24, 43, 18, 4
2018/12/25, 24, 17, 12
2018/12/26, 49, 17, 13
2018/12/27, 59, 22, 7
2018/12/28, 31, 20, 3
2018/12/29, 32, 14, 6
2018/12/30, 32, , 
2018/7/1, 66, 86, 4
2018/7/2, 56, 61, 6
2018/7/3, 60, 35, 5
2018/7/4, 43, 26, 2
2018/7/5, 27, 26, 2
2018/7/6, 34, 45, 2
2018/7/7, 18, 42, 3
2018/7/8, 25, 57, 3
2018/7/9, 26, 73, 4
2018/7/10, 46, 36, 4
2018/7/11, 42, 51, 7
2018/7/12, 51, 48, 7
2018/7/13, 36, 48, 3
2018/7/14, 35, 36, 3
2018/7/15, 28, 69, 4
2018/7/16, 55, 47, 3
2018/7/17, 44, 25, 3
2018/7/18, 34, 56, 7
2018/7/19, 26, 39, 6
2018/7/20, 36, 26, 4
2018/7/21, 17, 23, 
2018/7/22, 22, 19, 1
2018/7/23, 21, 15, 1
2018/7/24, 29, 24, 2
2018/7/25, 21, 37, 2
2018/7/26, 27, 31, 4
2018/7/27, 43, 41, 3
2018/7/28, 41, 30, 2
2018/7/29, 31, 27, 7
2018/7/30, 33, 33, 7
2018/7/31, 32, 32, 3
2018/8/1, 24, 24, 2
2018/8/2, 22, 19, 3
2018/8/3, 28, 32, 2
2018/8/4, 17, 39, 2
