date, pm10, o3, no2
2019/4/4, 13, 33, 13
2019/4/5, 12, 22, 9
2019/4/6, 30, 39, 10
2019/4/7, 37, 39, 14
2019/4/8, 34, 39, 5
2019/4/9, 16, 31, 5
2019/4/10, 15, 30, 7
2019/4/11, 11, 31, 8
2019/4/12, 14, 32, 7
2019/4/13, 12, 31, 8
2019/4/14, 15, 33, 9
2019/4/15, 24, 31, 13
2019/4/16, 26, 22, 17
2019/4/17, 20, 40, 14
2019/4/18, 27, 40, 13
2019/4/19, 31, 52, 9
2019/4/20, 29, 54, 12
2019/4/21, 43, 52, 12
2019/4/22, 36, 42, 8
2019/4/23, 25, 37, 8
2019/4/24, 26, 27, 7
2019/4/25, 9, 29, 10
2019/4/26, 14, 30, 4
2019/4/27, 11, 26, 5
2019/4/28, 9, 31, 9
2019/4/29, 10, 35, 7
2019/4/30, 13, 34, 10
2019/5/1, 15, 31, 10
2019/5/2, 20, 34, 7
2019/5/3, 11, 31, 4
2019/5/4, 11, 34, 4
2019/5/5, 15, 31, 10
2019/5/6, 15, 29, 11
2019/5/7, 17, 28, 14
2019/5/8, 18, 26, 10
2019/5/9, 14, 34, 7
2019/5/10, 12, 35, 6
2019/5/11, 12, 32, 6
2019/5/12, 9, 31, 7
2019/5/13, 9, 34, 6
2019/5/14, 11, 34, 9
2019/5/15, 11, 34, 8
2019/5/16, 12, 24, 8
2019/5/17, 11, 22, 13
2019/5/18, 22, 31, 10
2019/5/19, 28, 34, 6
2019/5/20, 11, 35, 4
2019/5/21, 9, 34, 7
2019/5/22, 12, 36, 14
2019/5/23, 14, 31, 12
2019/5/24, 15, 28, 7
2019/5/25, 11, 24, 8
2019/5/26, 16, 24, 7
2019/5/27, 13, 30, 6
2019/5/28, 10, 31, 9
2019/5/29, 11, 24, 5
2019/5/30, 13, 20, 7
2019/5/31, 14, 26, 9
2019/6/1, 10, 40, 8
2019/6/2, 21, 24, 9
2019/6/3, 13, 31, 11
2019/6/4, 14, 28, 9
2019/6/5, 14, 27, 8
2019/6/6, 10, 31, 13
2019/6/7, 11, 30, 2
2019/6/8, 16, 27, 5
2019/6/9, 18, 32, 4
2019/6/10, 12, 33, 8
2019/6/11, 10, 25, 15
2019/6/12, 11, 25, 9
2019/6/13, 11, 32, 10
2019/6/14, 11, 32, 9
2019/6/15, 10, 25, 7
2019/6/16, 11, 30, 8
2019/6/17, 11, 33, 13
2019/6/18, 16, 33, 13
2019/6/19, 14, 31, 9
2019/6/20, 18, 28, 8
2019/6/21, 12, 35, 7
2019/6/22, 11, 43, 8
2019/6/23, 13, 55, 11
2019/6/24, 16, 82, 14
2019/6/25, 25, 37, 8
2019/6/26, 22, 29, 3
2019/6/27, 15, 29, 5
2019/6/28, 18, 66, 12
2019/6/29, 15, 31, 9
2019/6/30, 19, 26, 6
2019/1/1, 28, 28, 6
2019/1/2, 27, 22, 16
2019/1/3, 12, 26, 6
2019/1/4, 11, 27, 3
2019/1/5, 11, 28, 9
2019/1/6, 17, 19, 8
2019/1/7, 19, 31, 2
2019/1/8, 27, 28, 7
2019/1/9, 21, 21, 19
2019/1/10, 18, 29, 5
2019/1/11, 13, 26, 5
2019/1/12, 15, 27, 4
2019/1/13, 19, 29, 5
2019/1/14, 16, 23, 8
2019/1/15, 18, 23, 8
2019/1/16, 13, 28, 7
2019/1/17, 11, 16, 25
2019/1/18, 22, 9, 18
2019/1/19, 22, 9, 19
2019/1/20, 21, 8, 23
2019/1/21, 33, 5, 22
2019/1/22, 40, 15, 13
2019/1/23, 22, 6, 20
2019/1/24, 41, 10, 19
2019/1/25, 37, 25, 5
2019/1/26, 14, 26, 5
2019/1/27, 12, 26, 5
2019/1/28, 15, 24, 14
2019/1/29, 15, 19, 17
2019/1/30, 16, 22, 18
2019/1/31, 19, 11, 17
2019/2/1, 25, 12, 13
2019/2/2, 33, 20, 13
2019/2/3, 18, 15, 13
2019/2/4, 11, 13, 14
2019/2/5, 22, 8, 18
2019/2/6, 14, 28, 6
2019/2/7, 19, 24, 7
2019/2/8, 13, 30, 3
2019/2/9, 28, 28, 6
2019/2/10, 9, 27, 8
2019/2/11, 21, 19, 11
2019/2/12, 16, 19, 13
2019/2/13, 20, 8, 25
2019/2/14, 24, 8, 29
2019/2/15, 23, 17, 23
2019/2/16, 35, 18, 19
2019/2/17, 35, 23, 17
2019/2/18, 32, 23, 9
2019/2/19, 19, 25, 12
2019/2/20, 18, 20, 12
2019/2/21, 21, 11, 19
2019/2/22, 16, 10, 15
2019/2/23, 22, 16, 20
2019/2/24, 24, 9, 31
2019/2/25, 30, 9, 33
2019/2/26, 42, 13, 28
2019/2/27, 36, 26, 20
2019/2/28, 36, 28, 9
2019/3/1, 24, 25, 8
2019/3/2, 19, 27, 3
2019/3/3, 9, 31, 5
2019/3/4, 17, 31, 7
2019/3/5, 16, 19, 10
2019/3/6, 11, 32, 5
2019/3/7, 18, 32, 6
2019/3/8, 24, 33, 5
2019/3/9, 20, 32, 7
2019/3/10, 14, 32, 5
2019/3/11, 18, 29, 9
2019/3/12, 15, 30, 5
2019/3/13, 27, 31, 5
2019/3/14, 24, 29, 7
2019/3/15, 19, 35, 4
2019/3/16, 20, 33, 3
2019/3/17, 12, 32, 7
2019/3/18, 20, 20, 20
2019/3/19, 18, 23, 12
2019/3/20, 15, 22, 11
2019/3/21, 12, 15, 14
2019/3/22, 41, 26, 10
2019/3/23, 22, 30, 9
2019/3/24, 17, 36, 3
2019/3/25, 25, 34, 8
2019/3/26, 20, 25, 12
2019/3/27, 17, 19, 16
2019/3/28, 17, 22, 19
2019/3/29, 24, 27, 21
2019/3/30, 48, 34, 4
2019/3/31, 19, 29, 12
2018/10/1, 13, 26, 5
2018/10/2, 16, 26, 6
2018/10/3, 24, 15, 12
2018/10/4, 21, 11, 22
2018/10/5, 26, 17, 20
2018/10/6, 34, 25, 7
2018/10/7, 11, 21, 13
2018/10/8, 17, 14, 20
2018/10/9, 18, 20, 22
2018/10/10, 31, 18, 15
2018/10/11, 21, 18, 10
2018/10/12, 12, 25, 9
2018/10/13, 17, 25, 10
2018/10/14, 17, 17, 17
2018/10/15, 21, 14, 24
2018/10/16, 26, 19, 17
2018/10/17, 22, 21, 10
2018/10/18, 14, 18, 16
2018/10/19, 17, 16, 16
2018/10/20, 21, 14, 19
2018/10/21, 32, 26, 8
2018/10/22, 22, 23, 5
2018/10/23, 25, 21, 4
2018/10/24, 15, 22, 8
2018/10/25, 12, 25, 7
2018/10/26, 14, 25, 10
2018/10/27, 9, 20, 6
2018/10/28, 6, 13, 8
2018/10/29, 8, 12, 8
2018/10/30, 6, 16, 14
2018/10/31, 14, 8, 16
2018/11/1, 11, 24, 10
2018/11/2, 10, 11, 18
2018/11/3, 16, 6, 18
2018/11/4, 27, 1, 13
2018/11/5, 25, 4, 18
2018/11/6, 21, 14, 11
2018/11/7, 11, 18, 16
2018/11/8, 18, 7, 17
2018/11/9, 17, 16, 7
2018/11/10, 9, 20, 6
2018/11/11, 9, 8, 18
2018/11/12, 11, 20, 10
2018/11/13, 16, 9, 15
2018/11/14, 17, 3, 21
2018/11/15, 19, , 19
2018/11/16, 27, 6, 15
2018/11/17, 22, 14, 11
2018/11/18, 19, 16, 6
2018/11/19, 6, 15, 8
2018/11/20, 16, 8, 12
2018/11/21, 25, 2, 12
2018/11/22, 35, , 16
2018/11/23, 31, 4, 13
2018/11/24, 25, 3, 11
2018/11/25, 29, 4, 12
2018/11/26, 29, 4, 16
2018/11/27, 28, 7, 12
2018/11/28, 14, 14, 10
2018/11/29, 8, 18, 11
2018/11/30, 19, 16, 10
2018/12/1, 11, 21, 5
2018/12/2, 12, 24, 7
2018/12/3, 27, 23, 17
2018/12/4, 20, 2, 22
2018/12/5, 16, 22, 9
2018/12/6, 13, 25, 5
2018/12/7, 11, 28, 3
2018/12/8, 23, 31, 2
2018/12/9, 19, 32, 3
2018/12/10, 15, 27, 17
2018/12/11, 18, 8, 20
2018/12/12, 16, 9, 11
2018/12/13, 10, 4, 14
2018/12/14, 16, 10, 12
2018/12/15, 21, 9, 13
2018/12/16, 21, 18, 13
2018/12/17, 16, 15, 13
2018/12/18, 16, 13, 14
2018/12/19, 12, 17, 12
2018/12/20, 14, 25, 7
2018/12/21, 15, 24, 6
2018/12/22, 17, 20, 10
2018/12/23, 15, 18, 13
2018/12/24, 13, 22, 8
2018/12/25, 15, 11, 16
2018/12/26, 21, , 24
2018/12/27, 32, 7, 17
2018/12/28, 30, 25, 6
2018/12/29, 17, 30, 6
2018/12/30, 18, , 
2018/7/1, 14, 39, 9
2018/7/2, 14, 36, 6
2018/7/3, 13, 28, 11
2018/7/4, 19, 21, 8
2018/7/5, 10, 29, 10
2018/7/6, 17, 26, 9
2018/7/7, 15, 27, 5
2018/7/8, 11, 23, 8
2018/7/9, 14, 25, 5
2018/7/10, 23, 28, 8
2018/7/11, 27, 25, 10
2018/7/12, 22, 24, 8
2018/7/13, 18, 29, 6
2018/7/14, 8, 42, 7
2018/7/15, 9, 51, 14
2018/7/16, 16, 39, 10
2018/7/17, 20, 31, 11
2018/7/18, 16, 29, 12
2018/7/19, 18, 30, 10
2018/7/20, 14, 36, 8
2018/7/21, 13, 39, 9
2018/7/22, 16, 31, 9
2018/7/23, 11, 34, 16
2018/7/24, 16, 41, 14
2018/7/25, 22, 76, 13
2018/7/26, 24, 63, 19
2018/7/27, 29, 39, 7
2018/7/28, 21, 31, 7
2018/7/29, 18, 22, 8
2018/7/30, 11, 28, 9
2018/7/31, 12, 26, 12
2018/8/1, 12, 34, 14
2018/8/2, 14, 38, 13
2018/8/3, 16, 26, 10
2018/8/4, 13, 26, 5
2018/8/5, 11, 43, 11
2018/8/6, 15, 65, 17
2018/8/7, 21, 36, 7
2018/8/8, 17, 25, 13
2018/8/9, 18, 26, 5
2018/8/10, 11, 27, 5
2018/8/11, 10, 31, 10
2018/8/12, 12, 25, 12
2018/8/13, 18, 29, 5
2018/8/14, 9, 23, 9
2018/8/15, 21, 24, 8
2018/8/16, 10, 23, 8
2018/8/17, 11, 20, 8
2018/8/18, 14, 21, 6
2018/8/19, 24, 23, 5
2018/8/20, 13, 21, 11
2018/8/21, 15, 27, 10
2018/8/22, 16, 17, 9
2018/8/23, 21, 21, 5
2018/8/24, 12, 22, 6
2018/8/25, 10, 27, 6
2018/8/26, 9, 21, 6
2018/8/27, 13, 20, 12
2018/8/28, 16, 22, 15
2018/8/29, 20, 24, 4
2018/8/30, 11, 23, 12
2018/8/31, 11, 28, 12
2018/9/1, 14, 32, 10
2018/9/2, 13, 28, 8
2018/9/3, 15, 29, 10
2018/9/4, 36, 22, 14
2018/9/5, 21, 28, 11
2018/9/6, 13, 24, 8
2018/9/7, 11, 23, 7
2018/9/8, 11, , 9
2018/9/9, 14, 23, 8
2018/9/10, 17, 25, 4
2018/9/11, 21, 21, 9
2018/9/12, 13, 24, 12
2018/9/13, 18, 23, 12
2018/9/14, 13, 24, 6
2018/9/15, 13, 26, 11
2018/9/16, 15, 25, 18
2018/9/17, 15, 28, 11
2018/9/18, 25, 25, 8
2018/9/19, 21, 23, 9
2018/9/20, 26, 24, 4
2018/9/21, 17, 23, 5
2018/9/22, 13, 21, 9
2018/9/23, 12, 27, 4
2018/9/24, 14, 19, 15
2018/9/25, 13, 24, 15
2018/9/26, 18, 22, 19
2018/9/27, 22, 22, 7
2018/9/28, 18, 21, 12
2018/9/29, 18, 26, 12
2018/9/30, 19, 27, 4
2018/4/1, 28, 22, 13
2018/4/2, 28, 23, 11
2018/4/3, 13, 26, 12
2018/4/4, 10, 31, 7
2018/4/5, 19, 24, 18
2018/4/6, 16, 27, 14
2018/4/7, 16, 22, 18
2018/4/8, 35, 20, 12
2018/4/9, 31, 24, 12
2018/4/10, 35, 19, 12
2018/4/11, 37, 14, 13
2018/4/12, 38, 13, 19
2018/4/13, 37, 24, 15
2018/4/14, 27, 21, 13
2018/4/15, 33, 28, 9
2018/4/16, 16, 31, 14
2018/4/17, 20, 34, 21
2018/4/18, 24, 35, 22
2018/4/19, 34, 33, 29
2018/4/20, 49, 32, 12
2018/4/21, 28, 37, 10
2018/4/22, 28, 28, 10
2018/4/23, 17, 24, 10
2018/4/24, 19, 26, 7
2018/4/25, 14, 28, 7
2018/4/26, 19, 28, 9
2018/4/27, 17, 19, 10
2018/4/28, 15, 25, 7
2018/4/29, 15, 27, 10
2018/4/30, 9, 32, 7
2018/5/1, 13, 31, 10
2018/5/2, 14, 29, 11
2018/5/3, 12, 33, 16
2018/5/4, 14, 28, 11
2018/5/5, 16, 18, 13
2018/5/6, 16, , 15
2018/5/7, 19, 57, 20
2018/5/8, 26, 37, 22
2018/5/9, 45, 32, 9
2018/5/10, 13, 36, 11
2018/5/11, 13, 44, 13
2018/5/12, 21, 36, 8
2018/5/13, 31, 40, 14
2018/5/14, 28, 47, 12
2018/5/15, 24, 36, 7
2018/5/16, 27, 31, 4
2018/5/17, 28, 31, 6
2018/5/18, 22, 31, 8
2018/5/19, 24, 40, 9
2018/5/20, 25, 43, 10
2018/5/21, 17, 42, 16
2018/5/22, 21, 47, 10
2018/5/23, 19, 34, 13
2018/5/24, 22, 36, 16
2018/5/25, 26, 58, 11
2018/5/26, 24, 44, 10
2018/5/27, 20, 54, 13
2018/5/28, 22, 51, 9
2018/5/29, 43, 35, 15
2018/5/30, 48, 34, 14
2018/5/31, 53, 40, 15
2018/6/1, 33, 18, 12
2018/6/2, 26, 23, 15
2018/6/3, 29, 37, 11
2018/6/4, 16, 34, 6
2018/6/5, 22, 38, 9
2018/6/6, 37, 42, 16
2018/6/7, 54, 32, 15
2018/6/8, 35, 33, 6
2018/6/9, 18, 32, 5
2018/6/10, 15, 29, 5
2018/6/11, 15, 28, 6
2018/6/12, 11, 26, 6
2018/6/13, 21, 23, 10
2018/6/14, 37, 28, 12
2018/6/15, 25, 26, 11
2018/6/16, 21, 26, 5
2018/6/17, 17, 27, 7
2018/6/18, 16, 19, 8
2018/6/19, 15, 17, 8
2018/6/20, 15, 25, 4
2018/6/21, 15, 27, 3
2018/6/22, 20, 32, 5
2018/6/23, 19, 27, 5
2018/6/24, 13, 20, 7
2018/6/25, 13, 29, 6
2018/6/26, 17, 34, 6
2018/6/27, 18, 39, 7
2018/6/28, 16, 32, 7
