date, pm25, o3, no2
2020/1/2, 19, 13, 4
2020/1/3, 27, 17, 1
2020/1/4, 14, 15, 1
2020/1/5, 13, 12, 1
2020/1/6, 14, 9, 3
2020/1/7, 20, 13, 4
2020/1/8, 22, 12, 3
2020/1/9, 28, 10, 2
2020/1/10, 15, 13, 2
2020/1/11, 18, 14, 1
2020/1/12, 13, 16, 
2020/1/13, 13, 15, 
2020/1/14, 13, 15, 
2020/1/15, 9, , 
2019/10/1, 19, 4, 1
2019/10/2, 25, 8, 1
2019/10/3, 20, 12, 1
2019/10/4, 15, 10, 1
2019/10/5, 18, 8, 1
2019/10/6, 14, 11, 1
2019/10/7, 14, 12, 1
2019/10/8, 15, 12, 2
2019/10/9, 40, 10, 2
2019/10/10, 60, 10, 2
2019/10/11, 53, , 2
2019/10/12, 54, , 1
2019/10/13, 33, , 1
2019/10/14, 23, 10, 1
2019/10/15, 16, 12, 2
2019/10/16, 22, 11, 2
2019/10/17, 18, 11, 1
2019/10/18, 17, 10, 1
2019/10/19, 17, 9, 1
2019/10/20, 18, 8, 2
2019/10/21, 19, 11, 1
2019/10/22, 17, 7, 1
2019/10/23, 22, 8, 1
2019/10/24, 23, 14, 1
2019/10/25, 24, 13, 1
2019/10/26, 24, 11, 2
2019/10/27, 31, 16, 2
2019/10/28, 22, 14, 2
2019/10/29, 32, 4, 3
2019/10/30, 41, 6, 3
2019/10/31, 46, 9, 2
2019/11/1, 47, 9, 2
2019/11/2, 51, 6, 2
2019/11/3, 54, 5, 2
2019/11/4, 47, 5, 1
2019/11/5, 43, 7, 1
2019/11/6, 25, 6, 2
2019/11/7, 25, 4, 3
2019/11/8, 37, 7, 1
2019/11/9, 21, 7, 1
2019/11/10, 25, 6, 1
2019/11/11, 17, 9, 1
2019/11/12, 16, 6, 1
2019/11/13, 21, 3, 1
2019/11/14, 15, 5, 2
2019/11/15, 44, 8, 2
2019/11/16, 31, 11, 1
2019/11/17, 15, 6, 1
2019/11/18, 17, 13, 1
2019/11/19, 22, 12, 2
2019/11/20, 32, 10, 2
2019/11/21, 34, 7, 4
2019/11/22, 36, 9, 2
2019/11/23, 22, 11, 1
2019/11/24, 21, 10, 2
2019/11/25, 30, 15, 
2019/11/26, 13, 15, 
2019/11/27, 15, 13, 
2019/11/28, 18, 11, 
2019/11/29, 23, 10, 1
2019/11/30, 25, 9, 1
2019/12/1, 29, 6, 3
2019/12/2, 39, 3, 3
2019/12/3, 45, 10, 2
2019/12/4, 23, 11, 
2019/12/5, 25, 8, 1
2019/12/6, 19, 1, 1
2019/12/7, 43, 7, 
2019/12/8, 16, 6, 1
2019/12/9, 13, 4, 2
2019/12/10, 26, 2, 2
2019/12/11, 27, 8, 4
2019/12/12, 28, 11, 2
2019/12/13, 27, 8, 2
2019/12/14, 33, 11, 2
2019/12/15, 25, 9, 2
2019/12/16, 20, 4, 5
2019/12/17, 41, 5, 5
2019/12/18, 43, 8, 5
2019/12/19, 26, 4, 5
2019/12/20, 40, 8, 3
2019/12/21, 39, 10, 
2019/12/22, 13, 11, 
2019/12/23, 13, 9, 1
2019/12/24, 16, 11, 1
2019/12/25, 26, 9, 2
2019/12/26, 39, 8, 2
2019/12/27, 32, 5, 1
2019/12/28, 15, , 
2019/7/1, 14, 15, 1
2019/7/2, 19, 11, 1
2019/7/3, 18, 11, 1
2019/7/4, 24, 12, 1
2019/7/5, 17, 9, 1
2019/7/6, 17, 9, 
2019/7/7, 15, 9, 
2019/7/8, 12, 14, 
2019/7/9, 23, 8, 1
2019/7/10, 14, 9, 
2019/7/11, 9, 13, 
2019/7/12, 16, 10, 1
2019/7/13, 15, 14, 
2019/7/14, 17, 13, 
2019/7/15, 16, 13, 1
2019/7/16, 18, 9, 1
2019/7/17, 11, 11, 
2019/7/18, 8, 10, 
2019/7/19, 11, 10, 
2019/7/20, 12, 14, 1
2019/7/21, 19, 20, 1
2019/7/22, 26, 17, 1
2019/7/23, 22, 11, 
2019/7/24, 14, 10, 
2019/7/25, 19, 15, 
2019/7/26, 16, 13, 
2019/7/27, 10, 12, 
2019/7/28, 19, 15, 
2019/7/29, 17, 12, 1
2019/7/30, 19, 5, 
2019/7/31, 16, 8, 1
2019/8/1, 22, 13, 
2019/8/2, 17, 14, 
2019/8/3, 20, 13, 1
2019/8/4, 29, 15, 1
2019/8/5, 28, 16, 1
2019/8/6, 30, 17, 1
2019/8/7, 34, 18, 1
2019/8/8, 32, 12, 1
2019/8/9, 20, 11, 1
2019/8/10, 21, 11, 1
2019/8/11, 14, 13, 
2019/8/12, 15, 13, 
2019/8/13, 15, 14, 
2019/8/14, 18, 15, 1
2019/8/15, 18, 14, 1
2019/8/16, 21, 11, 1
2019/8/17, 24, 15, 
2019/8/18, 17, 15, 1
2019/8/19, 17, 16, 1
2019/8/20, 19, 12, 1
2019/8/21, 17, 14, 
2019/8/22, 17, 13, 1
2019/8/23, 21, 15, 
2019/8/24, 23, 14, 
