date, pm10, no2, so2, co
2020/1/7, 35, 41, 3, 
2020/1/8, 59, 47, 6, 
2020/1/9, 62, 55, 7, 
2020/1/10, 88, 28, 6, 
2020/1/11, 64, 30, 3, 
2020/1/12, 50, 36, 3, 
2020/1/13, 74, 26, 2, 
2020/1/14, 60, 26, 3, 
2020/1/15, 57, , , 
2019/10/1, 40, 27, 3, 
2019/10/2, 38, 32, 1, 
2019/10/3, 35, 23, 3, 
2019/10/4, 31, 14, 5, 
2019/10/5, 18, 13, 5, 
2019/10/6, 17, 20, 3, 
2019/10/7, 14, 16, 4, 
2019/10/8, 19, 28, 5, 
2019/10/9, 21, 29, 2, 
2019/10/10, 35, 23, 3, 
2019/10/11, 34, 29, 3, 
2019/10/12, 24, 29, 3, 
2019/10/13, 38, 33, 4, 
2019/10/14, 46, 37, 4, 
2019/10/15, 47, 31, 2, 
2019/10/16, 50, 36, 3, 
2019/10/17, 54, 37, 5, 
2019/10/18, 53, 36, 3, 
2019/10/19, 54, 31, 3, 
2019/10/20, 55, 40, 5, 
2019/10/21, 65, 33, 4, 
2019/10/22, 65, 41, 4, 
2019/10/23, 57, 39, 5, 
2019/10/24, 61, 41, 6, 
2019/10/25, 61, 36, 5, 
2019/10/26, 64, 30, 4, 
2019/10/27, 67, 46, 6, 
2019/10/28, 65, 51, 6, 
2019/10/29, 85, 27, 11, 
2019/10/31, 49, 15, 1, 
2019/11/1, 23, 16, 10, 
2019/11/2, 23, 18, 3, 
2019/11/3, 39, 28, 3, 
2019/11/4, 49, 34, 3, 
2019/11/5, 53, 27, 4, 
2019/11/6, 59, 32, 2, 
2019/11/7, 72, 23, 1, 
2019/11/8, 68, 21, 1, 
2019/11/9, 63, 19, , 
2019/11/10, 52, 24, 2, 
2019/11/11, 40, 22, 2, 
2019/11/12, 53, 17, 2, 
2019/11/13, 58, 25, 2, 
2019/11/14, 51, , , 
2019/11/15, 50, , , 
2019/11/19, 52, 18, 2, 
2019/11/20, 53, , , 
2019/11/22, 14, 14, 1, 
2019/11/23, 13, 15, 2, 
2019/11/24, 37, 15, 1, 
2019/11/25, 40, 23, 1, 
2019/11/26, 20, 19, 1, 
2019/11/27, 40, 25, 1, 
2019/11/28, 62, 27, 1, 
2019/11/29, 47, 17, 1, 
2019/11/30, 37, 18, 3, 
2019/12/1, 24, 32, 2, 
2019/12/2, 59, 16, 2, 
2019/12/3, 59, 15, 1, 
2019/12/4, 40, 16, 2, 
2019/12/5, 63, 18, 2, 
2019/12/6, 69, 16, 2, 
2019/12/7, 83, 11, 3, 
2019/12/8, 36, 21, 3, 
2019/12/9, 70, 17, 3, 
2019/12/10, 75, 14, 2, 
2019/12/11, 68, 13, 2, 
2019/12/12, 64, 13, 2, 
2019/12/13, 59, 9, 1, 
2019/12/14, 40, 12, 2, 
2019/12/15, 37, 19, 2, 
2019/12/16, 69, 23, 4, 
2019/12/17, 95, 52, 4, 
2019/12/18, 122, 29, 1, 
2019/12/19, 79, 30, 2, 
2019/12/20, 66, 31, 2, 
2019/12/21, 79, 29, 3, 
2019/12/22, 72, 24, 2, 
2019/12/23, 33, 8, 1, 
2019/12/24, 11, 7, 2, 
2019/12/25, 10, 8, 1, 
2019/12/26, 12, 12, 2, 
2019/12/27, 13, 16, 1, 
2019/12/28, 16, , , 
2019/7/1, 23, 28, 1, 
2019/7/2, 37, 23, 1, 
2019/7/3, 39, 17, 2, 
2019/7/4, 32, 20, 3, 
2019/7/5, 29, 20, 3, 
