date, pm25, pm10, o3, so2, co
2019/9/4, 58, 15, 8, 5, 
2019/9/5, 49, 13, 13, 6, 
2019/9/6, 39, 13, 14, 10, 
2019/9/7, 42, 11, 12, 10, 
2019/9/8, 35, 3, 13, 9, 
2019/9/9, 9, 5, 12, 9, 
2019/9/10, 17, 10, 12, 13, 
2019/9/11, 31, 14, 6, 4, 
2019/9/12, 42, 22, 9, 3, 
2019/9/13, 62, 6, 4, 1, 
2019/9/14, 19, 11, 4, , 
2019/9/15, 33, 11, 3, , 
2019/9/16, 34, 24, , 3, 
2019/9/17, 62, 20, 4, 10, 
2019/9/18, 53, 30, 7, 8, 
2019/9/19, 73, 31, 3, 3, 
2019/9/20, 77, 39, 4, 3, 
2019/9/21, 91, 10, 5, 3, 
2019/9/22, 31, 10, 4, 13, 
2019/9/23, 30, 20, 7, 8, 
2019/9/24, 55, 30, 10, 7, 
2019/9/25, 75, 26, 6, 6, 
2019/9/26, 70, 17, 5, 4, 
2019/9/27, 48, 11, 5, 7, 
2019/9/28, 32, 16, 3, 8, 
2019/9/29, 40, 19, 6, 10, 
2019/9/30, 49, 11, 6, 4, 
2019/4/1, 41, 18, 11, 2, 
2019/4/2, 42, 22, 20, 2, 
2019/4/3, 58, 20, 5, 3, 
2019/4/4, 46, 15, 6, 2, 
2019/4/5, 41, 19, 6, 2, 
2019/4/6, 55, 20, 7, 7, 
2019/4/7, 53, 30, 9, 1, 
2019/4/8, 71, 17, 9, 8, 
2019/4/9, 49, 15, 9, 8, 
2019/4/10, 35, 8, 7, , 
2019/4/11, 21, 20, 7, 6, 
2019/4/12, 53, 11, 5, 8, 
2019/4/13, 30, 12, 6, 10, 
2019/4/14, 34, 19, 9, , 
2019/4/15, 53, 56, 10, 4, 
2019/4/16, 94, 11, 11, 6, 
2019/4/17, 27, 14, 11, 7, 
2019/4/18, 37, 14, 11, 10, 
2019/4/19, 34, 18, 9, , 
2019/4/20, 47, 19, 9, , 
2019/4/21, 52, 32, 8, , 
2019/4/22, 83, 8, 10, , 
2019/4/23, 27, 19, 9, , 
2019/4/24, 54, 13, 10, , 
2019/4/25, 42, 7, 9, , 
2019/4/26, 28, 2, 9, , 
2019/4/27, 10, 10, 9, 3, 
2019/4/28, 25, 15, 7, , 
2019/4/29, 34, 20, 12, , 
2019/4/30, 56, 17, 13, 5, 
2019/5/1, 44, 24, 14, 7, 
2019/5/2, 53, 22, 13, , 
2019/5/3, 51, 12, 14, , 
2019/5/4, 38, 4, 12, , 
2019/5/5, 12, 15, 14, , 
2019/5/6, 38, 13, 10, , 
2019/5/7, 40, 8, 10, , 
2019/5/8, 23, 5, 9, 9, 
2019/5/9, 12, 6, 9, , 
2019/5/10, 17, 11, 10, 3, 
2019/5/11, 28, 15, 9, 6, 
2019/5/12, 38, 56, 10, 2, 
2019/5/13, 83, 21, 11, , 
2019/5/14, 63, 21, 5, , 
2019/5/15, 57, 19, 7, 3, 
2019/5/16, 48, 18, 5, 6, 
2019/5/17, 41, 10, 7, 5, 
2019/5/18, 24, 9, 9, , 
2019/5/19, 24, 14, 10, , 
2019/5/20, 42, 9, 9, , 
2019/5/21, 26, 14, 9, , 
2019/5/22, 44, 27, 8, 2, 
2019/5/23, 73, 27, 8, 2, 
2019/5/24, 69, 11, 8, 3, 
2019/5/25, 30, 5, 9, 3, 
2019/5/26, 14, 21, 9, 3, 
2019/5/27, 60, 27, 12, 9, 
2019/5/28, 73, 18, 14, 4, 
2019/5/29, 51, 11, 14, 12, 
2019/5/30, 35, 13, 12, 1, 
2019/5/31, 42, 9, 14, 3, 
2019/6/1, 27, 23, 14, 2, 
2019/6/2, 57, 16, 16, 2, 
2019/6/3, 46, 10, 17, 7, 
2019/6/4, 28, 9, 17, 8, 
2019/6/5, 23, 12, 16, 6, 
2019/6/6, 28, 13, 16, 1, 
2019/6/7, 35, 18, 14, 3, 
2019/6/8, 52, 7, 15, 28, 
2019/6/9, 18, 19, 15, 2, 
