date, pm25, o3, no2, co
2019/9/3, 21, 27, 3, 2
2019/9/4, 25, 22, 2, 1
2019/9/5, 14, 26, 3, 1
2019/9/6, 22, 24, 2, 1
2019/9/7, 19, 22, 1, 1
2019/9/8, 12, 20, 3, 2
2019/9/9, 17, 21, 3, 2
2019/9/10, 21, 21, 2, 1
2019/9/11, 17, 20, 3, 2
2019/9/12, 14, 23, 3, 2
2019/9/13, 24, 25, 3, 2
2019/9/14, 25, 25, 1, 1
2019/9/15, 17, 13, 2, 1
2019/9/16, 11, 18, 2, 1
2019/9/17, 15, 22, 3, 2
2019/9/18, 22, 22, 4, 2
2019/9/19, 21, 20, 3, 2
2019/9/20, 29, 21, 2, 2
2019/9/21, 22, 35, 2, 2
2019/9/22, 31, 35, 2, 2
2019/9/23, 46, 18, 2, 2
2019/9/24, 21, 13, , 1
2019/9/25, 10, 22, , 1
2019/9/26, 20, 27, , 1
2019/9/27, 21, 27, , 2
2019/9/28, 25, 18, , 1
2019/9/29, 18, 22, , 1
2019/9/30, 11, 21, , 1
2019/4/1, 9, 35, 1, 1
2019/4/2, 10, 31, 2, 1
2019/4/3, 10, 34, 1, 1
2019/4/4, 8, 35, 1, 2
2019/4/5, 10, 32, 3, 3
2019/4/6, 14, 37, 3, 3
2019/4/7, 15, 29, 2, 1
2019/4/8, 12, 32, 1, 1
2019/4/9, 12, 29, 4, 1
2019/4/10, 12, 31, 4, 2
2019/4/11, 16, 36, 6, 2
2019/4/12, 16, 34, 1, 2
2019/4/13, 13, 33, 3, 2
2019/4/14, 11, 27, 2, 2
2019/4/15, 9, 31, 1, 2
2019/4/16, 8, 32, 2, 3
2019/4/17, 9, 34, 5, 7
2019/4/18, 15, 33, 1, 6
2019/4/19, 10, 29, 2, 2
2019/4/20, 7, 27, 1, 1
2019/4/21, 9, 29, 2, 1
2019/4/22, 11, 29, 2, 1
2019/4/23, 10, 25, 1, 1
2019/4/24, 9, 31, 1, 1
2019/4/25, 7, 28, , 2
2019/4/26, 9, 27, , 1
2019/4/27, 8, 23, , 1
2019/4/28, 9, 36, , 1
2019/4/29, 13, 39, , 
2019/4/30, 8, 32, , 
2019/5/1, 10, 30, , 
2019/5/2, 12, 33, , 
2019/5/3, 12, 33, , 
2019/5/4, 11, 32, , 2
2019/5/5, 17, 34, , 2
2019/5/6, 13, 37, , 2
2019/5/7, 17, 28, 1, 2
2019/5/8, 10, 25, 1, 2
2019/5/9, 6, 27, 5, 2
2019/5/10, 14, 27, 2, 2
2019/5/11, 7, 28, 1, 1
2019/5/12, 10, 29, 2, 2
2019/5/13, 10, 31, 3, 1
2019/5/14, 12, 30, 2, 1
2019/5/15, 11, 27, 2, 1
2019/5/16, 9, 26, 3, 1
2019/5/17, 8, 25, 2, 
2019/5/18, 9, 27, 2, 
2019/5/19, 10, 20, 2, 2
2019/5/20, 11, 25, 3, 3
2019/5/21, 6, 26, 2, 3
2019/5/22, 10, 23, 4, 2
2019/5/23, 11, 28, 3, 2
2019/5/24, 14, 30, 4, 2
2019/5/25, 18, 26, 1, 1
2019/5/26, 14, 21, 3, 2
2019/5/27, 8, 30, 2, 1
2019/5/28, 9, 32, 4, 1
2019/5/29, 13, 30, 4, 
2019/5/30, 10, 29, 2, 
2019/5/31, 9, 30, 4, 1
2019/6/1, 17, 27, 1, 1
2019/6/2, 11, 27, 1, 2
2019/6/3, 14, 22, 1, 1
2019/6/4, 14, 30, 4, 1
2019/6/5, 14, 25, 4, 2
2019/6/6, 22, 31, 2, 1
2019/6/7, 19, 22, 2, 
2019/6/8, 11, 20, 2, 
2019/6/9, 13, 24, 3, 1
2019/6/10, 9, 24, 3, 1
2019/6/11, 11, 26, 1, 1
2019/6/12, 17, 27, 2, 1
2019/6/13, 24, 32, 1, 
2019/6/14, 11, 27, 1, 1
2019/6/15, 21, 33, 1, 2
