date, pm25, pm10, o3
2019/4/29, 78, 32, 45
2019/4/30, 74, 25, 27
2019/5/1, 58, 20, 35
2019/5/2, 53, , 32
2019/5/7, 35, 19, 33
2019/5/8, 36, 12, 32
2019/5/9, 23, 17, 39
2019/5/10, 31, 13, 25
2019/5/11, 33, 12, 28
2019/5/12, 21, 10, 34
2019/5/13, 20, 10, 37
2019/5/14, 22, 12, 49
2019/5/15, 38, 17, 49
2019/5/16, 50, 19, 47
2019/5/17, 53, 20, 57
2019/5/18, 57, 20, 44
2019/5/19, 58, 18, 40
2019/5/20, 46, 17, 50
2019/5/21, 40, 19, 46
2019/5/22, 48, 18, 42
2019/5/23, 47, 19, 44
2019/5/24, 51, 19, 
2019/5/25, 53, 20, 26
2019/5/26, 57, 19, 
2019/5/27, 54, 26, 43
2019/5/28, 54, 22, 25
2019/5/29, 56, 20, 44
2019/5/30, 51, 16, 42
2019/5/31, 40, 17, 51
2019/6/1, 45, 18, 44
2019/6/2, 50, 20, 48
2019/6/3, 54, 24, 48
2019/6/4, 54, 27, 38
2019/6/5, 63, 16, 27
2019/6/6, 42, 11, 26
2019/6/7, 23, 8, 28
2019/6/8, 15, 8, 24
2019/6/9, 16, 11, 26
2019/6/10, 22, 17, 35
2019/6/11, 42, 10, 32
2019/6/14, 32, 16, 42
2019/6/15, 48, 15, 36
2019/6/16, 46, 14, 37
2019/6/17, 33, 11, 23
2019/6/18, 26, 12, 34
2019/6/19, 35, 12, 37
2019/6/20, 31, 12, 46
2019/6/21, 37, 17, 31
2019/6/22, 34, 15, 29
2019/6/23, 29, 31, 22
2019/6/24, 35, 15, 39
2019/6/25, 30, 15, 38
2019/6/26, 38, 17, 39
2019/6/27, 45, 15, 40
2019/6/28, 38, 14, 35
2019/6/29, 35, 14, 36
2019/6/30, 39, 16, 41
2019/1/1, 35, 14, 
2019/1/2, 38, 12, 
2019/1/3, 28, 7, 
2019/1/4, 17, 8, 
2019/1/5, 20, 10, 
2019/1/6, 26, 19, 
2019/1/7, 47, 17, 
2019/1/8, 48, 8, 
2019/1/9, 14, 12, 
2019/1/10, 36, 15, 
2019/1/11, 45, 17, 
2019/1/12, 54, 16, 
2019/1/13, 49, 9, 
2019/1/14, 28, 10, 
2019/1/15, 32, 14, 
2019/1/16, 51, 23, 
2019/1/17, 64, 30, 
2019/1/18, 73, 15, 
2019/1/19, 44, 7, 
2019/1/20, 20, 9, 
2019/1/21, 22, 11, 
2019/1/22, 29, 17, 
2019/1/23, 42, 10, 
2019/1/24, 32, 13, 
2019/1/25, 46, 21, 
2019/1/26, 55, 29, 
2019/1/27, 74, 26, 
2019/1/28, 66, 15, 
2019/1/29, 48, 14, 
2019/1/30, 34, 17, 
2019/1/31, 40, 28, 
2019/2/1, 56, 27, 
2019/2/2, 66, 26, 
2019/2/3, 68, 30, 
2019/2/4, 71, 23, 
2019/2/5, 59, 17, 
2019/2/6, 50, 17, 
2019/2/7, 48, 9, 
2019/2/8, 22, 12, 
2019/2/9, 31, 18, 
2019/2/10, 53, 17, 
2019/2/11, 53, 11, 
2019/2/12, 29, 7, 
2019/2/13, 16, 14, 
2019/2/14, 34, 22, 
2019/2/15, 57, 10, 
2019/2/16, 29, 11, 
2019/2/17, 34, 9, 20
2019/2/18, 24, 9, 21
2019/2/19, 30, 6, 18
2019/2/20, 18, 20, 9
2019/2/21, 46, 12, 24
2019/2/22, 33, 6, 20
2019/2/23, 17, 10, 33
2019/2/24, 17, 11, 34
2019/2/25, 24, 20, 32
2019/2/26, 48, 31, 23
2019/2/27, 74, 23, 10
2019/2/28, 60, 15, 18
2019/3/1, 42, 14, 24
2019/3/2, 41, 14, 19
2019/3/3, 41, 14, 31
2019/3/4, 46, 10, 35
2019/3/5, 28, 12, 36
2019/3/6, 32, 18, 33
2019/3/7, 43, 43, 35
2019/3/8, 110, 34, 25
2019/3/9, 90, 16, 31
2019/3/10, 44, 13, 26
2019/3/11, 31, 13, 39
2019/3/12, 36, , 43
2019/3/14, 38, 12, 32
2019/3/15, 25, 9, 35
2019/3/16, 23, 9, 40
2019/3/17, 23, 12, 39
2019/3/18, 30, 18, 42
2019/3/19, 50, 29, 47
2019/3/20, 74, 29, 40
2019/3/21, 70, 16, 42
2019/3/22, 47, 19, 47
2019/3/23, 46, 35, 49
2019/3/24, 83, 30, 32
2019/3/25, 73, 17, 31
2019/3/26, 51, 17, 39
2019/3/27, 47, 23, 45
2019/3/28, 57, 33, 44
2019/3/29, 73, 33, 40
2019/3/30, 69, 10, 34
2019/3/31, 22, 12, 40
2018/10/1, 40, 18, 40
2018/10/2, 46, 21, 38
2018/10/3, 54, 22, 35
2018/10/4, 58, 18, 37
2018/10/5, 52, 21, 41
2018/10/6, 59, 18, 28
2018/10/7, 54, 16, 24
2018/10/8, 43, 15, 23
2018/10/9, 31, 9, 13
2018/10/10, 21, 9, 28
2018/10/11, 21, 10, 28
2018/10/12, 28, 10, 31
2018/10/13, 24, 15, 30
2018/10/14, 42, 18, 24
2018/10/15, 49, 18, 23
2018/10/16, 50, 9, 22
2018/10/17, 19, 13, 30
2018/10/18, 26, 20, 29
2018/10/19, 42, 20, 23
2018/10/20, 49, 15, 29
2018/10/21, 20, 18, 26
2018/10/22, 30, 15, 31
2018/10/23, 34, 20, 35
2018/10/24, 42, 21, 24
2018/10/25, 48, 7, 19
2018/10/26, 15, 9, 21
2018/10/27, 24, 15, 29
2018/10/28, 44, 12, 29
2018/10/29, 25, 14, 27
2018/10/30, 34, 25, 33
2018/10/31, 63, 13, 24
2018/11/1, 31, 11, 18
2018/11/2, 27, 14, 25
2018/11/3, 39, 13, 24
2018/11/4, 40, 13, 13
2018/11/5, 40, 13, 17
2018/11/6, 28, 21, 19
2018/11/7, 47, , 18
2018/11/22, 51, 18, 
2018/11/23, 58, 11, 
2018/11/24, 33, 15, 
2018/11/25, 52, 12, 
2018/11/26, 33, 11, 
2018/11/27, 35, 14, 
2018/11/28, 43, 25, 
2018/11/29, 62, 21, 
2018/11/30, 53, 14, 
2018/12/1, 40, 27, 
2018/12/2, 47, 22, 
2018/12/3, 41, 9, 
2018/12/4, 25, 9, 
2018/12/5, 29, 14, 
2018/12/6, 41, 26, 
2018/12/7, 69, 30, 
2018/12/8, 78, , 
2018/12/10, 19, 13, 
2018/12/11, 41, 21, 
2018/12/12, 55, 27, 
2018/12/13, 67, 10, 
2018/12/14, 29, 11, 
2018/12/15, 34, 8, 
2018/12/16, 24, 9, 
2018/12/17, 23, 14, 
2018/12/18, 32, 23, 
2018/12/19, 60, 14, 
2018/12/20, 41, 7, 
2018/12/21, 17, 12, 
2018/12/22, 40, 23, 
2018/12/23, 58, 11, 
2018/12/24, 34, 25, 
2018/12/25, 68, 24, 
2018/12/26, 66, 15, 
2018/12/27, 43, 10, 
2018/12/28, 21, 14, 
2018/12/29, 40, 12, 
2018/12/30, 36, , 
2018/7/1, 28, , 26
2018/7/2, 26, , 27
2018/7/3, 32, , 31
2018/7/4, 52, , 20
2018/7/5, 37, , 29
2018/7/6, 32, , 31
2018/7/7, 34, , 38
2018/7/8, 36, , 47
2018/7/9, 36, , 41
2018/7/10, 46, , 54
2018/7/11, 52, , 42
2018/7/12, 56, , 39
2018/7/13, 52, , 31
2018/7/14, 50, , 30
2018/7/15, 48, , 36
2018/7/16, 37, , 45
2018/7/17, 41, , 41
2018/7/18, 40, , 35
2018/7/19, 46, , 37
2018/7/20, 44, , 40
2018/7/21, 35, , 37
2018/7/22, 41, , 35
2018/7/23, 38, , 36
