date, pm25, so2
2020/1/2, 17, 1
2020/1/3, 15, 1
2020/1/4, 18, 1
2020/1/5, 20, 1
2020/1/6, 24, 2
2020/1/7, 26, 1
2020/1/8, 22, 1
2020/1/15, 20, 
2019/10/1, 12, 4
2019/10/2, 18, 4
2019/10/3, 18, 4
2019/10/4, 17, 4
2019/10/5, 14, 4
2019/10/6, 16, 4
2019/10/7, 17, 4
2019/10/8, 16, 4
2019/10/9, 14, 4
2019/10/10, 12, 4
2019/10/11, 21, 4
2019/10/12, 20, 4
2019/10/13, 18, 4
2019/10/14, 19, 4
2019/10/15, 16, 4
2019/10/16, 19, 4
2019/10/17, 17, 4
2019/10/18, 19, 4
2019/10/19, 17, 4
2019/10/20, 16, 4
2019/10/21, 22, 5
2019/10/22, 18, 4
2019/10/23, 22, 4
2019/10/24, 14, 5
2019/10/25, 17, 4
2019/10/26, 12, 4
2019/10/27, 15, 4
2019/10/28, 17, 4
2019/10/29, 14, 4
2019/10/30, 15, 4
2019/10/31, 15, 4
2019/11/1, 18, 5
2019/11/2, 19, 4
2019/11/3, 18, 4
2019/11/4, 17, 4
2019/11/5, 10, 2
2019/11/7, 17, 2
2019/11/8, 14, 2
2019/11/9, 15, 1
2019/11/10, 16, 1
2019/11/11, 13, 1
2019/11/12, 16, 1
2019/11/13, 16, 1
2019/11/14, 17, 2
2019/11/15, 15, 1
2019/11/16, 18, 2
2019/11/17, 13, 1
2019/11/18, 14, 1
2019/11/19, 16, 1
2019/11/20, 15, 1
2019/11/21, 19, 1
2019/11/22, 17, 1
2019/11/23, 18, 1
2019/11/24, 16, 1
2019/11/25, 19, 1
2019/11/26, 22, 1
2019/11/27, 17, 1
2019/11/28, 18, 3
2019/11/29, 20, 1
2019/11/30, 16, 1
2019/12/1, 10, 1
2019/12/2, 18, 1
2019/12/3, 17, 1
2019/12/4, 12, 1
2019/12/5, 12, 1
2019/12/6, 12, 2
2019/12/7, 14, 3
2019/12/8, 17, 1
2019/12/9, 17, 2
2019/12/10, 12, 2
2019/12/11, 16, 1
2019/12/12, 22, 1
2019/12/13, 21, 1
2019/12/14, 15, 1
2019/12/15, 22, 1
2019/12/16, 19, 1
2019/12/17, 17, 1
2019/12/18, 20, 2
2019/12/19, 23, 1
2019/12/20, 22, 1
2019/12/21, 12, 2
2019/12/22, 16, 
2019/12/23, 12, 2
2019/12/27, 24, 
2019/12/28, 10, 
2019/7/1, 16, 4
2019/7/2, 16, 3
2019/7/3, 16, 3
2019/7/4, 15, 4
2019/7/5, 17, 3
2019/7/6, 19, 3
2019/7/7, 26, 4
2019/7/8, 17, 4
2019/7/9, 18, 3
2019/7/10, 21, 3
2019/7/11, 26, 3
2019/7/12, 22, 3
2019/7/13, 18, 3
2019/7/14, 21, 3
2019/7/15, 14, 3
2019/7/16, 16, 4
2019/7/17, 23, 3
2019/7/18, 24, 3
2019/7/19, 28, 3
2019/7/20, 17, 3
2019/7/21, 24, 3
2019/7/22, 16, 4
2019/7/23, 22, 3
2019/7/24, 23, 3
2019/7/25, 19, 3
2019/7/26, 15, 3
2019/7/27, 19, 3
2019/7/28, 14, 3
2019/7/29, 20, 4
2019/7/30, 21, 3
2019/7/31, 19, 3
2019/8/1, 22, 3
2019/8/2, 21, 3
2019/8/3, 19, 3
2019/8/4, 16, 4
2019/8/5, 21, 4
2019/8/6, 27, 3
2019/8/7, 22, 4
2019/8/8, 16, 4
2019/8/9, 23, 3
2019/8/10, 23, 4
2019/8/11, 24, 5
2019/8/12, 22, 5
2019/8/13, 20, 3
2019/8/14, 16, 3
2019/8/15, 21, 4
2019/8/16, 24, 3
2019/8/17, 21, 3
2019/8/18, 19, 3
2019/8/19, 18, 3
2019/8/20, 17, 3
2019/8/21, 15, 3
2019/8/22, 20, 4
2019/8/23, 20, 4
2019/8/24, 24, 3
2019/8/25, 17, 4
2019/8/26, 17, 4
2019/8/27, 15, 5
2019/8/28, 16, 3
2019/8/29, 17, 4
2019/8/30, 16, 4
2019/8/31, 16, 4
2019/9/1, 19, 
2019/9/2, 20, 5
2019/9/3, 19, 3
2019/9/4, 19, 4
2019/9/5, 22, 4
2019/9/6, 18, 4
2019/9/7, 23, 4
2019/9/8, 26, 4
2019/9/9, 19, 4
2019/9/10, 18, 4
2019/9/11, 17, 4
2019/9/12, 17, 4
2019/9/13, 14, 4
2019/9/14, 20, 4
2019/9/15, 17, 4
2019/9/16, 16, 4
2019/9/17, 19, 4
2019/9/18, 18, 4
2019/9/19, 15, 4
2019/9/20, 19, 4
2019/9/21, 17, 4
2019/9/22, 16, 4
2019/9/23, 14, 4
2019/9/24, 17, 4
2019/9/25, 15, 4
2019/9/26, 19, 4
2019/9/27, 15, 4
2019/9/28, 15, 4
2019/9/29, 18, 4
2019/9/30, 18, 4
2019/4/1, 19, 2
2019/4/2, 18, 1
2019/4/3, 20, 3
2019/4/4, 22, 3
2019/4/5, 23, 3
2019/4/6, 21, 2
2019/4/7, 20, 2
2019/4/8, 18, 2
2019/4/9, 19, 2
2019/4/10, 20, 1
2019/4/11, 18, 1
2019/4/12, 24, 1
2019/4/13, 16, 1
2019/4/14, 18, 1
2019/4/15, 17, 3
2019/4/16, 16, 2
2019/4/17, 17, 2
2019/4/18, 17, 2
