date, pm25, o3, no2, co
2018/10/1, 14, 19, 1, 
2018/10/2, 13, 19, 1, 
2018/10/3, 9, , , 
2018/7/19, 33, 31, 1, 
2018/7/20, 39, 29, 1, 
2018/7/21, 44, , , 
2018/8/17, 17, 20, 1, 
2018/8/18, 14, 6, 1, 
2018/8/19, 23, 20, 1, 
2018/8/20, 21, 26, 1, 
2018/8/21, 20, 19, 1, 
2018/8/22, 17, 24, 2, 
2018/8/23, 18, 17, 2, 
2018/8/24, 36, 34, 2, 
2018/8/25, 51, 31, 1, 
2018/8/26, 28, 29, 2, 
2018/8/27, 28, 29, 2, 
2018/8/28, 39, 30, 1, 
2018/8/29, 24, 25, 1, 
2018/8/30, 19, 24, 2, 
2018/8/31, 25, 26, 1, 
2018/9/1, 22, 24, 1, 
2018/9/2, 23, 25, 1, 
2018/9/3, 21, 22, 2, 
2018/9/4, 18, 23, 1, 
2018/9/5, 16, 25, 1, 
2018/9/6, 17, 23, 3, 
2018/9/7, 16, 21, 2, 
2018/9/8, 14, 18, 2, 
2018/9/9, 11, 22, 2, 
2018/9/10, 11, 20, 2, 
2018/9/11, 10, 18, 1, 
2018/9/12, 14, 21, 2, 
2018/9/13, 16, 23, 2, 
2018/9/14, 20, 27, 2, 
2018/9/15, 23, 28, 3, 
2018/9/16, 20, 26, 2, 
2018/9/17, 18, 20, 2, 
2018/9/18, 19, 21, 1, 
2018/9/19, 8, 21, 1, 
2018/9/20, 8, 23, 1, 
2018/9/21, 9, 27, 2, 
2018/9/22, 12, 24, 1, 
2018/9/23, 9, 23, 3, 
2018/9/24, 12, 25, 1, 
2018/9/25, 10, 26, 1, 
2018/9/26, 8, 24, 2, 
2018/9/27, 11, 15, 1, 
2018/9/28, 9, 24, 2, 
2018/9/29, 18, 22, 1, 
2018/9/30, 12, 21, 3, 
2018/4/1, 20, 38, 4, 
2018/4/2, 23, 39, 4, 
2018/4/3, 28, 35, 1, 
2018/4/4, 22, 35, 1, 
2018/4/5, 15, 38, 1, 
2018/4/6, 22, 44, 1, 
2018/4/7, 19, 39, 3, 
2018/4/8, 14, 35, , 
2018/4/9, 17, 35, 3, 
2018/4/10, 10, 39, 3, 
2018/4/11, 15, 43, 2, 
2018/4/12, 22, 42, 3, 
2018/4/13, 18, 40, 3, 
2018/4/14, 18, 35, 2, 
2018/4/15, 12, 34, 1, 
2018/4/16, 18, 35, 1, 
2018/4/17, 13, 30, 1, 
2018/4/18, 16, 31, 2, 
2018/4/19, 14, 35, 1, 
2018/4/20, 13, 42, 2, 
2018/4/21, 19, 45, 1, 
2018/4/22, 17, 44, 2, 
2018/4/23, 23, 49, 5, 
2018/4/24, 30, 42, 2, 
2018/4/25, 27, 41, 1, 
2018/4/26, 14, 37, 1, 
2018/4/27, 17, 36, 1, 
2018/4/28, 26, 29, 1, 
2018/4/29, 20, 26, 1, 
2018/4/30, 12, 31, 4, 
2018/5/1, 16, 49, 2, 
2018/5/2, 34, 30, 1, 
