date, pm10, no2
2020/1/2, 45, 21
2020/1/3, 35, 8
2020/1/4, 11, 22
2020/1/5, 28, 29
2020/1/6, 38, 24
2020/1/7, 39, 31
2020/1/8, 41, 33
2020/1/9, 38, 23
2020/1/10, 25, 24
2020/1/11, 35, 24
2020/1/12, 28, 28
2020/1/13, 36, 25
2020/1/14, 35, 23
2020/1/15, 30, 18
2020/1/16, 23, 
2019/10/1, 37, 9
2019/10/2, 15, 9
2019/10/3, 15, 19
2019/10/4, 27, 8
2019/10/5, 16, 8
2019/10/6, 8, 9
2019/10/7, 19, 25
2019/10/8, 30, 23
2019/10/9, 34, 9
2019/10/10, 19, 26
2019/10/11, 37, 25
2019/10/12, 37, 18
2019/10/13, 30, 15
2019/10/14, 40, 8
2019/10/15, 24, 20
2019/10/16, 29, 20
2019/10/17, 35, 22
2019/10/18, 36, 11
2019/10/19, 36, 8
2019/10/20, 32, 24
2019/10/21, 20, 17
2019/10/22, 28, 12
2019/10/23, 31, 18
2019/10/24, 30, 22
2019/10/25, 32, 19
2019/10/26, 32, 23
2019/10/27, 40, 24
2019/10/28, 44, 20
2019/10/29, 42, 22
2019/10/30, 44, 20
2019/10/31, 41, 19
2019/11/1, 31, 16
2019/11/2, 22, 7
2019/11/3, 21, 18
2019/11/4, 26, 11
2019/11/5, 14, 15
2019/11/6, 17, 25
2019/11/7, 33, 16
2019/11/8, 18, 16
2019/11/9, 21, 19
2019/11/10, 24, 
2019/11/12, 16, 12
2019/11/13, 17, 23
2019/11/14, 19, 24
2019/11/15, 25, 23
2019/11/16, 28, 16
2019/11/17, 22, 24
2019/11/18, 28, 20
2019/11/19, 29, 25
2019/11/20, 38, 25
2019/11/21, 20, 20
2019/11/22, 23, 13
2019/11/23, 23, 15
2019/11/24, 13, 17
2019/11/25, 29, 28
2019/11/26, 51, 17
2019/11/27, 25, 18
2019/11/28, 27, 20
2019/11/29, 26, 19
2019/11/30, 27, 13
2019/12/1, 20, 19
2019/12/2, 22, 
2019/12/4, 45, 35
2019/12/5, 53, 29
2019/12/6, 43, 25
2019/12/7, 40, 23
2019/12/8, 35, 12
2019/12/9, 22, 15
2019/12/10, 24, 27
2019/12/11, 35, 20
2019/12/12, 21, 14
2019/12/13, 14, 23
2019/12/14, 28, 20
2019/12/15, 34, 11
2019/12/16, 30, 12
2019/12/17, 44, 20
2019/12/18, 45, 19
2019/12/19, 30, 17
2019/12/20, 33, 15
2019/12/21, 20, 5
2019/12/22, 14, 11
2019/12/23, 12, 14
2019/12/24, 16, 8
2019/12/25, 12, 18
2019/12/26, 23, 10
2019/12/27, 12, 27
2019/12/28, 28, 
2019/7/1, 42, 14
2019/7/2, 37, 17
2019/7/3, 38, 22
2019/7/4, 33, 18
2019/7/5, 35, 20
2019/7/6, 39, 13
2019/7/7, 44, 19
2019/7/8, 45, 26
2019/7/9, 40, 13
2019/7/10, 28, 16
2019/7/11, 33, 19
2019/7/12, 34, 10
2019/7/13, 34, 11
2019/7/14, 22, 14
2019/7/15, 32, 18
2019/7/16, 33, 28
2019/7/17, 39, 20
2019/7/18, 39, 21
2019/7/19, 38, 20
2019/7/20, 36, 16
2019/7/21, 31, 28
2019/7/22, 34, 18
2019/7/23, 33, 25
2019/7/24, 42, 24
2019/7/25, 35, 18
2019/7/26, 31, 12
2019/7/27, 26, 4
2019/7/28, 16, 6
2019/7/29, 18, 19
2019/7/30, 32, 19
2019/7/31, 27, 27
2019/8/1, 43, 15
2019/8/2, 34, 10
2019/8/3, 20, 22
2019/8/4, 28, 27
2019/8/5, 39, 27
2019/8/6, 39, 19
2019/8/7, 39, 17
2019/8/8, 30, 25
2019/8/9, 43, 10
2019/8/10, 31, 16
2019/8/11, 36, 12
2019/8/12, 26, 5
2019/8/13, 28, 9
2019/8/14, 19, 13
2019/8/15, 22, 11
2019/8/16, 18, 17
2019/8/17, 28, 16
2019/8/18, 26, 14
2019/8/19, 24, 16
2019/8/20, 27, 19
2019/8/21, 30, 28
2019/8/22, 38, 27
2019/8/23, 31, 15
2019/8/24, 26, 17
2019/8/25, 27, 23
2019/8/26, 34, 26
2019/8/27, 41, 29
2019/8/28, 74, 18
2019/8/29, 39, 27
2019/8/30, 40, 18
2019/8/31, 24, 19
2019/9/1, 23, 9
2019/9/2, 30, 20
2019/9/3, 35, 28
2019/9/4, 38, 14
2019/9/5, 48, 9
2019/9/6, 22, 8
2019/9/7, 15, 6
2019/9/8, 11, 10
2019/9/9, 14, 24
2019/9/10, 22, 26
2019/9/11, 32, 31
2019/9/12, 37, 30
2019/9/13, 38, 26
2019/9/14, 34, 24
2019/9/15, 31, 24
2019/9/16, 35, 24
2019/9/17, 38, 23
2019/9/18, 44, 21
2019/9/19, 41, 26
2019/9/20, 47, 17
2019/9/21, 28, 18
2019/9/22, 28, 11
2019/9/23, 14, 17
2019/9/24, 23, 11
2019/9/25, 17, 10
2019/9/26, 17, 20
2019/9/27, 35, 16
2019/9/28, 23, 18
2019/9/29, 28, 14
2019/9/30, 23, 24
2019/4/1, 35, 25
2019/4/2, 34, 26
2019/4/3, 24, 9
2019/4/4, 11, 28
2019/4/5, 26, 19
2019/4/6, 18, 13
2019/4/7, 14, 18
2019/4/8, 19, 23
2019/4/9, 31, 22
2019/4/10, 26, 25
2019/4/11, 24, 23
2019/4/12, 40, 15
2019/4/13, 26, 7
2019/4/14, 20, 24
2019/4/15, 31, 23
2019/4/16, 24, 28
2019/4/17, 34, 30
2019/4/18, 37, 22
2019/4/19, 37, 21
2019/4/20, 31, 16
2019/4/21, 28, 
2019/4/22, 69, 29
2019/4/23, 34, 16
2019/4/24, 48, 17
2019/4/25, 47, 13
2019/4/26, 46, 7
2019/4/27, 16, 4
2019/4/28, 21, 8
2019/4/29, 18, 18
2019/4/30, 27, 17
2019/5/1, 30, 16
2019/5/2, 34, 9
2019/5/3, 23, 
2019/5/4, 19, 3
2019/5/5, 44, 7
2019/5/6, 16, 24
2019/5/7, 31, 10
2019/5/8, 27, 9
2019/5/9, 19, 17
2019/5/10, 29, 15
2019/5/11, 22, 3
2019/5/12, 19, 13
2019/5/13, 21, 24
2019/5/14, 28, 19
2019/5/15, 29, 21
2019/5/16, 34, 31
2019/5/17, 36, 10
2019/5/18, 18, 10
2019/5/19, 13, 9
2019/5/20, 18, 7
2019/5/21, 20, 14
2019/5/22, 28, 19
2019/5/23, 32, 29
2019/5/24, 36, 14
2019/5/25, 31, 19
2019/5/26, 27, 22
2019/5/27, 31, 5
2019/5/28, 23, 5
2019/5/29, 25, 12
2019/5/30, 17, 27
2019/5/31, 28, 16
2019/6/1, 26, 14
2019/6/2, 22, 29
2019/6/3, 30, 34
2019/6/4, 27, 31
2019/6/5, 37, 11
2019/6/6, 17, 25
2019/6/7, 38, 12
2019/6/8, 22, 19
2019/6/9, 29, 14
2019/6/10, 36, 16
2019/6/11, 19, 8
2019/6/12, 15, 23
2019/6/13, 29, 29
2019/6/14, 56, 15
2019/6/15, 40, 7
2019/6/16, 16, 16
2019/6/17, 32, 23
2019/6/18, 46, 31
2019/6/20, 31, 20
2019/6/21, 36, 13
2019/6/22, 24, 12
2019/6/23, 22, 31
2019/6/24, 35, 48
2019/6/25, 45, 45
2019/6/26, 41, 28
2019/6/27, 40, 31
2019/6/28, 49, 25
2019/6/29, 50, 19
2019/6/30, 44, 27
2019/1/1, 26, 8
2019/1/2, 15, 30
2019/1/3, 40, 30
2019/1/4, 44, 16
2019/1/5, 24, 9
2019/1/6, 12, 27
2019/1/7, 40, 14
2019/1/8, 24, 7
2019/1/9, 19, 17
2019/1/10, 16, 26
2019/1/11, 34, 18
2019/1/12, 25, 5
2019/1/13, 9, 7
2019/1/14, 15, 26
2019/1/15, 32, 31
2019/1/16, 46, 21
2019/1/17, 31, 14
2019/1/18, 17, 31
2019/1/19, 42, 21
2019/1/20, 27, 24
2019/1/21, 37, 18
2019/1/22, 30, 21
2019/1/23, 27, 11
2019/1/24, 17, 13
2019/1/25, 23, 12
2019/1/26, 15, 18
2019/1/27, 26, 9
2019/1/28, 17, 15
2019/1/29, 32, 17
2019/1/30, 18, 33
2019/1/31, 60, 20
2019/2/1, 40, 16
2019/2/2, 26, 5
2019/2/3, 8, 26
2019/2/4, 31, 32
2019/2/5, 47, 41
2019/2/6, 57, 33
2019/2/7, 43, 25
2019/2/8, 34, 27
2019/2/9, 46, 16
2019/2/10, 39, 8
2019/2/11, 15, 16
2019/2/12, 19, 40
2019/2/13, 53, 34
2019/2/14, 46, 40
2019/2/15, 56, 34
2019/2/16, 45, 25
2019/2/17, 36, 31
2019/2/18, 42, 25
2019/2/19, 34, 25
2019/2/20, 36, 27
2019/2/21, 43, 38
2019/2/22, 58, 30
2019/2/23, 48, 22
2019/2/24, 46, 30
2019/2/25, 51, 44
2019/2/26, 51, 36
2019/2/27, 58, 23
2019/2/28, 53, 9
2019/3/1, 21, 7
2019/3/2, 15, 17
2019/3/3, 23, 18
2019/3/4, 40, 14
2019/3/5, 23, 19
2019/3/6, 44, 10
2019/3/7, 28, 24
2019/3/8, 37, 12
2019/3/9, 18, 12
2019/3/10, 21, 5
2019/3/11, 25, 20
2019/3/12, 24, 13
2019/3/13, 25, 6
2019/3/14, 17, 6
2019/3/15, 14, 12
2019/3/16, 18, 12
2019/3/17, 26, 6
2019/3/18, 23, 19
2019/3/19, 21, 26
2019/3/20, 31, 28
2019/3/21, 36, 36
2019/3/22, 41, 30
2019/3/23, 38, 26
2019/3/24, 29, 14
2019/3/25, 67, 15
2019/3/26, 24, 35
2019/3/27, 36, 32
2019/3/28, 37, 34
2019/3/29, 40, 26
2019/3/30, 28, 19
2019/3/31, 28, 29
2018/10/1, 52, 5
2018/10/2, 16, 34
2018/10/3, 35, 34
