date, pm25, pm10, o3, so2, co
2020/1/2, 22, 7, 24, 1, 2
2020/1/3, 26, 4, 24, , 1
2020/1/4, 15, 2, 32, , 1
2020/1/5, 6, 3, 30, , 1
2020/1/6, 13, 3, 32, , 1
2020/1/7, 12, 5, 29, , 1
2020/1/8, 19, 2, 30, , 1
2020/1/9, 12, 5, 27, , 1
2020/1/10, 13, 5, 30, , 1
2020/1/11, 16, 3, 28, , 1
2020/1/12, 21, 2, 23, , 1
2020/1/13, 11, 3, 19, , 1
2020/1/14, 11, 3, 24, , 1
2020/1/15, 18, 4, 24, , 1
2020/1/16, 11, , , , 
2019/10/1, 11, 3, 23, 1, 1
2019/10/2, 7, 4, 21, , 1
2019/10/3, 11, 3, 25, , 1
2019/10/4, 9, 3, 25, , 1
2019/10/5, 8, 4, 28, , 1
2019/10/6, 10, 3, 28, , 1
2019/10/7, 9, 4, 24, 1, 1
2019/10/8, 11, 6, 19, , 1
2019/10/9, 11, 5, 25, , 1
2019/10/10, 11, 6, 23, 1, 1
2019/10/11, 12, 3, 20, , 1
2019/10/12, 9, 3, 29, , 1
2019/10/13, 10, 5, 34, 1, 1
2019/10/14, 16, 4, 25, , 1
2019/10/15, 10, 6, 28, 1, 1
2019/10/16, 11, 2, 28, 1, 1
2019/10/17, 8, 3, 20, 1, 1
2019/10/18, 6, 3, 25, , 1
2019/10/19, 7, 5, 28, 1, 1
2019/10/20, 14, 6, 33, 1, 
2019/10/21, 16, 5, 30, , 
2019/10/22, 15, 3, 28, , 
2019/10/23, 11, 6, 32, 1, 
2019/10/24, 16, 9, 25, 1, 
2019/10/25, 19, 4, 25, , 
2019/10/26, 11, 3, 27, , 
2019/10/27, 8, 1, 26, , 
2019/10/28, 5, 2, 25, , 2
2019/10/29, 7, 1, 25, , 1
2019/10/30, 5, 2, 30, 1, 
2019/10/31, 5, 4, 28, 1, 1
2019/11/1, 9, 3, 26, , 1
2019/11/2, 8, 4, 25, 1, 1
2019/11/3, 15, 4, 27, , 1
2019/11/4, 11, 4, 29, 1, 3
2019/11/5, 10, 5, 29, , 1
2019/11/6, 11, 7, 27, 1, 
2019/11/7, 23, 5, 24, , 
2019/11/8, 11, 3, 22, , 
2019/11/9, 7, 6, 25, 1, 1
2019/11/10, 23, 9, 21, 1, 1
2019/11/11, 25, 3, 27, , 1
2019/11/12, 8, 3, 27, , 1
2019/11/13, 9, 6, 26, , 1
2019/11/14, 19, 10, 28, 1, 1
2019/11/15, 29, 4, 30, , 1
2019/11/16, 10, 4, 29, , 1
2019/11/17, 9, 2, 28, , 1
2019/11/18, 9, 1, 28, 1, 1
2019/11/19, 6, 2, 24, 1, 1
2019/11/20, 10, 3, 27, 1, 1
2019/11/21, 12, 8, 20, 1, 1
2019/11/22, 27, 2, 29, , 1
2019/11/23, 10, 3, 31, 1, 1
2019/11/24, 12, 8, 26, 1, 1
2019/11/25, 33, 10, 24, 1, 1
2019/11/26, 32, 9, 27, 1, 1
2019/11/27, 34, 2, 24, , 1
2019/11/28, 7, 2, 25, , 1
2019/11/29, 9, 4, 31, , 1
2019/11/30, 14, 4, 31, , 1
2019/12/1, 11, 2, 33, 1, 1
2019/12/2, 7, 2, 33, 1, 1
2019/12/3, 9, 3, 31, 1, 1
2019/12/4, 17, 3, 24, 1, 1
2019/12/5, 18, 4, 22, 1, 1
2019/12/6, 12, 2, 27, , 1
2019/12/7, 12, 3, 32, 1, 1
2019/12/8, 11, 2, 33, , 1
2019/12/9, 9, 2, 23, , 1
2019/12/10, 9, 2, 28, , 1
2019/12/11, 10, 5, 28, , 1
2019/12/12, 14, 3, 27, , 1
2019/12/13, 11, 1, 31, 1, 1
2019/12/14, 7, 3, 27, 1, 1
2019/12/15, 14, 4, 31, , 1
2019/12/16, 11, 2, 32, 1, 1
2019/12/17, 10, 3, 29, 1, 1
2019/12/18, 13, 4, 30, 1, 1
2019/12/19, 17, 3, 30, , 
2019/12/20, 15, 2, 32, , 1
2019/12/21, 14, 10, 30, 1, 2
2019/12/22, 41, 8, 34, , 1
2019/12/23, 31, 5, 32, , 1
2019/12/24, 20, 5, 32, , 1
2019/12/25, 17, 7, 29, , 1
2019/12/26, 23, 2, 29, , 1
2019/12/27, 9, 5, 25, , 1
2019/12/28, 15, , , , 
2019/7/1, 17, 6, 27, 1, 1
2019/7/2, 18, 14, 34, 1, 1
2019/7/3, 46, 11, 35, 1, 1
2019/7/4, 39, 12, 38, 1, 1
2019/7/5, 40, 5, 33, 1, 1
2019/7/6, 16, 8, 23, 1, 1
2019/7/7, 21, 3, 32, 1, 1
2019/7/8, 12, 9, 34, 1, 1
2019/7/9, 16, 11, 34, 1, 1
2019/7/10, 33, 14, 48, 1, 2
2019/7/11, 40, 6, 26, 1, 1
2019/7/12, 13, 8, 27, 1, 1
2019/7/13, 20, 9, 29, 1, 1
2019/7/14, 20, 4, 21, 1, 1
2019/7/15, 12, 7, 34, 1, 1
2019/7/16, 18, 7, 42, 1, 1
2019/7/17, 23, 6, 24, 1, 1
2019/7/18, 15, 7, 29, 1, 1
2019/7/19, 17, 9, 30, 1, 1
2019/7/20, 25, 5, 33, 1, 1
2019/7/21, 11, 6, 28, 1, 1
2019/7/22, 14, 4, 28, 1, 1
2019/7/23, 13, 6, 25, 1, 1
2019/7/24, 15, 6, 26, 1, 1
2019/7/25, 21, 8, 34, 1, 1
2019/7/26, 18, 9, 32, 1, 1
2019/7/27, 24, 8, 39, 1, 1
2019/7/28, 26, 10, 35, 1, 1
2019/7/29, 30, 14, 44, 1, 2
2019/7/30, 41, 9, 36, 1, 2
2019/7/31, 31, 6, 28, 1, 1
2019/8/1, 13, 7, 35, 1, 1
2019/8/2, 15, 8, 37, 1, 1
2019/8/3, 23, 7, 30, 1, 1
2019/8/4, 16, 4, 32, 1, 1
2019/8/5, 10, 10, 42, 1, 2
2019/8/6, 22, 7, 39, 1, 3
2019/8/7, 21, 4, 36, 1, 3
2019/8/8, 13, 3, 26, 1, 2
2019/8/9, 7, 3, 21, 1, 1
2019/8/10, 10, 3, 19, 1, 
2019/8/11, 11, 6, 30, 1, 
2019/8/12, 18, 10, 33, 1, 
2019/8/13, 29, 8, 27, 1, 
2019/8/14, 19, 10, 35, 1, 1
2019/8/15, 28, 7, 39, 1, 1
2019/8/16, 20, 4, 30, 1, 1
2019/8/17, 14, 6, 35, 1, 1
2019/8/18, 18, 5, 33, 1, 1
2019/8/19, 15, 6, 32, 1, 1
2019/8/20, 12, 7, 40, 1, 1
2019/8/21, 15, 6, 31, , 1
2019/8/22, 15, 5, 20, , 1
2019/8/23, 13, 4, 16, , 1
2019/8/24, 10, 4, 28, , 1
2019/8/25, 9, 5, 32, , 1
2019/8/26, 16, 7, 31, , 1
2019/8/27, 16, 7, 30, 1, 1
2019/8/28, 14, 6, 30, , 1
2019/8/29, 12, 7, 32, 1, 1
2019/8/30, 9, 4, 28, , 1
2019/8/31, 9, 4, 19, , 1
2019/9/1, 9, 3, 21, , 1
2019/9/2, 10, 5, 25, , 1
2019/9/3, 12, 6, 33, , 1
2019/9/4, 18, 3, 24, , 1
2019/9/5, 12, 6, 26, 1, 1
2019/9/6, 12, 5, 23, 1, 1
2019/9/7, 12, 3, 19, , 1
2019/9/8, 12, 4, 19, , 1
2019/9/9, 9, 5, 23, , 1
2019/9/10, 12, 6, 33, , 1
2019/9/11, 24, 5, 23, , 1
2019/9/12, 16, 5, 25, , 1
2019/9/13, 12, 4, 23, , 1
2019/9/14, 9, 4, 28, , 1
2019/9/15, 13, 4, 26, , 1
2019/9/16, 10, 5, 24, 1, 1
2019/9/17, 7, 5, 25, , 1
2019/9/18, 10, 4, 28, , 1
2019/9/19, 9, 6, 31, , 1
2019/9/20, 12, 9, 37, , 1
2019/9/21, 21, 11, 49, 1, 2
2019/9/22, 27, 14, 50, 1, 2
2019/9/23, 37, 3, 24, 1, 1
2019/9/24, 7, 3, 22, 1, 1
2019/9/25, 10, 7, 39, 1, 1
2019/9/26, 19, 4, 28, , 1
2019/9/27, 10, 7, 42, 1, 1
2019/9/28, 16, 4, 27, , 1
2019/9/29, 14, 6, 25, , 1
2019/9/30, 14, 3, 24, 1, 1
2019/4/1, 12, 3, 39, 1, 1
2019/4/2, 12, 8, 41, 1, 1
2019/4/3, 38, 3, 37, 1, 1
2019/4/4, 17, 3, 36, 1, 1
2019/4/5, 12, 3, 36, 1, 1
2019/4/6, 13, 4, 39, 1, 1
2019/4/7, 17, 4, 36, 1, 1
2019/4/8, 11, 1, 33, 1, 1
2019/4/9, 10, 2, 29, 1, 1
2019/4/10, 8, 3, 37, 1, 1
2019/4/11, 14, 6, 38, 1, 1
2019/4/12, 17, 5, 37, 1, 1
