date, pm10, o3, no2, so2
2020/1/7, 19, 28, 5, 
2020/1/8, 17, 32, 7, 
2020/1/9, 18, 27, 4, 
2020/1/10, 203, 29, 3, 
2020/1/14, 18, 29, 7, 
2020/1/15, 18, 7, 4, 
2020/1/16, 19, , , 
2019/10/1, 23, 31, 4, 
2019/10/2, 24, 29, 4, 
2019/10/3, 17, 35, 8, 
2019/10/4, 14, 40, 6, 
2019/10/5, 18, 40, 4, 
2019/10/6, 20, 31, 4, 
2019/10/7, 17, 31, 6, 
2019/10/8, 20, 35, 5, 
2019/10/9, 16, 33, 6, 
2019/10/10, 15, 30, 6, 
2019/10/11, 17, 36, 1, 
2019/10/12, 18, 37, 2, 
2019/10/13, 22, 37, 6, 
2019/10/14, 27, 33, 5, 
2019/10/15, 22, 34, 7, 
2019/10/16, 12, 40, 6, 
2019/10/17, 13, 37, 7, 
2019/10/18, 20, 38, 4, 
2019/10/19, 22, 30, 3, 
2019/10/20, 21, 24, 7, 
2019/10/21, 12, 28, 3, 
2019/10/22, 11, 32, 4, 
2019/10/23, 6, 29, 5, 
2019/10/24, 5, 30, 6, 
2019/10/25, 7, 31, 7, 
2019/10/26, 7, 34, 4, 
2019/10/27, 10, 35, 5, 
2019/10/28, 12, 35, 5, 12
2019/10/29, 14, , , 
2019/10/31, 20, 26, 4, 
2019/11/1, 13, 27, 1, 
2019/11/2, 13, 31, 2, 
2019/11/3, 14, 33, 2, 
2019/11/4, 13, 32, 1, 
2019/11/5, 13, 28, 5, 
2019/11/6, 9, 31, 3, 
2019/11/7, 12, 30, 2, 
2019/11/8, 11, 30, 2, 
2019/11/9, 11, 30, 3, 
2019/11/10, 11, 30, 5, 
2019/11/11, 11, 31, 4, 
2019/11/12, 14, 27, 2, 
2019/11/13, 14, 30, 3, 
2019/11/14, 10, 31, 5, 
2019/11/15, 8, 30, 3, 
2019/11/16, 10, 31, 2, 
2019/11/17, 11, 27, 2, 
2019/11/18, 8, 26, 6, 
2019/11/19, 8, 25, 10, 
2019/11/20, 13, , , 
2019/11/22, 11, 34, 1, 
2019/11/23, 12, 29, 1, 
2019/11/24, 10, 28, 4, 
2019/11/25, 13, 28, 4, 
2019/11/26, 14, 30, 3, 
2019/11/27, 10, 30, 2, 
2019/11/28, 16, 29, 8, 
2019/11/29, 15, 26, 6, 
2019/11/30, 13, 27, 3, 
2019/12/1, 15, 24, 4, 
2019/12/2, 13, , , 
2019/12/4, 18, 27, 6, 
2019/12/5, 13, 27, 4, 
2019/12/6, 17, 22, 6, 
2019/12/7, 18, 28, 4, 
2019/12/8, 16, 14, 5, 
2019/12/9, 14, 13, 8, 
2019/12/10, 22, 28, 5, 
2019/12/11, 13, 28, 2, 
2019/12/12, 11, 28, 1, 
2019/12/13, 9, , , 
2019/12/17, 93, , , 
2019/12/19, 21, 27, 2, 
2019/12/20, 29, 27, 1, 
2019/12/21, 26, 33, , 
2019/12/22, 21, 30, 5, 
2019/12/23, 17, 27, 8, 
2019/12/24, 14, 23, 8, 
2019/12/25, 15, 20, 8, 
2019/12/26, 15, 24, 8, 
2019/12/27, 22, 25, 4, 
2019/12/28, 13, , , 
2019/7/1, 22, 44, 3, 
2019/7/2, 26, 43, 4, 
2019/7/3, 25, 44, 6, 9
2019/7/4, 63, 35, 4, 
2019/7/5, 66, 30, 7, 
2019/7/6, 43, 36, 6, 
2019/7/7, 55, 38, 8, 
2019/7/8, 54, 49, 10, 
2019/7/9, 41, 46, 8, 
2019/7/10, 22, 41, 13, 
2019/7/11, 17, 30, 9, 
2019/7/12, 9, 44, 9, 
2019/7/13, 9, , , 
2019/7/14, 14, 42, 7, 
2019/7/15, 22, 42, 4, 
2019/7/16, 19, 46, 5, 
2019/7/17, 16, 39, 7, 
2019/7/18, 15, 46, 5, 
2019/7/19, 13, 41, 2, 
2019/7/20, 20, 43, 2, 
2019/7/21, 20, 43, 3, 
2019/7/22, 20, 42, 7, 
2019/7/23, 21, 45, 7, 
2019/7/24, 20, 38, 8, 
2019/7/25, 20, 42, 4, 1
2019/7/26, 21, 42, 4, 
2019/7/27, 31, 32, 3, 
2019/7/28, 25, 33, 6, 
2019/7/29, 15, 30, 4, 
2019/7/30, 34, 36, 3, 
2019/7/31, 25, 37, 2, 
2019/8/1, 34, 42, 2, 
2019/8/2, 36, 49, 4, 
2019/8/3, 22, 45, 4, 
2019/8/4, 17, 39, 3, 
2019/8/5, 20, 32, 8, 
2019/8/6, 37, 46, 10, 
2019/8/7, 45, 35, 15, 
2019/8/8, 39, 38, 7, 
2019/8/9, 30, 35, 7, 
2019/8/10, 32, 28, 7, 
2019/8/11, 31, 27, 4, 
2019/8/12, 27, 33, 4, 
2019/8/13, 20, 33, 10, 
2019/8/14, 18, 33, 6, 
2019/8/15, 16, 34, 6, 
2019/8/16, 16, 27, 5, 
2019/8/17, 15, 27, 5, 
2019/8/18, 17, 43, 4, 
2019/8/19, 23, 33, 2, 
2019/8/20, 31, 40, 2, 
2019/8/21, 19, 42, 2, 
2019/8/22, 15, 45, 3, 
2019/8/23, 16, 39, 4, 
2019/8/24, 18, 23, 5, 
2019/8/25, 18, 42, 3, 
2019/8/26, 18, 34, 7, 
2019/8/27, 18, 41, 7, 
2019/8/28, 51, 38, 9, 
2019/8/29, 49, 41, 9, 
2019/8/30, 27, 41, 9, 
2019/8/31, 19, 36, 8, 
2019/9/1, 18, 35, 6, 
2019/9/2, 17, 32, 8, 
2019/9/3, 14, 33, 7, 
2019/9/4, 14, 35, 5, 
2019/9/5, 14, 29, 5, 
2019/9/6, 20, 38, 6, 
2019/9/7, 16, 36, 6, 
2019/9/8, 16, 34, 7, 
2019/9/9, 14, 35, 3, 
2019/9/10, 18, 38, 3, 
2019/9/11, 16, 43, 2, 
2019/9/12, 15, 38, 2, 
2019/9/13, 21, 40, 2, 
2019/9/14, 23, 36, 2, 
2019/9/15, 36, 37, 2, 
2019/9/16, 37, 34, 6, 
2019/9/17, 27, 34, 8, 
2019/9/18, 25, 32, 4, 
2019/9/19, 26, 32, 4, 
2019/9/20, 27, 31, 3, 
2019/9/21, 30, 31, 4, 
