date, pm10, no2, so2
2019/4/15, 10, 7, 
2019/4/16, 11, 6, 1
2019/4/17, 15, 13, 1
2019/4/18, 17, 8, 1
2019/4/19, 22, 10, 1
2019/4/20, 16, 11, 1
2019/4/21, 39, 5, 
2019/4/22, 20, 3, 
2019/4/23, 15, 3, 
2019/4/24, 27, 4, 1
2019/4/25, 16, 5, 
2019/4/26, 9, 4, 
2019/4/27, 18, 4, 
2019/4/28, 8, 5, 
2019/4/29, 8, 5, 
2019/4/30, 13, 2, 
2019/5/1, 13, 3, 
2019/5/2, 10, 2, 
2019/5/3, 7, 2, 
2019/5/4, 6, 8, 
2019/5/5, 12, 3, 
2019/5/6, 11, 3, 
2019/5/7, 7, 7, 
2019/5/8, 13, 3, 
2019/5/9, 12, 5, 
2019/5/10, 8, 7, 
2019/5/11, 10, 2, 
2019/5/12, 9, 4, 
2019/5/13, 10, 5, 1
2019/5/14, 8, 10, 1
2019/5/15, 11, 5, 
2019/5/16, 7, 4, 
2019/5/17, 11, 6, 
2019/5/18, 15, 5, 
2019/5/19, 19, 5, 
2019/5/20, 13, 5, 
2019/5/21, 13, 3, 
2019/5/22, 12, 4, 1
2019/5/23, 6, 4, 1
2019/5/24, 12, 2, 
2019/5/25, 8, 3, 1
2019/5/26, 7, 2, 
2019/5/27, 7, 3, 1
2019/5/28, 7, 4, 1
2019/5/29, 7, 3, 1
2019/5/30, 9, 3, 1
2019/5/31, 14, 3, 1
2019/6/1, 12, 3, 1
2019/6/2, 9, 5, 1
2019/6/3, 10, 7, 
2019/6/4, 12, 7, 1
2019/6/5, 13, 5, 1
2019/6/6, 15, 5, 
2019/6/7, 8, 2, 1
2019/6/8, 9, 2, 1
2019/6/9, 9, 3, 
2019/6/10, 10, 5, 1
2019/6/11, 17, 4, 
2019/6/12, 16, 3, 1
2019/6/13, 9, 5, 1
2019/6/14, 6, 5, 
2019/6/15, 15, 2, 1
2019/6/16, 10, 3, 1
2019/6/17, 11, 5, 1
2019/6/18, 10, 6, 1
2019/6/19, 16, 3, 1
2019/6/20, 14, 3, 1
2019/6/21, 10, 3, 
2019/6/22, 7, 4, 1
2019/6/23, 8, 5, 
2019/6/24, 10, 4, 1
2019/6/25, 15, 6, 
2019/6/26, 23, 2, 
2019/6/27, 14, 3, 
2019/6/28, 10, 4, 2
2019/6/29, 12, 3, 1
2019/6/30, 15, 3, 1
2019/1/1, 11, 3, 
2019/1/2, 12, 10, 
2019/1/3, 8, 3, 
2019/1/4, 10, 3, 
2019/1/5, 9, 4, 
2019/1/6, 16, 4, 
2019/1/7, 6, 2, 
2019/1/8, 9, 2, 
2019/1/9, 6, 7, 
2019/1/10, 8, 4, 
2019/1/11, 12, 1, 
2019/1/12, 13, 1, 
2019/1/13, 7, 2, 
2019/1/14, 10, 3, 
2019/1/15, 10, 5, 1
2019/1/16, 11, 3, 
2019/1/17, 8, 7, 
2019/1/18, 4, 13, 1
2019/1/19, 15, 15, 1
2019/1/20, 29, 15, 1
2019/1/21, 33, 16, 2
2019/1/22, 28, 13, 
2019/1/23, 29, 8, 
2019/1/24, 47, 8, 1
2019/1/25, 31, 9, 
2019/1/26, 24, 3, 
2019/1/27, 6, 6, 2
2019/1/28, 8, 6, 3
2019/1/29, 8, 9, 2
2019/1/30, 15, 10, 2
2019/1/31, 18, 13, 4
2019/2/1, 22, 12, 4
2019/2/2, 44, 5, 4
2019/2/3, 37, 6, 4
2019/2/4, 8, 6, 3
2019/2/5, 13, 9, 
2019/2/6, 20, 7, 1
2019/2/7, 16, 3, 
2019/2/8, 9, 2, 
2019/2/9, 5, 3, 1
2019/2/10, 9, 2, 
2019/2/11, 8, 5, 
2019/2/12, 10, 8, 
2019/2/13, 23, 12, 1
2019/2/14, 24, 12, 1
2019/2/15, 14, 10, 2
2019/2/16, 10, 14, 2
2019/2/17, 29, 14, 1
2019/2/18, 29, 7, 
2019/2/19, 23, 5, 1
2019/2/20, 17, 6, 
2019/2/21, 22, 6, 
2019/2/22, 17, 7, 
2019/2/23, 8, 15, 3
2019/2/24, 16, 17, 2
2019/2/25, 23, 17, 1
2019/2/26, 32, 15, 2
2019/2/27, 37, 10, 
2019/2/28, 36, 4, 
2019/3/1, 22, 3, 
2019/3/2, 10, 2, 
2019/3/3, 15, 2, 
2019/3/4, 6, 4, 
2019/3/5, 5, 5, 1
