date, pm10, no2, so2
2020/1/7, 18, 14, 
2020/1/8, 14, , 
2020/1/9, 43, 26, 
2020/1/10, 73, 29, 
2020/1/11, 67, 18, 
2020/1/12, 78, 37, 
2020/1/13, 33, 37, 
2020/1/14, 59, 34, 
2020/1/15, 83, 21, 
2020/1/16, 55, , 
2019/10/1, 30, 16, 
2019/10/2, 12, 17, 
2019/10/3, 15, 8, 
2019/10/4, 35, 6, 
2019/10/5, 10, 10, 
2019/10/6, 11, 8, 
2019/10/7, 13, 9, 
2019/10/8, 7, 10, 
2019/10/9, 8, 15, 
2019/10/10, 9, 13, 
2019/10/11, 32, 11, 
2019/10/12, 17, 10, 
2019/10/13, 5, 15, 
2019/10/14, 12, 15, 
2019/10/15, 9, 14, 
2019/10/16, 9, 16, 
2019/10/17, 12, 17, 
2019/10/18, 25, 15, 
2019/10/19, 50, 17, 
2019/10/20, 40, 17, 
2019/10/21, 38, 12, 
2019/10/22, 29, 12, 
2019/10/23, 32, 12, 
2019/10/24, 38, 14, 
2019/10/25, 35, 10, 
2019/10/26, 40, 12, 
2019/10/27, 21, 16, 
2019/10/28, 19, 11, 
2019/10/29, 38, 8, 
2019/10/30, 36, 7, 
2019/10/31, 18, 10, 
2019/11/1, 22, 12, 
2019/11/2, 18, 9, 
2019/11/3, 6, 9, 
2019/11/4, 15, 11, 
2019/11/5, 25, 10, 
2019/11/6, 13, 11, 
2019/11/7, 28, 15, 
2019/11/8, 50, 13, 
2019/11/9, 58, 14, 
2019/11/27, 13, 10, 
2019/11/28, 28, 9, 
2019/11/29, 44, 8, 
2019/11/30, 21, 7, 
2019/12/1, 13, 14, 
2019/12/2, 17, 10, 
2019/12/3, 15, 13, 
2019/12/4, 17, 20, 
2019/12/5, 38, 13, 
2019/12/6, 22, 14, 
2019/12/7, 20, 12, 
2019/12/8, 55, 18, 
2019/12/9, 47, 22, 
2019/12/10, 27, 14, 
2019/12/11, 41, 11, 
2019/12/12, 8, 13, 
2019/12/13, 9, 20, 
2019/12/14, 14, 14, 
2019/12/15, 30, 16, 
2019/12/16, 27, 25, 
2019/12/17, 33, 22, 
2019/12/18, 29, 18, 
2019/12/19, 35, 20, 
2019/12/20, 66, 15, 
2019/12/21, 44, 10, 
2019/12/22, 16, , 
2019/12/23, 4, , 
2019/7/1, 14, 12, 3
2019/7/2, 17, 12, 3
2019/7/3, 10, 11, 3
2019/7/4, 13, 16, 3
2019/7/5, 18, 10, 3
2019/7/6, 25, 9, 3
2019/7/7, 33, 11, 3
2019/7/8, 25, 11, 3
2019/7/9, 27, 14, 3
2019/7/10, 22, 9, 3
2019/7/11, 15, 13, 3
2019/7/12, 8, 13, 3
2019/7/13, 14, 11, 3
2019/7/14, 8, 10, 3
2019/7/15, 12, 9, 3
2019/7/16, 12, 12, 3
2019/7/17, 17, 9, 3
2019/7/18, 16, 16, 3
2019/7/19, 31, 11, 3
2019/7/20, 22, 12, 4
2019/7/21, 19, 18, 4
2019/7/22, 21, 12, 3
2019/7/23, 26, 10, 3
2019/7/24, 23, 9, 3
2019/7/25, 16, 15, 3
2019/7/26, 24, 11, 3
2019/7/27, 22, 10, 3
2019/7/28, 21, 12, 4
2019/7/29, 23, 11, 3
2019/7/30, 37, 14, 4
2019/7/31, 39, 10, 3
2019/8/1, 36, 11, 3
2019/8/2, 29, 9, 3
2019/8/3, 27, 4, 3
2019/8/4, 16, 11, 3
2019/8/5, 15, 12, 3
2019/8/6, 19, 11, 3
2019/8/7, 21, 12, 3
2019/8/8, 17, 14, 4
2019/8/9, 15, 10, 3
2019/8/10, 21, 11, 3
2019/8/11, 24, 15, 4
2019/8/12, 30, 14, 4
2019/8/13, 41, 12, 3
2019/8/14, 40, 9, 4
2019/8/15, 28, 10, 3
2019/8/16, 12, 10, 4
2019/8/17, 12, 10, 3
2019/8/18, 19, 10, 3
2019/8/19, 16, 14, 3
2019/8/20, 22, 13, 4
2019/8/21, 29, 12, 4
2019/8/22, 34, 10, 3
2019/8/23, 36, 9, 3
2019/8/26, 9, 9, 3
2019/8/27, 12, 10, 4
2019/8/28, 13, 14, 4
2019/8/29, 14, 9, 4
2019/8/30, 9, 9, 4
2019/8/31, 5, 10, 4
2019/9/1, 3, 15, 3
2019/9/2, 9, 18, 4
2019/9/3, 20, 9, 3
2019/9/4, 17, 12, 3
2019/9/5, 7, 10, 3
2019/9/6, 4, 10, 4
2019/9/7, 12, 6, 3
2019/9/8, 20, 7, 3
2019/9/9, 3, 9, 2
2019/9/10, 11, 7, 3
2019/9/11, 20, 8, 3
2019/9/12, 13, 11, 3
2019/9/13, 4, 10, 3
2019/9/14, 10, 7, 4
2019/9/15, 11, 13, 4
2019/9/16, 11, 16, 3
2019/9/17, 22, 10, 4
2019/9/18, 37, 9, 3
2019/9/19, 13, 10, 3
2019/9/20, 6, 8, 3
2019/9/21, 5, 10, 3
2019/9/22, 11, 12, 3
2019/9/23, 6, 11, 3
2019/9/24, 5, 9, 4
2019/9/25, 7, 13, 4
2019/9/26, 7, 8, 3
2019/9/27, 12, 11, 4
2019/9/28, 8, 11, 3
2019/9/29, 8, 16, 4
2019/9/30, 21, 12, 3
2019/4/1, 40, 10, 3
2019/4/2, 41, 12, 4
2019/4/3, 33, 18, 4
2019/4/4, 19, 16, 4
2019/4/5, 18, 8, 3
2019/4/6, 21, 10, 3
2019/4/7, 26, 16, 3
2019/4/8, 37, 8, 3
2019/4/9, 34, 20, 4
2019/4/10, 31, 20, 3
2019/4/11, 48, 31, 3
2019/4/12, 52, 9, 3
2019/4/13, 47, 5, 3
2019/4/14, 19, 9, 3
2019/4/15, 17, 9, 3
2019/4/16, 32, 9, 3
2019/4/17, 24, 10, 3
2019/4/18, 28, 14, 4
2019/4/19, 24, 9, 4
2019/4/20, 27, , 
2019/5/4, 1, 11, 3
2019/5/5, 1, 14, 4
2019/5/6, 3, 9, 3
2019/5/7, 3, 8, 3
2019/5/8, 4, 13, 4
2019/5/9, 4, 18, 4
2019/5/10, 3, 11, 3
2019/5/11, 2, 12, 3
2019/5/12, 2, 14, 3
2019/5/13, 2, 12, 4
2019/5/14, 1, 8, 3
2019/5/15, 7, 11, 3
2019/5/16, 12, 12, 3
2019/5/17, 25, 9, 3
2019/5/18, 20, 8, 3
2019/5/19, 19, 17, 4
2019/5/20, 31, 13, 3
2019/5/21, 28, 15, 3
2019/5/22, 13, 13, 3
2019/5/23, 8, 12, 3
2019/5/24, 5, 12, 3
2019/5/25, 4, 9, 3
2019/5/26, 4, 17, 4
2019/5/27, 6, 13, 3
2019/5/28, 8, 17, 3
2019/5/29, 9, 17, 3
2019/5/30, 24, 14, 3
2019/5/31, 24, 9, 3
2019/6/1, 12, 8, 3
2019/6/2, 9, 14, 4
2019/6/3, 6, 14, 3
2019/6/4, 23, 16, 4
2019/6/5, 11, 13, 4
2019/6/6, 10, 14, 3
2019/6/7, 12, 12, 3
2019/6/8, 19, 10, 3
2019/6/9, 17, 9, 3
2019/6/10, 5, 8, 3
2019/6/11, 5, 11, 4
2019/6/12, 4, 11, 4
2019/6/13, 6, 11, 4
2019/6/14, 8, 9, 4
2019/6/15, 13, 8, 4
2019/6/16, 12, 7, 4
2019/6/17, 12, 10, 3
2019/6/18, 11, 11, 4
2019/6/19, 10, 10, 3
2019/6/20, 18, 11, 3
2019/6/21, 28, 10, 3
2019/6/22, 36, 11, 3
2019/6/23, 36, 11, 3
2019/6/24, 31, 8, 3
2019/6/25, 32, 8, 3
2019/6/26, 35, 20, 3
2019/6/27, 40, 9, 3
2019/6/28, 29, 5, 3
2019/6/29, 7, 7, 4
2019/6/30, 4, 14, 4
2019/1/1, 14, , 7
2019/1/2, 8, , 4
2019/1/3, 9, , 6
2019/1/4, 6, , 5
2019/1/5, 9, , 3
2019/1/6, 11, , 8
2019/1/7, 8, , 11
2019/1/8, 9, , 22
2019/1/9, 15, , 2
2019/1/10, 19, , 3
2019/1/11, 45, , 8
2019/1/12, 53, , 10
2019/1/13, 47, , 15
2019/1/14, 41, , 2
2019/1/15, 26, , 13
2019/1/16, 27, , 14
2019/1/17, 34, , 31
2019/1/18, 35, , 
2019/2/19, 56, , 17
2019/2/20, 32, , 8
2019/2/21, 17, , 4
2019/2/22, 41, , 
2019/2/23, 21, , 3
2019/2/24, 14, , 6
2019/2/25, 8, , 11
2019/2/26, 9, , 
2019/2/27, 8, , 10
2019/2/28, 4, , 11
2019/3/1, 7, , 1
2019/3/2, 12, , 2
2019/3/3, 26, , 6
2019/3/4, 9, , 9
2019/3/5, 7, , 10
2019/3/6, 6, , 10
2019/3/7, 6, , 15
2019/3/8, 6, , 6
2019/3/9, 6, , 8
2019/3/10, 6, , 5
2019/3/11, 5, , 1
2019/3/12, 4, 1, 
2019/3/13, 3, 1, 
2019/3/14, 9, 1, 
2019/3/15, 12, , 
2019/3/16, 17, , 
2019/3/17, 8, 1, 
2019/3/18, 9, , 
2019/3/19, 11, , 
2019/3/20, 7, 3, 
2019/3/21, 13, 2, 
2019/3/22, 17, , 
2019/3/23, 20, , 
2019/3/24, 10, , 
2019/3/25, 11, , 
2019/3/26, 11, 12, 2
2019/3/27, 18, 14, 3
2019/3/28, 16, 14, 4
2019/3/29, 27, 16, 4
2019/3/30, 34, 15, 3
2019/3/31, 42, 16, 3
2018/10/26, 3, , 8
2018/10/27, 3, , 7
2018/10/28, 3, , 5
2018/10/29, 3, , 2
2018/10/30, 3, , 2
2018/10/31, 4, , 3
2018/11/1, 5, , 1
2018/11/2, 5, , 
2018/11/3, 3, , 
2018/11/4, 5, , 
2018/11/5, 3, , 3
2018/11/6, 5, , 
2018/11/7, 4, , 2
2018/11/8, 4, , 2
2018/11/9, 4, , 1
2018/11/10, 4, , 
2018/11/11, 4, , 3
2018/11/12, 4, , 5
2018/11/13, 4, , 1
2018/11/14, 4, , 6
2018/11/15, 5, , 
2018/11/16, 7, , 
2018/11/17, 7, , 1
2018/11/18, 8, , 2
2018/11/19, 7, , 9
2018/11/20, 6, , 10
2018/11/21, 9, , 1
2018/11/22, 7, , 2
2018/11/23, 8, , 6
2018/11/24, 9, , 6
2018/11/25, 8, , 8
2018/11/26, 9, , 2
2018/11/27, 6, , 2
2018/11/28, 5, , 3
2018/11/29, 6, , 13
2018/11/30, 6, , 7
2018/12/1, 9, , 4
2018/12/2, 17, , 9
2018/12/3, 20, , 20
2018/12/4, 20, , 6
2018/12/5, 18, , 3
2018/12/6, 10, , 3
2018/12/7, 8, , 8
2018/12/8, 13, , 32
2018/12/9, 12, , 14
2018/12/10, 12, , 5
2018/12/11, 8, , 8
2018/12/12, 8, , 1
2018/12/13, 8, , 9
2018/12/14, 8, , 4
2018/12/15, 6, , 
2018/12/16, 5, , 1
2018/12/17, 5, , 
2018/12/18, 6, , 
2018/12/19, 9, , 2
2018/12/20, 10, , 3
2018/12/21, 11, , 4
2018/12/22, 10, , 5
2018/12/23, 7, , 8
2018/12/24, 8, , 16
2018/12/25, 5, , 2
2018/12/26, 5, , 3
2018/12/27, 7, , 5
2018/12/28, 8, , 7
2018/12/29, 8, , 1
2018/12/30, 5, , 2
2018/7/1, 9, 22, 2
2018/7/2, 10, 21, 3
2018/7/3, 18, 19, 2
2018/7/4, 17, 19, 3
2018/7/5, 14, 22, 3
2018/7/6, 17, 20, 2
2018/7/7, 17, 11, 2
2018/7/8, 19, 15, 3
2018/7/9, 19, 11, 3
2018/7/10, 18, 14, 3
2018/7/11, 17, 17, 2
2018/7/12, 19, 16, 2
2018/7/13, 20, 18, 2
2018/7/14, 17, 16, 3
2018/7/15, 14, 20, 3
2018/7/16, 12, 24, 3
2018/7/17, 18, 17, 2
2018/7/18, 22, 17, 2
2018/7/19, 20, 12, 2
2018/7/20, 16, 13, 3
2018/7/21, 18, 13, 2
2018/7/22, 17, 15, 2
2018/7/23, 17, 13, 2
2018/7/24, 19, 13, 2
2018/7/25, 16, 13, 3
2018/7/26, 15, 13, 3
2018/7/27, 23, 12, 2
2018/7/28, 18, 11, 2
2018/7/29, 16, 11, 2
2018/7/30, 18, 12, 2
2018/7/31, 19, 11, 2
2018/8/1, 23, 20, 2
2018/8/2, 16, 15, 2
2018/8/3, 18, 15, 2
2018/8/4, 17, 16, 2
2018/8/5, 25, 25, 2
2018/8/6, 24, 18, 2
2018/8/7, 22, 15, 2
2018/8/8, 17, 14, 1
2018/8/9, 11, 13, 2
2018/8/10, 7, 11, 1
2018/8/11, 8, 12, 1
2018/8/12, 10, 24, 2
2018/8/13, 11, 21, 1
2018/8/14, 12, 14, 1
2018/8/15, 14, 17, 7
2018/8/16, 18, 19, 18
2018/8/17, 22, 14, 6
2018/8/18, 27, 11, 
2018/8/19, 21, 14, 5
2018/8/20, 14, 17, 7
2018/4/1, 11, 17, 2
2018/4/2, 11, 25, 2
2018/4/3, 10, 30, 3
2018/4/4, 6, 30, 3
2018/4/5, 6, 14, 1
2018/4/6, 7, 12, 2
2018/4/7, 11, 9, 2
2018/4/8, 4, 12, 2
2018/4/9, 3, 28, 2
2018/4/10, 4, 28, 2
2018/4/11, 7, 25, 2
2018/4/12, 9, 27, 2
2018/4/13, 7, 24, 1
2018/4/14, 7, 23, 2
2018/4/15, 9, 26, 2
2018/4/16, 3, 18, 2
2018/4/17, 2, 31, 2
2018/4/18, 3, 16, 2
2018/4/19, 6, 17, 1
2018/4/20, 7, 16, 1
2018/4/21, 5, 16, 3
2018/4/22, 3, 23, 2
2018/4/23, 4, 34, 5
2018/4/24, 9, 25, 
2018/4/25, 17, 36, 
2018/4/26, 11, 21, 
2018/4/27, 13, 21, 
2018/4/28, 4, 20, 
2018/4/29, 3, 18, 
2018/4/30, 3, 23, 
2018/5/1, 3, 20, 
2018/5/2, 5, 27, 8
2018/5/3, 6, 21, 2
2018/5/4, 14, 18, 2
2018/5/5, 16, 17, 2
2018/5/6, 19, 13, 2
2018/5/7, 21, 11, 3
2018/5/8, 17, 14, 3
2018/5/9, 16, 13, 2
2018/5/10, 14, 15, 2
2018/5/11, 10, 15, 2
2018/5/12, 10, 15, 3
2018/5/13, 12, 25, 3
2018/5/14, 13, 23, 2
2018/5/15, 15, 15, 2
2018/5/16, 16, , 
2018/5/20, 12, 13, 2
2018/5/21, 12, , 
2018/5/23, 11, 21, 3
2018/5/24, 21, 18, 2
2018/5/25, 20, 10, 2
2018/5/26, 17, 8, 2
2018/5/27, 13, 10, 3
2018/5/28, 9, 13, 2
2018/5/29, 10, 13, 2
2018/5/30, 10, 21, 3
2018/5/31, 11, 14, 2
2018/6/1, 13, 16, 2
2018/6/2, 10, 13, 2
2018/6/3, 8, 17, 2
2018/6/4, 11, 20, 3
2018/6/5, 21, 25, 2
2018/6/6, 24, 11, 2
2018/6/7, 15, 21, 2
2018/6/8, 12, 17, 2
2018/6/9, 17, 10, 1
2018/6/10, 8, 25, 3
2018/6/11, 2, 22, 3
2018/6/12, 2, 21, 2
2018/6/13, 8, 24, 2
2018/6/14, 14, 20, 2
2018/6/15, 13, 14, 2
2018/6/16, 14, 12, 3
2018/6/17, 16, 18, 2
2018/6/18, 13, 17, 1
2018/6/19, 13, 18, 2
2018/6/20, 14, 19, 2
2018/6/21, 19, 24, 2
2018/6/22, 23, 12, 2
2018/6/23, 18, 13, 2
2018/6/24, 7, 12, 3
2018/6/25, 6, 12, 3
2018/6/26, 6, 13, 3
2018/6/27, 10, 16, 3
2018/6/28, 14, 16, 2
2018/6/29, 15, 13, 2
2018/6/30, 11, 10, 2
2018/1/2, 18, 18, 3
2018/1/3, 24, 16, 2
2018/1/4, 22, 15, 2
2018/1/5, 26, 21, 3
2018/1/6, 24, 15, 2
2018/1/7, 19, 17, 2
2018/1/8, 37, 14, 1
2018/1/9, 21, 20, 2
2018/1/10, 5, 12, 1
2018/1/11, 4, 10, 1
2018/1/12, 4, 7, 1
2018/1/13, 9, 8, 1
2018/1/14, 8, 14, 1
2018/1/15, 13, 16, 2
2018/1/16, 21, 20, 2
2018/1/17, 43, 6, 1
2018/1/18, 24, 18, 2
2018/1/19, 14, 16, 2
2018/1/20, 22, 12, 1
2018/1/21, 24, 9, 1
2018/1/22, 7, 11, 1
