date, aqi
2019/2/17, 
2019/2/18, 
2019/2/19, 
2019/2/20, 
2019/2/21, 
2019/2/22, 
2019/2/23, 
2019/2/24, 
2019/2/25, 
2019/2/26, 
2019/2/27, 
2019/2/28, 
2019/3/1, 
2019/3/2, 
2019/3/3, 
2019/3/5, 
2019/3/6, 
2019/3/7, 
2019/3/8, 
2019/3/9, 
2019/3/10, 
2019/3/11, 
2019/3/12, 
2019/3/13, 
2019/3/14, 
2019/3/15, 
2019/3/16, 
2019/3/17, 
2019/3/18, 
2019/3/19, 
2019/3/20, 
2019/3/21, 
2019/3/22, 
2019/3/23, 
2019/3/24, 
2019/3/25, 
2019/3/26, 
2019/3/27, 
2019/3/28, 
2019/3/29, 
2019/3/30, 
2019/3/31, 
2018/10/1, 54
2018/10/2, 50
2018/10/3, 32
2018/10/4, 40
2018/10/5, 29
2018/10/6, 52
2018/10/7, 48
2018/10/8, 33
2018/10/9, 25
2018/10/10, 25
2018/10/11, 44
2018/10/12, 47
2018/10/13, 28
2018/10/14, 22
2018/10/15, 24
2018/10/16, 21
2018/10/17, 23
2018/10/18, 22
2018/10/19, 16
2018/10/20, 20
2018/10/21, 18
2018/10/22, 29
2018/10/23, 29
2018/10/24, 21
2018/10/25, 20
2018/10/26, 24
2018/10/27, 27
2018/10/28, 34
2018/10/29, 55
2018/10/30, 61
2018/10/31, 50
2018/11/1, 53
2018/11/2, 52
2018/11/3, 45
2018/11/4, 27
2018/11/5, 23
2018/11/6, 32
2018/11/7, 33
2018/11/8, 35
2018/11/9, 32
2018/11/10, 30
2018/11/11, 25
2018/11/12, 28
2018/11/13, 29
2018/11/14, 27
2018/11/15, 29
2018/11/16, 25
2018/11/17, 30
2018/11/18, 49
2018/11/19, 46
2018/11/20, 33
2018/11/21, 32
2018/11/22, 26
2018/11/23, 39
2018/11/24, 46
2018/11/25, 48
2018/11/26, 52
2018/11/27, 54
2018/11/28, 45
2018/11/29, 37
2018/11/30, 31
2018/12/1, 35
2018/12/2, 35
2018/12/3, 33
2018/12/4, 23
2018/12/5, 22
2018/12/6, 28
2018/12/7, 24
2018/12/8, 15
2018/12/9, 21
2018/12/10, 19
2018/12/11, 22
2018/12/12, 36
2018/12/13, 27
2018/12/14, 30
2018/12/15, 31
2018/12/16, 19
2018/12/17, 18
2018/12/18, 23
2018/12/19, 16
2018/12/20, 22
2018/12/21, 36
2018/12/22, 46
2018/12/23, 53
2018/12/24, 56
2018/12/25, 54
2018/12/26, 54
2018/12/27, 54
2018/12/28, 48
2018/12/29, 46
2018/12/30, 48
2018/7/1, 20
2018/7/2, 18
2018/7/3, 21
2018/7/4, 26
2018/7/5, 28
2018/7/6, 23
2018/7/7, 29
2018/7/8, 32
2018/7/9, 21
2018/7/10, 17
2018/7/11, 22
2018/7/12, 23
2018/7/13, 31
2018/7/14, 30
2018/7/15, 32
2018/7/16, 37
2018/7/17, 35
2018/7/18, 23
2018/7/19, 41
2018/7/20, 32
2018/7/21, 25
2018/7/22, 23
2018/7/23, 24
2018/7/24, 25
2018/7/25, 25
2018/7/26, 28
2018/7/27, 24
2018/7/28, 17
2018/7/29, 19
2018/7/30, 16
2018/7/31, 15
2018/8/1, 20
2018/8/2, 21
2018/8/3, 21
2018/8/4, 18
2018/8/5, 16
2018/8/6, 18
2018/8/7, 21
2018/8/8, 25
2018/8/9, 25
2018/8/10, 19
2018/8/11, 25
2018/8/12, 29
2018/8/13, 34
2018/8/14, 47
2018/8/15, 55
2018/8/16, 57
2018/8/17, 41
2018/8/18, 46
2018/8/19, 64
2018/8/20, 56
2018/8/21, 54
2018/8/22, 30
2018/8/23, 26
2018/8/24, 39
2018/8/25, 42
2018/8/26, 51
2018/8/27, 53
2018/8/28, 53
2018/8/29, 55
2018/8/30, 53
2018/8/31, 51
2018/9/1, 50
2018/9/2, 46
2018/9/3, 32
2018/9/4, 24
2018/9/5, 28
2018/9/6, 30
2018/9/7, 32
2018/9/8, 30
2018/9/9, 26
2018/9/10, 26
2018/9/11, 28
