date, pm25, pm10, no2, co
2020/1/2, 101, 44, 23, 7
2020/1/3, 114, 13, 9, 4
2020/1/4, 49, 15, 12, 4
2020/1/5, 43, 31, 15, 6
2020/1/6, 95, 48, 24, 7
2020/1/7, 112, 39, 19, 7
2020/1/8, 108, 27, 17, 7
2020/1/9, 87, 29, 18, 7
2020/1/10, 92, 15, 15, 5
2020/1/11, 54, 25, 14, 5
2020/1/12, 76, 25, 19, 6
2020/1/13, 81, 44, 21, 8
2020/1/14, 119, 44, 24, 8
2020/1/15, 103, 37, 13, 5
2020/1/16, 86, , , 
2019/10/1, 44, 17, 25, 7
2019/10/2, 57, 23, 22, 7
2019/10/3, 66, 28, 22, 7
2019/10/4, 72, 20, 11, 5
2019/10/5, 64, 17, 18, 5
2019/10/6, 45, 34, 26, 7
2019/10/7, 78, 32, 25, 7
2019/10/8, 85, 23, 22, 7
2019/10/9, 70, 16, 20, 6
2019/10/10, 56, 22, 21, 6
2019/10/11, 58, 24, 20, 6
2019/10/12, 55, 25, 26, 7
2019/10/13, 64, 39, 33, 10
2019/10/14, 85, 40, 24, 7
2019/10/15, 102, 33, 23, 7
2019/10/16, 84, 23, 30, 8
2019/10/17, 62, 34, 33, 9
2019/10/18, 83, 44, 28, 9
2019/10/19, 113, 40, 23, 8
2019/10/20, 108, 41, 36, 11
2019/10/21, 96, 59, 37, 12
2019/10/22, 146, 39, 19, 8
2019/10/23, 115, 43, 16, 7
2019/10/24, 124, 55, 25, 11
2019/10/25, 153, 50, 24, 10
2019/10/26, 127, 29, 15, 6
2019/10/27, 68, 23, 16, 5
2019/10/28, 68, 23, 25, 7
2019/10/29, 67, 33, 29, 8
2019/10/30, 76, 49, 33, 10
2019/10/31, 113, 42, 20, 7
2019/11/1, 112, 27, 14, 6
2019/11/2, 77, 20, 12, 7
2019/11/3, 67, 23, 19, 8
2019/11/4, 75, 22, 27, 9
2019/11/5, 64, 29, 27, 9
2019/11/6, 79, 41, 27, 11
2019/11/7, 110, 23, 13, 5
2019/11/8, 78, 23, 17, 5
2019/11/9, 77, 28, 18, 5
2019/11/10, 84, 29, 15, 4
2019/11/11, 90, 23, 15, 4
2019/11/12, 75, 28, 18, 5
2019/11/13, 88, 21, 21, 4
2019/11/14, 71, 28, 10, 3
2019/11/15, 88, 30, 13, 4
2019/11/16, 90, 30, 10, 4
2019/11/17, 91, 30, 12, 4
2019/11/18, 90, 32, 22, 6
2019/11/19, 87, 23, 10, 4
2019/11/20, 77, 15, 7, 3
2019/11/21, 58, 19, 8, 3
2019/11/22, 67, 21, 8, 3
2019/11/23, 71, 26, 6, 3
2019/11/24, 83, 24, 9, 4
2019/11/25, 78, 27, 12, 5
2019/11/26, 85, 29, 13, 6
2019/11/27, 92, 36, 16, 7
2019/11/28, 101, 19, 18, 4
2019/11/29, 57, 16, 14, 3
2019/11/30, 49, 33, 19, 5
2019/12/1, 95, 36, 23, 5
2019/12/2, 93, 24, 21, 4
2019/12/3, 77, 29, 22, 5
2019/12/4, 91, 46, 28, 6
2019/12/5, 106, 44, 23, 6
2019/12/6, 108, 24, 14, 4
2019/12/7, 75, 15, 13, 4
2019/12/8, 55, 23, 22, 6
2019/12/9, 72, 19, 19, 4
2019/12/10, 65, 35, 23, 6
2019/12/11, 101, 38, 21, 6
2019/12/12, 104, 24, 11, 4
2019/12/13, 80, 22, 14, 5
2019/12/14, 74, 14, 17, 4
2019/12/15, 50, 28, 25, 7
2019/12/16, 80, 42, 24, 8
2019/12/17, 117, 35, 22, 7
2019/12/18, 94, 39, 24, 8
2019/12/19, 114, 33, 18, 5
2019/12/20, 96, 33, 20, 6
2019/12/21, 89, 20, 12, 5
2019/12/22, 70, 19, 15, 7
2019/12/23, 68, 16, 11, 4
2019/12/24, 62, 23, 12, 5
2019/12/25, 76, 17, 7, 4
2019/12/26, 64, 14, 12, 5
2019/12/27, 55, 17, 12, 4
2019/12/28, 45, , , 
2019/7/1, 55, 36, 19, 4
2019/7/2, 47, 30, 17, 3
2019/7/3, 42, 32, 22, 4
2019/7/4, 43, 25, 16, 3
2019/7/5, 43, 21, 15, 4
2019/7/6, 46, 20, 9, 3
2019/7/7, 49, 23, 12, 3
2019/7/8, 36, 17, 13, 4
2019/7/9, 40, 21, 16, 4
2019/7/10, 48, 25, 21, 5
2019/7/11, 47, 28, 29, 6
2019/7/12, 51, 33, 26, 6
2019/7/13, 60, 17, 15, 4
2019/7/14, 37, 26, 28, 5
2019/7/15, 40, 30, 19, 4
2019/7/16, 59, 24, 18, 5
2019/7/17, 48, 29, 29, 7
2019/7/18, 49, 37, 34, 7
2019/7/19, 56, 28, 23, 5
2019/7/20, 65, 25, 15, 5
2019/7/21, 59, 27, 21, 5
2019/7/22, 46, 35, 24, 5
2019/7/23, 55, 30, 26, 6
2019/7/24, 53, 31, 29, 6
2019/7/25, 50, 20, 12, 3
2019/7/26, 44, 19, 8, 3
2019/7/27, 49, 23, 11, 4
2019/7/28, 62, 26, 23, 5
2019/7/29, 66, 36, 29, 6
2019/7/30, 74, 24, 17, 4
2019/7/31, 48, 32, 30, 5
2019/8/1, 50, 35, 26, 6
2019/8/2, 60, 31, 20, 4
2019/8/3, 56, 24, 15, 3
2019/8/4, 44, 34, 33, 6
2019/8/5, 54, 35, 35, 5
2019/8/6, 60, 34, 33, 6
2019/8/7, 60, 25, 21, 4
2019/8/8, 56, 24, 25, 4
2019/8/9, 49, 23, 15, 3
2019/8/10, 50, 22, 22, 5
2019/8/11, 45, 29, 28, 5
2019/8/12, 58, 33, 28, 5
2019/8/13, 64, 30, 33, 7
2019/8/14, 53, 21, 24, 4
2019/8/15, 47, 29, 26, 5
2019/8/16, 57, 34, 26, 5
2019/8/17, 66, 22, 19, 4
2019/8/18, 50, 24, 25, 6
2019/8/19, 47, 24, 21, 5
2019/8/20, 52, 21, 27, 6
2019/8/21, 50, 19, 20, 4
2019/8/22, 51, 21, 21, 4
2019/8/23, 47, 24, 16, 4
2019/8/24, 52, 19, 9, 3
2019/8/25, 48, 26, 15, 4
2019/8/26, 53, 33, 16, 4
2019/8/27, 61, 33, 23, 5
2019/8/28, 66, 46, 47, 9
2019/8/29, 82, 31, 33, 6
2019/8/30, 70, 18, 10, 4
2019/8/31, 53, 22, 15, 4
2019/9/1, 59, 31, 25, 6
2019/9/2, 62, 21, 29, 7
2019/9/3, 46, 35, 38, 7
2019/9/4, 57, 30, 28, 6
2019/9/5, 56, 36, 33, 8
2019/9/6, 51, 32, 20, 5
2019/9/7, 58, 24, 16, 6
2019/9/8, 71, 30, 20, 5
2019/9/9, 66, 16, 24, 6
2019/9/10, 44, 30, 36, 8
2019/9/11, 60, 34, 34, 7
2019/9/12, 68, 31, 22, 6
2019/9/13, 71, , 17, 5
2019/9/16, 16, 18, 14, 4
2019/9/17, 37, 10, 16, 4
2019/9/18, 25, 15, 22, 6
2019/9/19, 45, 24, 27, 7
2019/9/20, 53, 26, 18, 6
2019/9/21, 64, 39, 30, 11
2019/9/22, 84, 25, 14, 5
2019/9/23, 66, 34, 19, 6
2019/9/24, 82, 47, 21, 6
2019/9/25, 106, 46, 24, 10
2019/9/26, 120, 35, 17, 7
2019/9/27, 94, 24, 20, 7
2019/9/28, 75, 13, 16, 6
2019/9/29, 46, 9, 15, 5
2019/9/30, 36, 16, 20, 6
2019/4/1, 47, 32, 9, 4
2019/4/2, 54, 40, 9, 4
2019/4/3, 71, 47, 12, 5
2019/4/4, 91, 49, 14, 5
2019/4/5, 93, 49, 10, 5
2019/4/6, 89, 62, 27, 8
2019/4/7, 111, 78, 42, 10
2019/4/8, 133, 42, 13, 5
2019/4/9, 76, 39, 14, 5
2019/4/10, 69, 40, 18, 5
2019/4/11, 75, 36, 15, 5
2019/4/12, 72, 34, 11, 5
2019/4/13, 78, 25, 6, 5
2019/4/14, 58, 31, 17, 5
2019/4/15, 60, 39, 21, 6
2019/4/16, 75, 35, 22, 6
2019/4/17, 72, 49, 32, 7
2019/4/18, 82, 47, 24, 7
2019/4/19, 70, 52, 15, 6
2019/4/20, 71, , , 
2019/5/1, 60, 46, 10, 6
2019/5/2, 76, 26, 10, 6
2019/5/3, 56, 34, 18, 7
2019/5/4, 65, 14, 12, 6
2019/5/5, 37, 30, 24, 7
2019/5/6, 47, 48, 31, 8
2019/5/7, 68, 33, 21, 7
2019/5/8, 65, 32, 20, 7
2019/5/9, 58, 38, 29, 10
2019/5/10, 90, 45, 29, 9
2019/5/11, 83, 25, 13, 7
2019/5/12, 69, 19, 26, 8
2019/5/13, 47, 17, 19, 8
2019/5/14, 55, 23, 14, 8
2019/5/15, 69, 29, 18, 9
2019/5/16, 76, 27, 24, 10
2019/5/17, 65, 25, 16, 8
2019/5/18, 68, 20, 10, 7
2019/5/19, 59, 27, 11, 7
2019/5/20, 64, 26, 10, 7
2019/5/21, 52, 14, 12, 7
2019/5/22, 39, 37, 26, 10
2019/5/23, 74, 43, 31, 7
2019/5/24, 68, 41, 25, 4
2019/5/25, 65, 30, 21, 3
2019/5/26, 59, 32, 30, 5
2019/5/27, 63, 25, 28, 6
2019/5/28, 66, 28, 25, 5
2019/5/29, 53, 29, 26, 4
2019/5/30, 47, 43, 38, 5
2019/5/31, 63, 34, 23, 5
2019/6/1, 60, 30, 25, 6
2019/6/2, 67, 21, 17, 3
2019/6/3, 42, 27, 17, 3
2019/6/4, 57, 28, 15, 3
2019/6/5, 60, 27, 14, 3
2019/6/6, 62, 31, 25, 5
2019/6/7, 60, 40, 24, 5
2019/6/8, 75, 20, 15, 3
2019/6/9, 38, 25, 14, 3
2019/6/10, 55, 33, 19, 4
2019/6/11, 69, 36, 22, 4
2019/6/12, 65, 41, 25, 5
2019/6/13, 69, 27, 26, 5
2019/6/14, 61, 31, 11, 4
2019/6/15, 69, 35, 14, 4
2019/6/16, 65, 26, 25, 5
2019/6/17, 50, , 14, 3
2019/6/21, 61, 16, 10, 2
2019/6/22, 40, 13, 11, 2
2019/6/23, 29, 22, 14, 3
2019/6/24, 40, 28, 19, 3
2019/6/25, 50, 40, 38, 6
2019/6/26, 65, 44, 20, 4
2019/6/27, 61, 30, 22, 4
2019/6/28, 45, 34, 20, 4
2019/6/29, 42, 31, 23, 4
2019/6/30, 49, 38, 30, 5
2019/1/1, 62, 8, 16, 7
2019/1/2, 32, 38, 23, 7
2019/1/3, 50, 33, 24, 8
2019/1/4, 81, 15, 22, 8
2019/1/5, 52, 21, 15, 7
2019/1/6, 52, 53, 31, 12
2019/1/7, 134, 52, 25, 10
2019/1/8, 138, 46, 19, 9
2019/1/9, 131, 48, 19, 9
2019/1/10, 138, 49, 29, 10
2019/1/11, 135, 29, 22, 8
2019/1/12, 83, 22, 18, 8
2019/1/13, 70, 11, 17, 8
2019/1/14, 39, 21, 18, 8
2019/1/15, 56, 23, 28, 10
2019/1/16, 68, 32, 25, 10
2019/1/17, 85, 24, 23, 6
2019/1/18, 59, 48, 28, 7
2019/1/19, 111, 64, 27, 9
2019/1/20, 150, 53, 24, 6
2019/1/21, 138, 53, 25, 6
2019/1/22, 132, 42, 17, 4
2019/1/23, 109, 27, 14, 3
2019/1/24, 75, 31, 22, 5
2019/1/25, 89, 61, 25, 7
2019/1/26, 157, 61, 17, 7
2019/1/27, 154, 46, 26, 7
2019/1/28, 125, 42, 26, 8
2019/1/29, 117, 44, 21, 7
2019/1/30, 125, 39, 20, 7
2019/1/31, 111, 41, 20, 6
2019/2/1, 123, 22, 15, 4
2019/2/2, 71, 49, 19, 7
2019/2/3, 138, 20, 20, 6
2019/2/4, 65, 39, 24, 6
2019/2/5, 100, 49, 27, 6
2019/2/6, 118, 50, 27, 6
2019/2/7, 113, 57, 30, 7
2019/2/8, 132, 49, 22, 6
2019/2/9, 124, 35, 16, 5
2019/2/10, 89, 27, 19, 5
2019/2/11, 75, 26, 20, 4
2019/2/12, 50, 26, 19, 4
2019/2/13, 80, 36, 26, 5
2019/2/14, 76, 56, 23, 6
2019/2/15, 135, 52, 22, 8
2019/2/16, 117, 54, 20, 5
2019/2/17, 110, 66, 32, 7
2019/2/18, 138, 70, 27, 7
2019/2/19, 140, 41, 17, 4
2019/2/20, 68, 30, 23, 6
2019/2/21, 85, 30, 18, 4
2019/2/22, 46, 50, 21, 5
2019/2/23, 74, 57, 16, 5
2019/2/24, 114, 63, 21, 6
2019/2/25, 136, 61, 23, 6
2019/2/26, 90, 49, 22, 5
2019/2/27, 84, 66, 22, 5
2019/2/28, 119, 58, 26, 6
2019/3/1, 94, 58, 28, 6
2019/3/2, 86, 48, 17, 6
2019/3/3, 120, 31, 19, 5
2019/3/4, 61, 30, 13, 4
2019/3/5, 54, 33, 26, 6
2019/3/6, 80, 45, 29, 7
2019/3/7, 87, 38, 17, 5
2019/3/8, 58, 22, 19, 5
2019/3/9, 59, 19, 12, 4
2019/3/10, 47, 28, 18, 5
2019/3/11, 60, 56, 24, 6
2019/3/12, 88, 55, 29, 7
2019/3/13, 100, 39, 24, 6
2019/3/14, 82, 19, 23, 6
2019/3/15, 64, 19, 15, 5
2019/3/16, 45, 32, 25, 7
2019/3/17, 68, 32, 22, 5
2019/3/18, 55, 43, 20, 6
2019/3/19, 79, 59, 25, 6
2019/3/20, 98, 56, 22, 6
2019/3/21, 95, 48, 24, 7
2019/3/22, 84, 52, 29, 7
2019/3/23, 97, 52, 18, 6
2019/3/24, 75, 56, 32, 7
2019/3/25, 93, 28, 19, 5
2019/3/26, 66, 36, 22, 6
2019/3/27, 59, 48, 27, 7
2019/3/28, 84, 47, 22, 6
2019/3/29, 89, 54, 23, 7
2019/3/30, 103, 57, 22, 7
2019/3/31, 111, 25, 16, 5
2018/10/1, 86, 41, 24, 5
2018/10/2, 78, 18, 17, 4
2018/10/3, 38, 30, 28, 6
2018/10/4, 63, 41, 37, 8
2018/10/5, 84, 39, 29, 6
2018/10/6, 91, 39, 24, 5
2018/10/7, 77, 35, 32, 6
2018/10/8, 63, 51, 35, 8
2018/10/9, 105, 55, 42, 10
2018/10/10, 129, 48, 23, 5
2018/10/11, 118, 48, 30, 5
2018/10/12, 109, 50, 25, 5
2018/10/13, 121, 44, 16, 4
2018/10/14, 107, 45, 30, 5
2018/10/15, 86, 56, 40, 8
2018/10/16, 118, 68, 48, 11
2018/10/17, 136, 74, 59, 14
2018/10/18, 151, 62, 41, 10
2018/10/19, 143, 36, 30, 8
2018/10/20, 98, 23, 30, 7
2018/10/21, 66, 36, 28, 7
2018/10/22, 90, 13, 18, 4
2018/10/23, 47, 6, 21, 4
2018/10/24, 16, 9, 22, 5
2018/10/25, 37, 19, 27, 6
2018/10/26, 50, 31, 20, 5
2018/10/27, 77, 17, 13, 4
2018/10/28, 54, 20, 12, 5
2018/10/29, 62, 25, 19, 5
2018/10/30, 61, 36, 39, 9
2018/10/31, 67, 38, 14, 5
2018/11/1, 94, 51, 28, 9
2018/11/2, 101, 26, 19, 6
2018/11/3, 80, 21, 9, 4
2018/11/4, 69, 39, 14, 6
2018/11/5, 106, 42, 20, 6
2018/11/6, 109, 47, 17, 6
2018/11/7, 124, 61, 32, 12
2018/11/8, 142, 67, 25, 11
2018/11/9, 159, 65, 15, 7
2018/11/10, 158, 54, 13, 6
2018/11/11, 146, 56, 15, 7
2018/11/12, 150, 50, 24, 8
2018/11/13, 133, 24, 22, 6
2018/11/14, 74, 22, 23, 6
2018/11/15, 62, 25, 14, 5
2018/11/16, 73, 46, 19, 6
2018/11/17, 117, 57, 21, 9
2018/11/18, 150, 13, 10, 4
2018/11/19, 52, 18, 12, 4
2018/11/20, 60, 23, 12, 4
2018/11/21, 73, 29, 19, 5
2018/11/22, 84, 40, 20, 6
2018/11/23, 111, 52, 16, 9
2018/11/24, 144, 60, 17, 12
2018/11/25, 158, 25, 11, 6
2018/11/26, 78, 58, 32, 10
2018/11/27, 128, 42, 21, 7
2018/11/28, 108, 24, 13, 4
2018/11/29, 68, 27, 14, 5
2018/11/30, 74, 54, 23, 8
2018/12/1, 129, 61, 19, 9
2018/12/2, 150, 36, 23, 10
2018/12/3, 103, 32, 23, 9
2018/12/4, 94, 33, 26, 8
2018/12/5, 87, 49, 24, 9
2018/12/6, 131, 35, 26, 10
2018/12/7, 101, 24, 21, 7
2018/12/8, 70, 16, 18, 7
2018/12/9, 58, 17, 18, 7
2018/12/10, 55, 39, 27, 8
2018/12/11, 91, 36, 22, 8
2018/12/12, 101, 21, 16, 6
2018/12/13, 66, 27, 16, 7
2018/12/14, 82, 25, 11, 6
2018/12/15, 78, 26, 13, 7
2018/12/16, 81, 57, 29, 12
2018/12/17, 137, 78, 33, 14
2018/12/18, 172, 52, 20, 8
2018/12/19, 138, 46, 22, 8
2018/12/20, 119, 53, 29, 11
2018/12/21, 138, 16, 15, 7
2018/12/22, 59, 19, 14, 7
2018/12/23, 61, 13, 16, 7
2018/12/24, 53, 21, 10, 6
2018/12/25, 65, 14, 8, 6
2018/12/26, 53, 21, 14, 7
2018/12/27, 67, 18, 20, 7
2018/12/28, 57, 25, 20, 8
2018/12/29, 72, 22, 16, 8
2018/12/30, 73, , , 
2018/7/1, 36, 20, 17, 5
2018/7/2, 41, 32, 27, 6
2018/7/3, 45, 39, 39, 7
2018/7/4, 54, 40, 46, 7
2018/7/5, 53, 32, 26, 6
2018/7/6, 52, 37, 18, 5
2018/7/7, 60, 24, 15, 5
2018/7/8, 50, 24, 25, 6
2018/7/9, 42, 21, 15, 4
2018/7/10, 44, 28, 26, 6
2018/7/11, 63, 31, 34, 7
2018/7/12, 74, 31, 26, 6
2018/7/13, 62, 19, 14, 5
2018/7/14, 60, 19, 14, 5
2018/7/15, 60, 23, 25, 8
2018/7/16, 63, 16, 20, 6
2018/7/17, 50, 23, 19, 6
2018/7/18, 64, 39, 21, 7
2018/7/19, 80, 43, 23, 7
2018/7/20, 80, 42, 26, 7
2018/7/21, 67, 37, 26, 8
2018/7/22, 71, 37, 29, 7
2018/7/23, 60, 45, 35, 7
2018/7/24, 64, 33, 18, 6
2018/7/25, 62, 33, 23, 7
2018/7/26, 61, 31, 15, 6
2018/7/27, 60, 31, 12, 6
2018/7/28, 69, 33, 12, 6
2018/7/29, 70, 29, 18, 6
2018/7/30, 63, 38, 20, 7
2018/7/31, 76, 32, 20, 6
2018/8/1, 69, 32, 21, 7
2018/8/2, 60, 58, 38, 8
2018/8/3, 77, 48, 30, 6
2018/8/4, 74, 23, 17, 4
2018/8/5, 47, 33, 26, 5
2018/8/6, 48, 40, 36, 6
2018/8/7, 57, 29, 21, 4
2018/8/8, 50, 32, 16, 4
2018/8/9, 57, 40, 25, 5
2018/8/10, 68, 18, 23, 6
2018/8/11, 55, 18, 20, 4
2018/8/12, 38, 30, 33, 6
2018/8/13, 59, 37, 34, 7
2018/8/14, 66, 24, 17, 5
2018/8/15, 57, 21, 23, 5
2018/8/16, 45, 23, 20, 5
2018/8/17, 49, 36, 27, 6
2018/8/18, 67, 39, 32, 8
2018/8/19, 76, 44, 36, 7
2018/8/20, 74, 36, 25, 6
2018/8/21, 51, 23, 18, 4
2018/8/22, 41, 33, 20, 5
2018/8/23, 62, 45, 32, 6
2018/8/24, 85, 25, 22, 6
2018/8/25, 66, 17, 19, 5
2018/8/26, 53, 23, 29, 6
2018/8/27, 52, 44, 34, 7
2018/8/28, 71, 26, 27, 5
2018/8/29, 57, 28, 23, 5
2018/8/30, 68, 37, 32, 7
2018/8/31, 74, 25, 20, 5
2018/9/1, 62, 23, 9, 3
2018/9/2, 61, 28, 15, 4
2018/9/3, 63, 44, 26, 6
2018/9/4, 78, 39, 26, 7
2018/9/5, 80, 42, 32, 8
2018/9/6, 79, 53, 32, 8
2018/9/7, 90, 46, 21, 6
2018/9/8, 93, 30, 20, 6
2018/9/9, 75, 31, 33, 7
2018/9/10, 62, 42, 36, 7
2018/9/11, 70, 40, 42, 8
2018/9/12, 60, 23, 17, 4
2018/9/13, 45, 18, 20, 5
2018/9/14, 51, 33, 24, 5
2018/9/15, 78, 31, 27, 7
2018/9/16, 62, 34, 42, 8
2018/9/17, 62, 44, 41, 8
2018/9/18, 89, 45, 48, 8
2018/9/19, 80, 52, 62, 9
