date, pm25, no2, co
2020/1/2, 35, 13, 5
2020/1/3, 42, 6, 4
2020/1/4, 38, 4, 3
2020/1/5, 20, 7, 3
2020/1/6, 25, 6, 3
2020/1/7, 15, 5, 3
2020/1/8, 24, 4, 2
2020/1/9, 23, 6, 3
2020/1/10, 29, 4, 3
2020/1/11, 34, 3, 2
2020/1/12, 14, 7, 3
2020/1/13, 36, 11, 4
2020/1/14, 67, 11, 4
2020/1/15, 56, 6, 3
2020/1/16, 40, , 
2019/10/1, 23, 3, 3
2019/10/2, 19, 4, 3
2019/10/3, 20, 3, 3
2019/10/4, 14, 5, 3
2019/10/5, 20, 2, 3
2019/10/6, 18, 5, 3
2019/10/7, 18, 4, 3
2019/10/8, 18, 7, 4
2019/10/9, 26, 7, 4
2019/10/10, 32, 8, 4
2019/10/11, 29, 5, 4
2019/10/12, 21, 3, 3
2019/10/13, 20, 4, 3
2019/10/14, 24, 5, 3
2019/10/15, 14, 5, 3
2019/10/16, 21, 2, 3
2019/10/17, 11, 3, 3
2019/10/18, 14, 4, 3
2019/10/19, 16, 4, 4
2019/10/20, 26, 9, 4
2019/10/21, 40, 4, 3
2019/10/22, 27, 5, 4
2019/10/23, 14, 4, 3
2019/10/24, 21, 6, 4
2019/10/25, 18, 7, 4
2019/10/26, 25, 3, 3
2019/10/27, 16, 4, 3
2019/10/28, 14, 2, 3
2019/10/29, 12, 5, 4
2019/10/30, 24, 3, 4
2019/10/31, 15, 2, 2
2019/11/1, 9, 4, 1
2019/11/2, 17, 3, 1
2019/11/3, 22, 3, 2
2019/11/4, 19, 4, 2
2019/11/5, 22, 4, 2
2019/11/6, 17, 5, 2
2019/11/7, 19, 3, 2
2019/11/8, 13, 3, 2
2019/11/9, 16, 5, 2
2019/11/10, 29, 4, 2
2019/11/11, 20, 5, 2
2019/11/12, 16, 7, 2
2019/11/13, 13, 6, 2
2019/11/14, 25, 7, 3
2019/11/15, 38, 5, 2
2019/11/16, 17, 6, 2
2019/11/17, 29, 8, 4
2019/11/18, 29, 11, 4
2019/11/19, 50, 8, 4
2019/11/20, 52, 8, 3
2019/11/21, 42, 4, 3
2019/11/22, 33, 4, 3
2019/11/23, 16, 6, 4
2019/11/24, 31, 9, 4
2019/11/25, 51, 8, 3
2019/11/26, 58, 11, 4
2019/11/27, 69, 3, 3
2019/11/28, 15, 3, 3
2019/11/29, 10, 4, 3
2019/11/30, 20, 8, 3
2019/12/1, 35, 6, 4
2019/12/2, 23, 7, 4
2019/12/3, 24, 8, 3
2019/12/4, 43, 6, 3
2019/12/5, 39, 5, 3
2019/12/6, 21, 6, 3
2019/12/7, 16, 5, 3
2019/12/8, 26, 5, 3
2019/12/9, 22, 4, 3
2019/12/10, 21, 3, 2
2019/12/11, 21, 4, 2
2019/12/12, 26, 5, 3
2019/12/13, 29, 9, 5
2019/12/14, 28, 2, 2
2019/12/15, 14, 6, 3
2019/12/16, 22, 11, 4
2019/12/17, 32, 7, 3
2019/12/18, 40, 5, 3
2019/12/19, 18, 8, 4
2019/12/20, 30, 8, 3
2019/12/21, 47, 12, 6
2019/12/22, 62, 12, 4
2019/12/23, 62, 6, 4
2019/12/24, 25, 7, 4
2019/12/25, 44, 6, 4
2019/12/26, 49, 6, 4
2019/12/27, 37, 4, 4
2019/12/28, 19, , 
2019/7/1, 31, 4, 4
2019/7/2, 33, 6, 5
2019/7/3, 56, 3, 4
2019/7/4, 59, 3, 4
2019/7/5, 58, 3, 4
2019/7/6, 47, 3, 3
2019/7/7, 19, 4, 3
2019/7/8, 22, 4, 4
2019/7/9, 43, 5, 4
2019/7/10, 62, 3, 4
2019/7/11, 55, 4, 4
2019/7/12, 29, 3, 4
2019/7/13, 42, 2, 4
2019/7/14, 32, 3, 3
2019/7/15, 25, 3, 3
2019/7/16, 33, 3, 4
2019/7/17, 27, 4, 4
2019/7/18, 29, 3, 5
2019/7/19, 32, 3, 5
2019/7/20, 39, 2, 4
2019/7/21, 30, 4, 3
2019/7/22, 27, 3, 3
2019/7/23, 32, 4, 3
2019/7/24, 24, 3, 4
2019/7/25, 29, 4, 4
2019/7/26, 43, 3, 5
2019/7/27, 50, 3, 5
2019/7/28, 51, 3, 4
2019/7/29, 46, 3, 4
2019/7/30, 47, 3, 4
2019/7/31, 32, 4, 3
2019/8/1, 26, 5, 4
2019/8/2, 28, 3, 4
2019/8/3, 33, 2, 4
2019/8/4, 23, 4, 3
2019/8/5, 23, 4, 4
2019/8/6, 35, 3, 4
2019/8/7, 37, 3, 4
2019/8/8, 30, 3, 4
2019/8/9, 21, 2, 3
2019/8/10, 17, 3, 4
2019/8/11, 21, 2, 4
2019/8/12, 28, 4, 4
2019/8/13, 35, 4, 4
2019/8/14, 25, 3, 3
2019/8/15, 22, 3, 4
2019/8/16, 29, 3, 4
2019/8/17, 35, 3, 4
2019/8/18, 26, 3, 4
2019/8/19, 25, 4, 4
2019/8/20, 27, 4, 4
2019/8/21, 24, 4, 4
2019/8/22, 27, 2, 3
2019/8/23, 20, 4, 4
2019/8/24, 21, 3, 4
2019/8/25, 26, 5, 4
2019/8/26, 22, 3, 4
2019/8/27, 23, 4, 4
2019/8/28, 23, 4, 4
2019/8/29, 20, 5, 4
2019/8/30, 20, 3, 4
2019/8/31, 17, 2, 4
2019/9/1, 17, 3, 5
2019/9/2, 17, 3, 4
2019/9/3, 20, 2, 3
2019/9/4, 24, 3, 3
2019/9/5, 18, 4, 4
2019/9/6, 26, 3, 4
2019/9/7, 23, 1, 3
2019/9/8, 17, 3, 3
2019/9/9, 18, 3, 3
2019/9/10, 26, 3, 5
2019/9/11, 34, 2, 3
2019/9/12, 19, 4, 3
2019/9/13, 20, 2, 4
2019/9/14, 25, 3, 3
2019/9/15, 20, 4, 3
2019/9/16, 19, 6, 3
2019/9/17, 24, 5, 3
2019/9/18, 25, 5, 3
2019/9/19, 22, 7, 5
2019/9/20, 30, 7, 5
2019/9/21, 38, 3, 4
2019/9/22, 40, 6, 5
2019/9/23, 52, 3, 3
2019/9/24, 18, 3, 3
2019/9/25, 18, 4, 3
2019/9/26, 25, 3, 3
2019/9/27, 18, 5, 4
2019/9/28, 28, 2, 3
2019/9/29, 17, 4, 3
2019/9/30, 23, 3, 4
2019/4/1, 17, 4, 3
2019/4/2, 22, 3, 2
2019/4/3, 22, 3, 2
2019/4/4, 19, 6, 3
2019/4/5, 24, 5, 4
2019/4/6, 34, 8, 4
2019/4/7, 47, 6, 3
2019/4/8, 27, 7, 4
2019/4/9, 36, 4, 3
2019/4/10, 22, 6, 3
2019/4/11, 19, 5, 3
2019/4/12, 28, 4, 3
2019/4/13, 24, 4, 3
2019/4/14, 19, 5, 3
2019/4/15, 21, 4, 3
2019/4/16, 11, 10, 4
2019/4/17, 23, 5, 3
2019/4/18, 21, 3, 4
2019/4/19, 33, 4, 4
2019/4/20, 18, 3, 4
2019/4/21, 25, 2, 3
2019/4/22, 20, 4, 4
