date, pm25, pm10, o3, no2, co
2019/9/10, 18, 18, 21, , 
2019/9/11, 24, 19, 35, , 
2019/9/12, 27, 23, 29, , 
2019/9/13, 31, 17, 28, , 
2019/9/14, 31, 12, 21, , 
2019/9/15, 25, 18, 32, , 
2019/9/16, 26, 14, 34, , 
2019/9/17, 19, 15, 37, , 
2019/9/18, 29, 19, 38, , 
2019/9/19, 27, 20, 29, , 
2019/9/20, 28, 18, 17, , 
2019/9/21, 33, 18, 36, , 
2019/9/22, 27, 15, 22, , 
2019/9/23, 29, 16, 27, , 
2019/9/24, 15, 15, 29, , 
2019/9/25, 25, 16, 20, , 
2019/9/26, 27, 18, 23, , 
2019/9/27, 28, 19, 10, , 
2019/9/28, 40, 17, , , 
2019/9/29, 30, 25, 12, , 
2019/9/30, 30, 8, 21, , 
2019/4/1, 59, 44, 32, , 
2019/4/2, 66, 44, 39, , 
2019/4/3, 63, 28, 37, , 
2019/4/4, 46, 44, 33, , 
2019/4/5, 41, 24, 33, , 
2019/4/6, 36, 19, 33, , 
2019/4/7, 35, 25, 36, , 
2019/4/8, 36, 53, 35, , 
2019/4/9, 35, 220, 44, , 
2019/4/10, 103, 43, 33, , 
2019/4/11, 36, 32, 37, , 
2019/4/12, 38, 24, 39, , 
2019/4/13, 47, 23, , , 
2019/4/14, 45, 34, 36, , 
2019/4/15, 40, 30, 40, , 
2019/4/16, 36, 35, 35, , 
2019/4/17, 40, 17, 39, , 
2019/4/18, 41, 23, 47, , 
2019/4/19, 46, 37, 36, , 
2019/4/20, 42, 24, , , 
2019/4/21, 44, 29, 35, , 
2019/4/22, 61, 18, 39, , 
2019/4/23, 33, 14, 42, , 
2019/4/24, 22, 22, 42, , 
2019/4/25, 41, 30, 37, , 
2019/4/26, 41, 30, 41, , 
2019/4/27, 38, 26, , , 
2019/4/28, 34, 25, 36, , 
2019/4/29, 34, 37, 32, , 
2019/4/30, 37, 27, 37, , 
2019/5/1, 29, 26, 36, , 
2019/5/2, 40, 29, 39, , 
2019/5/3, 25, 29, 41, , 
2019/5/4, 37, 23, 41, , 
2019/5/5, 34, 29, 35, , 
2019/5/6, 32, 38, 32, , 
2019/5/7, 41, 27, 35, , 
2019/5/8, 32, 32, 46, , 
2019/5/9, 35, 30, 28, , 
2019/5/10, 37, 15, 36, , 
2019/5/11, 30, 16, , , 
2019/5/12, 32, 18, 40, , 
2019/5/13, 36, 28, 53, , 
2019/5/14, 41, 26, 49, , 
2019/5/15, 47, 31, 39, , 
2019/5/16, 49, 60, 37, , 
2019/5/17, 81, 35, 46, , 
2019/5/18, 51, 27, 47, , 
2019/5/19, 51, 152, 44, , 
2019/5/20, 109, 49, 42, , 
2019/5/21, 66, 64, 44, , 
2019/5/22, 95, 47, 48, , 
2019/5/23, 78, 33, 41, , 
2019/5/24, 58, 24, 27, , 
2019/5/25, 55, 108, , , 
2019/5/26, 108, 45, , , 
2019/5/27, 84, 26, 28, , 
2019/5/28, 49, 24, 42, , 
2019/5/29, 61, 40, 44, , 
2019/5/30, 68, 29, 37, , 
2019/5/31, 54, 25, , , 
2019/6/1, 50, 30, 41, , 
2019/6/2, 51, 31, 38, , 
2019/6/3, 45, 16, 40, , 
2019/6/4, 37, 31, 47, , 
2019/6/5, 39, 29, 46, , 
2019/6/6, 33, 34, 44, , 
2019/6/7, 41, 34, 33, , 
2019/6/8, 34, 39, 33, , 
2019/6/9, 44, 30, 28, , 
2019/6/10, 53, 13, 36, , 
2019/6/11, 42, 26, 39, , 
2019/6/12, 31, 40, 41, , 
2019/6/13, 41, 44, 32, , 
2019/6/14, 35, 36, 35, , 
2019/6/15, 33, 23, 24, , 
2019/6/16, 34, 32, 35, , 
2019/6/17, 38, 33, 38, , 
2019/6/18, 34, 31, 28, , 
2019/6/19, 38, 29, 38, , 
2019/6/20, 30, 45, 34, , 
2019/6/21, 34, 31, 41, , 
2019/6/22, 28, 25, 39, , 
2019/6/23, 33, 30, 48, , 
2019/6/24, 38, 46, 41, , 
2019/6/25, 48, 40, 39, , 
2019/6/26, 43, 30, 44, , 
2019/6/27, 37, 33, 35, , 
2019/6/28, 45, 23, 37, , 
2019/6/29, 33, 27, 40, , 
2019/6/30, 40, 45, 47, , 
2019/1/1, 64, 15, 9, , 
2019/1/2, 47, 14, 8, , 
2019/1/3, 63, 21, 21, , 
2019/1/4, 69, 33, 21, , 
2019/1/5, 72, 30, 15, , 
2019/1/6, 60, 13, 22, , 
2019/1/7, 44, 26, 21, , 
2019/1/8, 70, 24, 25, , 
2019/1/9, 68, 25, 18, , 
2019/1/10, 37, 14, 25, , 
2019/1/11, 24, 13, 27, , 
2019/1/12, 38, 14, 29, , 
2019/1/13, 35, 18, 23, , 
2019/1/14, 45, 38, 16, , 
2019/1/15, 49, 30, 18, , 
2019/1/16, 54, 28, 21, , 
2019/1/17, 57, 44, 30, , 
2019/1/18, 49, 17, 32, , 
2019/1/19, 62, 27, 27, , 
2019/1/20, 71, 59, 24, , 
2019/1/21, 53, 20, 32, , 
2019/1/22, 43, 19, 24, , 
2019/1/23, 61, 21, 28, , 
2019/1/24, 49, 31, 29, , 
2019/1/25, 48, 32, 34, , 
2019/1/26, 46, 24, 29, , 
2019/1/27, 57, 27, 29, , 
2019/1/28, 43, 43, 23, , 
2019/1/29, 48, 57, 22, , 
2019/1/30, 49, 48, 25, , 
2019/1/31, 60, 30, 19, , 
2019/2/1, 48, 15, 21, , 
2019/2/2, 47, 21, , , 
2019/2/3, 32, 18, 14, , 
2019/2/4, 30, 21, 18, , 
2019/2/5, 24, 41, 31, , 
2019/2/6, 25, 17, 36, , 
2019/2/7, 35, 29, 31, , 
2019/2/8, 37, 31, 26, , 
2019/2/9, 43, 27, 19, , 
2019/2/10, 42, 34, 39, , 
2019/2/11, 42, 28, 36, , 
2019/2/12, 36, 37, 21, , 
2019/2/13, 46, 25, 28, , 
2019/2/14, 43, 25, 26, , 
2019/2/15, 30, 37, 39, , 
2019/2/16, 36, 14, 38, , 
2019/2/17, 37, 30, 32, , 
2019/2/18, 39, 29, 30, , 
2019/2/19, 50, 21, 31, , 
2019/2/20, 38, 38, 29, , 
2019/2/21, 51, 69, 30, , 
2019/2/22, 69, 12, 34, , 
2019/2/23, 42, 14, 35, , 
2019/2/24, 47, 26, 8, , 
2019/2/25, 53, 21, 30, , 
2019/2/26, 63, 21, 25, , 
2019/2/27, 57, 22, 30, , 
2019/2/28, 49, 22, 28, , 
2019/3/1, 40, 32, 30, , 
2019/3/2, 49, 25, 28, , 
2019/3/3, 42, 30, 30, , 
2019/3/4, 49, 25, 31, , 
2019/3/5, 48, 33, 31, , 
2019/3/6, 45, 45, 23, , 
2019/3/7, 44, 147, 29, , 
2019/3/8, 65, 23, 36, , 
2019/3/9, 36, 29, 33, , 
2019/3/10, 45, 29, 23, , 
2019/3/11, 45, 41, 33, , 
2019/3/12, 59, 87, 37, , 
2019/3/13, 51, 40, 41, , 
2019/3/14, 64, 43, 37, , 
2019/3/15, 77, 17, 30, , 
2019/3/16, 76, 14, , , 
2019/3/17, 53, 18, , , 
2019/3/18, 47, 32, 32, , 
2019/3/19, 51, 39, 36, , 
2019/3/20, 57, 29, 35, , 
2019/3/21, 52, 24, 36, , 
2019/3/22, 34, 32, 36, , 
2019/3/23, 38, 21, , , 
2019/3/24, 50, 28, 41, , 
2019/3/25, 54, 33, 32, , 
2019/3/26, 60, 29, 34, , 
2019/3/27, 44, 26, 38, , 
2019/3/28, 38, 39, 36, , 
2019/3/29, 42, 33, 34, , 
2019/3/30, 46, 28, , , 
2019/3/31, 55, 26, 1, , 
2018/10/1, 36, 20, 24, , 
2018/10/2, 33, 22, 15, , 
2018/10/3, 33, 25, 19, , 
2018/10/4, 30, 26, 18, , 
2018/10/5, 35, 25, 19, , 
2018/10/6, 28, 29, 23, , 
2018/10/7, 33, 16, 32, , 
2018/10/8, 38, 15, 28, , 
2018/10/9, 37, 36, 29, , 
2018/10/10, 54, 41, 22, , 
2018/10/11, 49, 14, 18, , 
2018/10/12, 32, 11, 18, , 
2018/10/13, 30, 17, 25, , 
2018/10/14, 37, 16, 22, , 
2018/10/15, 74, 15, 25, , 
2018/10/16, 85, 16, 26, , 
2018/10/17, 49, 11, 23, , 
2018/10/18, 43, 13, , , 
2018/10/21, 43, 20, 21, , 
2018/10/22, 52, 14, 17, , 
2018/10/23, 53, 16, 21, , 
2018/10/24, 51, 19, 27, , 
2018/10/25, 55, 32, 28, , 
2018/10/26, 61, 25, 27, , 
2018/10/27, 65, 35, 33, , 
2018/10/28, 72, 39, 21, , 
2018/10/29, 72, 21, 18, , 
2018/10/30, 52, 18, 22, , 
2018/10/31, 40, 16, 27, , 
2018/11/1, 50, 26, 23, , 
2018/11/2, 66, 15, 28, , 
2018/11/3, 48, 25, 31, , 
2018/11/4, 52, 29, 27, , 
2018/11/5, 50, 24, 27, , 
2018/11/6, 52, 28, 27, , 
2018/11/7, 51, 24, 25, , 
2018/11/8, 44, 25, 26, , 
2018/11/9, 53, 30, 27, , 
2018/11/10, 56, 30, 31, , 
2018/11/11, 63, 22, 29, , 
2018/11/12, 55, 26, 26, , 
2018/11/13, 62, 55, 21, , 
2018/11/14, 83, 52, 21, , 
2018/11/15, 67, 47, 18, , 
