date, pm25, no2, co
2019/4/8, 40, 23, 4
2019/4/9, 27, 24, 5
2019/4/10, 50, 13, 3
2019/4/11, 36, 7, 2
2019/4/12, 28, 19, 5
2019/4/13, 37, 6, 2
2019/4/14, 33, 5, 2
2019/4/15, 21, , 4
2019/4/16, 46, , 4
2019/4/17, 56, , 2
2019/4/18, 58, , 3
2019/4/19, 18, , 3
2019/4/20, 9, , 3
2019/4/21, 23, , 5
2019/4/22, 38, 14, 3
2019/4/23, 53, 26, 3
2019/4/24, 34, 24, 3
2019/4/25, 54, 6, 1
2019/4/26, 26, 19, 2
2019/4/27, 26, 15, 2
2019/4/28, 29, 18, 2
2019/4/29, 46, 23, 4
2019/4/30, 61, 18, 4
2019/5/1, 78, 19, 2
2019/5/2, 43, 17, 3
2019/5/3, 32, 13, 3
2019/5/4, 71, 14, 3
2019/5/7, 17, 21, 3
2019/5/8, 31, 16, 2
2019/5/9, 44, 8, 1
2019/5/10, 19, , 
2019/5/13, 33, 22, 3
2019/5/14, 25, 21, 3
2019/5/15, 53, 20, 3
2019/5/16, 61, 22, 3
2019/5/17, 46, 15, 4
2019/5/18, 59, 8, 1
2019/5/19, 48, 12, 1
2019/5/20, 29, 16, 2
2019/5/21, 20, 18, 3
2019/5/22, 50, 17, 3
2019/5/23, 54, 14, 3
2019/5/24, 53, 15, 3
2019/5/25, 53, 11, 2
2019/5/26, 51, 10, 2
2019/5/27, 43, 11, 1
2019/5/28, 62, 15, 2
2019/5/29, 40, 14, 1
2019/5/30, 29, 24, 4
2019/5/31, 37, 10, 2
2019/6/1, 44, 12, 2
2019/6/2, 57, 20, 3
2019/6/3, 29, 17, 4
2019/6/4, 64, 14, 2
2019/6/5, 49, 25, 3
2019/6/6, 36, 18, 3
2019/6/7, 51, 11, 2
2019/6/8, 42, 8, 2
2019/6/9, 25, 11, 2
2019/6/10, 29, 19, 4
2019/6/11, 33, 16, 4
2019/6/12, 43, 9, 2
2019/6/13, 31, 19, 2
2019/6/14, 35, 17, 3
2019/6/15, 47, 11, 2
2019/6/16, 28, 16, 2
2019/6/17, 29, 18, 3
2019/6/18, 32, 16, 4
2019/6/19, 48, 8, 1
2019/6/20, 31, 15, 3
2019/6/21, 42, 15, 4
2019/6/22, 40, 10, 3
2019/6/23, 35, 11, 2
2019/6/24, 23, 12, 2
2019/6/25, 28, 18, 3
2019/6/26, 41, 19, 3
2019/6/27, 48, 18, 4
2019/6/28, 51, 13, 3
2019/6/29, 50, 14, 3
2019/6/30, 45, 11, 2
2019/1/1, 18, 12, 4
2019/1/2, 44, 11, 5
2019/1/3, 53, 20, 8
2019/1/4, 56, 12, 4
2019/1/5, 40, 18, 6
2019/1/6, 62, 13, 4
2019/1/7, 37, 7, 3
2019/1/8, 27, 5, 2
2019/1/9, 25, 11, 3
2019/1/10, 51, 21, 5
2019/1/11, 67, 17, 4
2019/1/12, 61, 14, 4
2019/1/13, 62, 22, 6
2019/1/14, 64, 23, 6
2019/1/15, 78, 19, 4
2019/1/16, 54, 18, 5
2019/1/17, 56, 16, 4
2019/1/18, 51, 12, 4
2019/1/19, 32, 8, 3
2019/1/20, 15, 26, 5
2019/1/21, 50, 20, 4
2019/1/22, 36, 17, 4
2019/1/23, 31, 10, 3
2019/1/24, 52, 7, 2
2019/1/25, 24, 10, 2
2019/1/26, 37, 9, 3
2019/1/27, 38, 13, 3
2019/1/28, 39, 6, 2
2019/1/29, 37, 6, 2
2019/1/30, 16, 16, 3
2019/1/31, 31, 25, 6
2019/2/1, 71, 17, 7
2019/2/2, 73, 21, 11
2019/2/3, 73, 22, 7
2019/2/4, 68, 14, 5
2019/2/5, 75, 17, 7
2019/2/6, 46, 14, 5
2019/2/7, 43, 4, 1
2019/2/8, 16, 14, 3
2019/2/9, 36, 16, 4
2019/2/10, 51, 21, 6
2019/2/11, 52, 13, 4
2019/2/12, 27, 8, 2
2019/2/13, 34, 19, 4
2019/2/14, 29, 9, 2
2019/2/15, 40, 11, 3
2019/2/16, 38, 12, 4
2019/2/17, 46, 11, 3
2019/2/18, 39, 27, 5
2019/2/19, 54, 20, 4
2019/2/20, 25, 15, 3
2019/2/21, 47, 24, 5
2019/2/22, 77, 16, 4
2019/2/23, 49, 3, 2
2019/2/24, 21, 14, 3
2019/2/25, 26, 28, 6
2019/2/26, 53, 21, 5
2019/2/27, 62, 19, 4
2019/2/28, 66, 23, 5
2019/3/1, 63, 15, 4
2019/3/2, 62, 15, 4
2019/3/3, 67, 7, 2
2019/3/4, 21, 6, 2
2019/3/5, 34, 10, 2
2019/3/6, 39, 19, 3
2019/3/7, 55, 24, 4
2019/3/8, 65, 16, 4
2019/3/9, 49, 4, 2
2019/3/10, 34, 20, 3
2019/3/11, 32, 30, 6
2019/3/12, 52, 24, 4
2019/3/13, 43, 12, 3
2019/3/14, 48, 6, 2
2019/3/15, 15, 11, 3
2019/3/16, 28, 17, 5
2019/3/17, 40, 24, 5
2019/3/18, 42, 28, 6
2019/3/19, 57, 21, 6
2019/3/20, 61, 12, 3
2019/3/21, 62, 9, 2
2019/3/22, 27, 18, 5
2019/3/23, 26, 22, 7
2019/3/24, 63, 21, 4
2019/3/25, 52, 25, 4
2019/3/26, 22, 23, 6
2019/3/27, 48, 23, 5
2019/3/28, 67, 17, 4
2019/3/29, 68, 11, 2
2019/3/30, 40, 7, 2
2019/3/31, 13, 23, 5
2018/10/1, 62, 12, 2
2018/10/2, 48, 13, 3
2018/10/3, 49, 13, 3
2018/10/4, 50, 12, 3
2018/10/5, 54, 13, 4
2018/10/6, 52, 14, 5
2018/10/7, 60, 17, 6
2018/10/8, 64, 15, 4
2018/10/9, 43, 15, 3
2018/10/10, 28, 9, 2
2018/10/11, 24, 10, 2
2018/10/12, 14, 9, 2
2018/10/13, 24, 12, 4
2018/10/14, 38, 12, 3
2018/10/15, 36, 13, 3
2018/10/16, 35, 13, 3
2018/10/17, 37, 18, 6
2018/10/18, 53, 9, 6
2018/10/19, 46, 4, 2
2018/10/20, 30, 9, 3
2018/10/21, 22, 18, 5
2018/10/22, 45, 24, 5
2018/10/23, 38, 22, 5
2018/10/24, 36, 23, 6
2018/10/25, 48, 19, 5
2018/10/26, 49, 9, 3
2018/10/27, 52, 8, 3
2018/10/28, 38, 13, 4
2018/10/29, 28, 20, 6
2018/10/30, 58, 15, 3
2018/10/31, 52, 18, 4
2018/11/1, 29, 11, 3
2018/11/2, 19, 14, 6
2018/11/3, 43, 13, 4
2018/11/4, 38, 17, 3
2018/11/5, 35, 7, 2
2018/11/6, 21, 17, 5
2018/11/7, 32, 17, 4
2018/11/8, 53, 13, 3
2018/11/9, 48, 10, 3
2018/11/10, 29, 16, 7
2018/11/11, 47, 26, 9
2018/11/12, 69, 20, 4
2018/11/13, 68, 21, 4
2018/11/14, 51, 15, 3
2018/11/15, 40, 10, 3
2018/11/16, 57, 15, 5
2018/11/17, 71, 15, 6
2018/11/18, 76, 14, 5
2018/11/19, 69, 11, 3
2018/11/20, 59, 14, 4
2018/11/21, 67, 14, 6
2018/11/22, 79, 18, 5
2018/11/23, 50, 11, 3
2018/11/24, 41, 16, 6
2018/11/25, 55, 9, 3
2018/11/26, 16, 8, 3
2018/11/27, 34, 16, 5
2018/11/28, 49, 19, 5
2018/11/29, 65, 22, 8
2018/11/30, 99, 15, 4
2018/12/1, 39, 10, 2
2018/12/2, 14, 7, 5
2018/12/3, 26, 15, 4
2018/12/4, 27, 8, 2
2018/12/5, 31, 17, 4
2018/12/6, 51, 25, 6
2018/12/7, 54, 18, 4
2018/12/8, 49, 17, 5
2018/12/9, 62, 25, 8
2018/12/10, 98, 23, 6
2018/12/11, 83, 25, 5
2018/12/12, 56, 30, 8
2018/12/13, 69, 25, 14
2018/12/14, 55, 16, 5
2018/12/15, 60, 10, 4
2018/12/16, 50, 21, 6
2018/12/17, 49, 23, 9
2018/12/18, 63, 24, 12
2018/12/19, 71, 27, 7
2018/12/20, 63, 17, 3
2018/12/21, 36, 10, 5
2018/12/22, 44, 14, 6
2018/12/23, 63, 13, 4
2018/12/24, 39, 16, 9
2018/12/25, 61, 22, 11
2018/12/26, 61, 22, 6
2018/12/27, 49, 14, 3
2018/12/28, 21, 6, 3
2018/12/29, 24, 12, 6
2018/12/30, 43, , 
2018/7/1, 55, 18, 3
2018/7/2, 53, 20, 5
2018/7/3, 46, 18, 4
2018/7/4, 59, 21, 4
2018/7/5, 70, 20, 3
2018/7/6, 31, 18, 3
2018/7/7, 21, 20, 4
2018/7/8, 46, 22, 4
2018/7/9, 58, 22, 3
2018/7/10, 57, 26, 4
2018/7/11, 54, 32, 4
2018/7/12, 55, 36, 6
2018/7/13, 69, 24, 5
2018/7/14, 79, 19, 4
2018/7/15, 77, 14, 2
2018/7/16, 53, 27, 3
2018/7/17, 32, 27, 4
2018/7/18, 41, 29, 4
2018/7/19, 51, 24, 3
2018/7/20, 48, 9, 1
2018/7/21, 39, 13, 3
2018/7/22, 42, 26, 4
2018/7/23, 51, 18, 4
2018/7/24, 54, 25, 5
2018/7/25, 57, 15, 3
2018/7/26, 52, 15, 3
2018/7/27, 32, 19, 4
2018/7/28, 44, 20, 5
2018/7/29, 54, 27, 4
2018/7/30, 59, 16, 3
2018/7/31, 47, 13, 2
2018/8/1, 42, 20, 4
2018/8/2, 61, 16, 4
2018/8/3, 67, 20, 3
2018/8/4, 66, 13, 4
2018/8/5, 56, 20, 4
2018/8/6, 51, 17, 2
2018/8/7, 42, 13, 2
2018/8/8, 59, 16, 4
2018/8/9, 54, 19, 4
2018/8/10, 63, 16, 4
2018/8/11, 55, 17, 5
2018/8/12, 52, 24, 6
2018/8/13, 65, 19, 5
2018/8/14, 69, 17, 4
2018/8/15, 73, 16, 2
2018/8/16, 51, 14, 2
2018/8/17, 53, 17, 5
2018/8/18, 54, 16, 5
2018/8/19, 63, 19, 4
2018/8/20, 58, 8, 2
2018/8/21, 35, 17, 4
2018/8/22, 49, 22, 5
2018/8/23, 55, 17, 5
2018/8/24, 64, 9, 3
2018/8/25, 65, 7, 2
2018/8/26, 74, 15, 3
2018/8/27, 71, 19, 3
2018/8/28, 62, 17, 2
2018/8/29, 50, 23, 5
2018/8/30, 45, 20, 4
2018/8/31, 49, 13, 3
2018/9/1, 29, 8, 3
2018/9/2, 40, 9, 4
2018/9/3, 37, 21, 6
2018/9/4, 53, 20, 5
2018/9/5, 61, 22, 5
2018/9/6, 50, 19, 4
2018/9/7, 50, 10, 2
2018/9/8, 24, 12, 3
2018/9/9, 17, 8, 2
2018/9/10, 20, 17, 5
2018/9/11, 50, 22, 6
2018/9/12, 50, 24, 6
2018/9/13, 62, 28, 7
2018/9/14, 62, 16, 5
2018/9/15, 40, 11, 4
2018/9/16, 24, 15, 4
2018/9/17, 37, 22, 5
2018/9/18, 55, 30, 7
2018/9/19, 66, 18, 5
2018/9/20, 71, 10, 2
2018/9/21, 58, 11, 4
2018/9/22, 25, 12, 4
2018/9/23, 24, 13, 4
2018/9/24, 50, 12, 2
2018/9/25, 36, 16, 3
2018/9/26, 29, 23, 6
2018/9/27, 43, 14, 5
2018/9/28, 49, 18, 5
2018/9/29, 38, 13, 6
2018/9/30, 52, 15, 6
2018/4/1, 24, 22, 3
2018/4/2, 35, 15, 3
2018/4/3, 42, 5, 1
2018/4/4, 19, 19, 3
2018/4/5, 28, 17, 3
2018/4/6, 32, 17, 3
2018/4/7, 21, 19, 4
2018/4/8, 35, 23, 4
2018/4/9, 44, 25, 5
2018/4/10, 53, 19, 4
2018/4/11, 49, 16, 2
2018/4/12, 35, 14, 2
