date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 169, 136, 17, 28, 20, 13, 
2020/1/3, 202, 195, 12, 33, 10, 16, 
2020/1/4, 283, 208, 4, 39, 11, 19, 
2020/1/5, 303, 70, 15, 20, 7, 9, 
2020/1/6, 164, 64, 17, 17, 9, 8, 
2020/1/7, 155, 67, 14, 16, 7, 16, 
2020/1/8, 155, 85, 31, 13, 7, 14, 
2020/1/9, 175, 165, 13, 35, 12, 27, 
2020/1/10, 262, 113, 18, 28, 8, 22, 
2020/1/11, 197, 103, 25, 26, 17, 13, 
2020/1/12, 185, 136, 20, 28, 15, , 
2020/1/13, 228, 174, 24, 26, 11, , 
2020/1/14, 280, 142, 9, 26, 13, 5, 
2020/1/15, 243, 125, 12, 21, 11, 6, 
2020/1/16, 219, , , , , , 
2019/10/1, 83, 76, 106, 15, 5, 6, 
2019/10/2, 108, 83, 92, 22, 6, 8, 
2019/10/3, 117, 49, 45, 14, 5, 7, 
2019/10/4, 85, 22, 35, 12, 3, 4, 
2019/10/5, 30, 26, 34, 16, 3, 5, 
2019/10/6, 39, 42, 38, 12, 6, 10, 
2019/10/7, 63, 67, 48, 21, 5, 8, 
2019/10/8, 97, 46, 37, 20, 4, 6, 
2019/10/9, 65, 60, 38, 13, 7, 10, 
2019/10/10, 119, 62, 32, 19, 6, 8, 
2019/10/11, 118, 64, 48, 24, 6, 6, 
2019/10/12, 95, 76, 36, 26, 6, 8, 
2019/10/13, 117, 41, 23, 16, 7, 8, 
2019/10/14, 48, 47, 25, 24, 7, 6, 
2019/10/15, 54, 55, 14, 25, 6, 10, 
2019/10/16, 80, 72, 25, 24, 17, 9, 
2019/10/17, 138, 80, 42, 24, 11, 8, 
2019/10/18, 156, 82, 66, 20, 6, 8, 
2019/10/19, 140, 109, 59, 24, 8, 11, 
2019/10/20, 165, 128, 46, 26, 14, 11, 
2019/10/21, 163, 125, 24, 36, 22, 23, 
2019/10/22, 157, 80, 33, 21, 5, 13, 
2019/10/23, 147, 85, 31, 20, 7, 9, 
2019/10/24, 149, 45, 25, 14, 4, 3, 
2019/10/25, 47, 70, 26, 18, 6, 7, 
2019/10/26, 81, 70, 42, 19, 8, 7, 
2019/10/27, 97, 211, 34, 18, 11, 6, 
2019/10/28, 128, 135, 40, 19, 17, 7, 
2019/10/29, 123, 121, 35, 25, 15, 9, 
2019/10/30, 139, 73, 39, 23, 19, 10, 
2019/10/31, 86, 108, 25, 35, 28, 12, 
2019/11/1, 151, 103, 40, 31, 18, 10, 
2019/11/2, 159, 68, 17, 20, 10, 8, 
2019/11/3, 106, 60, 33, 15, 9, 7, 
2019/11/4, 94, 94, 54, 21, 5, 13, 
2019/11/5, 168, 96, 54, 17, 7, 8, 
2019/11/6, 164, 100, 17, 27, 8, 9, 
2019/11/7, 171, 94, 36, 23, 6, 9, 
2019/11/8, 160, 124, 59, 20, 7, 9, 
2019/11/9, 194, 67, 34, 14, 6, 2, 
2019/11/10, 63, 84, 32, 22, 15, 9, 
2019/11/11, 95, 94, 44, 23, 14, 6, 
2019/11/12, 138, 60, 31, 13, 6, , 
2019/11/13, 49, 84, 24, 22, 10, 1, 
2019/11/14, 89, 107, 22, 30, 19, 5, 
2019/11/15, 160, 92, 12, 32, 8, 4, 
2019/11/16, 159, 72, 24, 21, 7, 4, 
2019/11/17, 125, 143, 24, 13, 15, , 
2019/11/18, 111, 131, 16, 23, 10, , 
2019/11/19, 149, 135, 11, 30, 21, , 
2019/11/20, 173, 96, 27, 21, 8, , 
2019/11/21, 164, 148, 34, 37, 9, , 
2019/11/22, 218, 172, 17, 41, 11, , 
2019/11/23, 268, 98, 23, 16, 10, , 
2019/11/24, 150, 44, 25, 11, 7, 3, 
2019/11/25, 67, 68, 20, 17, 8, 4, 
2019/11/26, 138, 80, 15, 22, 10, , 
2019/11/27, 133, 67, 24, 17, 10, 1, 
2019/11/28, 121, 87, 14, 22, 15, 5, 
2019/11/29, 169, 95, 19, 21, 11, , 
2019/11/30, 173, 110, 23, 25, 11, , 
2019/12/1, 191, 73, 24, 15, 8, , 
2019/12/2, 127, 61, 21, 16, 13, , 
2019/12/3, 103, 73, 12, 21, 14, , 
2019/12/4, 134, 95, 10, 20, 14, 3, 
2019/12/5, 157, 83, 16, 14, 10, 6, 
2019/12/6, 159, 118, 7, 16, 6, 12, 
2019/12/7, 201, 125, 226, 20, 5, 16, 
2019/12/8, 212, 116, 8, 19, 6, 18, 
2019/12/9, 196, 120, 8, 27, 6, 21, 
2019/12/10, 206, 114, 21, 27, 15, 19, 
2019/12/11, 177, 76, 16, 20, 14, 7, 
2019/12/12, 129, 113, 14, 27, 16, 12, 
2019/12/13, 176, 70, 19, 23, 15, 9, 
2019/12/14, 118, 64, 7, 22, 8, 9, 
2019/12/15, 139, 93, 31, 23, 10, 15, 
2019/12/16, 178, 79, 13, 18, 7, 21, 
2019/12/17, 154, 46, 21, 14, 11, 6, 
2019/12/18, 77, 78, 16, 18, 10, 11, 
2019/12/19, 151, 71, 16, 16, 9, 7, 
2019/12/20, 122, 118, 7, 24, 10, 14, 
2019/12/21, 195, 150, 6, 24, 5, 16, 
2019/12/22, 228, 166, 4, 30, 7, 17, 
2019/12/23, 253, 146, 5, 29, 11, 18, 
2019/12/24, 235, 134, 3, 23, 10, 15, 
2019/12/25, 206, 95, 22, 19, 12, 15, 
2019/12/26, 155, 76, 18, 16, 8, 9, 
2019/12/27, 128, 97, 17, 23, 12, 13, 
2019/12/28, 160, 78, 16, 8, 7, 7, 
2019/12/29, 156, , , , , , 
2019/7/1, 71, 68, 122, 12, 10, 7, 
2019/7/2, 85, 65, 121, 11, 14, 8, 
2019/7/3, 90, 67, 104, 13, 11, 7, 
2019/7/4, 96, 59, 99, 11, 9, 5, 
2019/7/5, 73, 37, 47, 8, 9, 3, 
2019/7/6, 55, 41, 65, 10, 9, 6, 
2019/7/7, 68, 48, 65, 10, 10, 8, 
2019/7/8, 78, 58, 78, 13, 15, 7, 
2019/7/9, 101, 57, 89, 9, 9, 6, 
2019/7/10, 103, 57, 85, 10, 9, 6, 
2019/7/11, 110, 70, 107, 11, 11, 11, 
2019/7/12, 117, 58, 102, 9, 11, 7, 
2019/7/13, 98, 69, 114, 11, 10, 9, 
2019/7/14, 109, 75, 120, 17, 16, 14, 
2019/7/15, 108, 65, 105, 10, 13, 7, 
2019/7/16, 102, 71, 86, 8, 6, 7, 
2019/7/17, 146, 68, 100, 7, 8, 6, 
2019/7/18, 144, 68, 102, 8, 8, 7, 
2019/7/19, 128, 74, 69, 13, 7, 8, 
2019/7/20, 128, 75, 101, 8, 5, 10, 
2019/7/21, 151, 66, 76, 8, 11, 9, 
2019/7/22, 121, 46, 82, 8, 7, 7, 
2019/7/23, 82, 55, 100, 12, 13, 8, 
2019/7/24, 87, 57, 100, 12, 12, 8, 
2019/7/25, 92, 57, 99, 8, 10, 5, 
2019/7/26, 96, 41, 62, 7, 14, 3, 
2019/7/27, 65, 40, 68, 7, 11, 4, 
2019/7/28, 70, 42, 44, 7, 12, 7, 
2019/7/29, 69, 32, 58, 7, 7, 5, 
2019/7/30, 60, 52, 70, 8, 9, 6, 
2019/7/31, 91, 43, 51, 6, 8, 4, 
2019/8/1, 77, 37, 63, 7, 7, 5, 
2019/8/2, 76, 42, 70, 9, 7, 4, 
2019/8/3, 80, 50, 47, 10, 4, 6, 
2019/8/4, 104, 56, 45, 9, 11, 8, 
2019/8/5, 116, 60, 41, 9, 11, 4, 
2019/8/6, 121, 53, 41, 8, 10, 5, 
2019/8/7, 120, 44, 57, 8, 8, 5, 
2019/8/8, 88, 52, 65, 9, 12, 5, 
2019/8/9, 96, 28, 55, 7, 5, 5, 
2019/8/10, 67, 35, 35, 10, 7, 4, 
2019/8/11, 71, 23, 57, 9, 9, 6, 
2019/8/12, 50, 32, 46, 11, 7, 4, 
2019/8/13, 46, 54, 78, 11, 15, 7, 
2019/8/14, 81, 61, 88, 14, 10, 10, 
2019/8/15, 101, 48, 67, 9, 7, 4, 
2019/8/16, 77, 51, 68, 15, 12, 5, 
2019/8/17, 69, 55, 91, 13, 17, 6, 
2019/8/18, 75, 58, 89, 12, 17, 7, 
2019/8/19, 91, 43, 62, 9, 9, 6, 
2019/8/20, 62, 55, 80, 11, 7, 6, 
2019/8/21, 96, 65, 61, 12, 8, 6, 
2019/8/22, 109, 59, 59, 16, 10, 7, 
2019/8/23, 83, 66, 43, 19, 22, 13, 
2019/8/24, 93, 46, 51, 16, 12, 11, 
2019/8/25, 88, 63, 47, 14, 8, 13, 
2019/8/26, 128, 83, 79, 16, 8, 11, 
2019/8/27, 154, 44, 54, 12, 9, 6, 
2019/8/28, 62, 39, 54, 16, 9, 4, 
2019/8/29, 40, 39, 54, 15, 4, 7, 
2019/8/30, 39, 41, 69, 14, 5, 6, 
2019/8/31, 39, 50, 91, 13, 16, 9, 
2019/9/1, 62, 56, 73, 18, 8, 9, 
2019/9/2, 86, 63, 87, 18, 10, 9, 
2019/9/3, 91, 68, 108, 16, 13, 9, 
2019/9/4, 108, 68, 97, 14, 9, 10, 
2019/9/5, 107, 57, 94, 13, 9, 7, 
2019/9/6, 88, 72, 101, 22, 14, 11, 
2019/9/7, 105, 72, 115, 11, 15, 8, 
2019/9/8, 122, 72, 112, 12, 15, 9, 
2019/9/9, 135, 66, 50, 15, 7, 9, 
2019/9/10, 122, 27, 17, 15, 4, 6, 
2019/9/11, 47, 31, 24, 12, 4, 6, 
2019/9/12, 52, 51, 41, 12, 7, 9, 
2019/9/13, 84, 51, 25, 20, 13, 12, 
2019/9/14, 63, 23, 41, 11, 6, 6, 
2019/9/15, 30, 55, 50, 11, 8, 9, 
2019/9/16, 103, 75, 42, 20, 8, 9, 
2019/9/17, 130, 70, 51, 17, 7, 8, 
2019/9/18, 92, 62, 30, 18, 22, 5, 
2019/9/19, 65, 84, 13, 24, 12, 12, 
2019/9/20, 128, 76, 83, 21, 12, 14, 
2019/9/21, 115, 81, 94, 23, 8, 9, 
2019/9/22, 121, 82, 103, 21, 9, 12, 
2019/9/23, 120, 73, 106, 19, 12, 11, 
2019/9/24, 106, 77, 111, 27, 12, 10, 
2019/9/25, 99, 78, 108, 25, 9, 9, 
2019/9/26, 115, 87, 97, 22, 10, 11, 
2019/9/27, 126, 75, 98, 17, 6, 8, 
2019/9/28, 91, 85, 102, 14, 3, 5, 
2019/9/29, 99, 79, 100, 13, 5, 5, 
2019/9/30, 93, 66, 77, 13, 4, 5, 
2019/4/1, 112, 97, 58, 20, 28, 11, 
2019/4/2, 166, 84, 81, 16, 16, 8, 
2019/4/3, 147, 115, 90, 17, 13, 10, 
2019/4/4, 178, 110, 102, 18, 15, 10, 
2019/4/5, 174, 146, 47, 16, 13, 6, 
2019/4/6, 132, 95, 68, 18, 18, 7, 
2019/4/7, 131, 93, 28, 23, 16, 8, 
2019/4/8, 136, 38, 29, 12, 7, 4, 
2019/4/9, 86, 61, 51, 16, 23, 11, 
2019/4/10, 125, 75, 59, 13, 16, 7, 
2019/4/11, 148, 89, 40, 20, 14, 11, 
2019/4/12, 162, 82, 47, 15, 15, 6, 
2019/4/13, 156, 48, 48, 14, 16, 4, 
2019/4/14, 55, 60, 58, 14, 15, 7, 
2019/4/15, 73, 62, 71, 12, 22, 10, 
2019/4/16, 96, 72, 66, 10, 12, 4, 
2019/4/17, 90, 97, 46, 11, 10, 14, 
2019/4/18, 98, 60, 32, 15, 14, 7, 
2019/4/19, 50, 73, 60, 20, 23, 6, 
2019/4/20, 111, 87, 75, 18, 16, 9, 
2019/4/21, 173, 95, 42, 14, 16, 11, 
2019/4/22, 171, 63, 43, 9, 11, 5, 
2019/4/23, 132, 72, 65, 10, 16, 7, 
2019/4/24, 145, 36, 34, 8, 11, 2, 
2019/4/25, 87, 53, 45, 12, 6, 10, 
2019/4/26, 118, 65, 26, 18, 10, 9, 
2019/4/27, 147, 52, 54, 10, 11, 8, 
2019/4/28, 123, 80, 55, 11, 14, 11, 
2019/4/29, 163, 109, 47, 13, 5, 6, 
2019/4/30, 138, 55, 54, 20, 20, 12, 
2019/5/1, 87, 59, 77, 13, 13, 8, 
2019/5/2, 100, 67, 85, 11, 10, 6, 
2019/5/3, 130, 59, 74, 9, 13, 7, 
2019/5/4, 107, 108, 54, 11, 19, 11, 
2019/5/5, 151, 58, 57, 12, 10, 9, 
2019/5/6, 81, 65, 72, 17, 14, 8, 
2019/5/7, 99, 64, 50, 14, 10, 8, 
2019/5/8, 95, 69, 94, 14, 11, 10, 
2019/5/9, 118, 65, 94, 11, 11, 11, 
