date, pm25, pm10, o3, co
2019/4/2, 29, , 4, 
2019/4/3, 25, , , 
2019/4/4, 27, , , 
2019/4/5, 24, , , 
2019/4/6, 20, , 4, 
2019/4/7, 23, 5, , 
2019/4/8, 29, , 4, 
2019/4/9, 26, , , 
2019/4/10, 29, , , 
2019/4/11, 23, , 4, 
2019/4/12, 26, , , 
2019/4/13, 27, , , 
2019/4/14, 24, , 5, 
2019/4/15, 24, , , 
2019/4/16, 26, , , 
2019/4/17, 27, , , 
2019/4/18, 31, , , 
2019/4/19, 29, , , 
2019/4/20, 25, , , 
2019/4/21, 28, , , 
2019/4/22, 23, , , 
2019/4/23, 36, , , 
2019/4/24, 32, , , 
2019/4/25, 38, , , 
2019/4/26, 40, , , 
2019/4/27, 38, , , 
2019/4/28, 25, , , 
2019/4/29, 23, , , 
2019/4/30, 28, , , 
2019/5/1, 22, 8, , 
2019/5/2, 41, , , 
2019/5/3, 32, 6, 4, 
2019/5/4, 30, , , 
2019/5/5, 31, , , 
2019/5/6, 36, , , 
2019/5/7, 39, , , 
2019/5/8, 25, , 4, 
2019/5/9, 25, , 4, 
2019/5/10, 27, , , 
2019/5/11, 39, , , 
2019/5/12, 38, , , 
2019/5/13, 43, , , 
2019/5/14, 35, , , 
2019/5/15, 32, , , 
2019/5/16, 31, , , 
2019/5/17, 26, , , 
2019/5/18, 26, 6, , 
2019/5/19, 25, , , 
2019/5/20, 30, , , 
2019/5/21, 25, , , 
2019/5/22, 22, , 4, 
2019/5/23, 24, , , 
2019/5/24, 29, , , 
2019/5/25, 30, , , 
2019/5/26, 27, , , 
2019/5/27, 24, , , 
2019/5/28, 25, , , 
2019/5/29, 30, , , 
2019/5/30, 36, , 4, 
2019/5/31, 33, , , 
2019/6/1, 37, , , 
2019/6/2, 39, , , 
2019/6/3, 38, , , 
2019/6/4, 39, , , 
2019/6/5, 31, , , 
2019/6/6, 31, , 12, 
2019/6/7, 30, , , 
2019/6/8, 23, , , 
2019/6/9, 22, 6, 3, 
2019/6/10, 27, , , 
2019/6/11, 28, , , 
2019/6/12, 31, , , 
2019/6/13, 41, , , 
2019/6/14, 33, , , 
2019/6/15, 32, , , 
2019/6/16, 32, , , 
2019/6/17, 35, , , 
2019/6/18, 37, , , 
2019/6/19, 38, , , 
2019/6/20, 33, , , 
2019/6/21, 23, , , 
2019/6/22, 23, , , 
2019/6/23, 32, , , 
2019/6/24, 28, , , 
2019/6/25, 29, , , 
2019/6/26, 35, , , 
2019/6/27, 32, , , 
2019/6/28, 36, , , 
2019/6/29, 32, , , 
2019/6/30, 36, , , 
2019/1/1, 54, , , 
2019/1/2, 52, , , 
2019/1/3, 45, , , 
2019/1/4, 46, , , 
2019/1/5, 53, , , 
2019/1/6, 26, , , 
2019/1/7, 22, , , 
2019/1/8, 28, , , 
2019/1/9, 40, , , 
2019/1/10, 50, , , 
2019/1/11, 43, , , 
2019/1/12, 35, , , 
2019/1/13, 45, , , 
2019/1/14, 55, , , 
2019/1/15, 43, , , 
2019/1/16, 47, , , 
2019/1/17, 26, , , 
2019/1/18, 19, , , 
2019/1/19, 23, , , 
2019/1/20, 25, , , 
2019/1/21, 22, , , 
2019/1/22, 24, , , 
2019/1/23, 24, , , 
2019/1/24, 30, , , 
2019/1/25, 39, , , 
2019/1/26, 45, , , 
2019/1/27, 50, , , 
2019/1/28, 39, , , 
2019/1/29, 34, , , 
2019/1/30, 36, , , 
2019/1/31, 42, 15, , 
2019/2/1, 50, , , 
2019/2/2, 40, , , 
2019/2/3, 21, , , 
2019/2/4, 19, , , 
2019/2/5, 18, , , 
2019/2/6, 27, , , 
2019/2/7, 33, , , 
2019/2/8, 47, , , 
2019/2/9, 46, , , 
2019/2/10, 28, , , 
2019/2/11, 20, , , 
2019/2/12, 30, , , 
2019/2/13, 21, , , 
2019/2/14, 19, , , 
2019/2/15, 20, , , 
2019/2/16, 21, , , 
2019/2/17, 29, , , 
2019/2/18, 33, , , 
2019/2/19, 32, 5, , 
2019/2/20, 37, , , 
2019/2/21, 38, , , 
2019/2/22, 39, , , 
2019/2/23, 33, , , 
2019/2/24, 23, , , 
2019/2/25, 22, , , 
2019/2/26, 23, , , 
2019/2/27, 26, , , 
2019/2/28, 25, , , 
2019/3/1, 21, , , 
2019/3/2, 29, 8, , 
2019/3/3, 28, , , 
2019/3/4, 34, , , 
2019/3/5, 35, , , 
2019/3/6, 41, , , 
2019/3/7, 25, , , 
2019/3/8, 26, , , 
2019/3/9, 22, , , 
2019/3/10, 32, , , 
2019/3/11, 32, , , 
2019/3/12, 40, , , 
2019/3/13, 27, 3, , 
2019/3/14, 26, , , 
2019/3/15, 25, , , 
2019/3/16, 40, , , 
2019/3/17, 40, , 10, 
2019/3/18, 32, , , 
2019/3/19, 34, , 9, 
2019/3/20, 36, , 7, 
2019/3/21, 32, , , 
2019/3/22, 31, , , 
2019/3/23, 34, , , 
2019/3/24, 32, , , 
2019/3/25, 36, , , 
2019/3/26, 41, , , 
2019/3/27, 44, , 4, 
2019/3/28, 31, , , 
2019/3/29, 22, 7, , 
2019/3/30, 31, , 9, 
2019/3/31, 36, 6, 6, 
2018/10/1, 38, , , 
2018/10/2, 52, , , 
2018/10/3, 35, , , 
2018/10/4, 30, , , 
2018/10/5, 33, , , 
2018/10/6, 34, , , 
2018/10/7, 27, , , 
2018/10/8, 26, , , 
2018/10/9, 28, , , 
2018/10/10, 27, , , 
2018/10/11, 35, , , 
2018/10/12, 33, , , 
2018/10/13, 34, , , 
2018/10/14, 19, , , 
2018/10/15, 31, , , 
2018/10/16, 36, , , 
2018/10/17, 31, , , 
2018/10/18, 34, , , 
2018/10/19, 40, , , 
2018/10/20, 43, , , 
2018/10/21, 35, , , 
2018/10/22, 60, , , 
2018/10/23, 33, , , 
2018/10/24, 36, , , 
2018/10/25, 41, , , 
2018/10/26, 29, , , 
2018/10/27, 26, , , 
2018/10/28, 26, , , 
2018/10/29, 25, , , 
2018/10/30, 22, , , 
2018/10/31, 24, , , 
2018/11/1, 27, , , 
2018/11/2, 24, , , 
2018/11/3, 26, , , 
2018/11/4, 25, , , 
2018/11/5, 23, , , 
2018/11/6, 24, , , 
2018/11/7, 31, , , 
2018/11/8, 31, , , 
2018/11/9, 35, , , 
2018/11/10, 36, , , 
2018/11/11, 25, , , 
2018/11/12, 29, , , 
2018/11/13, 38, , , 
2018/11/14, 38, , , 
2018/11/15, 54, , , 
2018/11/16, 54, , , 
2018/11/17, 31, , , 
2018/11/18, 34, , , 
2018/11/19, 35, , , 
2018/11/20, 36, , , 
2018/11/21, 42, , , 
2018/11/22, 35, , , 
2018/11/23, 20, , , 
2018/11/24, 24, , , 
2018/11/25, 26, , , 
2018/11/26, 32, , , 
2018/11/27, 36, , , 
2018/11/28, 27, , , 
2018/11/29, 35, , , 
2018/11/30, 23, , , 
2018/12/1, 30, , , 
2018/12/2, 30, , , 
2018/12/3, 26, , , 
2018/12/4, 29, , , 
2018/12/5, 38, , , 
2018/12/6, 32, , , 
2018/12/7, 41, , , 
2018/12/8, 59, , , 
2018/12/9, 61, , , 
2018/12/10, 52, , , 
2018/12/11, 38, , , 
2018/12/12, 36, , , 
2018/12/13, 37, , , 
2018/12/14, 44, , , 
2018/12/15, 36, , , 
2018/12/16, 36, , , 
2018/12/17, 36, , , 
2018/12/18, 34, , , 
2018/12/19, 23, , , 
2018/12/20, 30, , , 
2018/12/21, 25, , , 
2018/12/22, 22, , , 
2018/12/23, 37, , , 
2018/12/24, 34, , , 
2018/12/25, 20, , , 
2018/12/26, 30, , , 
2018/12/27, 40, , , 
2018/12/28, 56, , , 
2018/12/29, 26, , , 
2018/12/30, 24, , , 
2018/7/1, 21, , , 
2018/7/2, 18, , , 
2018/7/3, 26, , , 
2018/7/4, 35, , , 
2018/7/5, 56, , , 
2018/7/6, 47, , , 
2018/7/7, 45, , , 
2018/7/8, 58, , , 
2018/7/9, 33, , , 
2018/7/10, 38, , , 
2018/7/11, 22, , , 
2018/7/12, 25, , , 
2018/7/13, 24, , , 
2018/7/14, 27, , , 
2018/7/15, 28, , , 
2018/7/16, 33, , , 
2018/7/17, 40, , , 
2018/7/18, 39, , , 
2018/7/19, 35, , , 
2018/7/20, 35, , , 
2018/7/21, 35, , , 
2018/7/22, 45, , , 
2018/7/23, 34, , , 
2018/7/24, 39, , , 
2018/7/25, 40, , , 
2018/7/26, 28, , , 
2018/7/27, 30, , , 
2018/7/28, 39, , , 
2018/7/29, 45, , , 
2018/7/30, 23, , , 
2018/7/31, 16, , , 
2018/8/1, 15, , , 
2018/8/2, 43, , , 
2018/8/3, 79, , , 
2018/8/4, 62, , , 
2018/8/5, 82, , , 
2018/8/6, 67, , , 
2018/8/7, 56, , , 
2018/8/8, 53, , , 
2018/8/9, 59, , , 
2018/8/10, 54, , , 
2018/8/11, 64, , , 
2018/8/12, 74, , , 
2018/8/13, 73, , , 
2018/8/14, 69, , , 
2018/8/15, 79, , , 
2018/8/16, 68, , , 
2018/8/17, 62, , , 
2018/8/18, 54, , , 
2018/8/19, 95, , , 
2018/8/20, 91, , , 
2018/8/21, 83, , , 
2018/8/22, 91, , , 
2018/8/23, 96, , , 
2018/8/24, 147, , , 
2018/8/25, 132, , , 
2018/8/26, 79, , , 
2018/8/27, 39, , , 
2018/8/28, 28, , , 
2018/8/29, 35, , , 
2018/8/30, 52, , , 
2018/8/31, 59, , , 
2018/9/1, 36, , , 
2018/9/2, 31, , , 
2018/9/3, 34, , , 
2018/9/4, 41, , , 
2018/9/5, 50, , , 
2018/9/6, 49, , , 
2018/9/7, 43, , , 
2018/9/8, 66, , , 
2018/9/9, 90, , , 
2018/9/10, 72, , , 
2018/9/11, 66, , , 
2018/9/12, 51, , , 
2018/9/13, 33, , , 
2018/9/14, 29, , , 
2018/9/15, 39, , , 
2018/9/16, 46, , , 
2018/9/17, 35, , , 
2018/9/18, 44, , , 
2018/9/19, 37, , , 
2018/9/20, 40, , , 
2018/9/21, 36, , , 
2018/9/22, 43, , , 
2018/9/23, 45, , , 
2018/9/24, 32, , , 
2018/9/25, 34, , , 
2018/9/26, 37, , , 
2018/9/27, 41, , , 
2018/9/28, 39, , , 
2018/9/29, 40, , , 
2018/9/30, 45, , , 
2018/4/1, 24, , , 
2018/4/2, 34, , , 
2018/4/3, 13, , , 
2018/4/4, 14, , , 
2018/4/5, 17, , , 
2018/4/6, 15, , , 
2018/4/7, 15, , , 
2018/4/8, 16, , , 
2018/4/9, 14, , , 
2018/4/10, 24, , , 
2018/4/11, 19, , , 
2018/4/12, 19, , , 
2018/4/13, 13, , , 
2018/4/14, 18, , , 
2018/4/15, 18, , , 
2018/4/16, 22, , , 
2018/4/17, 13, , , 
2018/4/18, 15, , , 
2018/4/19, 19, , , 
2018/4/20, 16, , , 
2018/4/21, 23, , , 
2018/4/22, 19, , , 
2018/4/23, 19, , , 
2018/4/24, 13, , , 
2018/4/25, 24, , , 
2018/4/26, 28, , , 
2018/4/27, 27, , , 
2018/4/28, 33, , , 
2018/4/29, 19, , , 
2018/4/30, 15, , , 
2018/5/1, 17, , , 
2018/5/2, 17, , , 
2018/5/3, 26, , , 
2018/5/4, 28, , , 
2018/5/5, 32, , , 
2018/5/6, 23, , , 
2018/5/7, 26, , , 
2018/5/8, 25, , , 
2018/5/9, 25, , , 
2018/5/10, 23, , , 
2018/5/11, 17, , , 
2018/5/12, 25, , , 
2018/5/13, 19, , , 
2018/5/14, 22, , , 
2018/5/15, 27, , , 
2018/5/16, 27, , , 
2018/5/17, 30, , , 
2018/5/18, 29, , , 
2018/5/19, 29, , , 
2018/5/20, 26, , , 
2018/5/21, 30, , , 
2018/5/22, 31, , , 
2018/5/23, 27, , , 
2018/5/24, 32, , , 
2018/5/25, 26, , , 
2018/5/26, 28, , , 
2018/5/27, 25, , , 
