date, pm25, o3, no2, co
2019/4/8, 1, 30, , 
2019/4/9, 1, 29, 163, 
2019/4/10, 1, 34, , 
2019/4/12, 1, 40, 4, 
2019/4/13, 1, 35, 6, 
2019/4/17, 1, 37, , 
2019/4/18, 1, 35, , 
2019/4/19, 1, 30, , 
2019/4/20, 1, 34, , 
2019/4/21, 1, 34, , 
2019/4/22, 1, 35, , 
2019/4/23, 1, 29, 1, 
2019/4/24, 1, 39, 201, 
2019/4/25, 1, 29, , 
2019/4/26, 1, 29, , 
2019/4/27, 1, 32, 1, 
2019/4/29, 1, 30, 5, 
2019/4/30, 1, 27, 500, 
2019/5/1, 1, 26, , 
2019/5/2, 1, 26, , 
2019/5/3, 1, 24, , 
2019/5/4, 1, 23, , 
2019/5/5, 1, 32, , 
2019/5/6, 1, 29, , 
2019/5/7, 1, 33, , 
2019/5/8, 1, 33, , 
2019/5/9, 1, 28, , 
2019/5/10, 1, 30, , 
2019/5/11, 1, 26, , 
2019/5/12, 1, 26, , 
2019/5/13, 1, 21, , 
2019/5/14, 1, 32, , 
2019/5/15, 1, 32, 1, 
2019/5/16, 1, 35, , 
2019/5/17, 1, 30, 1, 
2019/5/18, 1, 43, , 
2019/5/19, 1, 36, , 
2019/5/20, 1, 29, , 
2019/5/21, 1, 29, , 
2019/5/22, 1, 34, , 
2019/5/23, 1, 25, , 
2019/5/24, 1, 36, , 
2019/5/25, 1, 37, , 
2019/5/26, 1, 25, , 
2019/5/27, 1, 20, 251, 
2019/5/28, 1, 17, 1, 
2019/5/29, 1, 28, 84, 
2019/5/30, 1, 30, , 
2019/5/31, 1, 40, , 
2019/6/1, 1, 36, , 
2019/6/2, 1, 24, 111, 
2019/6/3, 1, 20, 166, 
2019/6/4, 1, , , 
2019/6/11, 1, 35, 334, 
2019/6/12, 1, 29, 2, 
2019/6/13, 1, 26, , 
2019/6/14, 1, 36, , 
2019/6/15, 1, 26, , 
2019/6/16, 1, 29, , 
2019/6/17, 1, 25, , 
2019/6/18, 1, 32, , 
2019/6/19, 1, 25, , 
2019/6/20, 1, 23, , 
2019/6/21, 1, 28, , 
2019/6/22, 1, 26, , 
2019/6/23, 1, 37, , 
2019/6/24, 1, 37, , 
2019/6/25, 1, 45, , 
2019/6/26, 1, 32, , 
2019/6/27, 1, 46, , 
2019/6/28, 1, 42, , 
2019/6/29, 1, 28, , 
2019/6/30, 1, 22, , 
2019/2/25, 1, 35, , 
2019/2/28, 1, 36, , 
2019/3/1, 1, 37, , 
2019/3/2, 1, 40, , 
2019/3/4, 1, 33, , 
2019/3/5, 1, 32, , 
2019/3/6, 1, 35, , 
2019/3/7, 1, 36, , 
2019/3/8, 1, 42, , 
2019/3/9, 1, 38, , 
2019/3/10, 1, 39, , 
2019/3/11, 1, 36, , 
2019/3/13, 1, 43, 169, 
2019/3/14, 1, 39, , 
2019/3/15, 1, 33, , 
2019/3/16, 1, 33, 2, 
2019/3/17, 1, 36, , 
2019/3/18, 1, 36, , 
2019/3/19, 1, 39, , 
2019/3/20, 1, , , 
2019/3/23, 1, 42, 102, 
