date, pm10, no2, so2
2020/1/2, 64, 9, 3
2020/1/3, 52, 6, 2
2020/1/4, 54, 7, 2
2020/1/5, 45, 11, 3
2020/1/6, 59, 10, 3
2020/1/7, 58, 6, 2
2020/1/8, 61, 5, 2
2020/1/9, 41, 7, 2
2020/1/10, 44, 10, 2
2020/1/11, 51, 12, 3
2020/1/12, 54, 9, 2
2020/1/13, 52, 12, 3
2020/1/14, 52, 9, 3
2020/1/15, 48, , 
2019/10/1, 30, 12, 
2019/10/2, 32, 9, 
2019/10/3, 32, 10, 
2019/10/4, 32, 13, 
2019/10/5, 32, 18, 1
2019/10/7, 32, 10, 1
2019/10/8, 32, 19, 1
2019/10/9, 32, 21, 1
2019/10/10, 32, 14, 
2019/10/11, 32, 11, 
2019/10/12, 32, 18, 2
2019/10/13, 32, 10, 2
2019/10/14, 32, 13, 1
2019/10/15, 32, 12, 1
2019/10/16, 32, 11, 1
2019/10/17, 32, 9, 1
2019/10/18, 32, 8, 
2019/10/20, 32, 10, 
2019/10/21, 32, 14, 1
2019/10/22, 32, 9, 1
2019/10/24, 32, , 
2019/10/28, 67, 9, 
2019/10/29, 54, 12, 1
2019/10/30, 61, 13, 2
2019/10/31, 72, 14, 2
2019/11/1, 74, 10, 1
2019/11/2, 52, 11, 1
2019/11/3, 61, 12, 3
2019/11/4, 75, 13, 3
2019/11/5, 85, 11, 3
2019/11/6, 130, 9, 2
2019/11/7, 75, 9, 2
2019/11/8, 79, 12, 3
2019/11/9, 76, 11, 3
2019/11/10, 64, 12, 3
2019/11/11, 61, 13, 3
2019/11/12, 67, 8, 1
2019/11/13, 74, 10, 2
2019/11/14, 72, 7, 1
2019/11/15, 62, 11, 1
2019/11/16, 57, 8, 2
2019/11/17, 62, 11, 3
2019/11/18, 61, 13, 3
2019/11/19, 58, 15, 3
2019/11/20, 58, 13, 4
2019/11/21, 70, 20, 7
2019/11/22, 88, 20, 5
2019/11/23, 82, 22, 6
2019/11/24, 106, 18, 5
2019/11/25, 85, 19, 6
2019/11/26, 82, 13, 3
2019/11/27, 70, 18, 3
2019/11/28, 73, 19, 6
2019/11/29, 99, 19, 5
2019/11/30, 77, 13, 3
2019/12/1, 59, 9, 1
2019/12/2, 46, 11, 1
2019/12/3, 49, 14, 2
2019/12/4, 61, 13, 2
2019/12/5, 70, 8, 1
2019/12/6, 45, 10, 2
2019/12/7, 48, 10, 1
2019/12/8, 49, 7, 1
2019/12/9, 43, 9, 1
2019/12/10, 65, 14, 3
2019/12/11, 82, , 
2019/12/17, 64, 17, 8
2019/12/18, 80, 16, 7
2019/12/19, 62, 13, 5
2019/12/20, 54, 16, 7
2019/12/21, 60, 22, 10
2019/12/22, 80, 17, 8
2019/12/23, 64, 12, 4
2019/12/24, 61, 7, 3
2019/12/25, 151, 5, 2
2019/12/26, 87, 5, 2
2019/12/27, 46, 7, 2
2019/12/28, 46, , 
2019/7/18, 11, 7, 
2019/7/19, 3, 6, 
2019/7/20, 3, 7, 
2019/7/21, 3, 7, 
2019/7/22, 6, 10, 
