date, pm25, pm10, no2
2020/1/2, 22, 7, 4
2020/1/3, 17, , 
2020/1/5, 18, 15, 22
2020/1/6, 51, 4, 8
2020/1/7, 16, 6, 3
2020/1/8, 18, 15, 10
2020/1/9, 29, 7, 6
2020/1/10, 20, 6, 6
2020/1/11, 18, 3, 4
2020/1/12, 12, 9, 18
2020/1/13, 35, 7, 3
2020/1/14, 10, 11, 25
2020/1/15, 33, 6, 6
2020/1/16, 21, , 
2019/10/2, 15, 6, 
2019/10/3, 19, 11, 
2019/10/4, 32, 10, 
2019/10/5, 30, 10, 
2019/10/6, 23, 14, 
2019/10/7, 27, 14, 
2019/10/8, 26, 12, 
2019/10/9, 22, 15, 
2019/10/10, 29, 8, 
2019/10/11, 23, 13, 
2019/10/12, 21, 11, 
2019/10/13, 24, 25, 
2019/10/14, 34, 15, 
2019/10/15, 33, 8, 
2019/10/16, 15, 10, 
2019/10/17, 22, 16, 15
2019/10/18, 33, 13, 9
2019/10/19, 21, 17, 8
2019/10/20, 27, 19, 10
2019/10/21, 23, 10, 5
2019/10/22, 19, 10, 14
2019/10/23, 27, 24, 19
2019/10/24, 38, 6, 8
2019/10/25, 20, 14, 5
2019/10/26, 23, 6, 3
2019/10/27, 15, 5, 7
2019/10/28, 13, 3, 5
2019/10/29, 9, 3, 5
2019/10/30, 11, 4, 6
2019/10/31, 13, 11, 8
2019/11/1, 18, 8, 7
2019/11/2, 24, 10, 8
2019/11/3, 35, 24, 15
2019/11/4, 48, 22, 10
2019/11/5, 45, 27, 15
2019/11/6, 55, 22, 14
2019/11/7, 52, 42, 11
2019/11/8, 38, 11, 9
2019/11/9, 34, 11, 7
2019/11/10, 34, 13, 13
2019/11/11, 43, 10, 17
2019/11/12, 35, 23, 17
2019/11/13, 68, 13, 15
2019/11/14, 42, 6, 10
2019/11/15, 25, 21, 15
2019/11/16, 65, 9, 9
2019/11/17, 34, 6, 10
2019/11/18, 23, 4, 7
2019/11/19, 18, 13, 16
2019/11/20, 41, 11, 16
2019/11/21, 38, 6, 13
2019/11/22, 19, 17, 9
2019/11/23, 60, 19, 10
2019/11/24, 61, 17, 12
2019/11/25, 56, 14, 13
2019/11/26, 49, 4, 9
2019/11/27, 16, 7, 12
2019/11/28, 24, 8, 6
2019/11/29, 17, 4, 4
2019/11/30, 14, 3, 3
2019/12/1, 11, 4, 7
2019/12/2, 12, 3, 7
2019/12/3, 10, 8, 12
2019/12/4, 26, 5, 8
2019/12/5, 16, 4, 6
2019/12/6, 11, 3, 4
2019/12/7, 9, 4, 8
2019/12/8, 19, 4, 12
2019/12/9, 10, 4, 11
2019/12/10, 13, 4, 10
2019/12/11, 14, 3, 2
2019/12/12, 10, 4, 9
2019/12/13, 13, 3, 3
2019/12/14, 12, 10, 12
2019/12/15, 35, 8, 15
2019/12/16, 29, 7, 13
2019/12/17, 25, 6, 12
2019/12/18, 18, 17, 24
2019/12/19, 49, 14, 21
2019/12/20, 44, 6, 7
2019/12/21, 27, 13, 12
2019/12/22, 47, 6, 9
2019/12/23, 22, 9, 6
2019/12/24, 38, 13, 6
2019/12/25, 48, 11, 11
2019/12/26, 40, 14, 14
2019/12/27, 50, 19, 21
2019/12/28, 60, , 
2019/7/1, 10, 5, 3
2019/7/2, 12, 4, 4
2019/7/3, 10, 4, 4
2019/7/4, 12, 6, 5
2019/7/5, 13, 5, 6
2019/7/6, 9, 5, 5
2019/7/7, 15, 4, 5
2019/7/8, 10, 8, 7
2019/7/9, 12, 9, 6
2019/7/10, 21, 10, 7
2019/7/11, 21, 7, 6
2019/7/12, 11, 4, 2
2019/7/13, 10, 5, 3
2019/7/14, 10, 1, 6
2019/7/15, 3, 5, 6
2019/7/16, 7, 6, 8
2019/7/17, 10, 8, 7
2019/7/18, 16, 8, 5
2019/7/19, 18, 5, 3
2019/7/20, 12, 7, 6
2019/7/21, 17, 7, 4
2019/7/22, 14, 5, 7
2019/7/23, 11, 7, 5
2019/7/24, 20, 14, 6
2019/7/25, 36, 14, 4
2019/7/26, 41, 15, 9
2019/7/27, 43, 13, 7
2019/7/28, 38, 14, 6
2019/7/29, 33, 5, 3
2019/7/30, 8, 5, 2
2019/7/31, 11, 7, 4
2019/8/1, 16, 7, 4
2019/8/2, 16, 3, 2
2019/8/3, 8, 5, 2
2019/8/4, 14, 7, 5
2019/8/5, 16, 8, 8
2019/8/6, 19, 9, 5
2019/8/7, 17, 8, 4
2019/8/8, 18, 6, 5
2019/8/9, 17, 7, 4
2019/8/10, 8, 5, 4
2019/8/11, 10, 4, 5
2019/8/12, 10, 3, 2
2019/8/13, 10, 6, 5
2019/8/14, 12, 7, 5
2019/8/15, 19, 8, 6
2019/8/16, 13, 7, 3
2019/8/17, 13, 6, 5
2019/8/18, 15, 8, 7
2019/8/19, 15, 7, 6
2019/8/20, 13, 8, 3
2019/8/21, 15, 8, 5
2019/8/22, 12, 6, 6
2019/8/23, 14, 7, 5
2019/8/24, 14, 10, 6
2019/8/25, 20, 15, 8
2019/8/26, 32, 16, 11
2019/8/27, 43, 18, 9
2019/8/28, 47, 11, 10
2019/8/29, 25, 6, 7
2019/8/30, 12, 7, 6
2019/8/31, 16, 7, 4
2019/9/1, 24, 7, 6
2019/9/2, 10, 6, 5
2019/9/3, 13, 6, 5
2019/9/4, 11, 3, 4
2019/9/5, 7, 4, 7
2019/9/6, 10, 3, 5
2019/9/7, 10, 4, 2
2019/9/8, 5, 9, 10
2019/9/9, 16, 11, 10
2019/9/10, 19, 14, 5
2019/9/11, 30, 3, 5
2019/9/12, 8, , 3
2019/9/15, 10, 4, 3
2019/9/16, 16, 5, 4
2019/9/17, 8, 4, 4
2019/9/18, 9, 4, 5
2019/9/19, 10, 4, 4
2019/9/20, 12, 8, 2
2019/9/21, 17, 5, 5
2019/9/22, 12, 8, 8
2019/9/23, 11, 10, 7
2019/9/24, 19, 10, 6
2019/9/25, 13, 8, 
2019/9/26, 15, 7, 
2019/9/27, 16, 5, 
2019/9/28, 11, 4, 
2019/9/29, 10, 4, 
2019/9/30, 14, , 
2019/4/2, 15, , 
2019/4/4, 26, 16, 
2019/4/5, 21, 6, 
2019/4/6, 15, 10, 
2019/4/7, 12, 9, 
2019/4/8, 12, 15, 
2019/4/9, 12, 16, 
2019/4/10, 15, 16, 
2019/4/11, 20, 17, 17
2019/4/12, 25, 13, 9
2019/4/13, 27, 11, 7
2019/4/14, 19, 18, 12
2019/4/15, 24, 13, 10
2019/4/16, 16, , 
2019/4/23, 25, 28, 10
2019/4/24, 39, 49, 7
2019/4/25, 56, 33, 7
2019/4/26, 58, 26, 8
2019/4/27, 56, 27, 8
2019/4/28, 54, 26, 9
2019/4/29, 53, 17, 10
2019/4/30, 58, 5, 3
2019/5/1, 17, 9, 5
2019/5/2, 9, 13, 7
2019/5/3, 15, 5, 3
