date, pm25, o3, so2, co
2019/9/9, 57, 31, 1, 1
2019/9/10, 41, 30, 1, 2
2019/9/11, 43, 40, 1, 3
2019/9/12, 56, 44, 1, 2
2019/9/13, 60, 22, 1, 1
2019/9/14, 52, 35, 1, 1
2019/9/15, 50, 34, 1, 2
2019/9/16, 51, 40, 1, 2
2019/9/17, 45, 39, 1, 1
2019/9/18, 44, 35, 1, 1
2019/9/19, 37, 33, 1, 1
2019/9/20, 37, 32, 1, 1
2019/9/21, 33, 30, 1, 1
2019/9/22, 28, 32, 1, 1
2019/9/23, 33, 33, 2, 1
2019/9/24, 41, 38, 1, 2
2019/9/25, 43, 39, 1, 2
2019/9/26, 46, 38, 1, 2
2019/9/27, 49, 34, 1, 1
2019/9/28, 46, 31, 1, 1
2019/9/29, 42, 29, 1, 2
2019/9/30, 40, 37, 1, 2
2019/4/1, 23, 45, , 1
2019/4/2, 27, 43, 1, 3
2019/4/3, 49, 33, , 1
2019/4/4, 45, 33, , 1
2019/4/5, 46, 25, , 1
2019/4/6, 48, 21, , 
2019/4/7, 44, 34, , 
2019/4/8, 26, 34, 1, 1
2019/4/9, 27, 37, 1, 2
2019/4/10, 35, 44, 1, 1
2019/4/11, 38, 37, , 
2019/4/12, 25, 37, , 
2019/4/13, 32, 28, , 1
2019/4/14, 21, 38, 1, 2
2019/4/15, 27, 42, 1, 1
2019/4/16, 36, 35, , 1
2019/4/17, 30, 37, , 1
2019/4/18, 30, 37, , 
2019/4/19, 14, 38, 1, 1
2019/4/20, 22, 44, 1, 1
2019/4/21, 32, 42, , 1
2019/4/22, 27, 39, 1, 1
2019/4/23, 32, 33, 1, 1
2019/4/24, 35, 34, , 
2019/4/25, 26, 43, 1, 1
2019/4/26, 33, 42, 1, 3
2019/4/27, 44, 44, 1, 1
2019/4/28, 48, 34, , 1
2019/4/29, 48, 33, 1, 
2019/4/30, 44, 27, , 
2019/5/1, 43, 29, , 
2019/5/2, 33, 35, 1, 
2019/5/3, 33, 27, , 
2019/5/4, 26, 34, , 1
2019/5/5, 24, 40, 1, 2
2019/5/6, 34, 34, 1, 1
2019/5/7, 40, 27, 1, 
2019/5/8, 33, 25, , 1
2019/5/9, 20, 22, , 
2019/5/10, 35, 27, , 1
2019/5/11, 36, 29, , 
2019/5/12, 21, 32, 1, 3
2019/5/13, 25, 38, 1, 2
2019/5/14, 34, 41, 1, 3
2019/5/15, 48, 43, 1, 2
2019/5/16, 57, 42, 1, 1
