date, pm25, o3, so2
2020/1/2, 62, 6, 
2020/1/3, 85, 2, 
2020/1/4, 38, 14, 
2020/1/5, 40, 13, 
2020/1/6, 43, 12, 
2020/1/7, 52, 12, 
2020/1/8, 61, 12, 
2020/1/9, 55, 7, 
2020/1/10, 67, , 
2020/1/12, 90, 8, 
2020/1/13, 73, 9, 
2020/1/14, 84, 11, 
2020/1/15, 68, 8, 
2019/10/2, 92, 9, 
2019/10/3, 57, 7, 
2019/10/4, 61, 4, 
2019/10/5, 54, 4, 
2019/10/7, 114, 9, 
2019/10/8, 91, 8, 
2019/10/9, 59, 5, 
2019/10/10, 82, 4, 
2019/10/11, 60, 4, 
2019/10/12, 49, 6, 
2019/10/13, 56, 8, 
2019/10/14, 75, 5, 
2019/10/15, 69, 6, 
2019/10/16, 60, 4, 
2019/10/17, 78, 4, 
2019/10/18, 83, 3, 
2019/10/19, 103, , 
2019/10/20, 99, , 
2019/10/21, 76, , 
2019/10/22, 49, , 
2019/10/23, 60, , 
2019/10/24, 50, , 
2019/10/25, 51, , 
2019/10/26, 76, , 
2019/10/27, 54, , 
2019/10/28, 53, , 
2019/10/29, 46, , 
2019/10/30, 39, , 
2019/10/31, 57, , 
2019/11/1, 54, , 
2019/11/2, 57, , 
2019/11/3, 46, , 
2019/11/4, 77, , 
2019/11/5, 52, , 
2019/11/6, 47, , 
2019/11/7, 56, , 
2019/11/8, 46, 4, 
2019/11/9, 48, 8, 
2019/11/10, 42, 9, 
2019/11/11, 48, 9, 
2019/11/12, 48, 8, 
2019/11/13, 58, 9, 
2019/11/14, 64, 6, 
2019/11/15, 34, 9, 
2019/11/16, 33, 14, 
2019/11/17, 52, 15, 
2019/11/18, 47, 16, 6
2019/11/19, 58, 14, 
2019/11/20, 51, 13, 
2019/11/21, 41, 12, 
2019/11/22, 39, 11, 
2019/11/23, 68, 12, 
2019/11/24, 76, 9, 
2019/11/25, 66, 8, 
2019/11/26, 78, 7, 
2019/11/27, 52, 4, 
2019/12/1, 62, 9, 
2019/12/2, 52, 10, 
2019/12/3, 45, 12, 
2019/12/4, 49, 11, 
2019/12/5, 59, 10, 
2019/12/6, 58, 11, 
2019/12/7, 49, 12, 
2019/12/8, 47, 10, 
2019/12/9, 50, 10, 
2019/12/10, 68, 5, 
2019/12/11, 58, 6, 
2019/12/12, 54, 7, 1
2019/12/13, 59, 10, 
2019/12/14, 68, 7, 
2019/12/15, 60, 6, 
2019/12/16, 55, 7, 
2019/12/17, 44, 7, 
2019/12/18, 44, 11, 
2019/12/19, 40, 13, 
2019/12/20, 46, 13, 
2019/12/21, 32, 10, 
2019/12/22, 76, 11, 
2019/12/23, 51, 15, 
2019/12/24, 47, 14, 
2019/12/25, 78, 7, 
2019/12/26, 210, 12, 
2019/12/27, 66, 11, 
2019/12/28, 72, 3, 
2019/7/3, 141, 8, 
2019/7/4, 74, 11, 
2019/7/5, 59, 10, 
2019/7/6, 72, 11, 
2019/7/7, 67, 12, 1
2019/7/8, 56, 8, 
2019/7/9, 75, 9, 
2019/7/10, 76, 13, 
2019/7/11, 66, 7, 
2019/7/12, 78, 10, 
2019/7/13, 99, 10, 
2019/7/14, 88, 10, 
2019/7/15, 75, 9, 
2019/7/16, 88, 10, 
2019/7/17, 76, 9, 
2019/7/18, 74, 10, 
2019/7/19, 65, , 
2019/7/21, 78, 9, 
2019/7/22, 73, 14, 
2019/7/23, 69, 11, 
2019/7/24, 61, 11, 1
2019/7/25, 73, 6, 
2019/7/26, 83, 4, 
2019/7/27, 106, 8, 1
2019/7/28, 81, 8, 1
2019/7/29, 68, 10, 1
2019/7/30, 66, 10, 
2019/7/31, 50, 10, 1
2019/8/1, 75, 17, 
2019/8/2, 67, 6, 
2019/8/3, 27, , 
2019/8/5, 113, 7, 
2019/8/6, 80, 9, 1
2019/8/7, 82, 10, 1
2019/8/8, 95, 10, 1
2019/8/9, 69, 7, 
2019/8/10, 69, 10, 
2019/8/11, 59, 8, 1
2019/8/12, 68, 8, 1
2019/8/13, 59, 10, 1
2019/8/14, 64, 6, 1
2019/8/15, 58, 8, 
2019/8/16, 76, 3, 
2019/8/17, 71, , 
2019/8/23, 98, , 
2019/8/25, 72, 6, 
2019/8/26, 55, 6, 
2019/8/27, 80, 8, 
2019/8/28, 79, 11, 1
2019/8/29, 82, 14, 
2019/8/30, 70, 19, 
2019/8/31, 59, 15, 1
2019/9/1, 58, 14, 
2019/9/2, 61, 15, 1
2019/9/3, 84, 10, 
2019/9/4, 71, 10, 
2019/9/5, 64, 10, 
2019/9/6, 71, 7, 
2019/9/7, 69, 10, 
2019/9/8, 79, 9, 
2019/9/9, 50, 7, 
2019/9/10, 87, 9, 
2019/9/11, 61, 10, 
2019/9/12, 70, 11, 
2019/9/13, 66, 18, 
2019/9/14, 77, 9, 
2019/9/15, 94, 7, 
2019/9/16, 79, 8, 
2019/9/17, 101, 9, 
2019/9/18, 89, 15, 
2019/9/19, 73, 15, 1
2019/9/20, 80, 13, 1
2019/9/21, 72, 11, 1
2019/9/22, 99, 12, 
2019/9/23, 98, 15, 1
2019/9/24, 167, 35, 6
2019/9/25, 526, 2, 
2020/1/1, , 6, 
2020/1/11, , 7, 
2019/10/1, , 8, 
2019/7/2, , 3, 
2019/7/20, , 11, 
2019/8/4, , 8, 1
2019/8/22, , 6, 
2019/9/26, , , 
2019/9/29, , 11, 58
2019/9/30, , 8, 
