date, o3, no2, so2, co
2018/5/3, 23, 2, , 
2018/5/4, 23, 2, , 
2018/5/5, 20, 2, , 
2018/5/6, 19, 2, , 
2018/5/7, 16, 1, , 
2018/5/8, 19, 1, , 
2018/5/9, 20, 4, 2, 
2018/5/10, 20, 2, , 
2018/5/11, 24, 4, 2, 
2018/5/12, 25, 2, , 
2018/5/13, 19, 2, , 
2018/5/14, 23, 3, 2, 
2018/5/15, 12, 1, , 
2018/5/16, 10, 2, , 
2018/5/17, 11, 1, , 
2018/5/18, 10, 2, , 
2018/5/19, 7, 2, , 
2018/5/20, 14, 1, 1, 
2018/5/21, 16, 2, 1, 
2018/5/22, 14, 1, , 
2018/5/23, 18, 2, , 
2018/5/24, 21, 4, 1, 
2018/5/25, 21, 2, 1, 
2018/5/26, 12, 2, 1, 
2018/5/27, 9, 2, 1, 
2018/5/28, 9, 1, , 
2018/5/29, 9, 1, , 
2018/5/30, 9, 2, , 
2018/5/31, 9, 2, 1, 
2018/6/1, 20, 2, , 
2018/6/2, 20, 1, , 
2018/6/3, 15, 2, 1, 
2018/6/4, 18, 2, , 
2018/6/5, 20, 2, , 
2018/6/6, 18, 1, , 
2018/6/7, 20, 2, 1, 
2018/6/8, 21, 3, 2, 
2018/6/9, 20, 2, 1, 
2018/6/10, 19, 1, , 
2018/6/11, 14, 1, , 
2018/6/12, 14, 1, , 
2018/6/13, 15, 2, , 
2018/6/14, 24, 2, , 
2018/6/15, 21, 2, , 
2018/6/16, 22, 3, , 
2018/6/17, 18, 3, , 
2018/6/18, 29, 2, , 
2018/6/19, 20, 2, , 
2018/6/20, 17, 2, 1, 
2018/6/21, 15, 1, , 
2018/6/22, 13, 1, , 
2018/6/23, 14, 2, , 
2018/6/24, 14, 1, , 
2018/6/25, 17, 1, , 
2018/6/26, 19, 1, , 
2018/6/27, 11, 3, 2, 
2018/6/28, 19, 1, , 
2018/6/29, 23, 2, , 
2018/6/30, 27, 2, 2, 
2018/2/27, 17, 3, , 
2018/2/28, 16, 5, 1, 
2018/3/1, 11, 3, , 
2018/3/2, 17, 1, , 
2018/3/5, 14, 1, , 
2018/3/6, 15, 2, , 
2018/3/7, 15, 2, , 
2018/3/8, 17, 2, , 
2018/3/9, 17, 2, , 
2018/3/10, 13, 3, , 
2018/3/11, 16, 2, , 
2018/3/12, 15, 3, , 
2018/3/13, 18, 2, , 
2018/3/14, 17, 2, 1, 
2018/3/15, 19, 2, , 
2018/3/16, 19, 2, , 
2018/3/17, 15, 3, , 
2018/3/18, 19, 2, , 
2018/3/19, 18, 3, 1, 
2018/3/20, 17, 2, , 
2018/3/21, 15, 3, , 
2018/3/22, 18, 2, , 
2018/3/23, 20, 3, , 
2018/3/24, 18, 2, , 
2018/3/25, 19, 2, , 
2018/3/26, 18, 1, , 
2018/3/27, 16, 3, 2, 
2018/3/28, 15, 4, 1, 
2018/3/29, 18, 5, 1, 
2018/3/30, 16, 3, , 
2018/3/31, 18, 2, , 
2017/4/1, 16, , , 
2017/4/2, 19, 3, 3, 
2017/4/3, 17, 1, 1, 
2017/4/4, 19, 1, , 
2017/4/5, 20, 1, 1, 
2017/4/6, 16, 1, , 
2017/4/7, 14, 2, , 
2017/4/8, 21, 1, , 
2017/4/9, 21, 4, 2, 
2017/4/10, 22, 3, 2, 
2017/4/11, 22, 2, , 
2017/4/12, 21, 1, , 
2017/4/13, 20, 1, , 
2017/4/14, 21, 1, , 
2017/4/15, 20, 2, 1, 
2017/4/16, 20, 1, , 
2017/4/17, 17, 1, , 
2017/4/18, 17, 1, , 
2017/4/19, 14, 1, , 
2017/4/20, 16, 1, , 
2017/4/21, 17, 1, , 
2017/4/22, 11, , , 
2017/4/23, 9, , , 
2017/4/24, 11, , , 
2017/4/25, 13, 1, , 
2017/4/26, 15, 2, , 
2017/4/27, 18, 2, , 
2017/4/28, 16, 1, 1, 
2017/4/29, 12, 2, 1, 
2017/4/30, 11, 3, 1, 
2017/5/1, 10, 1, 1, 
2017/5/2, 20, 1, , 
2017/5/3, 20, , , 
2017/5/4, 18, 1, 1, 
2017/5/5, 16, 2, 2, 
2017/5/6, 13, 1, , 
2017/5/7, 15, , , 
2017/5/8, 18, 1, , 
2017/5/9, 21, 1, , 
2017/5/10, 25, 1, , 
2017/5/11, 19, , , 
2017/5/12, 13, , , 
2017/5/13, 12, 1, , 
2017/5/14, 20, , , 
2017/5/15, 18, 2, , 
2017/5/16, 22, 5, 2, 
2017/5/17, 23, 1, , 
2017/5/18, 18, 1, , 
2017/5/19, 16, 1, , 
2017/5/20, 15, , , 
2017/5/21, 14, 1, , 
2017/5/22, 11, , , 
2017/5/23, 10, , , 
2017/5/24, 15, 2, , 
2017/5/25, 17, 1, , 
2017/5/26, 18, 2, 1, 
2017/5/27, 19, 1, , 
2017/5/28, 12, 1, , 
2017/5/29, 17, 1, , 
2017/5/30, 14, 2, , 
2017/5/31, 21, 2, , 
2017/6/1, 22, 1, , 
2017/6/2, 25, 2, 1, 
2017/6/3, 22, 2, 1, 
2017/6/4, 22, 1, , 
2017/6/5, 13, 1, , 
