date, pm10, no2, co
2020/1/6, 26, 10, 
2020/1/7, 26, 10, 
2020/1/8, 22, 10, 8
2019/10/1, 18, 10, 3
2019/10/2, 20, 9, 3
2019/10/3, 22, 10, 4
2019/10/4, 15, 13, 4
2019/10/5, 19, 11, 3
2019/10/6, 20, 15, 
2019/10/7, 32, 15, 5
2019/10/8, 46, 14, 6
2019/10/9, 40, , 
2019/10/18, 23, 10, 3
2019/10/19, 24, 9, 3
2019/10/20, 15, 13, 3
2019/10/21, 20, 13, 4
2019/10/22, 24, 14, 3
2019/10/23, 28, 16, 4
2019/10/24, 32, 16, 5
2019/10/25, 32, 9, 4
2019/10/26, 27, 10, 5
2019/10/27, 22, 6, 4
2019/10/28, 19, 9, 4
2019/10/29, 13, 12, 4
2019/10/30, 23, 9, 3
2019/10/31, 20, 11, 6
2019/11/1, 24, 6, 2
2019/11/3, 22, , 
2019/11/7, 39, 9, 3
2019/11/8, 36, 6, 2
2019/11/9, 32, 6, 2
2019/11/11, 25, 9, 2
2019/11/12, 24, 17, 6
2019/11/13, 36, 9, 4
2019/11/14, 43, 10, 4
2019/11/15, 27, 13, 5
2019/11/16, 23, 13, 5
2019/11/17, 21, 13, 5
2019/11/18, 28, 12, 4
2019/11/19, 26, 9, 5
2019/11/20, 29, 7, 4
2019/11/21, 43, 7, 1
2019/11/22, 33, 4, 2
2019/11/27, 41, 13, 4
2019/11/28, 32, 14, 7
2019/11/29, 31, 3, 3
2019/11/30, 38, 5, 3
2019/12/1, 36, 11, 3
2019/12/2, 25, 13, 5
2019/12/3, 24, 3, 2
2019/12/4, 23, 7, 2
2019/12/5, 18, , 
2019/12/10, 41, 10, 
2019/12/11, 41, 5, 
2019/12/12, 39, 9, 
2019/12/13, 24, 9, 
2019/12/14, 28, 8, 
2019/12/15, 21, 11, 
2019/12/16, 27, 8, 
2019/12/17, 25, 13, 
2019/12/18, 20, 12, 2
2019/12/19, 22, 7, 1
2019/12/20, 18, 2, 
2019/12/21, 22, 9, 1
2019/12/22, 36, 12, 1
2019/12/23, 28, 4, 5
2019/12/24, 15, 7, 1
2019/12/25, 19, , 
2019/12/26, 12, , 
2019/7/1, 19, 9, 3
2019/7/2, 24, 10, 4
2019/7/3, 21, 9, 2
2019/7/8, 31, 12, 5
2019/7/9, 22, , 8
2019/7/10, 39, , 8
2019/7/16, 19, 12, 4
2019/7/17, 25, 14, 5
2019/7/19, 37, 15, 5
2019/7/20, 34, , 4
2019/7/21, 30, , 3
2019/7/22, 16, , 4
2019/7/23, 21, 12, 4
2019/7/24, 20, , 
2019/7/26, 11, 13, 11
2019/7/27, 25, 8, 11
2019/7/28, 17, 10, 13
2019/7/29, 25, 11, 9
2019/7/30, 31, , 
2019/8/2, 23, 12, 7
2019/8/3, 14, 11, 6
2019/8/4, 10, 11, 5
2019/8/5, 12, , 
2019/9/16, 22, , 5
2019/9/17, 35, , 5
2019/9/18, 41, 15, 3
2019/9/21, 48, 8, 1
2019/9/22, 25, 13, 2
2019/9/23, 21, 19, 4
2019/9/24, 37, , 
2019/9/25, 45, 9, 6
2019/9/26, 32, 6, 6
2019/9/27, 24, 6, 7
2019/9/28, 25, 7, 8
2019/9/29, 27, 6, 8
2019/9/30, 36, 9, 3
2019/4/26, 16, 7, 4
2019/4/27, 11, 10, 4
2019/4/28, 19, 7, 3
2019/4/29, 28, , 
2019/5/10, 13, 11, 5
2019/5/11, 26, , 
2019/5/16, 39, 7, 2
2019/5/17, 30, 6, 2
2019/5/18, 31, 6, 2
2019/5/19, 18, , 
2019/5/29, 23, 10, 4
2019/5/30, 20, 11, 4
2019/5/31, 24, 11, 7
2019/6/1, 32, 10, 4
2019/6/2, 30, 12, 5
2019/6/3, 30, 11, 3
2019/6/4, 29, 8, 4
2019/6/5, 29, 8, 6
2019/6/6, 35, 12, 4
2019/6/7, 24, 10, 5
2019/6/8, 25, 8, 4
2019/6/9, 19, 9, 4
2019/6/10, 28, 8, 4
2019/6/11, 25, 8, 6
2019/6/12, 38, 8, 4
2019/6/13, 24, , 
2019/6/15, 10, 8, 4
2019/6/17, 13, 9, 5
2019/6/18, 14, 11, 5
2019/6/19, 17, 10, 6
2019/6/20, 19, 9, 8
2019/6/21, 25, 9, 6
2019/6/22, 23, 10, 7
2019/6/23, 38, 6, 3
2019/6/24, 30, 12, 3
2019/6/25, 14, 11, 4
2019/6/26, 26, 9, 4
2019/6/27, 23, 9, 5
2019/6/28, 24, 6, 4
2019/6/29, 18, 10, 3
2019/6/30, 10, 10, 5
2019/1/8, 28, , 
2019/1/15, 15, , 
2019/1/30, 32, , 
2019/2/7, 25, 12, 5
2019/2/8, 39, , 
2019/2/14, 25, 12, 5
2019/2/15, 33, 6, 3
2019/2/16, 22, , 
2019/3/28, 28, , 
2018/10/15, 22, 11, 2
2018/10/16, 27, 10, 2
2018/10/17, 36, 6, 1
2018/10/18, 22, , 
2018/10/22, 24, 8, 2
2018/10/23, 20, 10, 3
2018/10/24, 19, 9, 3
2018/10/25, 22, 9, 3
2018/10/26, 19, 6, 2
2018/10/27, 15, 8, 3
2018/10/28, 15, 9, 3
2018/10/29, 24, 9, 7
2018/10/30, 20, , 
2018/11/17, 20, , 
2018/11/26, 23, 8, 3
2018/11/27, 21, 8, 4
2018/11/28, 18, 9, 4
2018/11/29, 20, , 
2018/12/2, 22, 10, 4
2018/12/3, 37, 7, 3
2018/12/4, 33, 6, 3
2018/12/5, 27, 9, 3
2018/12/6, 27, 11, 3
2018/12/7, 32, 9, 3
2018/12/8, 31, 12, 3
2018/12/9, 25, 13, 3
2018/12/10, 25, 11, 4
2018/12/11, 22, 8, 2
2018/12/12, 20, , 
2018/12/17, 20, , 
2018/12/29, 18, 4, 2
2018/12/30, 13, , 
2018/7/1, 22, 7, 2
2018/7/2, 13, 12, 3
2018/7/3, 20, 11, 3
2018/7/5, 15, 8, 3
2018/7/6, 9, 8, 2
2018/7/7, 10, 8, 2
2018/7/8, 14, 12, 3
2018/7/9, 14, 9, 3
2018/7/10, 27, 10, 4
2018/7/11, 33, 13, 6
2018/7/12, 37, 12, 7
2018/7/13, 45, 11, 14
2018/7/15, 23, 8, 2
2018/7/16, 18, 9, 3
2018/7/17, 19, 8, 5
2018/7/18, 20, 6, 3
2018/7/19, 15, 7, 3
2018/7/20, 10, 9, 4
2018/7/21, 18, 10, 4
2018/7/22, 24, 16, 4
2018/7/23, 26, 13, 3
2018/7/24, 31, 10, 3
2018/7/25, 16, 9, 3
2018/7/26, 11, 9, 3
2018/7/27, 14, 7, 5
2018/7/28, 13, 9, 4
2018/7/29, 11, 8, 3
2018/7/30, 23, 9, 3
2018/7/31, 28, 11, 4
2018/8/1, 35, 8, 4
2018/8/2, 30, 8, 4
2018/8/3, 25, 12, 8
2018/8/4, 31, 12, 4
2018/8/5, 37, 12, 4
2018/8/6, 34, 7, 4
2018/8/7, 33, 4, 3
2018/8/8, 23, 6, 2
2018/8/9, 12, 7, 5
2018/8/10, 19, 6, 6
2018/8/11, 19, 6, 6
2018/8/12, 15, 7, 6
2018/8/13, 20, 7, 5
2018/8/14, 21, 10, 5
2018/8/15, 26, 7, 6
2018/8/16, 33, 12, 8
2018/8/17, 39, 5, 5
2018/8/18, 35, 6, 4
2018/8/19, 12, 10, 6
2018/8/20, 22, 13, 7
2018/8/21, 38, 7, 3
2018/8/22, 36, 8, 3
2018/8/23, 22, 8, 3
2018/8/24, 17, 11, 5
2018/8/25, 21, 11, 4
2018/8/26, 31, 11, 4
2018/8/27, 40, 17, 6
2018/8/28, 42, 12, 5
2018/8/29, 45, 8, 2
2018/8/30, 27, , 
2018/9/8, 20, 7, 3
2018/9/9, 19, 8, 3
2018/9/10, 17, 8, 3
2018/9/11, 17, 10, 4
2018/9/12, 20, 10, 3
2018/9/13, 24, 10, 4
2018/9/14, 19, 8, 3
2018/9/15, 16, 10, 4
2018/9/16, 12, 10, 4
2018/9/17, 23, 9, 3
2018/9/18, 22, 14, 4
2018/9/19, 24, 11, 4
2018/9/20, 39, 13, 6
2018/9/21, 41, 8, 4
2018/9/22, 38, 9, 3
2018/9/23, 16, 7, 3
2018/9/24, 19, 6, 3
2018/9/25, 16, 7, 3
2018/9/26, 23, 8, 3
2018/9/27, 21, , 
2018/4/1, 18, 7, 6
2018/4/2, 23, 8, 7
2018/4/3, 24, 9, 7
2018/4/4, 33, 10, 8
2018/4/5, 47, 6, 6
2018/4/6, 22, 7, 8
2018/4/7, 19, 8, 7
2018/4/8, 18, 8, 8
2018/4/9, 30, 10, 9
2018/4/10, 48, 7, 8
2018/4/11, 40, 8, 5
2018/4/12, 19, 2, 3
2018/4/13, 22, 2, 4
2018/4/14, 23, 2, 4
2018/4/15, 20, 3, 4
2018/4/16, 28, 4, 6
2018/4/17, 41, 3, 6
2018/4/18, 44, 4, 6
2018/4/19, 37, 3, 7
2018/4/20, 28, 3, 5
2018/4/21, 18, 3, 5
2018/4/22, 26, 3, 3
2018/4/23, 18, 3, 4
2018/4/24, 23, 3, 5
2018/4/25, 32, 10, 5
2018/4/26, 42, 12, 5
2018/4/27, 42, 8, 4
2018/4/28, 20, 10, 4
2018/4/29, 13, 8, 1
2018/4/30, 15, 8, 2
2018/5/1, 21, 10, 5
2018/5/2, 23, 12, 3
2018/5/3, 24, 9, 3
2018/5/4, 19, 6, 3
2018/5/5, 17, 7, 3
2018/5/6, 21, 9, 
2018/5/7, 30, 9, 
2018/5/8, 20, 13, 
2018/5/9, 36, 8, 
2018/5/10, 24, 9, 
2018/5/11, 19, 12, 
2018/5/12, 32, 7, 
2018/5/13, 34, 10, 
2018/5/14, 34, 9, 
2018/5/15, 26, 13, 
2018/5/16, 29, 13, 
2018/5/17, 32, 11, 7
2018/5/18, 42, 8, 4
2018/5/19, 20, 13, 6
2018/5/20, 29, 11, 5
2018/5/21, 30, 15, 7
2018/5/22, 35, 16, 
2018/5/23, 46, 17, 16
2018/5/25, 43, , 
2018/5/26, 37, 11, 
2018/5/27, 36, 12, 7
2018/5/28, 45, 10, 4
2018/5/29, 45, 5, 3
2018/5/30, 20, 6, 3
2018/5/31, 16, 7, 3
2018/6/1, 16, 8, 2
2018/6/2, 14, 12, 3
2018/6/3, 17, 11, 4
2018/6/4, 24, 13, 5
2018/6/5, 36, 10, 5
2018/6/6, 39, 12, 4
2018/6/7, 27, 12, 6
2018/6/8, 43, 6, 4
2018/6/9, 34, 7, 5
2018/6/10, 26, 7, 4
2018/6/11, 24, 7, 3
2018/6/12, 18, 8, 4
2018/6/13, 15, 11, 4
2018/6/14, 20, 15, 6
2018/6/15, 33, 9, 3
2018/6/16, 30, 10, 4
2018/6/17, 21, 12, 5
2018/6/18, 37, 14, 7
2018/6/20, 44, 14, 5
2018/6/21, 36, 12, 6
2018/6/22, 46, 6, 2
2018/6/23, 36, 11, 4
2018/6/28, 44, 13, 7
2018/6/29, 46, 6, 3
2018/6/30, 35, 5, 4
2018/1/1, 23, 12, 3
2018/1/2, 29, 14, 3
2018/1/3, 43, 16, 3
2018/1/6, 30, 14, 3
2018/1/7, 20, 14, 3
2018/1/8, 27, 9, 3
2018/1/9, 29, 14, 4
2018/1/10, 35, 10, 4
2018/1/11, 34, 10, 4
2018/1/12, 25, 4, 2
2018/1/13, 20, 3, 2
2018/1/14, 13, 6, 2
2018/1/15, 18, 8, 2
2018/1/16, 21, 8, 3
2018/1/17, 32, 14, 4
2018/1/18, 33, 8, 3
2018/1/19, 31, 7, 3
2018/1/20, 24, 7, 3
2018/1/21, 26, 8, 4
2018/1/22, 26, 11, 4
2018/1/23, 36, 5, 1
2018/1/24, 30, 5, 4
2018/1/25, 33, 5, 4
2018/1/26, 32, 7, 4
2018/1/27, 29, 6, 3
2018/1/28, 40, 8, 3
2018/1/29, 30, 10, 4
2018/1/30, 36, 10, 4
2018/1/31, 32, 13, 5
2018/2/1, 34, 7, 4
2018/2/2, 42, 6, 4
2018/2/3, 28, 7, 4
2018/2/4, 33, 10, 4
2018/2/5, 31, 8, 4
2018/2/6, 32, 11, 3
2018/2/7, 35, 15, 4
2018/2/8, 42, 9, 3
2018/2/9, 32, 6, 2
2018/2/10, 29, 2, 1
2018/2/11, 30, , 
2018/2/12, 22, 7, 
2018/2/13, 22, 10, 3
2018/2/14, 29, 9, 3
2018/2/15, 31, 8, 3
2018/2/16, 30, 10, 3
2018/2/17, 29, 10, 4
2018/2/18, 31, 9, 3
2018/2/19, 29, 5, 2
2018/2/20, 27, 5, 2
2018/2/21, 21, 12, 3
2018/2/22, 32, 9, 3
2018/2/23, 34, 4, 2
2018/2/24, 30, 5, 2
2018/2/25, 36, 7, 3
2018/2/26, 28, 9, 4
2018/2/27, 25, 9, 4
2018/2/28, 26, 11, 4
2018/3/1, 31, , 4
2018/3/2, 33, , 4
2018/3/3, 33, , 4
2018/3/4, 34, , 3
2018/3/6, 33, , 5
2018/3/7, 41, , 4
2018/3/8, 40, , 4
2018/3/9, 45, , 4
2018/3/10, 47, , 3
2018/3/12, 28, 8, 5
2018/3/13, 45, 8, 7
2018/3/14, 43, 6, 5
2018/3/15, 29, 9, 7
2018/3/16, 38, 5, 7
2018/3/17, 26, 6, 5
2018/3/18, 14, 11, 7
2018/3/19, 25, 5, 5
2018/3/20, 31, 15, 6
2018/3/21, 28, 8, 6
2018/3/22, 35, 11, 8
2018/3/23, 41, 6, 3
2018/3/24, 23, 12, 7
2018/3/25, 21, 9, 6
2018/3/26, 34, 7, 5
2018/3/27, 29, 9, 8
2018/3/28, 32, 11, 8
2018/3/29, 43, 9, 8
2018/3/30, 28, 5, 7
2018/3/31, 24, 5, 6
2017/12/31, 27, 9, 2
2020/1/1, , 4, 
2020/1/2, , 4, 
2020/1/3, , 5, 6
2020/1/4, , 6, 
2020/1/5, , 8, 
2020/1/9, , 8, 3
2020/1/10, , 10, 3
2020/1/11, , 7, 1
2020/1/12, , 4, 1
2020/1/13, , 6, 1
2020/1/14, , 12, 5
2019/10/15, , 8, 
2019/10/16, , 10, 5
2019/10/17, , 14, 5
2019/11/2, , 9, 2
2019/11/4, , 17, 5
2019/11/5, , 11, 3
2019/11/6, , 8, 3
2019/11/10, , 7, 2
2019/11/23, , 5, 2
2019/11/24, , 9, 2
2019/11/25, , 10, 1
2019/11/26, , 14, 4
2019/12/9, , 18, 2
2019/7/4, , 14, 5
2019/7/5, , 15, 7
2019/7/6, , 13, 4
2019/7/7, , 11, 5
2019/7/15, , 13, 4
2019/7/18, , 20, 6
2019/7/25, , 13, 12
2019/8/1, , 11, 6
2019/8/8, , 10, 5
2019/8/9, , 9, 5
2019/8/10, , 9, 6
2019/8/11, , 8, 5
2019/8/12, , 13, 
2019/8/13, , 9, 
2019/8/14, , 10, 
2019/8/16, , 6, 3
2019/8/17, , 5, 1
2019/8/18, , 10, 3
2019/8/19, , 8, 7
2019/8/20, , 8, 8
2019/8/21, , 14, 13
2019/8/22, , 9, 11
2019/8/23, , 5, 9
2019/8/24, , 7, 10
2019/8/25, , 10, 13
2019/8/26, , 8, 10
2019/8/27, , 8, 12
2019/8/28, , 6, 11
2019/8/29, , 8, 11
2019/8/30, , 8, 11
2019/8/31, , 13, 8
2019/9/1, , 16, 6
2019/9/19, , 16, 4
2019/9/20, , 9, 1
2019/4/25, , 5, 3
2019/5/15, , 7, 2
2019/5/28, , 7, 4
2019/6/14, , 3, 4
2019/6/16, , 7, 5
2019/1/7, , 10, 4
2019/1/14, , 9, 4
2019/1/29, , 9, 4
2019/2/6, , 9, 4
2019/2/13, , 11, 5
2019/3/27, , 7, 3
2018/10/14, , 11, 2
2018/10/21, , 9, 1
2018/11/16, , 12, 3
2018/11/25, , 9, 3
2018/12/1, , 9, 4
2018/12/16, , 3, 1
2018/12/28, , 7, 5
2018/7/4, , 17, 3
2018/7/14, , 8, 2
2018/9/7, , 6, 2
2018/6/19, , 10, 5
2018/6/24, , 12, 6
2018/6/25, , 15, 7
2018/6/26, , 18, 11
2018/6/27, , 11, 4
2018/1/4, , 16, 3
2018/1/5, , 12, 3
2017/12/30, , 7, 3
2019/8/15, , , 6
2019/9/2, , , 5
2019/9/3, , , 5
2019/9/4, , , 5
2019/9/5, , , 5
2019/9/6, , , 7
2019/9/7, , , 5
2019/9/8, , , 7
2019/9/9, , , 5
2019/9/10, , , 6
2019/9/11, , , 6
2019/9/12, , , 5
2019/9/13, , , 5
2019/9/14, , , 5
2019/9/15, , , 5
2018/3/5, , , 3
2018/3/11, , , 4
