date, pm25, o3, so2
2020/1/2, 27, , 
2020/1/3, 28, , 
2020/1/4, 19, , 
2020/1/5, 33, , 
2020/1/6, 18, , 
2020/1/7, 17, , 
2020/1/8, 14, , 
2020/1/9, 31, , 
2020/1/10, 64, , 
2020/1/11, 16, , 
2020/1/12, 18, , 
2020/1/13, 36, , 
2020/1/14, 52, , 
2020/1/15, 45, , 
2020/1/16, 50, , 
2019/10/1, 26, 13, 
2019/10/2, 10, 15, 
2019/10/3, 9, 25, 
2019/10/4, 8, 22, 
2019/10/5, 21, 25, 1
2019/10/6, 15, 24, 1
2019/10/7, 21, 31, 
2019/10/8, 22, 39, 1
2019/10/9, 28, 32, 
2019/10/10, 33, 27, 1
2019/10/11, 19, 28, 1
2019/10/12, 16, 21, 1
2019/10/13, 11, 18, 
2019/10/14, 17, 17, 
2019/10/15, 28, 22, 1
2019/10/16, 8, 8, 1
2019/10/17, 24, , 
2019/10/18, 45, , 1
2019/10/19, 37, , 1
2019/10/20, 47, , 
2019/10/21, 31, , 1
2019/10/22, 7, , 
2019/10/23, 12, , 
2019/10/24, 14, , 
2019/10/25, 22, , 
2019/10/26, 43, , 1
2019/10/27, 41, , 
2019/10/28, 20, , 
2019/10/29, 31, , 1
2019/10/30, 26, , 
2019/10/31, 17, , 
2019/11/1, 36, , 
2019/11/2, 29, , 
2019/11/3, 27, , 
2019/11/4, 35, , 
2019/11/5, 18, , 
2019/11/6, 34, , 
2019/11/7, 14, , 
2019/11/8, 23, , 
2019/11/9, 40, , 
2019/11/10, 28, , 
2019/11/11, 7, , 
2019/11/12, 16, , 
2019/11/13, 29, , 
2019/11/14, 50, , 
2019/11/15, 56, , 
2019/11/16, 36, , 
2019/11/17, 64, , 
2019/11/18, 49, , 
2019/11/19, 47, , 
2019/11/20, 59, , 
2019/11/21, 32, , 
2019/11/22, 16, , 1
2019/11/23, 31, , 
2019/11/24, 36, , 1
2019/11/25, 41, , 
2019/11/26, 14, , 
2019/11/27, 12, , 
2019/11/28, 7, , 
2019/11/29, 15, , 
2019/11/30, 22, , 
2019/12/1, 10, , 
2019/12/2, 15, , 
2019/12/3, 37, , 
2019/12/4, 32, , 
2019/12/5, 58, , 
2019/12/6, 23, , 
2019/12/7, 46, , 
2019/12/8, 58, , 
2019/12/9, 32, , 
2019/12/10, 26, , 1
2019/12/11, 40, , 1
2019/12/12, 53, , 
2019/12/13, 73, , 
2019/12/14, 76, , 
2019/12/15, 32, , 
2019/12/16, 41, , 
2019/12/17, 56, , 
2019/12/18, 23, , 
2019/12/19, 52, , 
2019/12/20, 79, , 
2019/12/21, 68, , 1
2019/12/22, 59, , 
2019/12/23, 45, , 
2019/12/24, 72, , 
2019/12/25, 69, , 
2019/12/26, 49, , 
2019/12/27, 52, , 
2019/12/28, 60, , 
2019/7/1, 27, 29, 
2019/7/2, 25, 38, 
2019/7/3, 37, 42, 
2019/7/4, 35, 35, 
2019/7/5, 27, 27, 
2019/7/6, 84, 31, 
2019/7/7, 82, 36, 
