date, pm25, pm10, o3, so2, co
2019/8/16, 27, 19, 34, 1, 2
2019/8/17, 28, 15, 33, , 1
2019/8/18, 16, 24, 34, , 1
2019/8/19, 21, 19, 35, , 2
2019/8/20, 21, 24, 22, , 2
2019/8/21, 28, 22, 28, , 2
2019/8/22, 23, 28, 30, , 1
2019/8/23, 18, 15, 31, 1, 2
2019/8/24, 20, 11, 27, , 2
2019/8/25, 25, 33, 19, , 2
2019/8/26, 22, 60, 28, , 1
2019/8/27, 24, 69, 26, 1, 1
2019/8/28, 23, 41, 32, 1, 2
2019/8/29, 27, 28, 27, , 2
2019/8/30, 26, 14, 31, 1, 2
2019/8/31, 24, 16, 31, , 2
2019/9/1, 37, 19, 31, , 2
2019/9/2, 37, 40, 28, 1, 1
2019/9/3, 38, 16, 20, , 1
2019/9/4, 22, 41, 27, , 2
2019/9/5, 22, 23, 25, , 1
2019/9/6, 19, 23, 29, , 2
2019/9/7, 24, 11, 20, , 2
2019/9/8, 27, 40, 30, 1, 2
2019/9/9, 39, 38, 38, , 2
2019/9/10, 49, 40, 34, , 2
2019/9/11, 54, 35, 29, , 1
2019/9/12, 37, 59, 20, , 1
2019/9/13, 18, 19, 29, 1, 2
2019/9/14, 20, 30, 32, 1, 2
2019/9/15, 37, 38, 28, , 2
2019/9/16, 33, 39, 28, , 2
2019/9/17, 43, 56, 39, 1, 2
2019/9/18, 47, 38, 29, 1, 2
2019/9/19, 42, 46, 40, 1, 2
2019/9/20, 49, 16, 21, , 2
2019/9/21, 35, 14, 22, , 1
2019/9/22, 18, 22, 25, , 1
2019/9/23, 20, 31, 33, 1, 1
2019/9/24, 19, 16, 28, 1, 1
2019/9/25, 18, 21, 30, 1, 1
2019/9/26, 15, 24, 23, 1, 2
2019/9/27, 25, 11, 16, , 1
2019/9/28, 25, 10, 13, , 2
2019/9/29, 26, 29, 28, 1, 1
2019/9/30, 37, 28, 22, 1, 1
2019/3/21, 24, 12, 40, 1, 2
2019/3/22, 38, 30, 41, , 2
2019/3/23, 35, 17, 31, 1, 2
2019/3/24, 67, 16, 35, 1, 1
2019/3/25, 20, 44, 6, 1, 2
2019/3/26, 22, 28, , 1, 2
2019/3/27, 29, , , , 
2017/7/1, 35, , , , 
2017/7/2, 51, , , , 
2017/7/3, 56, , , , 
2017/4/1, 23, , , , 
2017/4/2, 33, , , , 
2017/4/3, 46, , , , 
2017/4/4, 29, , , , 
2017/4/5, 17, , , , 
2017/4/6, 28, , , , 
2017/4/7, 32, , , , 
2017/4/8, 35, , , , 
2017/4/9, 50, , , , 
2017/4/10, 43, , , , 
2017/4/11, 29, , , , 
2017/4/12, 66, , , , 
2017/4/13, 56, , , , 
2017/4/14, 64, , , , 
2017/4/15, 52, , , , 
2017/4/16, 29, , , , 
2017/4/17, 32, , , , 
2017/4/18, 29, , , , 
2017/4/19, 49, , , , 
2017/4/20, 28, , , , 
2017/4/21, 20, , , , 
2017/4/22, 32, , , , 
2017/4/23, 48, , , , 
2017/4/24, 35, , , , 
2017/4/25, 44, , , , 
2017/4/26, 38, , , , 
2017/4/27, 28, , , , 
2017/4/28, 33, , , , 
2017/4/29, 27, , , , 
2017/4/30, 16, , , , 
2017/5/1, 17, , , , 
2017/5/2, 18, , , , 
2017/5/3, 26, , , , 
2017/5/4, 30, , , , 
2017/5/5, 33, , , , 
2017/5/6, 33, , , , 
2017/5/7, 32, , , , 
2017/5/8, 37, , , , 
2017/5/9, 58, , , , 
2017/5/10, 66, , , , 
2017/5/11, 48, , , , 
2017/5/12, 49, , , , 
2017/5/13, 44, , , , 
