date, pm25, pm10, no2
2020/1/2, 59, 12, 16
2020/1/3, 47, 22, 26
2020/1/4, 57, 15, 24
2020/1/5, 53, 20, 18
2020/1/6, 59, 19, 19
2020/1/7, 55, 11, 17
2020/1/8, 39, 7, 8
2020/1/9, 27, 19, 24
2020/1/10, 47, 16, 14
2020/1/11, 53, 14, 12
2020/1/12, 39, 14, 16
2020/1/13, 46, 7, 5
2020/1/14, 31, 14, 16
2020/1/15, 53, 14, 15
2020/1/16, 56, , 
2019/10/1, 28, 13, 16
2019/10/2, 36, 15, 17
2019/10/3, 50, 19, 18
2019/10/4, 44, 9, 18
2019/10/5, 36, 11, 12
2019/10/6, 33, 15, 18
2019/10/7, 35, 14, 17
2019/10/8, 38, 13, 12
2019/10/9, 39, 15, 14
2019/10/10, 37, 13, 12
2019/10/11, 40, 11, 11
2019/10/12, 37, 15, 13
2019/10/13, 46, 16, 19
2019/10/14, 40, 9, 13
2019/10/15, 26, 6, 8
2019/10/16, 20, 10, 15
2019/10/17, 27, 11, 9
2019/10/18, 30, 10, 11
2019/10/19, 27, 16, 14
2019/10/20, 48, 11, 24
2019/10/21, 37, 17, 21
2019/10/22, 51, 22, 17
2019/10/23, 57, 20, 15
2019/10/24, 52, 13, 13
2019/10/25, 35, 10, 7
2019/10/26, 30, 12, 16
2019/10/27, 37, 17, 20
2019/10/28, 49, 20, 19
2019/10/29, 54, 21, 18
2019/10/30, 60, 27, 15
2019/10/31, 73, 13, 12
2019/11/1, 38, 11, 5
2019/11/2, 28, 7, 10
2019/11/3, 27, 11, 11
2019/11/4, 27, 17, 20
2019/11/5, 40, 16, 22
2019/11/6, 49, 11, 15
2019/11/7, 33, 17, 22
2019/11/8, 50, 19, 15
2019/11/9, 57, 10, 14
2019/11/10, 41, 11, 13
2019/11/11, 41, 10, 21
2019/11/12, 35, 13, 20
2019/11/13, 42, 12, 15
2019/11/14, 36, 17, 27
2019/11/15, 58, 13, 18
2019/11/16, 49, 20, 21
2019/11/17, 67, 23, 28
2019/11/18, 67, 29, 26
2019/11/19, 73, 23, 23
2019/11/20, 66, 22, 15
2019/11/21, 65, 13, 15
2019/11/22, 41, 12, 18
2019/11/23, 47, 15, 16
2019/11/24, 52, 13, 13
2019/11/25, 41, 12, 13
2019/11/26, 38, 8, 11
2019/11/27, 30, 11, 16
2019/11/28, 32, 17, 28
2019/11/29, 47, 18, 19
2019/11/30, 53, 17, 15
2019/12/1, 55, 29, 30
2019/12/2, 61, 28, 23
