date, pm10, no2, so2, co
2019/6/8, 18, 7, , 
2019/6/9, 15, 9, 3, 
2019/6/10, 24, 11, 2, 
2019/6/11, 25, 12, 1, 
2019/6/12, 21, 5, 1, 
2019/6/13, 21, 10, , 
2019/6/14, 18, 12, , 
2019/6/15, 26, 9, 1, 
2019/6/16, 24, 14, , 
2019/6/17, 15, 14, , 
2019/6/18, 14, 7, , 
2019/6/19, 15, 6, , 
2019/6/20, 16, 11, , 
2019/6/21, 15, 6, , 
2019/6/22, 12, 6, , 
2019/6/23, 9, 12, , 
2019/6/24, 12, 7, , 
2019/6/25, 17, 6, 1, 
2019/6/26, 17, 8, , 
2019/6/27, 28, 19, 1, 
2019/6/28, 17, 10, , 
2019/6/29, 12, 6, 1, 
2019/6/30, 14, 9, , 
2019/1/1, 33, 16, , 
2019/1/2, 30, 16, , 
2019/1/3, 5, 25, 1, 
2019/1/4, 22, 5, , 
2019/1/5, 8, 21, 1, 
2019/1/6, 25, 19, 1, 
2019/1/7, 8, 20, , 
2019/1/8, 21, 29, 1, 
2019/1/9, 30, 16, 1, 
2019/1/10, 13, 17, 1, 
2019/1/11, 20, , , 
2019/1/14, 35, 23, 1, 
2019/1/15, 16, 21, , 
2019/1/16, 18, 8, , 
2019/1/17, 9, 26, , 
2019/1/18, 7, 19, , 
2019/1/19, 18, 11, , 
2019/1/20, 22, 21, 1, 
2019/1/21, 26, 22, 1, 
2019/1/22, 23, 20, 1, 
2019/1/23, 33, 24, 1, 
2019/1/24, 27, 22, 1, 
2019/1/25, 31, 22, , 
2019/1/26, 30, 29, 1, 
2019/1/27, 56, 26, 1, 
2019/1/28, 20, 29, 1, 
2019/1/29, 21, 13, , 
2019/1/30, 21, 21, 7, 
2019/1/31, 28, 25, 4, 
2019/2/1, 42, 20, 1, 
2019/2/2, 19, 23, 1, 
2019/2/3, 20, 17, , 
2019/2/4, 13, 19, , 
2019/2/5, 16, 28, 1, 
2019/2/6, 24, 23, 1, 
2019/2/7, 28, 28, 2, 
2019/2/8, 42, 22, 1, 
2019/2/9, 43, 15, , 
2019/2/10, 32, 21, , 
2019/2/11, 14, 22, 1, 
2019/2/12, 12, 19, , 
2019/2/13, 18, 25, 1, 
2019/2/14, 30, 21, 1, 
2019/2/15, 20, 20, , 
2019/2/16, 26, 21, 1, 
2019/2/17, 33, 26, 1, 
2019/2/18, 38, 30, 1, 
2019/2/19, 38, 30, 1, 
2019/2/20, 35, 26, 1, 
2019/2/21, 33, 20, , 
2019/2/22, 23, 13, 1, 
2019/2/23, 13, 16, 1, 
2019/2/24, 19, 23, 1, 
2019/2/25, 27, 24, 1, 
2019/2/26, 26, 25, 1, 
2019/2/27, 20, 14, , 
2019/2/28, 17, 26, 1, 
2019/3/1, 25, 19, , 
2019/3/2, 17, 9, , 
2019/3/3, 10, 11, , 
2019/3/4, 16, 21, , 
2019/3/5, 17, 15, , 
2019/3/6, 15, 14, , 
2019/3/7, 15, 15, , 
2019/3/8, 19, 9, , 
2019/3/9, 10, 3, , 
2019/3/10, 10, 15, , 
2019/3/11, 11, 19, , 
2019/3/12, 14, 15, , 
2019/3/13, 13, 12, , 
2019/3/14, 11, 15, , 
2019/3/15, 13, 15, , 
2019/3/16, 20, 5, , 
2019/3/17, 12, 19, , 
2019/3/18, 11, 23, 1, 
2019/3/19, 10, 20, 1, 
2019/3/20, 13, 24, , 
2019/3/21, 23, 20, , 
2019/3/22, 22, 18, , 
2019/3/23, 23, 15, , 
2019/3/24, 23, 18, , 
2019/3/25, 22, 16, , 
2019/3/26, 10, 21, 1, 
2019/3/27, 13, 20, , 
2019/3/28, 13, 19, , 
2019/3/29, 15, 15, , 
2019/3/30, 19, 18, 2, 
2019/3/31, 21, 27, 1, 
2018/10/1, 26, 13, , 
2018/10/2, 11, 14, , 
2018/10/3, 17, 16, , 
2018/10/4, 19, 17, 7, 
2018/10/5, 27, 17, 1, 
2018/10/6, 39, 13, , 
2018/10/7, 26, 10, , 
2018/10/8, 23, 19, 1, 
2018/10/9, 32, 15, 1, 
2018/10/10, 33, 17, 1, 
2018/10/11, 40, 18, 1, 
2018/10/12, 43, 16, 2, 
2018/10/13, 40, 11, 2, 
2018/10/14, 37, 21, 1, 
2018/10/15, 42, 19, , 
2018/10/16, 39, 19, 2, 
2018/10/17, 46, 25, 1, 
2018/10/18, 50, 21, 1, 
2018/10/19, 38, , , 
2018/10/22, 22, 17, , 
2018/10/23, 21, 13, , 
2018/10/24, 17, 12, , 
2018/10/25, 16, 17, , 
2018/10/26, 24, , , 
2018/10/28, 15, 11, 1, 
2018/10/29, 14, 2, , 
2018/10/30, 8, 22, , 
2018/10/31, 19, 15, 1, 
2018/11/1, 32, 17, , 
2018/11/2, 21, 11, , 
2018/11/3, 31, , , 
2018/11/5, 42, 13, 1, 
2018/11/6, 51, 16, , 
2018/11/7, 32, 15, , 
2018/11/8, 18, 18, , 
2018/11/9, 27, 10, , 
2018/11/10, 16, 13, , 
2018/11/11, 16, 17, , 
2018/11/12, 21, 14, , 
2018/11/13, 15, 18, , 
2018/11/14, 20, 20, 1, 
2018/11/15, 22, 20, 1, 
2018/11/16, 12, 13, 1, 
2018/11/17, 15, 10, 1, 
2018/11/18, 16, 14, 1, 
2018/11/19, 18, 16, 2, 
2018/11/20, 20, 14, 1, 
2018/11/21, 32, 11, , 
2018/11/22, 23, 8, , 
2018/11/23, 24, 10, 8, 
2018/11/24, 38, 11, 2, 
2018/11/25, 24, 13, 1, 
2018/11/26, 8, 12, 1, 
2018/11/27, 10, 19, 1, 
2018/11/28, 15, 22, 1, 
2018/11/29, 26, 12, 1, 
2018/11/30, 24, 16, 2, 
2018/12/1, 41, 19, 1, 
2018/12/2, 54, 24, 2, 
2018/12/3, 48, 20, 1, 
2018/12/4, 41, 27, 1, 
2018/12/5, 22, 22, 1, 
2018/12/6, 36, 20, 1, 
2018/12/7, 35, 18, , 
2018/12/8, 12, 20, , 
2018/12/9, 23, 17, 1, 
2018/12/10, 23, 24, 1, 
2018/12/11, 27, 29, 1, 
2018/12/12, 41, 19, 1, 
2018/12/13, 23, 15, 1, 
2018/12/14, 11, 7, , 
2018/12/15, 12, , , 
2018/12/16, 23, 27, 3, 
2018/12/17, 40, 34, 2, 
2018/12/18, 52, 16, , 
2018/12/19, 44, 20, 1, 
2018/12/20, 62, 17, 1, 
2018/12/21, 56, 15, 1, 
2018/12/22, 9, 30, 2, 
2018/12/23, 23, 6, , 
2018/7/1, 10, 9, 1, 
2018/7/2, 14, 12, 1, 
2018/7/3, 25, 11, , 
2018/7/4, 16, 8, , 
2018/7/5, 21, 16, , 
2018/7/6, 15, 9, , 
2018/7/7, 12, 11, , 
2018/7/8, 12, 15, , 
2018/7/9, 17, 8, , 
2018/7/10, 21, 13, , 
2018/7/11, 9, 9, , 
2018/7/12, 12, 9, , 
2018/7/13, 15, 7, , 
2018/7/14, 13, 9, , 
2018/7/15, 13, 9, , 
2018/7/16, 13, 12, , 
2018/7/17, 12, 12, , 
2018/7/18, 15, 11, , 
2018/7/19, 23, 8, , 
2018/7/20, 19, 6, , 
2018/7/21, 15, 5, , 
2018/7/22, 14, 16, , 
2018/7/23, 15, 16, , 
2018/7/24, 23, 19, , 
2018/7/25, 23, 19, , 
2018/7/26, 17, 14, , 
2018/7/27, 20, 6, , 
2018/7/28, 19, , , 
2018/7/30, 25, 16, , 
2018/7/31, 21, 17, , 
2018/8/1, 28, 14, , 
2018/8/2, 23, 12, , 
2018/8/3, 33, 10, , 
2018/8/4, 18, 5, , 
2018/8/5, 18, 9, , 
2018/8/6, 23, 6, 5, 
2018/8/7, 31, 9, 3, 
2018/8/8, 27, 9, 5, 
2018/8/9, 40, 14, 3, 
2018/8/10, 37, 8, , 
2018/8/11, 12, 6, , 
2018/8/12, 10, 6, , 
2018/8/13, 15, 10, , 
2018/8/14, 13, 6, , 
2018/8/15, 8, 14, , 
2018/8/16, 12, 9, , 
2018/8/17, 15, 9, , 
2018/8/18, 20, 9, , 
2018/8/19, 18, 16, , 
2018/8/20, 18, 16, , 
2018/8/21, 20, 15, , 
2018/8/22, 24, 12, , 
2018/8/23, 27, 11, , 
2018/8/24, 28, 11, , 
2018/8/25, 15, , , 
2018/8/27, 9, 8, , 
2018/8/28, 8, 13, , 
2018/8/29, 21, 12, , 
2018/8/30, 21, 16, , 
2018/8/31, 15, 17, , 
2018/9/1, 23, 3, , 
2018/9/2, 11, 19, , 
2018/9/3, 16, 16, , 
2018/9/4, 12, 16, , 
2018/9/5, 19, 13, , 
2018/9/6, 18, 14, , 
2018/9/7, 19, 10, , 
2018/9/8, 17, , , 
2018/9/10, 20, 23, , 
2018/9/11, 20, 16, , 
2018/9/12, 19, 15, 2, 
2018/9/13, 21, 16, 1, 
2018/9/14, 29, , , 
2018/9/17, 23, 13, 4, 
2018/9/18, 21, 13, 1, 
2018/9/19, 24, 23, , 
2018/9/20, 24, 13, 1, 
2018/9/21, 30, 12, , 
2018/9/22, 15, 9, , 
2018/9/23, 11, 11, , 
2018/9/24, 8, 14, , 
2018/9/25, 9, 12, , 
2018/9/26, 10, 13, , 
2018/9/27, 18, 16, 4, 
2018/9/28, 25, 13, , 
2018/9/29, 15, 9, , 
2018/9/30, 12, 18, 2, 
2018/4/1, 4, 5, , 
2018/4/2, 5, 6, , 
2018/4/3, 9, 12, , 
2018/4/4, 12, 9, , 
2018/4/5, 7, 16, , 
2018/4/6, 11, 15, , 
2018/4/7, 13, 13, 1, 
2018/4/8, 15, 14, 1, 
2018/4/9, 22, 12, , 
2018/4/10, 12, 20, 1, 
2018/4/11, 16, 20, 1, 
2018/4/12, 25, 10, , 
2018/4/13, 15, 19, 1, 
2018/4/14, 18, 14, 1, 
2018/4/15, 31, 15, 1, 
2018/4/16, 41, 16, , 
2018/4/17, 15, 21, , 
2018/4/18, 21, 20, 1, 
2018/4/19, 27, 18, , 
2018/4/20, 17, 14, , 
2018/4/21, 20, 11, , 
2018/4/22, 16, 12, , 
2018/4/23, 21, 15, , 
2018/4/24, 28, 8, , 
2018/4/25, 28, 14, , 
2018/4/26, 28, 12, , 
2018/4/27, 15, 11, 1, 
2018/4/28, 31, 9, , 
2018/4/29, 29, 8, , 
2018/4/30, 23, 8, , 
2018/5/1, 17, 16, 1, 
2018/5/2, 23, 17, 1, 
2018/5/3, 24, 15, , 
2018/5/4, 23, 16, , 
2018/5/5, 23, 15, 1, 
2018/5/6, 17, 17, 1, 
2018/5/7, 18, 17, , 
2018/5/8, 20, 16, , 
2018/5/9, 18, 15, , 
2018/5/10, 21, 16, 1, 
2018/5/11, 20, 10, 1, 
2018/5/12, 21, 8, , 
2018/5/13, 13, 11, , 
2018/5/14, 13, , , 
2018/5/15, 7, , , 
2018/5/16, 8, , , 
2018/5/17, 7, , , 
2018/5/18, 13, , , 
2018/5/19, 15, , , 
2018/5/20, 14, , , 
2018/5/21, 13, , 1, 
2018/5/22, 20, , 1, 
2018/5/23, 22, , , 
2018/5/24, 19, , , 
2018/5/25, 20, , , 
2018/5/26, 12, , , 
2018/5/27, 16, 20, 3, 
2018/5/28, 29, 12, 3, 
2018/5/29, 30, 16, 1, 
2018/5/30, 26, 6, 1, 
2018/5/31, 29, 10, , 
2018/6/1, 26, 8, , 
2018/6/2, 19, 8, , 
2018/6/3, 15, 6, , 
2018/6/4, 16, 14, , 
2018/6/5, 20, 9, , 
2018/6/6, 14, 8, , 
2018/6/7, 14, 25, 1, 
2018/6/8, 29, 10, , 
2018/6/9, 17, 7, , 
2018/6/10, 19, 8, , 
2018/6/11, 22, 8, , 
2018/6/12, 27, 12, , 
2018/6/13, 15, 14, , 
2018/6/14, 11, 19, , 
2018/6/15, 20, 15, , 
2018/6/16, 20, 12, , 
2018/6/17, 20, 18, , 
2018/6/18, 17, 18, , 
2018/6/19, 14, 18, , 
2018/6/20, 18, 6, , 
2018/6/21, 31, 5, , 
2018/6/22, 10, 3, , 
2018/6/23, 7, 3, , 
2018/6/24, 8, 7, , 
2018/6/25, 7, 15, , 
2018/6/26, 10, 14, , 
2018/6/27, 10, 17, , 
2018/6/28, 8, 14, , 
2018/6/29, 14, 12, , 
2018/6/30, 16, 5, , 
2018/1/1, 14, 21, , 
2018/1/2, 16, 20, , 
2018/1/3, 21, 25, 1, 
2018/1/4, 31, 22, , 
2018/1/5, 21, 14, , 
2018/1/6, 12, 19, 1, 
2018/1/7, 24, 25, 1, 
2018/1/8, 37, 17, 1, 
2018/1/9, 36, 18, , 
2018/1/10, 24, 19, 1, 
2018/1/11, 16, 15, 1, 
2018/1/12, 18, , , 
2018/1/14, 14, 13, 2, 
2018/1/15, 22, 13, 2, 
2018/1/16, 19, 19, , 
2018/1/17, 14, 21, 1, 
2018/1/18, 25, 22, , 
2018/1/19, 11, 14, , 
2018/1/20, 10, 15, , 
2018/1/21, 14, 20, 1, 
2018/1/22, 18, 24, 1, 
2018/1/23, 32, 26, 1, 
2018/1/24, 29, 17, 1, 
2018/1/25, 23, 22, 1, 
2018/1/26, 18, 19, , 
2018/1/27, 24, 11, , 
2018/1/28, 24, 20, 1, 
2018/1/29, 28, 29, 1, 
2018/1/30, 35, 23, 1, 
2018/1/31, 23, 14, , 
2018/2/1, 12, 27, , 
2018/2/2, 11, 22, , 
2018/2/3, 13, 20, , 
2018/2/4, 19, 21, , 
2018/2/5, 22, 14, 1, 
2018/2/6, 18, 23, 2, 
2018/2/7, 29, 30, 1, 
2018/2/8, 38, 24, 1, 
2018/2/9, 43, 18, 1, 
2018/2/10, 29, 12, 1, 
2018/2/11, 20, 26, 1, 
2018/2/12, 44, 16, 1, 
2018/2/13, 7, 17, 1, 
2018/2/14, 11, 24, 1, 
2018/2/15, 25, 27, 2, 
2018/2/16, 36, 19, 3, 
2018/2/17, 35, 16, 1, 
2018/2/18, 22, 22, 1, 
2018/2/19, 19, 18, 1, 
2018/2/20, 11, 17, 2, 
2018/2/21, 24, 18, 2, 
2018/2/22, 19, 21, 1, 
2018/2/23, 14, 20, 2, 
2018/2/24, 25, 11, 2, 
2018/2/25, 20, 13, 3, 
2018/2/26, 27, 15, 2, 
2018/2/27, 28, 23, 2, 
2018/2/28, 39, 25, 5, 
2018/3/1, 52, 24, 6, 
2018/3/2, 54, 21, 2, 
2018/3/3, 50, 23, 1, 
2018/3/4, 54, 27, 3, 
2018/3/5, 48, 25, 2, 
2018/3/6, 34, 30, 1, 
2018/3/7, 33, 21, 1, 
2018/3/8, 16, 17, , 
2018/3/9, 17, 10, , 
2018/3/10, 9, 14, , 
2018/3/11, 14, 14, , 
2018/3/12, 10, 20, , 
2018/3/13, 17, 17, , 
2018/3/14, 14, 16, , 
2018/3/15, 12, 23, , 
2018/3/16, 15, 21, , 
2018/3/17, 12, 11, , 
2018/3/18, 15, 18, 1, 
2018/3/19, 16, 18, 1, 
2018/3/20, 28, 22, 1, 
2018/3/21, 26, 21, 1, 
2018/3/22, 20, 23, 1, 
2018/3/23, 22, 15, 1, 
2018/3/24, 20, 18, 5, 
2018/3/25, 29, 19, 2, 
2018/3/26, 29, 20, 1, 
2018/3/27, 27, 16, , 
2018/3/28, 21, 19, , 
2018/3/29, 14, 21, , 
2018/3/30, 15, 17, , 
2018/3/31, 8, 7, , 
2017/10/1, 25, 19, 1, 
2017/10/2, 33, 19, , 
2017/10/3, 24, 13, , 
2017/10/4, 15, 13, , 
2017/10/5, 15, 12, , 
2017/10/6, 10, 14, , 
2017/10/7, 11, 11, , 
2017/10/8, 13, 16, , 
2017/10/9, 16, 17, , 
2017/10/10, 17, 14, , 
2017/10/11, 22, 18, , 
2017/10/12, 25, 20, , 
2017/10/13, 31, 16, , 
2017/10/14, 24, 14, , 
2017/10/15, 23, 18, 1, 
2017/10/16, 25, 19, , 
2017/10/17, 31, 19, , 
2017/10/18, 30, 24, 1, 
2017/10/19, 28, 18, , 
2017/10/20, 20, 12, , 
2017/10/21, 22, 14, , 
2017/10/22, 16, 15, , 
2017/10/23, 4, 11, , 
2017/10/24, 10, 20, 1, 
2017/10/25, 17, 20, 1, 
2017/10/26, 23, 21, 1, 
2017/10/27, 22, 17, 1, 
2017/10/28, 13, 9, , 
2017/10/29, 12, 18, 1, 
2017/10/30, 13, 19, 1, 
2017/10/31, 17, 15, , 
2017/11/1, 20, 20, , 
2017/11/2, 21, 19, , 
2017/11/3, 19, 19, , 
2017/11/4, 29, 19, 1, 
2017/11/5, 29, 16, 2, 
2017/11/6, 19, 19, 2, 
2017/11/7, 21, 17, 1, 
2017/11/8, 21, 15, 1, 
2017/11/9, 19, 18, 1, 
2017/11/10, 29, 17, , 
2017/11/11, 34, 16, , 
2017/11/12, 20, 16, , 
2017/11/13, 9, 14, , 
2017/11/14, 9, 19, 1, 
2017/11/15, 15, 21, 1, 
2017/11/16, 27, 17, 1, 
2017/11/17, 21, 15, , 
2017/11/18, 14, 16, , 
2017/11/19, 30, 22, 1, 
2017/11/20, 24, 20, , 
2017/11/21, 17, , , 
2017/11/23, 16, 23, 1, 
2017/11/24, 21, 27, 1, 
2017/11/25, 29, 14, , 
2017/11/26, 9, 22, 1, 
2017/11/27, 14, 23, 2, 
2017/11/28, 21, 30, 1, 
2017/11/29, 33, 20, 1, 
2017/11/30, 16, 21, 1, 
2017/12/1, 14, 16, 1, 
2017/12/2, 13, 16, 1, 
2017/12/3, 17, 23, 1, 
2017/12/4, 29, 26, 1, 
2017/12/5, 38, 28, 1, 
2017/12/6, 43, 30, 1, 
2017/12/7, 40, 18, , 
2017/12/8, 10, 23, , 
2017/12/9, 14, 21, , 
2017/12/10, 16, 10, 3, 
2017/12/11, 6, 16, 1, 
2017/12/12, 12, 12, , 
2017/12/13, 7, 18, , 
2017/12/14, 14, 21, , 
2017/12/15, 10, 18, , 
2017/12/16, 13, 16, , 
2017/12/17, 15, 22, 1, 
2017/12/18, 24, 22, 1, 
2017/12/19, 23, 29, 2, 
2017/12/20, 57, 21, 1, 
2017/12/21, 33, 28, 2, 
2017/12/22, 35, 19, 1, 
2017/12/23, 25, 29, 1, 
2017/12/24, 54, 24, 1, 
2017/12/25, 47, 10, , 
2017/12/26, 9, 27, 1, 
2017/12/27, 20, 21, , 
2017/12/28, 10, 20, , 
2017/12/29, 17, 18, 1, 
2017/12/30, 27, , , 
2017/7/1, 8, 11, , 
2017/7/2, 7, 15, , 
2017/7/3, 8, 13, 17, 
2017/7/4, 27, 18, 27, 
2017/7/5, 31, 19, 3, 
2017/7/6, 19, 16, , 
2017/7/7, 20, 12, , 
2017/7/8, 16, 9, , 
2017/7/9, 15, 12, 6, 
2017/7/10, 33, 13, 6, 
2017/7/11, 40, 14, , 
2017/7/12, 16, 15, , 
2017/7/13, 11, 21, , 
2017/7/14, 13, 14, , 
2017/7/15, 9, 10, , 
2017/7/16, 9, 16, , 
2017/7/17, 14, 14, , 
2017/7/18, 17, 12, , 
2017/7/19, 32, 13, , 
2017/7/20, 33, 12, , 
2017/7/21, 12, 9, , 
2017/7/22, 15, 7, , 
2017/7/23, 19, 17, , 
2017/7/24, 19, 7, , 
2017/7/25, 6, 11, , 
2017/7/26, 7, 11, , 
2017/7/27, 10, 12, , 
2017/7/28, 10, 8, , 
2017/7/29, 10, 7, , 
2017/7/30, 13, 15, , 
2017/7/31, 17, 15, 1, 
2017/8/1, 21, 17, , 
2017/8/2, 29, 12, , 
2017/8/3, 21, 17, , 
2017/8/4, 31, 7, , 
2017/8/5, 15, , , 
2017/8/7, 11, 12, , 
