date, pm10, no2, so2, co
2020/1/2, 39, 27, 1, 
2020/1/3, 38, , , 
2020/1/5, 18, 18, 1, 
2020/1/6, 21, 25, 1, 
2020/1/7, 32, 28, 1, 
2020/1/8, 37, 28, 1, 
2020/1/9, 42, 23, 1, 
2020/1/10, 27, 25, 1, 
2020/1/11, 38, 19, 1, 
2020/1/12, 25, 23, , 
2020/1/13, 40, 22, , 
2020/1/14, 34, 24, 1, 
2020/1/15, 43, , , 
2019/10/1, 15, 11, , 
2019/10/2, 12, 14, , 
2019/10/3, 8, 11, , 
2019/10/4, 10, 8, , 
2019/10/5, 11, , , 
2019/10/7, 15, 6, , 
2019/10/8, 10, 12, , 
2019/10/9, 17, 23, , 
2019/10/10, 8, 10, , 
2019/10/11, 10, 6, , 
2019/10/12, 11, 10, , 
2019/10/13, 15, 19, , 
2019/10/14, 24, 16, , 
2019/10/15, 21, 20, , 
2019/10/16, 21, 13, , 
2019/10/17, 16, 14, , 
2019/10/18, 16, 13, , 
2019/10/19, 14, 12, , 
2019/10/20, 15, 13, , 
2019/10/21, 20, 17, , 
2019/10/22, 24, 17, 2, 
2019/10/23, 33, 18, , 
2019/10/24, 25, 20, 1, 
2019/10/25, 30, , , 
2019/10/27, 30, 19, 1, 
2019/10/28, 21, 18, , 
2019/10/29, 8, 19, , 
2019/10/30, 12, 20, 1, 
2019/10/31, 11, 10, 1, 
2019/11/1, 14, 11, 1, 
2019/11/2, 21, 12, , 
2019/11/3, 19, 19, , 
2019/11/4, 10, 21, , 
2019/11/5, 13, 17, , 
2019/11/6, 10, 17, , 
2019/11/7, 14, 16, , 
2019/11/8, 17, 16, , 
2019/11/9, 13, 8, , 
2019/11/10, 9, 13, , 
2019/11/11, 16, 16, 1, 
2019/11/12, 17, 16, 1, 
2019/11/13, 13, 14, , 
2019/11/14, 10, 17, 2, 
2019/11/15, 25, 19, 1, 
2019/11/16, 14, 16, 1, 
2019/11/17, 19, 13, , 
2019/11/18, 14, 26, 3, 
2019/11/19, 22, 17, 1, 
2019/11/20, 18, 16, 1, 
2019/11/21, 20, 21, 1, 
2019/11/22, 22, 15, 1, 
2019/11/23, 22, 11, 1, 
2019/11/24, 26, 13, 3, 
2019/11/25, 24, 12, 1, 
2019/11/26, 20, 2, , 
2019/11/27, 10, 23, 1, 
2019/11/28, 27, 21, 1, 
2019/11/29, 22, 16, , 
2019/11/30, 13, 18, 1, 
2019/12/1, 19, 19, 2, 
2019/12/2, 23, 18, , 
2019/12/3, 19, 15, , 
2019/12/4, 16, 6, 3, 
2019/12/5, 20, 12, , 
2019/12/6, 28, 17, 1, 
2019/12/7, 29, 16, , 
2019/12/8, 22, 28, 1, 
2019/12/9, 33, 22, 1, 
2019/12/10, 12, 22, 1, 
2019/12/11, 21, 17, , 
2019/12/12, 34, 15, 1, 
2019/12/13, 22, 17, 1, 
2019/12/14, 14, 22, 1, 
2019/12/15, 36, 23, 1, 
2019/12/16, 20, 15, , 
2019/12/17, 17, 22, 1, 
2019/12/18, 22, 30, 4, 
2019/12/19, 38, 23, 1, 
2019/12/20, 29, 24, 1, 
2019/12/21, 22, 14, , 
2019/12/22, 8, 14, , 
2019/12/23, 11, 23, 1, 
2019/12/24, 26, 16, , 
2019/12/25, 20, 15, , 
2019/12/26, 15, 21, 1, 
2019/12/27, 20, 14, 1, 
2019/12/28, 7, , , 
2019/7/1, 14, 15, , 
2019/7/2, 18, 10, , 
2019/7/3, 16, 13, , 
2019/7/4, 12, 7, , 
2019/7/5, 16, 7, 1, 
2019/7/6, 26, 5, , 
2019/7/7, 14, 12, , 
2019/7/8, 10, 13, , 
2019/7/9, 8, 13, , 
2019/7/10, 10, 7, , 
2019/7/11, 15, 9, , 
2019/7/12, 12, 6, , 
2019/7/13, 7, 7, , 
2019/7/14, 7, 14, , 
2019/7/15, 9, 14, , 
2019/7/16, 11, 8, , 
2019/7/17, 12, 10, , 
2019/7/18, 15, 8, , 
2019/7/19, 12, 7, , 
2019/7/20, 13, 6, , 
2019/7/21, 13, 9, , 
2019/7/22, 13, 16, , 
2019/7/23, 16, 11, , 
2019/7/24, 21, 8, , 
2019/7/25, 18, 10, 1, 
2019/7/26, 21, 6, , 
2019/7/27, 15, 7, , 
2019/7/28, 11, 11, , 
2019/7/29, 17, 8, , 
2019/7/30, 22, 10, , 
2019/7/31, 22, 7, , 
2019/8/1, 17, 9, , 
2019/8/2, 15, 7, , 
2019/8/3, 10, 3, , 
2019/8/4, 10, 5, , 
2019/8/5, 8, 5, , 
2019/8/6, 15, 9, , 
2019/8/7, 16, 13, , 
2019/8/8, 13, 5, 1, 
2019/8/9, 15, 7, , 
2019/8/10, 21, 6, , 
2019/8/11, 12, 6, , 
2019/8/12, 17, 15, 1, 
2019/8/13, 7, 10, , 
2019/8/14, 7, 3, , 
2019/8/15, 7, 8, , 
2019/8/16, 9, 6, , 
2019/8/17, 8, 6, , 
2019/8/18, 11, 7, , 
2019/8/19, 14, 9, 1, 
2019/8/20, 17, 14, 1, 
2019/8/21, 10, 13, , 
2019/8/22, 12, 16, , 
2019/8/23, 17, 10, , 
2019/8/24, 20, 8, , 
2019/8/25, 15, 18, , 
2019/8/26, 23, 10, , 
2019/8/27, 21, 15, 1, 
2019/8/28, 28, 16, , 
2019/8/29, 32, 19, , 
2019/8/30, 21, 10, , 
2019/8/31, 23, 8, 1, 
2019/9/1, 24, 7, , 
2019/9/2, 28, 14, , 
2019/9/3, 10, 12, , 
2019/9/4, 10, 10, 1, 
2019/9/5, 16, 18, , 
2019/9/6, 11, 9, , 
2019/9/7, 13, 8, , 
2019/9/8, 10, 10, , 
2019/9/9, 12, 13, , 
2019/9/10, 7, 18, , 
2019/9/11, 13, 18, , 
2019/9/12, 14, 11, , 
2019/9/13, 11, 13, , 
2019/9/14, 14, 7, , 
2019/9/15, 15, 9, , 
2019/9/16, 15, 12, , 
2019/9/17, 16, 18, , 
2019/9/18, 9, 15, , 
2019/9/19, 11, 15, , 
2019/9/20, 9, 9, , 
2019/9/21, 10, 8, , 
2019/9/22, 12, 16, , 
2019/9/23, 17, 15, , 
2019/9/24, 13, 13, , 
2019/9/25, 23, 9, , 
2019/9/26, 24, 8, , 
2019/9/27, 14, 15, , 
2019/9/28, 12, 6, , 
2019/9/29, 9, 7, , 
2019/9/30, 11, 9, , 
2019/4/1, 22, 19, 1, 
2019/4/2, 25, 16, , 
2019/4/3, 26, 9, , 
2019/4/4, 17, 19, 1, 
2019/4/5, 13, 14, , 
2019/4/6, 10, 11, , 
2019/4/7, 12, 18, , 
2019/4/8, 18, 18, , 
2019/4/9, 18, 24, , 
2019/4/10, 28, 25, , 
2019/4/11, 14, 22, , 
2019/4/12, 17, 18, , 
2019/4/13, 16, 14, , 
2019/4/14, 13, 20, 1, 
2019/4/15, 19, 15, , 
2019/4/16, 20, 20, , 
2019/4/17, 19, 20, , 
2019/4/18, 21, , , 
2019/4/23, 21, 8, , 
2019/4/24, 27, 10, , 
2019/4/25, 37, 9, , 
2019/4/26, 39, 8, , 
2019/4/27, 11, 8, , 
2019/4/28, 7, 14, , 
2019/4/29, 10, 10, , 
2019/4/30, 7, 7, , 
2019/5/1, 13, 11, , 
2019/5/2, 15, , , 
2019/5/3, 11, , , 
2019/5/4, 8, , , 
2019/5/5, 7, , , 
2019/5/6, 9, , , 
2019/5/7, 11, , , 
2019/5/8, 12, 23, , 
2019/5/9, 10, 12, , 
2019/5/10, 8, 8, , 
2019/5/11, 13, 5, , 
2019/5/12, 9, 6, , 
2019/5/13, 6, 15, , 
2019/5/14, 11, 15, , 
2019/5/15, 10, 14, , 
2019/5/16, 9, 9, , 
2019/5/17, 13, 13, 4, 
2019/5/18, 24, 8, , 
2019/5/19, 18, 4, , 
2019/5/20, 11, 9, , 
2019/5/21, 7, 9, , 
2019/5/22, 11, 10, , 
2019/5/23, 8, 12, , 
2019/5/24, 13, 9, , 
2019/5/25, 13, 6, , 
2019/5/26, 12, 18, , 
2019/5/28, 13, 17, , 
2019/5/29, 5, 17, , 
2019/5/30, 10, 16, , 
2019/5/31, 11, 15, 1, 
2019/6/1, 14, 9, 1, 
2019/6/2, 17, 16, , 
2019/6/3, 14, 15, , 
2019/6/4, 15, 13, , 
2019/6/5, 18, 4, , 
2019/6/6, 11, 3, , 
2019/6/7, 11, 13, , 
