date, pm25, o3, no2
2020/1/2, 25, 18, 6
2020/1/3, 39, 21, 5
2020/1/4, 16, 25, 4
2020/1/5, 16, 24, 4
2020/1/6, 10, 20, 9
2020/1/7, 21, 25, 5
2020/1/8, 13, 20, 10
2020/1/9, 24, 20, 6
2020/1/10, 26, 22, 2
2020/1/11, 19, 23, 4
2020/1/12, 15, 16, 10
2020/1/13, 28, 16, 7
2020/1/14, 33, 18, 9
2020/1/15, 31, 13, 8
2020/1/16, 52, , 
2019/10/1, 51, 16, 2
2019/10/2, 18, 9, 3
2019/10/3, 24, 22, 1
2019/10/4, 8, 24, 2
2019/10/5, 10, 28, 3
2019/10/6, 32, 22, 6
2019/10/7, 18, 30, 5
2019/10/8, 22, 25, 3
2019/10/9, 19, 29, 3
2019/10/10, 13, 34, 4
2019/10/11, 28, 27, 2
2019/10/12, 11, 32, 4
2019/10/13, 15, 20, 3
2019/10/14, 12, 32, 10
2019/10/15, 31, 27, 2
2019/10/16, 13, 22, 1
2019/10/17, 7, 21, 5
2019/10/18, 10, 30, 7
2019/10/19, 29, 33, 6
2019/10/20, 41, 30, 5
2019/10/21, 40, 27, 2
2019/10/22, 14, 25, 3
2019/10/23, 15, 24, 4
2019/10/24, 17, 14, 7
2019/10/25, 16, 21, 5
2019/10/26, 31, 23, 2
2019/10/27, 14, 30, 8
2019/10/28, 37, 23, 5
2019/10/29, 41, 10, 5
2019/10/30, 16, 10, 4
2019/10/31, 12, 19, 3
2019/11/1, 32, 20, 4
2019/11/2, 20, 23, 3
2019/11/3, 15, 23, 4
2019/11/4, 17, 22, 4
2019/11/5, 18, 20, 10
2019/11/6, 40, 25, 5
2019/11/7, 23, 20, 8
2019/11/8, 11, 20, 7
2019/11/9, 15, 19, 5
2019/11/10, 38, 19, 4
2019/11/11, 11, 25, 8
2019/11/12, 5, 26, 12
2019/11/13, 14, 20, 7
2019/11/14, 51, 18, 9
2019/11/15, 64, 28, 3
2019/11/16, 6, 23, 11
2019/11/17, 36, 23, 13
2019/11/18, 35, 6, 21
2019/11/19, 68, 18, 16
2019/11/20, 59, 19, 6
2019/11/21, 36, 20, 6
2019/11/22, 8, 15, 11
2019/11/23, 28, 14, 7
2019/11/24, 46, 16, 7
2019/11/25, 43, 15, 8
2019/11/26, 53, 22, 4
2019/11/27, 21, 20, 3
2019/11/28, 10, 21, 3
2019/11/29, 11, 20, 4
2019/11/30, 26, 22, 4
2019/12/1, 18, 24, 3
2019/12/2, 25, 25, 5
2019/12/3, 25, 21, 6
2019/12/4, 30, 24, 7
2019/12/5, 17, 23, 5
2019/12/6, 21, 21, 8
2019/12/7, 14, 21, 4
2019/12/8, 33, 21, 5
2019/12/9, 33, 24, 4
2019/12/10, 19, 21, 5
2019/12/11, 28, 18, 12
2019/12/12, 40, 17, 11
2019/12/13, 29, 9, 13
2019/12/14, 64, 21, 5
2019/12/15, 19, 19, 7
2019/12/16, 36, 23, 6
2019/12/17, 28, 25, 7
2019/12/18, 23, 24, 10
2019/12/19, 27, 20, 16
2019/12/20, 54, 14, 13
2019/12/21, 66, 20, 10
2019/12/22, 57, 19, 9
2019/12/23, 55, 18, 7
2019/12/24, 44, 16, 6
2019/12/25, 44, 10, 8
2019/12/26, 41, 15, 6
2019/12/27, 46, 17, 5
2019/12/28, 38, , 
2019/7/1, 28, 53, 5
2019/7/2, 49, 38, 3
2019/7/3, 41, 45, 6
2019/7/4, 37, 46, 5
2019/7/5, 41, 35, 3
2019/7/6, 43, 26, 1
2019/7/7, 39, 32, 3
2019/7/8, 8, 38, 4
2019/7/9, 21, 51, 6
2019/7/10, 48, 44, 4
2019/7/11, 21, 35, 2
2019/7/12, 22, 47, 5
2019/7/13, 38, 28, 2
2019/7/14, 17, 44, 4
2019/7/15, 36, 27, 4
2019/7/16, 55, 28, 3
2019/7/17, 24, 37, 4
2019/7/18, 28, 34, 3
2019/7/19, 40, 36, 4
2019/7/20, 22, 26, 2
2019/7/21, 11, 24, 2
2019/7/22, 22, 27, 3
2019/7/23, 11, 24, 3
2019/7/24, 24, 43, 6
2019/7/25, 39, 46, 7
2019/7/26, 52, 47, 5
2019/7/27, 42, 40, 3
2019/7/28, 53, 39, 4
2019/7/29, 48, 33, 3
2019/7/30, 27, 24, 1
2019/7/31, 10, 29, 2
2019/8/1, 16, 37, 3
2019/8/2, 24, 41, 4
2019/8/3, 31, 37, 3
2019/8/4, 55, 47, 4
2019/8/5, 47, 34, 5
2019/8/6, 37, 36, 5
2019/8/7, 32, 33, 4
2019/8/8, 24, 30, 3
2019/8/9, 11, 25, 3
2019/8/10, 15, 38, 4
2019/8/11, 26, 41, 4
2019/8/12, 50, 33, 2
2019/8/13, 45, 25, 1
2019/8/14, 8, 26, 2
2019/8/15, 34, 40, 3
2019/8/16, 34, 41, 3
2019/8/17, 23, 36, 2
2019/8/18, 39, 34, 3
2019/8/19, 13, 43, 3
2019/8/20, 31, 39, 3
2019/8/21, 28, 25, 1
2019/8/22, 5, 18, 2
2019/8/23, 5, 21, 1
2019/8/24, 12, 21, 2
2019/8/25, 24, 34, 3
2019/8/26, 41, 22, 2
2019/8/27, 34, 30, 3
2019/8/28, 14, 33, 4
2019/8/29, 29, 32, 2
2019/8/30, 31, 24, 1
2019/8/31, 12, 18, 2
2019/9/1, 24, 34, 3
2019/9/2, 34, 28, 3
2019/9/3, 23, 24, 2
2019/9/4, 23, 25, 2
2019/9/5, 13, 31, 4
2019/9/6, 32, 31, 2
2019/9/7, 29, 18, 1
2019/9/8, 14, 23, 2
2019/9/9, 16, 42, 3
2019/9/10, 35, 39, 4
2019/9/11, 56, 16, 2
2019/9/12, 35, 33, 2
2019/9/13, 36, 30, 2
2019/9/14, 12, 23, 4
2019/9/15, 34, 28, 2
2019/9/16, 42, 30, 2
2019/9/17, 25, 31, 3
2019/9/18, 11, 45, 4
2019/9/19, 28, 44, 5
2019/9/20, 48, 49, 4
2019/9/21, 65, 39, 2
2019/9/22, 40, 32, 2
2019/9/23, 17, 34, 2
2019/9/24, 9, 40, 5
2019/9/25, 34, 30, 4
2019/9/26, 25, 39, 8
2019/9/27, 17, 25, 2
2019/9/28, 28, 17, 1
2019/9/29, 22, 25, 2
2019/9/30, 40, 33, 6
2019/4/1, 20, 34, 5
2019/4/2, 22, 37, 5
2019/4/3, 28, 31, 4
2019/4/4, 17, 33, 5
2019/4/5, 35, 42, 6
2019/4/6, 60, 37, 5
2019/4/7, 48, 39, 3
2019/4/8, 36, 35, 4
2019/4/9, 21, 28, 2
2019/4/10, 15, 31, 3
2019/4/11, 16, 33, 4
2019/4/12, 26, 35, 4
2019/4/13, 13, 27, 3
2019/4/14, 11, 38, 5
2019/4/15, 9, 29, 10
2019/4/16, 22, 37, 4
2019/4/17, 31, 36, 5
2019/4/18, 46, 27, 2
2019/4/19, 16, 28, 3
2019/4/20, 11, 33, 6
