date, pm25, o3, co
2020/1/2, 32, , 
2020/1/3, 26, , 
2020/1/4, 17, , 
2020/1/5, 34, , 
2020/1/6, 27, , 
2020/1/7, 26, , 
2020/1/8, 33, , 
2020/1/9, 21, , 
2020/1/10, 42, , 
2020/1/11, 21, , 
2020/1/12, 26, , 
2020/1/13, 35, , 
2020/1/14, 44, , 
2020/1/15, 41, , 
2020/1/16, 42, , 
2019/10/1, 24, , 
2019/10/2, 31, , 
2019/10/3, 31, , 
2019/10/4, 22, , 
2019/10/5, 20, , 
2019/10/6, 19, , 
2019/10/7, 17, , 
2019/10/8, 34, , 
2019/10/9, 28, , 
2019/10/10, 19, , 
2019/10/11, 25, , 
2019/10/12, 13, , 
2019/10/13, 24, , 
2019/10/14, 25, , 
2019/10/15, 26, , 
2019/10/16, 26, , 
2019/10/17, 34, , 
2019/10/18, 39, , 
2019/10/19, 25, , 
2019/10/20, 26, , 
2019/10/21, 37, , 
2019/10/22, 21, , 
2019/10/23, 21, , 
2019/10/24, 19, , 
2019/10/25, 15, , 
2019/10/26, 32, , 
2019/10/27, 32, , 
2019/10/28, 23, , 
2019/10/29, 28, , 
2019/10/30, 56, , 
2019/10/31, 15, , 
2019/11/1, 16, , 
2019/11/2, 19, , 
2019/11/3, 24, , 
2019/11/4, 22, , 
2019/11/5, 17, , 
2019/11/6, 19, , 
2019/11/7, 25, , 
2019/11/8, 13, , 
2019/11/9, 43, , 
2019/11/10, 26, , 
2019/11/11, 23, , 
2019/11/12, 16, , 
2019/11/13, 19, , 
2019/11/14, 23, , 
2019/11/15, 25, , 
2019/11/16, 39, , 
2019/11/17, 41, , 
2019/11/18, 40, , 
2019/11/19, 48, , 
2019/11/20, 24, , 
2019/11/21, 39, , 
2019/11/22, 57, , 
2019/11/23, 28, , 
2019/11/24, 45, , 
2019/11/25, 47, , 
2019/11/26, 75, , 
2019/11/27, 52, , 
2019/11/28, 50, , 
2019/11/29, 36, , 
2019/11/30, 53, , 
2019/12/1, 28, , 
