date, pm25, so2
2020/1/1, 19, 
2020/1/2, 29, 
2020/1/3, 49, 
2020/1/4, 32, 
2020/1/5, 19, 
2020/1/6, 23, 
2020/1/7, 23, 4
2020/1/8, 15, 3
2020/1/9, 29, 
2020/1/10, 57, 
2020/1/11, 27, 
2020/1/12, 28, 
2020/1/13, 45, 
2020/1/14, 53, 
2020/1/15, 50, 
2020/1/16, 22, 
2019/10/1, 31, 
2019/10/2, 12, 
2019/10/3, 7, 1
2019/10/4, 13, 2
2019/10/5, 20, 
2019/10/6, 22, 
2019/10/7, 20, 
2019/10/8, 20, 4
2019/10/9, 28, 2
2019/10/10, 32, 
2019/10/11, 11, 
2019/10/12, 18, 
2019/10/13, 20, 
2019/10/14, 26, 
2019/10/15, 33, 
2019/10/16, 21, 1
2019/10/17, 35, 2
2019/10/18, 32, 
2019/10/19, 42, 6
2019/10/20, 37, 1
2019/10/21, 27, 
2019/10/22, 17, 
2019/10/23, 21, 
2019/10/24, 23, 1
2019/10/25, 34, 
2019/10/26, 60, 
2019/10/27, 58, 
2019/10/28, 25, 
2019/10/29, 40, 
2019/10/30, 31, 
2019/10/31, 44, 
2019/11/1, 31, 
2019/11/2, 31, 
2019/11/3, 30, 
2019/11/4, 37, 
2019/11/5, 33, 
2019/11/6, 38, 
2019/11/7, 22, 1
2019/11/8, 36, 1
2019/11/9, 46, 
2019/11/10, 53, 
2019/11/11, 17, 1
2019/11/12, 20, 2
2019/11/13, 34, 
2019/11/14, 58, 1
2019/11/15, 73, 3
2019/11/16, 81, 
2019/11/17, 69, 
2019/11/18, 38, 
2019/11/19, 50, 3
2019/11/20, 47, 
2019/11/21, 27, 
2019/11/22, 46, 
2019/11/23, 41, 
2019/11/24, 38, 
2019/11/25, 37, 
2019/11/26, 36, 
2019/11/27, 22, 
2019/11/28, 23, 1
2019/11/29, 49, 2
2019/11/30, 32, 
2019/12/1, 14, 
2019/12/2, 24, 
2019/12/3, 23, 
2019/12/4, 18, 
2019/12/5, 39, 
2019/12/6, 45, 
2019/12/7, 53, 
2019/12/8, 67, 
2019/12/9, 50, 
2019/12/10, 35, 
2019/12/11, 56, 1
2019/12/12, 50, 
2019/12/13, 78, 
2019/12/14, 61, 
2019/12/15, 33, 
2019/12/16, 35, 
2019/12/17, 49, 1
2019/12/18, 40, 
2019/12/19, 61, 
2019/12/20, 56, 
2019/12/21, 70, 
2019/12/22, 54, 
2019/12/23, 62, 
2019/12/24, 50, 
2019/12/25, 30, 
2019/12/26, 47, 2
2019/12/27, 63, 
2019/12/28, 56, 
2019/7/1, 34, 
2019/7/2, 45, 1
2019/7/3, 31, 
2019/7/4, 33, 
2019/7/5, 26, 
2019/7/6, 43, 
2019/7/7, 83, 1
2019/7/8, 92, 1
2019/7/9, 75, 
2019/7/10, 26, 
2019/7/11, 30, 
2019/7/12, 35, 
2019/7/13, 42, 
2019/7/14, 48, 
2019/7/15, 32, 1
2019/7/16, 31, 
