date, pm25, o3, no2, so2
2020/1/2, 19, 12, 7, 1
2020/1/3, 26, 20, 3, 
2020/1/4, 27, 26, 7, 
2020/1/5, 23, 25, 9, 1
2020/1/6, 17, 19, 11, 
2020/1/7, 25, 26, 10, 3
2020/1/8, 14, 29, 7, 1
2020/1/9, 24, 26, 6, 26
2020/1/10, 27, 26, 3, 26
2020/1/11, 15, 22, 4, 35
2020/1/12, 12, 19, 9, 12
2020/1/13, 26, 20, 11, 
2020/1/14, 32, 5, 11, 
2020/1/15, 42, , , 
2019/10/1, 45, 34, 9, 
2019/10/2, 41, 28, 6, 1
2019/10/3, 33, 29, 4, 
2019/10/4, 14, 36, 6, 2
2019/10/5, 21, 22, 8, 
2019/10/6, 32, 23, 7, 2
2019/10/7, 17, 32, 8, 
2019/10/8, 29, 32, 8, 4
2019/10/9, 26, 35, 6, 1
2019/10/10, 31, 22, 4, 1
2019/10/11, 27, 28, 5, 
2019/10/12, 13, 34, 7, 
2019/10/13, 17, 35, 8, 
2019/10/14, 25, 27, 5, 
2019/10/15, 30, 21, 3, 
2019/10/16, 16, 23, 6, 
2019/10/17, 18, 28, 9, 
2019/10/18, 26, 36, 8, 1
2019/10/19, 38, 37, 8, 1
2019/10/20, 40, 28, 4, 
2019/10/21, 21, 26, 3, 
2019/10/22, 15, 28, 6, 
2019/10/23, 15, 23, 7, 
2019/10/24, 29, 10, 8, 2
2019/10/25, 35, 19, 4, 
2019/10/26, 28, 30, 6, 
2019/10/27, 29, 14, 7, 
2019/10/28, 26, 16, 4, 1
2019/10/29, 22, 3, 6, 
2019/10/30, 29, 19, 3, 
2019/10/31, 14, 23, 10, 
2019/11/1, 25, 22, 10, 
2019/11/2, 31, 26, 8, 
2019/11/3, 25, 25, 12, 2
2019/11/4, 31, 24, 6, 
2019/11/5, 28, 14, 10, 
2019/11/6, 41, 18, 5, 
2019/11/7, 27, 22, 8, 
2019/11/8, 25, 23, 10, 3
2019/11/9, 38, 30, 10, 2
2019/11/10, 39, 21, 10, 
2019/11/11, 40, 24, 6, 
2019/11/12, 12, 23, 13, 1
2019/11/13, 36, 23, 10, 1
2019/11/14, 33, 22, 10, 
2019/11/15, 52, 21, 10, 
2019/11/16, 68, 19, 16, 1
2019/11/17, 68, 17, 9, 
2019/11/18, 57, , , 
2019/12/1, 12, 25, 2, 
2019/12/2, 14, 21, 8, 1
2019/12/3, 20, 26, 5, 
2019/12/4, 14, 15, 17, 2
2019/12/5, 33, 21, 11, 
2019/12/6, 33, 22, 10, 1
2019/12/7, 38, 27, 10, 
2019/12/8, 51, 22, 6, 
2019/12/9, 43, 26, 5, 
2019/12/10, 16, 19, 15, 2
2019/12/11, 33, 21, 16, 2
2019/12/12, 39, 12, 15, 
2019/12/13, 43, 18, 6, 1
2019/12/14, 41, 21, 4, 
2019/12/15, 39, 19, 7, 
2019/12/16, 23, 26, 5, 
2019/12/17, 33, 22, 8, 
2019/12/18, 54, 17, 18, 2
2019/12/19, 51, 14, 18, 2
2019/12/20, 49, 16, 16, 1
2019/12/21, 50, 22, 14, 5
2019/12/22, 55, 26, 13, 2
2019/12/23, 33, 20, 14, 5
2019/12/24, 43, 22, 11, 
2019/12/25, 37, 18, 9, 
2019/12/26, 23, 10, 8, 
2019/12/27, 60, 10, 8, 
2019/12/28, 57, , , 
2019/7/1, 31, 38, 8, 2
2019/7/2, 40, 30, 7, 2
2019/7/3, 36, 28, 6, 2
2019/7/4, 43, 27, 6, 1
2019/7/5, 41, 27, 5, 1
2019/7/6, 40, 35, 5, 
2019/7/7, 34, 38, 6, 1
2019/7/8, 47, 51, 8, 2
2019/7/9, 52, 32, 8, 1
2019/7/10, 49, 38, 5, 2
2019/7/11, 26, 44, 6, 2
2019/7/12, 27, 56, 9, 3
2019/7/13, 40, 28, 5, 2
2019/7/14, 25, 17, 8, 3
2019/7/15, 42, 19, 4, 2
2019/7/16, 19, 25, 5, 2
2019/7/17, 21, 26, 6, 2
2019/7/18, 27, 26, 5, 2
2019/7/19, 42, 23, 6, 2
2019/7/20, 43, 23, 5, 2
2019/7/21, 37, 23, 5, 2
2019/7/22, 27, 30, 7, 2
2019/7/23, 20, 34, 7, 3
2019/7/24, 19, 49, 9, 5
2019/7/25, 43, 43, 10, 2
2019/7/26, 46, 37, 9, 3
2019/7/27, 53, 40, 7, 3
2019/7/28, 52, 26, 6, 2
2019/7/29, 37, 28, 6, 
2019/7/30, 26, 39, 6, 3
2019/7/31, 25, 44, 6, 2
2019/8/1, 29, 47, 6, 3
2019/8/2, 47, 45, 5, 2
2019/8/3, 43, 43, 6, 
2019/8/4, 47, 54, 9, 3
2019/8/5, 49, 31, 7, 4
2019/8/6, 38, 40, 5, 3
2019/8/7, 33, 39, 6, 4
2019/8/8, 39, 40, 5, 3
2019/8/9, 35, 47, 8, 4
2019/8/10, 36, 52, 7, 4
2019/8/11, 45, 27, 8, 3
2019/8/12, 47, 34, 5, 3
2019/8/13, 24, 34, 5, 3
2019/8/14, 26, 28, 6, 
2019/8/15, 24, 34, 7, 1
2019/8/16, 32, 33, 7, 1
2019/8/17, 47, 30, 7, 1
2019/8/18, 40, 37, 7, 1
2019/8/19, 37, 27, 8, 2
2019/8/20, 40, 28, 6, 1
2019/8/21, 29, 27, 6, 1
2019/8/22, 21, 27, 6, 
2019/8/23, 25, 31, 6, 1
2019/8/24, 26, 31, 5, 1
2019/8/25, 28, 13, 5, 1
2019/8/26, 23, 25, 6, 2
2019/8/27, 19, 28, 6, 1
2019/8/28, 17, 32, 7, 1
2019/8/29, 29, 37, 9, 1
2019/8/30, 39, 35, 7, 2
2019/8/31, 44, 37, 5, 3
2019/9/1, 46, 17, 4, 1
2019/9/2, 32, 37, 7, 2
2019/9/3, 42, 32, 5, 1
2019/9/4, 40, 33, 7, 1
2019/9/5, 23, 37, 6, 3
2019/9/6, 37, 30, 5, 1
2019/9/7, 19, 31, 6, 1
2019/9/8, 32, 45, 8, 2
2019/9/9, 37, 45, 8, 2
2019/9/10, 46, 35, 9, 2
2019/9/11, 45, 37, 14, 1
2019/9/12, 50, 35, 8, 1
2019/9/13, 42, 29, 6, 1
2019/9/14, 18, 43, 9, 2
2019/9/15, 39, 38, 9, 1
2019/9/16, 54, 43, 7, 1
2019/9/17, 43, 45, 7, 1
2019/9/18, 35, 56, 11, 3
2019/9/19, 49, 35, 7, 1
2019/9/20, 49, 40, 7, 2
2019/9/21, 43, 30, 7, 1
2019/9/22, 32, 29, 5, 1
2019/9/23, 23, 33, 9, 2
2019/9/24, 22, 38, 8, 3
2019/9/25, 31, 31, 5, 1
2019/9/26, 25, 36, 7, 1
2019/9/27, 26, 37, 8, 2
2019/9/28, 41, 35, 8, 2
2019/9/29, 45, 34, 11, 1
2019/9/30, 49, 36, 10, 1
2019/4/1, 23, 42, , 5
2019/4/2, 44, 40, , 6
2019/4/3, 53, 41, , 4
2019/4/4, 58, 35, , 4
2019/4/5, 38, 39, , 5
2019/4/6, 41, 29, , 4
