date, pm25, pm10, no2, so2, co
2020/1/2, 96, 36, 9, , 4
2020/1/3, 107, 23, 7, , 3
2020/1/4, 69, 8, 4, , 3
2020/1/5, 24, 17, 13, 1, 4
2020/1/6, 54, 29, 14, , 5
2020/1/7, 84, 35, 14, 2, 4
2020/1/8, 101, 50, 13, , 6
2020/1/9, 142, 50, 9, 1, 6
2020/1/10, 146, 21, 9, , 3
2020/1/11, 71, 19, 15, 2, 4
2020/1/12, 68, 34, 13, , 5
2020/1/13, 105, 26, 7, , 4
2020/1/14, 86, 33, 11, 4, 5
2020/1/15, 103, , , , 
2019/10/1, 17, 12, 11, , 3
2019/10/2, 22, 7, 5, , 2
2019/10/3, 13, 7, 6, 1, 3
2019/10/4, 15, 7, 6, 1, 2
2019/10/5, 20, 10, 4, 1, 2
2019/10/6, 33, 14, 9, 1, 3
2019/10/7, 46, 17, 10, 1, 3
2019/10/8, 47, 23, 8, 1, 4
2019/10/9, 53, 4, 6, , 2
2019/10/10, 12, 8, 6, , 3
2019/10/11, 20, 17, 7, , 3
2019/10/12, 50, 20, 8, 1, 3
2019/10/13, 55, 22, 10, 1, 3
2019/10/14, 49, 29, 7, 3, 3
2019/10/15, 60, 10, 10, , 3
2019/10/16, 31, 15, 12, , 5
2019/10/17, 39, 24, 13, , 4
2019/10/18, 59, 24, 12, 1, 4
2019/10/19, 67, 15, 7, , 2
2019/10/20, 35, 24, 13, 1, 3
2019/10/21, 46, 30, 12, 2, 5
2019/10/22, 63, 43, 15, 7, 5
2019/10/23, 99, 49, 13, 3, 4
2019/10/24, 106, 41, 14, 1, 4
2019/10/25, 96, 45, 17, , 4
2019/10/26, 111, 41, 13, 2, 4
2019/10/27, 96, 15, 12, , 3
2019/10/28, 41, 21, 13, , 3
2019/10/29, 57, 23, 14, , 4
2019/10/30, 68, 27, 11, 3, 4
2019/10/31, 78, 21, 9, 2, 3
2019/11/1, 63, 23, 6, 2, 3
2019/11/2, 77, , 5, 1, 2
2019/11/3, 38, 7, 6, 1, 2
2019/11/4, 18, 10, 11, , 3
2019/11/5, 25, 10, 12, , 3
2019/11/6, 22, 17, 11, 1, 4
2019/11/7, 51, 15, 5, 1, 3
2019/11/8, 49, 8, 7, , 2
2019/11/9, 28, 12, 7, , 3
2019/11/10, 45, 15, 8, 2, 3
2019/11/11, 48, 19, 10, 1, 4
2019/11/12, 58, 7, 8, , 3
2019/11/13, 27, 17, 12, 2, 4
2019/11/14, 55, 24, 9, 2, 4
2019/11/15, 69, 16, 7, 1, 3
2019/11/16, 45, 22, 5, 3, 2
2019/11/17, 59, 16, 10, 3, 3
2019/11/18, 49, 20, 13, 1, 4
2019/11/19, 51, 22, 13, , 4
2019/11/20, 59, 15, 6, 1, 4
2019/11/21, 49, 19, 6, 1, 3
2019/11/22, 60, 16, 6, 6, 3
2019/11/23, 53, 16, 7, 4, 3
2019/11/24, 56, 18, 8, 1, 3
2019/11/25, 59, 26, 7, 2, 3
2019/11/26, 74, 27, 4, 2, 3
2019/11/27, 80, 28, 12, , 4
2019/11/28, 79, 6, 9, , 2
2019/11/29, 16, 10, 9, , 2
2019/11/30, 28, 20, 10, 2, 3
2019/12/1, 65, 18, 12, 1, 3
2019/12/2, 62, 14, 15, , 3
2019/12/3, 49, 32, 15, 11, 4
2019/12/4, 82, 22, 6, 1, 2
2019/12/5, 74, 33, 6, , 3
2019/12/6, 95, 24, 7, , 4
2019/12/7, 79, 29, 10, 2, 5
2019/12/8, 87, 28, 11, , 6
2019/12/9, 80, 15, 12, , 2
2019/12/10, 30, 24, 15, 3, 4
2019/12/11, 66, 31, 17, 1, 4
2019/12/12, 86, 18, 11, 1, 4
2019/12/13, 67, 16, 13, 1, 3
2019/12/14, 50, 17, 13, , 3
2019/12/15, 56, 28, 13, , 4
2019/12/16, 80, 20, 16, , 4
2019/12/17, 59, 22, 14, , 4
2019/12/18, 49, 26, 13, 2, 4
2019/12/19, 68, 30, 8, 2, 3
2019/12/20, 78, 15, 9, 1, 2
2019/12/21, 41, 8, 9, 1, 2
2019/12/22, 30, 5, 4, , 2
2019/12/23, 22, 6, 5, , 2
2019/12/24, 19, 6, 5, , 2
2019/12/25, 22, 4, 4, , 2
2019/12/26, 21, 8, 7, , 2
2019/12/27, 27, 5, , , 2
2019/12/28, 19, , , , 
2019/7/1, 47, 19, 8, 2, 2
2019/7/2, 32, 20, 12, 2, 2
2019/7/3, 38, 18, 9, 2, 2
2019/7/4, 28, 21, 8, 3, 2
2019/7/5, 33, 18, 8, 3, 2
2019/7/6, 26, 15, 4, 2, 2
2019/7/7, 26, 16, 5, 2, 2
2019/7/8, 28, 15, 7, 4, 2
2019/7/9, 23, 14, 6, 4, 2
2019/7/10, 16, 19, 8, 2, 2
2019/7/11, 29, 11, 7, 2, 3
2019/7/12, 24, 8, 6, 2, 2
2019/7/13, 21, 13, 3, 2, 2
2019/7/14, 28, 12, 6, 2, 3
2019/7/15, 26, 15, 7, 2, 2
2019/7/16, 30, 17, 7, 2, 2
2019/7/17, 34, 17, 8, 3, 2
2019/7/18, 25, 24, 10, 3, 3
2019/7/19, 41, 19, 6, 3, 2
2019/7/20, 37, 17, 5, 2, 2
2019/7/21, 38, 14, 7, 2, 2
2019/7/22, 23, 24, 11, 3, 2
2019/7/23, 39, 19, 8, 3, 2
2019/7/24, 37, 23, 9, 4, 2
2019/7/25, 35, 25, 8, 3, 2
2019/7/26, 40, 14, 4, 3, 2
2019/7/27, 26, 14, 4, 5, 2
2019/7/28, 32, 13, 5, 3, 2
2019/7/29, 28, 15, 5, 3, 2
2019/7/30, 34, 18, 5, 3, 2
2019/7/31, 45, 13, 6, 2, 2
2019/8/1, 24, 19, 12, 3, 3
2019/8/2, 37, 12, 5, 3, 2
2019/8/3, 27, 10, 4, 2, 2
2019/8/4, 23, 14, 9, 3, 2
2019/8/5, 27, 13, 9, 3, 3
2019/8/6, 27, 19, 9, 4, 3
2019/8/7, 33, 7, 4, 3, 2
2019/8/8, 13, 14, 8, 4, 2
2019/8/9, 24, 20, 4, 4, 2
2019/8/10, 37, 9, 3, 3, 2
2019/8/11, 17, 16, 6, 3, 3
2019/8/12, 20, 9, 4, 3, 2
2019/8/13, 15, 11, 7, 3, 2
2019/8/14, 20, 17, 11, 8, 2
2019/8/15, 32, 9, 6, 3, 2
2019/8/16, 15, 9, 8, 5, 2
2019/8/17, 17, 10, 5, 4, 2
2019/8/18, 22, 15, 7, 4, 3
2019/8/19, 26, 15, 5, 4, 3
