date, pm25, pm10, o3
2019/4/11, 11, , 33
2019/4/12, 19, , 34
2019/4/13, 13, , 39
2019/4/14, 15, , 40
2019/4/15, 24, , 41
2019/4/16, 27, , 31
2019/4/17, 36, , 35
2019/4/18, 7, , 36
2019/4/19, 19, , 43
2019/4/20, 32, , 46
2019/4/21, 44, , 30
2019/4/22, 22, , 33
2019/4/23, 17, , 44
2019/4/24, 34, , 40
2019/4/25, 47, , 37
2019/4/26, 14, , 34
2019/4/27, 18, , 35
2019/4/28, 27, , 32
2019/4/29, 27, , 23
2019/4/30, 32, , 14
2019/5/1, 21, , 23
2019/5/2, 37, , 33
2019/5/3, 38, , 45
2019/5/4, 34, 8, 36
2019/5/5, 31, 7, 33
2019/5/6, 15, 7, 33
2019/5/7, 13, 7, 31
2019/5/8, 16, 3, 29
2019/5/9, 6, 7, 35
2019/5/10, 18, 11, 39
2019/5/11, 29, 10, 36
2019/5/12, 28, 12, 42
2019/5/13, 29, 19, 43
2019/5/14, 31, 17, 43
2019/5/15, 37, 17, 41
2019/5/16, 36, 9, 31
2019/5/17, 17, 7, 25
2019/5/18, 15, 2, 21
2019/5/19, 2, 4, 27
2019/5/20, 7, 8, 28
2019/5/21, 14, 10, 33
2019/5/22, 15, 6, 27
2019/5/23, 11, 9, 23
2019/5/24, 22, 10, 34
2019/5/25, 18, 9, 32
2019/5/26, 19, 9, 23
2019/5/27, 21, 8, 23
2019/5/28, 15, 15, 38
2019/5/29, 27, 21, 39
2019/5/30, 48, 78, 58
2019/5/31, 79, 20, 28
2019/6/1, 48, 12, 33
2019/6/2, 19, 15, 35
2019/6/3, 20, 22, 39
2019/6/4, 44, 17, 39
2019/6/5, 33, 15, 42
2019/6/6, 35, 20, 49
2019/6/7, 41, 18, 50
2019/6/8, 38, 17, 38
2019/6/9, 34, 13, 39
2019/6/10, 21, 12, 27
2019/6/11, 23, 12, 29
2019/6/12, 23, 9, 34
2019/6/13, 17, 16, 36
2019/6/14, 24, 18, 23
2019/6/15, 30, 9, 24
2019/6/16, 18, 12, 25
2019/6/17, 28, 11, 34
2019/6/18, 25, 11, 29
2019/6/19, 23, 12, 29
2019/6/20, 25, 15, 28
2019/6/21, 37, 13, 37
2019/6/22, 28, 14, 31
2019/6/23, 29, 14, 26
2019/6/24, 24, 15, 43
2019/6/25, 26, 13, 44
2019/6/26, 28, 16, 33
2019/6/27, 28, 15, 34
2019/6/28, 29, 16, 40
2019/6/29, 38, 20, 27
2019/6/30, 32, 16, 31
2019/1/1, 18, , 
2019/1/2, 30, , 
2019/1/3, 29, , 
2019/1/4, 34, , 
2019/1/5, 32, , 
2019/1/6, 31, , 
2019/1/7, 45, , 
2019/1/8, 34, , 
2019/1/9, 21, , 
2019/1/10, 25, , 
2019/1/11, 45, , 
2019/1/12, 60, , 
2019/1/13, 30, , 
2019/1/14, 52, , 
2019/1/15, 40, , 
2019/1/16, 22, , 
2019/1/17, 40, , 
2019/1/18, 21, , 
2019/1/19, 17, , 
2019/1/20, 24, , 
2019/1/21, 31, , 
2019/1/22, 45, , 
2019/1/23, 60, , 
2019/1/24, 43, , 
2019/1/25, 33, , 
2019/1/26, 59, , 
2019/1/27, 30, , 
2019/1/28, 18, , 
2019/1/29, 19, , 
2019/1/30, 21, , 
2019/1/31, 36, , 
2019/2/1, 44, , 
2019/2/2, 79, , 
2019/2/3, 47, , 
2019/2/4, 24, , 
2019/2/5, 19, , 
2019/2/6, 23, , 
2019/2/7, 19, , 
2019/2/8, 17, , 
2019/2/9, 38, , 
2019/2/10, 50, , 
2019/2/11, 28, , 
2019/2/12, 14, , 
2019/2/13, 35, , 
2019/2/14, 49, , 
2019/2/15, 24, , 
2019/2/16, 40, , 
2019/2/17, 22, , 
2019/2/18, 28, , 
2019/2/19, 60, , 
2019/2/20, 60, , 
2019/2/21, 73, , 
2019/2/22, 83, , 
2019/2/23, 66, , 
2019/2/24, 32, , 
2019/2/25, 19, , 
2019/2/26, 29, , 
2019/2/27, 26, , 
2019/2/28, 45, , 
2019/3/1, 66, , 
2019/3/2, 34, , 
2019/3/3, 26, , 
2019/3/4, 31, , 
2019/3/5, 27, , 
2019/3/6, 36, , 
2019/3/7, 48, , 
2019/3/8, 73, , 
2019/3/9, 74, , 
2019/3/10, 47, , 
2019/3/11, 50, , 
2019/3/12, 59, , 
2019/3/13, 39, , 
2019/3/14, 37, , 
2019/3/15, 12, , 
2019/3/16, 21, , 
2019/3/17, 56, , 
2019/3/18, 54, , 
2019/3/19, 47, , 36
2019/3/20, 48, , 40
2019/3/21, 34, , 37
2019/3/22, 18, , 42
2019/3/23, 32, , 40
2019/3/24, 42, , 37
2019/3/25, 14, , 40
2019/3/26, 37, , 40
2019/3/27, 43, , 33
2019/3/28, 25, , 38
2019/3/29, 19, , 36
2019/3/30, 16, , 35
2019/3/31, 16, , 29
2018/10/1, 18, , 17
2018/10/2, 17, , 17
2018/10/3, 27, , 19
2018/10/4, 9, , 25
2018/10/5, 16, , 17
2018/10/6, 14, , 16
2018/10/7, 15, , 13
2018/10/8, 12, , 4
2018/10/9, 8, , 11
2018/10/10, 14, , 24
2018/10/11, 7, , 25
2018/10/12, 25, , 23
2018/10/13, 30, , 18
2018/10/14, 15, , 22
2018/10/15, 15, , 27
2018/10/16, 14, , 22
2018/10/17, 13, , 
2018/10/18, 24, , 
2018/10/19, 18, , 
2018/10/20, 10, , 
2018/10/21, 24, , 
2018/10/22, 26, , 
2018/10/23, 18, , 
2018/10/24, 34, , 
2018/10/25, 35, , 
2018/10/26, 42, , 
2018/10/27, 61, , 
2018/10/28, 32, , 
2018/10/29, 20, , 
2018/10/30, 46, , 
2018/10/31, 32, , 
2018/11/1, 28, , 
2018/11/2, 26, , 
2018/11/3, 22, , 
2018/11/4, 19, , 
2018/11/5, 25, , 
2018/11/6, 19, , 
2018/11/7, 15, , 
2018/11/8, 32, , 
2018/11/9, 31, , 
2018/11/10, 19, , 
2018/11/11, 35, , 
2018/11/12, 23, , 
2018/11/13, 24, , 
2018/11/14, 51, , 
2018/11/15, 47, , 
2018/11/16, 34, , 
2018/11/17, 22, , 
2018/11/18, 24, , 
2018/11/19, 20, , 
2018/11/20, 38, , 
2018/11/21, 32, , 
2018/11/22, 45, , 
2018/11/23, 53, , 
2018/11/24, 37, , 
2018/11/25, 19, , 
2018/11/26, 15, , 
2018/11/27, 20, , 
2018/11/28, 41, , 
2018/11/29, 67, , 
2018/11/30, 77, , 
2018/12/1, 43, , 
2018/12/2, 6, , 
2018/12/3, 9, , 
2018/12/4, 33, , 
2018/12/5, 42, , 
2018/12/6, 25, , 
2018/12/7, 50, , 
2018/12/8, 70, , 
2018/12/9, 63, , 
2018/12/10, 67, , 
2018/12/11, 88, , 
2018/12/12, 89, , 
2018/12/13, 96, , 
2018/12/14, 63, , 
2018/12/15, 57, , 
2018/12/16, 32, , 
2018/12/17, 27, , 
2018/12/18, 38, , 
2018/12/19, 54, , 
2018/12/20, 52, , 
2018/12/21, 11, , 
2018/12/22, 33, , 
2018/12/23, 38, , 
2018/12/24, 27, , 
2018/12/25, 57, , 
2018/12/26, 61, , 
2018/12/27, 33, , 
2018/12/28, 9, , 
2018/12/29, 20, , 
2018/12/30, 39, , 
2018/7/2, 8, , 34
2018/7/3, 15, , 36
2018/7/4, 24, , 32
2018/7/5, 10, , 31
2018/7/6, 11, , 30
2018/7/7, 13, , 36
2018/7/8, 14, , 37
2018/7/9, 13, , 44
2018/7/10, 14, , 32
2018/7/11, 17, , 39
2018/7/12, 22, , 41
2018/7/13, 17, , 31
2018/7/14, 19, , 29
2018/7/15, 17, , 35
2018/7/16, 10, , 33
2018/7/17, 10, , 23
2018/7/18, 14, , 29
2018/7/19, 13, , 36
2018/7/20, 21, , 37
2018/7/21, 33, , 37
2018/7/22, 43, , 29
2018/7/23, 31, , 42
2018/7/24, 19, , 28
2018/7/25, 10, , 31
2018/7/26, 8, , 19
2018/7/27, 10, , 26
2018/7/28, 17, , 30
2018/7/29, 25, , 31
2018/7/30, 20, , 34
2018/7/31, 27, , 39
2018/8/1, 29, , 29
2018/8/2, 11, , 20
2018/8/3, 23, , 21
2018/8/4, 46, , 36
2018/8/5, 48, , 41
2018/8/6, 42, , 27
2018/8/7, 35, , 27
2018/8/8, 36, , 34
2018/8/9, 68, , 32
2018/8/10, 62, , 27
2018/8/11, 71, , 39
2018/8/12, 90, , 38
2018/8/13, 71, , 36
2018/8/14, 66, , 39
2018/8/15, 62, , 35
2018/8/16, 59, , 35
2018/8/17, 60, , 29
2018/8/18, 74, , 22
2018/8/19, 76, , 32
2018/8/20, 70, , 26
2018/8/21, 52, , 21
2018/8/22, 54, , 37
2018/8/23, 57, , 35
2018/8/24, 45, , 31
2018/8/25, 36, , 31
2018/8/26, 45, , 30
2018/8/27, 44, , 30
2018/8/28, 25, , 16
2018/8/29, 21, , 23
2018/8/30, 27, , 27
2018/8/31, 34, , 33
2018/9/1, 19, , 27
2018/9/2, 19, , 27
2018/9/3, 23, , 20
2018/9/4, 17, , 24
2018/9/5, 31, , 25
2018/9/6, 20, , 27
2018/9/7, 23, , 28
2018/9/8, 20, , 29
2018/9/9, 14, , 28
2018/9/10, 18, , 30
2018/9/11, 23, , 36
2018/9/12, 27, , 33
2018/9/13, 31, , 41
2018/9/14, 34, , 29
2018/9/15, 31, , 32
2018/9/16, 34, , 41
2018/9/17, 32, , 36
2018/9/18, 21, , 20
2018/9/19, 28, , 14
2018/9/20, 27, , 20
2018/9/21, 9, , 23
2018/9/22, 17, , 28
2018/9/23, 17, , 32
2018/9/24, 25, , 35
2018/9/25, 18, , 29
2018/9/26, 23, , 27
2018/9/27, 17, , 26
2018/9/28, 10, , 25
2018/9/29, 14, , 21
2018/9/30, 21, , 19
2018/4/1, 35, , 35
2018/4/2, 36, , 39
2018/4/3, 37, , 41
2018/4/4, 34, , 45
2018/4/5, 50, , 41
2018/4/6, 33, , 39
2018/4/7, 31, , 41
2018/4/8, 41, , 43
2018/4/9, 39, , 38
2018/4/10, 46, , 45
2018/4/11, 54, , 38
2018/4/12, 59, , 40
2018/4/13, 13, , 38
2018/4/14, 14, , 36
2018/4/15, 10, , 37
2018/4/16, 13, , 41
2018/4/18, 19, , 45
2018/4/19, 13, , 48
2018/4/20, 23, , 49
2018/4/21, 29, , 53
2018/4/22, 25, , 59
2018/4/23, 30, , 47
2018/4/24, 22, , 39
2018/4/25, 11, , 44
2018/4/26, 17, , 37
2018/4/27, 13, , 39
2018/4/28, 15, , 44
2018/4/29, 22, , 47
2018/4/30, 31, , 44
2018/5/1, 35, , 36
2018/5/2, 32, , 43
2018/5/3, 28, , 48
2018/5/4, 19, , 45
2018/5/5, 17, , 42
2018/5/6, 18, , 51
2018/5/7, 16, , 47
2018/5/8, 25, , 39
2018/5/9, 29, , 36
2018/5/10, 15, , 31
2018/5/11, 8, , 40
2018/5/12, 12, , 40
2018/5/13, 7, , 41
2018/5/14, 16, , 48
2018/5/15, 24, , 58
2018/5/16, 30, , 42
2018/5/17, 26, , 53
2018/5/18, 22, , 41
2018/5/19, 24, , 37
2018/5/20, 11, , 26
2018/5/21, 12, , 28
2018/5/22, 19, , 42
2018/5/23, 15, , 49
2018/5/24, 29, , 45
2018/5/25, 14, , 57
2018/5/26, 14, , 74
2018/5/27, 30, , 57
2018/5/28, 32, , 57
2018/5/29, 27, , 38
2018/5/30, 29, , 52
2018/5/31, 17, , 28
2018/6/1, 16, , 19
2018/6/2, 13, , 22
2018/6/3, 11, , 50
2018/6/4, 11, , 33
2018/6/5, 10, , 40
2018/6/6, 24, , 37
2018/6/7, 24, , 28
2018/6/8, 15, , 42
2018/6/9, 23, , 43
2018/6/10, 30, , 40
2018/6/11, 21, , 39
2018/6/12, 19, , 43
2018/6/13, 8, , 45
2018/6/14, 12, , 40
2018/6/15, 15, , 32
2018/6/16, 21, , 34
2018/6/17, 16, , 20
2018/6/18, 11, , 23
2018/6/19, 27, , 28
2018/6/20, 30, , 24
2018/6/21, 26, , 27
2018/6/22, 25, , 39
2018/6/23, 28, , 29
2018/6/24, 29, , 31
2018/6/25, 23, , 28
2018/6/26, 28, , 38
2018/6/27, 29, , 38
2018/6/28, 18, , 36
2018/6/29, 22, , 34
2018/6/30, 19, , 29
2018/1/1, 39, , 
2018/1/2, 48, , 
2018/1/3, 42, , 
2018/1/4, 52, , 
2018/1/5, 50, , 
2018/1/6, 52, , 
2018/1/7, 54, , 
2018/1/8, 52, , 
2018/1/9, 49, , 
2018/1/10, 48, , 
2018/1/11, 28, , 
2018/1/12, 31, , 
2018/1/13, 48, , 
2018/1/14, 52, , 
2018/1/15, 45, , 
2018/1/16, 40, , 
2018/1/17, 40, , 
2018/1/18, 32, , 
2018/1/19, 50, , 
2018/1/20, 59, , 
2018/1/21, 71, , 
2018/1/22, 31, , 
2018/1/23, 32, , 
2018/1/24, 47, , 
2018/1/25, 57, , 
2018/1/26, 56, , 
2018/1/27, 55, , 
2018/1/28, 35, , 
2018/1/29, 37, , 
2018/1/30, 40, , 
2018/1/31, 46, , 
2018/2/1, 30, , 
2018/2/2, 35, , 
2018/2/3, 41, , 
2018/2/4, 23, , 
2018/2/5, 39, , 
2018/2/6, 46, , 
2018/2/7, 56, , 
2018/2/8, 61, , 
2018/2/9, 44, , 
2018/2/10, 50, , 
2018/2/11, 55, , 
2018/2/12, 36, , 
2018/2/13, 63, , 
2018/2/14, 73, , 
2018/2/15, 43, , 
2018/2/16, 32, , 
2018/2/17, 30, , 
2018/2/18, 35, , 
2018/2/19, 28, , 
2018/2/20, 25, , 27
2018/2/21, 36, , 34
2018/2/22, 41, , 32
2018/2/23, 50, , 36
2018/2/24, 70, , 43
2018/2/25, 48, , 41
2018/2/26, 38, , 40
2018/2/27, 40, , 37
2018/2/28, 46, , 38
2018/3/1, 53, , 40
2018/3/2, 54, , 38
2018/3/3, 31, , 35
2018/3/4, 27, , 35
2018/3/5, 24, , 35
2018/3/6, 22, , 35
2018/3/7, 25, , 37
2018/3/8, 36, , 40
2018/3/9, 53, , 45
2018/3/10, 60, , 40
2018/3/11, 52, , 39
2018/3/12, 42, , 39
2018/3/13, 27, , 42
2018/3/14, 42, , 38
