date, pm25, o3, no2, co
2020/1/2, 52, 6, 25, 4
2020/1/3, 60, 9, 18, 5
2020/1/4, 52, 26, 7, 1
2020/1/5, 31, 17, 21, 3
2020/1/6, 44, 18, 23, 2
2020/1/7, 45, 26, 15, 2
2020/1/8, 43, 21, 20, 2
2020/1/9, 42, 12, 25, 3
2020/1/10, 42, 26, 15, 2
2020/1/11, 47, 27, 6, 2
2020/1/12, 39, 16, 18, 2
2020/1/13, 47, 12, 20, 3
2020/1/14, 49, 16, 22, 4
2020/1/15, 54, 10, 11, 2
2020/1/16, 41, , , 
2019/10/1, 22, 44, 14, 2
2019/10/2, 45, 15, 11, 2
2019/10/3, 11, 23, 11, 2
2019/10/4, 15, 27, 8, 1
2019/10/5, 12, 28, 8, 1
2019/10/6, 20, 29, 5, 1
2019/10/7, 21, 26, 11, 1
2019/10/8, 18, 17, 7, 1
2019/10/9, 18, 30, 8, 1
2019/10/10, 11, 28, 9, 1
2019/10/11, 14, 24, 4, 2
2019/10/12, 6, 28, , 2
2019/10/15, 26, 39, 14, 2
2019/10/16, 23, 23, 7, 1
2019/10/17, 11, 20, , 1
2019/10/18, 7, 22, , 3
2019/10/21, 40, 24, , 2
2019/10/22, 20, 30, 14, 2
2019/10/23, 22, 30, 18, 3
2019/10/24, 31, 31, 21, 4
2019/10/25, 40, 29, 13, 2
2019/10/26, 29, 31, 8, 2
2019/10/27, 20, 24, 13, 2
2019/10/28, 23, 21, 18, 2
2019/10/29, 23, 20, 15, 2
2019/10/30, 20, 27, 6, 1
2019/10/31, 19, 25, 8, 1
2019/11/1, 17, 23, 14, 2
2019/11/2, 22, 24, 12, 2
2019/11/3, 27, 26, 16, 4
2019/11/4, 28, 24, 18, 2
2019/11/5, 31, 24, 18, 2
2019/11/6, 30, 24, 17, 3
2019/11/7, 31, 22, 13, 1
2019/11/8, 18, 20, , 2
2019/11/12, 23, 25, 18, 2
2019/11/13, 23, 22, 25, 3
2019/11/14, 25, 16, 26, 3
2019/11/15, 44, 28, 11, 1
2019/11/16, 22, 27, 10, 1
2019/11/17, 19, 23, 17, 2
2019/11/18, 24, 15, 21, 3
2019/11/19, 33, 21, 16, 2
2019/11/20, 34, 19, 23, 3
2019/11/21, 40, 20, 12, 2
2019/11/22, 38, 20, 15, 2
2019/11/23, 22, 21, 14, 2
2019/11/24, 27, 13, 21, 3
2019/11/25, 50, 18, 28, 5
2019/11/26, 52, 22, 22, 5
2019/11/27, 49, 19, 5, 1
2019/11/28, 17, 21, 11, 2
2019/11/29, 17, 22, 16, 2
2019/11/30, 24, 27, 12, 2
2019/12/1, 22, 26, 16, 2
2019/12/2, 24, 25, 16, 2
2019/12/3, 28, 11, 24, 3
2019/12/4, 44, 23, 14, 2
2019/12/5, 34, 21, 17, 2
2019/12/6, 30, 24, 12, 2
2019/12/7, 30, 27, 21, 2
2019/12/8, 28, 20, 24, 4
2019/12/9, 27, 21, 13, 2
2019/12/10, 44, 18, 17, 2
2019/12/11, 35, 22, 24, 3
2019/12/12, 42, 5, 34, 5
2019/12/13, 42, 23, 18, 4
2019/12/14, 28, 23, 8, 2
2019/12/15, 36, 19, 23, 2
2019/12/16, 46, 18, 21, 2
2019/12/17, 29, 23, 17, 2
2019/12/18, 38, 24, 13, 1
2019/12/19, 43, 19, 25, 2
2019/12/20, 46, 13, 27, 4
2019/12/21, 39, 11, 25, 6
2019/12/22, 63, 11, 31, 5
2019/12/23, 63, 21, 23, 3
2019/12/24, 48, 17, 27, 4
2019/12/25, 51, 21, 20, 4
2019/12/26, 61, 22, 18, 3
2019/12/27, 39, 15, 19, 4
2019/12/28, 53, , , 
2019/7/1, 18, 500, 20, 
2019/7/2, 38, 500, 19, 
2019/7/3, 58, , 31, 
2019/7/4, 84, 500, 6, 
2019/7/5, 36, 500, 10, 
2019/7/6, 41, 500, 6, 
2019/7/7, 39, 500, 16, 
2019/7/8, 37, 456, 17, 2
2019/7/9, 44, 500, 16, 3
2019/7/10, 55, 38, 7, 2
2019/7/11, 26, 39, 13, 2
2019/7/12, 23, 46, 10, 2
