date, pm25, no2, so2
2020/1/2, 34, 5, 
2020/1/3, 30, 1, 
2020/1/4, 33, 12, 
2020/1/5, 38, 17, 
2020/1/6, 35, 3, 
2020/1/7, 40, 2, 
2020/1/8, 42, 4, 
2020/1/9, 30, , 
2020/1/10, 39, , 
2020/1/11, 22, , 
2020/1/12, 25, , 
2020/1/13, 33, , 
2020/1/14, 46, , 
2020/1/15, 45, , 
2020/1/16, 20, , 
2019/10/1, 42, 4, 
2019/10/2, 51, 4, 
2019/10/3, 56, 2, 
2019/10/4, 59, 4, 
2019/10/5, 78, 3, 
2019/10/6, 54, 3, 
2019/10/7, 39, , 
2019/10/8, 28, , 
2019/10/9, 47, , 
2019/10/10, 43, 2, 
2019/10/11, 30, 1, 
2019/10/12, 21, 2, 1
2019/10/13, 50, 3, 
2019/10/14, 39, 4, 
2019/10/15, 41, 3, 
2019/10/16, 29, 1, 
2019/10/17, 28, 2, 
2019/10/18, 40, 6, 
2019/10/19, 51, 9, 
2019/10/20, 30, 6, 
2019/10/21, 28, 2, 1
2019/10/22, 27, 4, 1
2019/10/23, 34, 4, 1
2019/10/24, 48, 2, 1
2019/10/25, 31, 4, 
2019/10/26, 22, 4, 1
2019/10/27, 30, 3, 
2019/10/28, 43, 2, 
2019/10/29, 40, 6, 1
2019/10/30, 43, 1, 1
2019/10/31, 19, 2, 1
2019/11/1, 29, 2, 1
2019/11/2, 41, 4, 1
2019/11/3, 33, 5, 1
2019/11/4, 41, 6, 1
2019/11/5, 39, 5, 1
2019/11/6, 58, 5, 1
2019/11/7, 65, 1, 
2019/11/8, 24, 1, 
2019/11/9, 33, 7, 
2019/11/10, 53, 7, 
2019/11/11, 49, 1, 
2019/11/12, 14, 7, 1
2019/11/13, 29, 3, 
2019/11/14, 45, 2, 1
2019/11/15, 36, 3, 1
2019/11/16, 43, 6, 
2019/11/17, 49, 7, 
2019/11/18, 65, , 
2019/12/8, 53, 15, 
2019/12/9, 59, 7, 
2019/12/10, 23, , 
2019/12/11, 15, 3, 
2019/12/12, 31, 10, 
2019/12/13, 49, 7, 
2019/12/14, 41, 10, 
2019/12/15, 42, 10, 
