date, pm25, o3, co
2019/4/20, 16, , 
2019/4/21, 21, , 
2019/4/22, 18, , 
2019/4/23, 12, , 
2019/4/24, 12, , 
2019/4/25, 16, , 
2019/4/26, 21, , 
2019/4/27, 12, , 
2019/4/28, 11, , 
2019/4/29, 14, , 
2019/4/30, 16, , 
2019/5/1, 17, , 
2019/5/2, 25, , 
2019/5/3, 25, , 
2019/5/4, 19, , 
2019/5/5, 21, , 
2019/5/6, 22, , 
2019/5/7, 16, , 
2019/5/8, 9, , 
2019/5/9, 14, , 
2019/5/10, 13, , 
2019/5/11, 10, , 
2019/5/12, 17, , 
2019/5/13, 21, , 
2019/5/14, 15, , 
2019/5/15, 17, , 
2019/5/16, 18, , 
2019/5/17, 15, , 
2019/5/18, 23, , 
2019/5/19, 34, , 
2019/5/20, 26, , 
2019/5/21, 10, , 
2019/5/22, 15, , 
2019/5/23, 24, , 
2019/5/24, 19, , 
2019/5/25, 27, , 
2019/5/26, 28, , 
2019/5/27, 13, , 
2019/5/28, 17, , 
2019/5/29, 20, , 
2019/5/30, 26, , 
2019/5/31, 12, , 
2019/6/1, 19, , 
2019/6/2, 27, , 
2019/6/3, 24, , 
2019/6/4, 11, , 
2019/6/5, 21, , 
2019/6/6, 18, , 
2019/6/7, 17, , 
2019/6/8, 14, , 
2019/6/9, 24, , 
2019/6/10, 34, , 
2019/6/11, 18, , 
2019/6/12, 19, , 
2019/6/13, 26, , 
2019/6/14, 15, , 
2019/6/15, 22, , 
2019/6/16, 18, , 
2019/6/17, 17, , 
2019/6/18, 25, , 
2019/6/19, 39, , 
2019/6/20, 27, , 
2019/6/21, 21, , 
2019/6/22, 15, , 
2019/6/23, 19, , 
2019/6/24, 11, , 
2019/6/25, 25, , 
2019/6/26, 38, , 
2019/6/27, 30, 26, 
2019/6/28, 28, 23, 
2019/6/29, 34, 15, 
2019/6/30, 35, 19, 
2019/1/1, 53, , 
2019/1/2, 33, , 
2019/1/3, 44, , 
2019/1/4, 67, , 
2019/1/5, 70, , 
2019/1/6, 38, , 
2019/1/7, 33, , 
2019/1/8, 34, , 
2019/1/9, 31, , 
2019/1/10, 29, , 
2019/1/11, 36, , 
2019/1/12, 34, , 
2019/1/13, 39, , 
2019/1/14, 64, , 
2019/1/15, 76, , 
2019/1/16, 50, , 
2019/1/17, 33, , 
2019/1/18, 41, , 
2019/1/19, 32, , 
2019/1/20, 31, , 
2019/1/21, 26, , 
2019/1/22, 36, , 
2019/1/23, 37, , 
2019/1/24, 23, , 
2019/1/25, 36, , 
2019/1/26, 32, , 
2019/1/27, 35, , 
2019/1/28, 29, , 
2019/1/29, 29, , 
2019/1/30, 38, , 
2019/1/31, 39, , 
2019/2/1, 34, , 
2019/2/2, 46, , 
2019/2/3, 39, , 
2019/2/4, 51, , 
2019/2/5, 38, , 
2019/2/6, 27, , 
2019/2/7, 28, , 
2019/2/8, 22, , 
2019/2/9, 29, , 
2019/2/10, 27, , 
2019/2/11, 27, , 
2019/2/12, 27, , 
2019/2/13, 24, , 
2019/2/14, 31, , 
2019/2/15, 32, , 
2019/2/16, 38, , 
2019/2/17, 31, , 
2019/2/18, 34, , 
2019/2/19, 32, , 
2019/2/20, 44, , 
2019/2/21, 43, , 
2019/2/22, 40, , 
2019/2/23, 43, , 
2019/2/24, 32, , 
2019/2/25, 32, , 
2019/2/26, 30, , 
2019/2/27, 32, , 
2019/2/28, 51, , 
2019/3/1, 50, , 
2019/3/2, 47, , 
2019/3/3, 46, , 
2019/3/4, 48, , 
2019/3/5, 33, , 
2019/3/6, 24, , 
2019/3/7, 22, , 
2019/3/8, 28, , 
2019/3/9, 26, , 
2019/3/10, 20, , 
2019/3/11, 20, , 
2019/3/12, 25, , 
2019/3/13, 46, , 
2019/3/14, 49, , 
2019/3/15, 32, , 
2019/3/16, 20, , 
2019/3/17, 19, , 
2019/3/18, 18, , 
2019/3/19, 19, , 
2019/3/20, 30, , 
2019/3/21, 39, , 
2019/3/22, 21, , 
2019/3/23, 9, , 
2019/3/24, 15, , 
2019/3/25, 16, , 
2019/3/26, 21, , 
2019/3/27, 22, , 
2019/3/28, 22, , 
2019/3/29, 22, , 
2019/3/30, 17, , 
2019/3/31, 17, , 
2018/10/1, 17, 14, 
2018/10/2, 23, 12, 
2018/10/3, 28, 13, 
2018/10/4, 21, 16, 
2018/10/5, 25, 15, 
2018/10/6, 30, 15, 
2018/10/7, 26, 15, 
2018/10/8, 33, 13, 
2018/10/9, 37, 15, 
2018/10/10, 20, 16, 
2018/10/11, 18, 12, 
2018/10/12, 20, 18, 
2018/10/13, 19, 20, 
2018/10/14, 23, 16, 
2018/10/15, 22, 18, 
2018/10/16, 20, 15, 
2018/10/17, 26, 18, 
2018/10/18, 22, 17, 
2018/10/19, 31, 20, 
2018/10/20, 21, 21, 
2018/10/21, 18, 18, 
2018/10/22, 17, 18, 
2018/10/23, 27, 17, 
2018/10/24, 34, 22, 
2018/10/25, 23, 22, 
2018/10/26, 22, 20, 
2018/10/27, 33, 20, 
2018/10/28, 20, 13, 
2018/10/29, 30, 14, 
2018/10/30, 25, 14, 
2018/10/31, 26, 11, 
2018/11/1, 35, 12, 
2018/11/2, 22, 11, 
2018/11/3, 14, 18, 
2018/11/4, 18, 16, 
2018/11/5, 26, 13, 
2018/11/6, 20, 16, 
2018/11/7, 19, 13, 
2018/11/8, 23, 16, 
2018/11/9, 24, 18, 
2018/11/10, 25, 21, 
2018/11/11, 25, 20, 
2018/11/12, 28, 17, 
2018/11/13, 42, 20, 
2018/11/14, 31, 19, 
2018/11/15, 43, 21, 
2018/11/16, 37, 20, 
2018/11/17, 42, 22, 
2018/11/18, 31, 18, 
2018/11/19, 51, 19, 
2018/11/20, 37, 19, 
2018/11/21, 37, 20, 
2018/11/22, 30, 19, 
2018/11/23, 37, 19, 
2018/11/24, 32, 18, 
2018/11/25, 34, 17, 
2018/11/26, 18, 19, 
2018/11/27, 14, 18, 
2018/11/28, 13, 18, 
2018/11/29, 12, 17, 
2018/11/30, 24, 17, 
2018/12/1, 34, 17, 
2018/12/2, 28, 18, 
2018/12/3, 26, 24, 
2018/12/4, 27, 21, 
2018/12/5, 31, 18, 
2018/12/6, 48, 21, 
2018/12/7, 45, 21, 
2018/12/8, 36, 19, 
2018/12/9, 52, 19, 
2018/12/10, 40, 18, 
2018/12/11, 41, 21, 
2018/12/12, 39, 20, 
2018/12/13, 31, 19, 
2018/12/14, 44, 15, 
2018/12/15, 43, 14, 
2018/12/16, 32, 17, 
2018/12/17, 40, 20, 
2018/12/18, 37, 19, 
2018/12/19, 42, 19, 
2018/12/20, 60, 20, 
2018/12/21, 38, 21, 
2018/12/22, 24, 23, 
2018/12/23, 31, 22, 
2018/12/24, 51, 22, 
2018/12/25, 29, 20, 
2018/12/26, 48, 20, 
2018/12/27, 31, 20, 
2018/12/28, 32, 22, 
2018/12/29, 35, 21, 
2018/12/30, 41, , 
2018/7/1, 47, 32, 
2018/7/2, 49, 23, 
2018/7/3, 23, 36, 
2018/7/4, 32, 38, 
2018/7/5, 45, 24, 
2018/7/6, 23, 22, 
2018/7/7, 21, 29, 
2018/7/8, 28, 38, 
2018/7/9, 28, 17, 
2018/7/10, 33, 18, 
2018/7/11, 16, 18, 
2018/7/12, 23, 22, 
2018/7/13, 29, 16, 
2018/7/14, 38, 22, 
2018/7/15, 42, 26, 
2018/7/16, 34, 24, 
2018/7/17, 34, 16, 
2018/7/18, 21, 23, 
2018/7/19, 24, 33, 
2018/7/20, 37, 29, 
2018/7/21, 44, 23, 
2018/7/22, 39, 14, 
2018/7/23, 29, 13, 
2018/7/24, 20, 18, 
2018/7/25, 21, 23, 
2018/7/26, 26, 32, 
2018/7/27, 44, 25, 
2018/7/28, 39, 15, 
2018/7/29, 36, 23, 
2018/7/30, 44, 28, 
2018/7/31, 50, 25, 
2018/8/1, 40, 22, 
2018/8/2, 22, 29, 
2018/8/3, 46, 24, 
2018/8/4, 46, 25, 
2018/8/5, 36, 33, 
2018/8/6, 50, 23, 
2018/8/7, 38, 23, 
2018/8/8, 40, 23, 
2018/8/9, 44, 13, 
2018/8/10, 15, 20, 
2018/8/11, 22, 23, 
2018/8/12, 36, 25, 
2018/8/13, 32, 23, 
2018/8/14, 31, 16, 
2018/8/15, 34, 15, 
2018/8/16, 24, 21, 
2018/8/17, 23, 21, 
2018/8/18, 25, 18, 
2018/8/19, 38, 20, 
2018/8/20, 32, 21, 
2018/8/21, 34, 18, 
2018/8/22, 20, 18, 
2018/8/23, 24, 28, 
2018/8/24, 54, 30, 
2018/8/25, 60, 25, 
2018/8/26, 55, 24, 
2018/8/27, 44, 25, 
2018/8/28, 54, 20, 
2018/8/29, 26, 14, 
2018/8/30, 26, 16, 
2018/8/31, 33, 16, 
2018/9/1, 40, 14, 
2018/9/2, 33, 20, 
2018/9/3, 34, 16, 
2018/9/4, 31, 21, 
2018/9/5, 42, 21, 
2018/9/6, 23, 19, 
2018/9/7, 28, 15, 
2018/9/8, 24, 16, 
2018/9/9, 24, 14, 
2018/9/10, 32, 15, 
2018/9/11, 22, 21, 
2018/9/12, 29, 21, 
2018/9/13, 31, 26, 
