date, pm25, pm10, no2, so2, co
2019/8/10, 44, 11, 7, 2, 4
2019/8/11, 18, 13, 8, 2, 4
2019/8/12, 20, 17, 9, , 4
2019/8/13, 26, 32, 13, 4, 4
2019/8/14, 46, 26, 11, 3, 4
2019/8/15, 44, 12, 5, , 4
2019/8/16, 25, 31, 14, 3, 5
2019/8/17, 47, 47, 19, 5, 6
2019/8/18, 71, 55, 24, 4, 8
2019/8/19, 82, 18, 7, 2, 5
2019/8/20, 52, 25, 10, 3, 5
2019/8/21, 48, 29, 13, 2, 5
2019/8/22, 49, 41, 20, 3, 6
2019/8/23, 61, 34, 16, 3, 5
2019/8/24, 50, 43, 15, 4, 7
2019/8/25, 68, 29, 16, 3, 5
2019/8/26, 48, 20, 13, 2, 4
2019/8/27, 27, 19, 9, 2, 4
2019/8/28, 26, 14, 9, 2, 4
2019/8/29, 24, 32, 18, 3, 5
2019/8/30, 49, 33, 19, 3, 5
2019/8/31, 50, 46, 22, 5, 6
2019/9/1, 68, 57, 27, 4, 6
2019/9/2, 83, 44, 21, 4, 5
2019/9/3, 74, 41, 24, 3, 5
2019/9/4, 60, 48, 27, 3, 6
2019/9/5, 70, 50, 24, 4, 6
2019/9/6, 75, 55, 23, 4, 6
2019/9/7, 84, 31, 10, 2, 4
2019/9/8, 44, 18, 11, 2, 5
2019/9/9, 37, 21, 9, 2, 6
2019/9/10, 59, 17, 9, 2, 6
2019/9/11, 50, 30, 11, 2, 7
2019/9/12, 56, 42, 10, 3, 4
2019/9/13, 61, 43, 14, 3, 5
2019/9/14, 66, 47, 20, 4, 5
2019/9/15, 65, 37, 21, 3, 5
2019/9/16, 43, 37, 19, 4, 5
2019/9/17, 49, 25, 17, 3, 5
2019/9/18, 30, 46, 23, 4, 6
2019/9/19, 69, 27, 16, 2, 6
2019/9/20, 67, 28, 18, 3, 5
2019/9/21, 51, 36, 22, 3, 5
2019/9/22, 52, 34, 21, 2, 5
2019/9/23, 44, 41, 25, 2, 5
2019/9/24, 51, 42, 23, 4, 5
2019/9/25, 54, 51, 27, 4, 6
2019/9/26, 67, 50, 27, 4, 6
2019/9/27, 76, 59, 31, 5, 8
2019/9/28, 104, 60, 32, 4, 8
2019/9/29, 95, 61, 29, 5, 7
2019/9/30, 96, 62, 26, 4, 7
2019/4/1, 57, 31, 12, 5, 5
2019/4/2, 51, 52, 28, 6, 7
2019/4/3, 73, 72, 31, 7, 8
2019/4/4, 100, 70, 21, 6, 6
2019/4/5, 80, 32, 10, 5, 4
2019/4/6, 51, 56, 23, 6, 5
2019/4/7, 70, 49, 11, 5, 7
2019/4/8, 53, 29, 10, 4, 8
2019/4/9, 51, 26, 12, 3, 8
2019/4/10, 55, 36, 18, 6, 8
2019/4/11, 74, 52, 25, 6, 7
2019/4/12, 75, 45, 15, 4, 5
2019/4/13, 39, 55, 23, 5, 6
2019/4/14, 66, 66, 26, 6, 7
2019/4/15, 88, 90, 21, 6, 6
2019/4/16, 111, 107, 22, 6, 6
2019/4/17, 118, 68, 8, 3, 5
2019/4/18, 61, 109, 16, 6, 8
2019/4/19, 120, 456, 17, 3, 6
2019/4/20, 157, 166, 21, 5, 7
2019/4/21, 143, 88, 22, 6, 8
2019/4/22, 107, 49, 15, 6, 8
2019/4/23, 81, 40, 10, 3, 6
2019/4/24, 47, 23, 9, 3, 5
2019/4/25, 42, 15, 6, 2, 4
2019/4/26, 37, 34, 14, 3, 6
2019/4/27, 59, 46, 16, 4, 7
2019/4/28, 85, 133, 18, 3, 7
2019/4/29, 86, 103, 8, 2, 4
2019/4/30, 78, 45, 20, 3, 5
2019/5/1, 82, 66, 27, 5, 6
2019/5/2, 102, 67, 28, 5, 7
2019/5/3, 103, 136, 24, 4, 7
2019/5/4, 130, 56, 4, , 
2019/5/5, 51, 27, 10, 2, 5
2019/5/6, 36, 47, 16, 5, 6
2019/5/7, 70, 34, 10, 3, 6
2019/5/8, 64, 47, 20, 3, 7
2019/5/9, 74, 45, 21, 3, 5
2019/5/10, 74, 50, 14, 4, 6
