date, pm25, o3, no2, co
2019/5/3, 16, , , 
2019/5/4, 10, , , 
2019/5/5, 6, , , 
2019/5/6, 14, , , 
2019/5/7, 34, , , 
2019/5/8, 20, , , 
2019/5/9, 11, , , 
2019/5/10, 43, , , 
2019/5/11, 23, , , 
2019/5/12, 27, , , 
2019/5/13, 37, , , 
2019/5/14, 12, , , 
2019/5/15, 32, , , 
2019/5/16, 8, , , 
2019/5/17, 8, , , 
2019/5/18, 1, , , 
2019/5/19, 9, , , 
2019/5/20, 17, , , 
2019/5/21, 21, , , 
2019/5/22, 14, , , 
2019/5/23, 23, , , 
2019/5/24, 15, , , 
2019/5/25, 12, , , 
2019/5/26, 9, , , 
2019/5/27, 24, , , 
2019/5/28, 45, , , 
2019/5/29, 45, , , 
2019/5/30, 52, , , 
2019/5/31, 11, , , 
2019/6/1, 19, , , 
2019/6/2, 17, , , 
2019/6/3, 30, , , 
2019/6/4, 40, , , 
2019/6/5, 25, , , 
2019/6/6, 21, , , 
2019/6/7, 48, , , 
2019/6/8, 32, , , 
2019/6/9, 15, , , 
2019/6/10, 17, , , 
2019/6/11, 24, , , 
2019/6/12, 16, , , 
2019/6/13, 28, , , 
2019/6/14, 29, , , 
2019/6/15, 15, , , 
2019/6/16, 19, , , 
2019/6/17, 20, , , 
2019/6/18, 25, , , 
2019/6/19, 34, , , 
2019/6/20, 34, , , 
2019/6/21, 27, , , 
2019/6/22, 19, , , 
2019/6/23, 28, , , 
2019/6/24, 37, , , 
2019/6/25, 24, , , 
2019/6/26, 20, , , 
2019/6/27, 27, , , 
2019/6/28, 34, , , 
2019/6/29, 28, , , 
2019/6/30, 17, , , 
2019/1/1, 12, , , 
2019/1/2, 23, , , 
2019/1/3, 14, , , 
2019/1/4, 46, , , 
2019/1/5, 11, , , 
2019/1/6, 6, , , 
2019/1/7, 19, , , 
2019/1/8, 8, , , 
2019/1/9, 8, , , 
2019/1/10, 14, , , 
2019/1/11, 10, , , 
2019/1/12, 16, , , 
2019/1/13, 24, , , 
2019/1/14, 15, , , 
2019/1/15, 17, , , 
2019/1/16, 25, , , 
2019/1/17, 18, , , 
2019/1/18, 18, , , 
2019/1/19, 27, , , 
2019/1/20, 23, , , 
2019/1/21, 13, , , 
2019/1/22, 34, , , 
2019/1/23, 25, , , 
2019/1/24, 4, , , 
2019/1/25, 21, , , 
2019/1/26, 27, , , 
2019/1/27, 10, , , 
2019/1/28, 5, , , 
2019/1/29, 10, , , 
2019/1/30, 18, , , 
2019/1/31, 19, , , 
2019/2/1, 36, , , 
2019/2/2, 9, , , 
2019/2/3, 5, , , 
2019/2/4, 6, , , 
2019/2/5, 8, , , 
2019/2/6, 10, , , 
