date, pm25, o3, so2
2020/1/1, 20, , 
2020/1/2, 27, , 
2020/1/3, 35, , 
2019/11/17, 26, , 
2019/11/18, 33, , 
2019/11/19, 46, , 
2019/11/20, 38, , 
2019/11/21, 49, , 
2019/11/22, 54, , 
2019/11/23, 33, , 
2019/11/24, 15, , 
2019/11/25, 36, , 
2019/11/26, 40, , 
2019/11/27, 31, , 
2019/11/28, 20, , 
2019/11/29, 29, , 
2019/11/30, 44, , 
2019/12/1, 19, , 
2019/12/2, 12, , 
2019/12/3, 27, , 
2019/12/4, 40, , 
2019/12/5, 36, , 
2019/12/6, 51, , 
2019/12/7, 63, , 
2019/12/8, 36, , 
2019/12/9, 31, , 
2019/12/10, 27, , 
2019/12/11, 13, , 
2019/12/12, 22, , 
2019/12/13, 11, , 
2019/12/14, 22, , 
2019/12/15, 51, , 
2019/12/16, 32, , 
2019/12/17, 19, , 
2019/12/18, 19, , 
2019/12/19, 19, , 
2019/12/20, 28, , 
2019/12/21, 34, , 
2019/12/22, 21, , 
2019/12/23, 3, , 
2019/12/24, 13, , 
2019/12/25, 24, , 
2019/12/26, 37, , 
2019/12/27, 34, , 
2019/12/28, 25, , 
2019/4/1, 19, 40, 
2019/4/2, 39, 45, 
2019/4/3, 39, 42, 
2019/4/4, 35, 34, 
2019/4/5, 27, 18, 
2019/4/6, 49, 28, 
2019/4/7, 31, 20, 
2019/4/8, 29, 27, 
2019/4/9, 25, 36, 
2019/4/10, 25, 34, 
2019/4/11, 28, 36, 
2019/4/12, 32, 30, 
2019/4/13, 39, 28, 
2019/4/14, 25, 39, 
2019/4/15, 13, 42, 
2019/4/16, 23, 42, 
2019/4/17, 34, 36, 
2019/4/18, 31, 29, 
2019/4/19, 21, 25, 
2019/4/20, 13, 41, 
2019/4/21, 13, 42, 
2019/4/22, 20, 39, 
2019/4/23, 39, 42, 
2019/4/24, 55, 43, 
2019/4/30, 33, 23, 
2019/5/1, 27, 30, 
2019/5/2, 35, 35, 
2019/5/3, 32, 21, 
2019/5/4, 26, 29, 
2019/5/5, 28, 41, 
