date, o3, no2, so2
2018/10/1, 31, 1, 
2018/10/2, 32, 1, 
2018/10/3, 31, 8, 
2018/10/4, 18, 18, 1
2018/10/5, 14, 15, 
2018/10/6, 16, 3, 
2018/10/7, 28, 10, 
2018/10/8, 28, 14, 
2018/10/9, 22, 17, 
2018/10/10, 29, 10, 
2018/10/11, 20, 8, 
2018/10/12, 20, 6, 
2018/10/13, 13, 5, 
2018/10/15, 16, 13, 
2018/10/16, 26, 8, 
2018/10/17, 28, 3, 
2018/10/18, 27, 7, 
2018/10/19, 21, 9, 
2018/10/20, 23, 15, 2
2018/10/21, 19, 1, 
2018/10/22, 30, 2, 
2018/10/23, 26, 1, 
2018/10/24, 24, 1, 
2018/10/25, 28, 2, 
2018/10/26, 30, 4, 
2018/10/27, 29, 3, 
2018/10/28, 22, 5, 
2018/10/29, 14, 6, 
2018/10/30, 14, 12, 
2018/10/31, 18, 14, 
2018/11/1, 8, 2, 
2018/11/2, 28, 15, 
2018/11/3, 14, 14, 
2018/11/4, 8, 11, 
2018/11/5, 3, 14, 
2018/11/6, 7, 9, 
2018/11/7, 15, 12, 
2018/11/8, 23, 13, 
2018/11/9, 9, 6, 
2018/11/10, 18, 4, 
2018/11/11, 23, 15, 
2018/11/12, 12, 7, 
2018/11/13, 23, 14, 1
2018/11/14, 11, 16, 1
2018/11/15, 4, 15, 
2018/11/16, 3, 12, 
2018/11/17, 9, 8, 
2018/11/18, 17, 4, 
2018/11/19, 17, 5, 
2018/11/20, 17, 10, 
2018/11/21, 8, 11, 
2018/11/22, 4, 13, 1
2018/11/23, , 11, 
2018/11/24, 5, 9, 
2018/11/25, 4, 9, 
2018/11/26, 5, 10, 
2018/11/27, 7, 11, 
2018/11/28, 8, 9, 
2018/11/29, 14, 7, 
2018/11/30, 21, 9, 1
2018/12/1, 16, 5, 1
2018/12/2, 21, 4, 
2018/12/3, 26, 7, 
2018/12/4, 27, 19, 
2018/12/5, 3, 8, 
2018/12/6, 22, 4, 
2018/12/7, 27, 2, 
2018/12/8, 29, 1, 
2018/12/9, 31, , 
2018/12/10, 32, 1, 
2018/12/11, 29, 9, 
2018/12/12, 11, 10, 
2018/12/13, 10, 10, 
2018/12/14, 7, 8, 
2018/12/15, 13, 11, 
2018/12/16, 10, 8, 
2018/12/17, 24, 12, 
2018/12/18, 14, 11, 
2018/12/19, 15, 9, 
2018/12/20, 19, 4, 
2018/12/21, 26, 3, 
2018/12/22, 25, 6, 
2018/12/23, 24, 3, 
2018/12/24, 26, 5, 
2018/12/25, 25, 15, 
2018/12/26, 12, 20, 1
2018/12/27, 1, 14, 
2018/12/28, 12, 6, 
2018/12/29, 26, 4, 
2018/12/30, 30, , 
2018/7/1, 33, 4, 
2018/7/2, 41, 3, 
2018/7/3, 40, 2, 
2018/7/4, 33, 3, 
2018/7/5, 29, 2, 
2018/7/6, 36, 4, 1
2018/7/7, 31, 3, 
2018/7/8, 27, 2, 
2018/7/9, 29, 1, 
2018/7/10, 31, 2, 
2018/7/11, 35, 2, 
2018/7/12, 31, 2, 
2018/7/13, 32, 3, 
2018/7/14, 31, 4, 
2018/7/15, 41, 6, 1
2018/7/16, 70, 5, 
2018/7/17, 43, 6, 1
2018/7/18, 36, 4, 
2018/7/19, 35, 2, 
2018/7/20, 35, 4, 1
2018/7/21, 38, 4, 
2018/7/22, 44, 2, 
2018/7/23, 37, 7, 
2018/7/24, 36, 5, 
2018/7/25, 49, 7, 
2018/7/26, 88, 8, 1
2018/7/27, 84, 3, 
2018/7/28, 40, 4, 
2018/7/29, 34, 4, 
2018/7/30, 27, 4, 
2018/7/31, 33, 6, 
2018/8/1, 30, 7, 
2018/8/2, 34, 7, 1
2018/8/3, 45, 5, 
2018/8/4, 31, 2, 1
2018/8/5, 30, 5, 1
2018/8/6, 55, 8, 1
2018/8/7, 92, 3, 
2018/8/8, 36, 8, 
2018/8/9, 27, 2, 
2018/8/10, 28, 2, 
2018/8/11, 30, 8, 3
2018/8/12, 34, 7, 
2018/8/13, 30, 1, 
2018/8/14, 34, 5, 
2018/8/15, 27, 4, 
2018/8/16, 28, 4, 
2018/8/17, 27, 6, 
2018/8/18, 23, 4, 
2018/8/19, 23, 3, 
2018/8/20, 27, 8, 
2018/8/21, 27, 6, 
2018/8/22, 32, 6, 
2018/8/23, 21, 2, 
2018/8/24, 25, 1, 
2018/8/25, 26, 3, 
2018/8/26, 29, 1, 
2018/8/27, 24, 7, 
2018/8/28, 25, 8, 
2018/8/29, 30, 1, 
2018/8/30, 27, 6, 
2018/8/31, 29, 6, 
2018/9/1, 34, 7, 
2018/9/2, 36, 5, 
2018/9/3, 32, 5, 
2018/9/4, 30, 8, 
2018/9/5, 32, 3, 
2018/9/6, 37, 2, 
2018/9/7, 28, 3, 
2018/9/8, 27, 6, 
2018/9/9, 34, 2, 
2018/9/10, 29, 3, 
2018/9/11, 27, 2, 
2018/9/12, 23, 3, 
2018/9/13, 25, 8, 
2018/9/14, 30, 2, 
2018/9/15, 30, 9, 1
2018/9/16, 31, 12, 1
2018/9/17, 29, 6, 
2018/9/18, 32, 7, 
2018/9/19, 28, 5, 
2018/9/20, 27, 2, 
2018/9/21, 28, 2, 
2018/9/22, 26, 5, 
2018/9/23, 27, , 
2018/9/24, 30, 6, 
2018/9/25, 29, 13, 1
2018/9/26, 28, 12, 
2018/9/27, 32, 3, 
2018/9/28, 27, 5, 
2018/9/29, 27, 7, 
2018/9/30, 32, , 
2018/4/1, 33, 6, 
2018/4/2, 27, 8, 
2018/4/3, 29, 9, 
2018/4/4, 30, 2, 
2018/4/5, 36, 11, 1
2018/4/6, 28, 9, 1
