date, pm25, o3, no2
2020/1/2, 27, 30, 3
2020/1/3, 8, 29, 2
2020/1/4, 16, 28, 9
2020/1/5, 12, 35, 13
2020/1/6, 16, 32, 2
2020/1/7, 11, 31, 3
2020/1/8, 9, 32, 11
2020/1/9, 22, 28, 
2020/1/10, 27, 26, 
2020/1/11, 19, 16, 
2020/1/12, 12, 9, 
2020/1/13, 27, 16, 
2020/1/14, 20, 22, 
2020/1/15, 42, 6, 
2020/1/16, 62, , 
2019/10/1, 35, 39, 5
2019/10/2, 46, 37, 7
2019/10/3, 36, 44, 6
2019/10/4, 53, 46, 4
2019/10/5, 48, 26, 2
2019/10/6, 48, 30, 3
2019/10/7, 92, 29, 
2019/10/8, 45, 37, 
2019/10/9, 40, 22, 
2019/10/10, 21, 30, 5
2019/10/11, 18, 20, 1
2019/10/12, 15, 29, 2
2019/10/13, 29, 23, 2
2019/10/14, 34, 27, 5
2019/10/15, 20, 25, 3
2019/10/16, 16, 30, 1
2019/10/17, 22, 26, 2
2019/10/18, 20, 29, 2
2019/10/19, 33, 49, 6
2019/10/20, 50, 29, 4
2019/10/21, 19, 34, 1
2019/10/22, 21, 35, 4
2019/10/23, 22, 31, 4
2019/10/24, 37, 19, 5
2019/10/25, 30, 22, 3
2019/10/26, 14, 30, 2
2019/10/27, 22, 34, 3
2019/10/28, 31, 27, 2
2019/10/29, 39, 16, 7
2019/10/30, 26, 21, 2
2019/10/31, 12, 26, 1
2019/11/1, 7, 29, 1
2019/11/2, 14, 33, 7
2019/11/3, 23, 32, 12
2019/11/4, 29, 36, 5
2019/11/5, 41, 35, 3
2019/11/6, 48, 26, 4
2019/11/7, 33, 20, 1
2019/11/8, 20, 28, 5
2019/11/9, 27, 34, 9
2019/11/10, 39, 31, 9
2019/11/11, 19, 28, 2
2019/11/12, 10, 26, 5
2019/11/13, 13, 23, 3
2019/11/14, 30, 33, 2
2019/11/15, 25, 33, 3
2019/11/16, 27, 32, 6
2019/11/17, 40, 8, 16
2019/11/18, 63, , 
2019/12/8, 52, 27, 8
2019/12/9, 37, 29, 3
2019/12/10, 20, 31, 1
2019/12/11, 5, 24, 3
2019/12/12, 16, 14, 3
2019/12/13, 13, 17, 9
2019/12/14, 31, 40, 7
2019/12/15, 17, 25, 7
2019/12/16, 22, 27, 1
2019/12/17, 10, 33, 1
2019/12/18, 9, 32, 7
2019/12/19, 15, 31, 9
2019/12/20, 30, 25, 2
2019/12/21, 26, 19, 1
2019/12/22, 5, 27, 1
2019/12/23, 6, 27, 5
2019/12/24, 16, 21, 4
2019/12/25, 19, 24, 3
