date, pm25, pm10
2019/6/9, 19, 10
2019/6/10, 22, 17
2019/6/11, 41, 11
2019/6/12, 25, 10
2019/6/13, 24, 12
2019/6/14, 25, 19
2019/6/15, 48, 19
2019/6/16, 55, 22
2019/6/17, 48, 12
2019/6/18, 27, 14
2019/6/19, 38, 12
2019/6/20, 32, 13
2019/6/21, 34, 18
2019/6/22, 37, 18
2019/6/23, 38, 34
2019/6/24, 56, 14
2019/6/25, 34, 16
2019/6/26, 41, 17
2019/6/27, 42, 17
2019/6/28, 44, 17
2019/6/29, 45, 16
2019/6/30, 47, 19
2019/2/15, 47, 19
2019/2/16, 17, 7
2019/2/17, 23, 7
2019/2/18, 15, 5
2019/2/19, 24, 8
2019/2/20, 10, 3
2019/2/21, 25, 10
2019/2/22, 11, 4
2019/2/23, 11, 4
2019/2/24, 11, 7
2019/2/25, 12, 5
2019/2/26, 27, 13
2019/2/27, 59, 22
2019/2/28, 39, 14
2019/3/1, 26, 10
2019/3/2, 27, 9
2019/3/3, 32, 10
2019/3/4, 29, 8
2019/3/5, 20, 8
2019/3/6, 21, 9
2019/3/7, 26, 11
2019/3/8, 88, 36
2019/3/9, 55, 16
2019/3/10, 35, 11
2019/3/11, 18, 8
2019/3/12, 22, 10
2019/3/13, 44, 18
2019/3/14, 61, 24
2019/3/15, 18, 9
2019/3/16, 17, 6
2019/3/17, 17, 7
2019/3/18, 26, 10
2019/3/19, 36, 12
2019/3/20, 48, 18
2019/3/21, 52, 20
2019/3/22, 34, 11
2019/3/23, 30, 12
2019/3/24, 62, 25
2019/3/25, 61, 24
2019/3/26, 34, 11
2019/3/27, 37, 13
2019/3/28, 42, 17
2019/3/29, 61, 25
2019/3/30, 55, 25
2019/3/31, 13, 5
2019/12/31, , 6
2020/1/3, , 7
2020/1/6, , 15
2019/10/28, , 15
2019/12/25, , 16
2019/7/30, , 25
2019/9/17, , 17
2019/1/22, , 12
2019/1/23, , 14
2019/1/24, , 7
2019/1/25, , 10
2019/1/26, , 11
2019/1/27, , 20
2019/1/28, , 19
2019/1/29, , 14
2019/1/30, , 11
2019/1/31, , 12
2019/2/1, , 18
2019/2/2, , 17
2019/2/3, , 19
2019/2/4, , 18
2019/2/5, , 17
2019/2/6, , 13
2019/2/7, , 13
2019/2/8, , 6
2019/2/9, , 9
2019/2/10, , 13
2019/2/11, , 10
2019/2/12, , 6
2019/2/13, , 5
2019/2/14, , 10
2018/10/1, , 13
2018/10/2, , 15
2018/10/3, , 18
2018/10/4, , 17
2018/10/5, , 14
2018/10/6, , 17
2018/10/7, , 17
2018/10/8, , 15
2018/10/9, , 12
2018/10/10, , 8
2018/10/11, , 7
2018/10/12, , 8
2018/10/13, , 8
2018/10/14, , 10
2018/10/15, , 16
2018/10/16, , 13
2018/10/17, , 10
2018/10/18, , 14
2018/10/19, , 16
2018/10/20, , 14
2018/10/21, , 14
2018/10/22, , 12
2018/10/23, , 12
2018/10/24, , 14
2018/10/25, , 16
2018/10/26, , 5
2018/10/27, , 6
2018/10/28, , 12
2018/10/29, , 10
2018/10/30, , 12
2018/10/31, , 20
2018/11/1, , 14
2018/11/2, , 9
2018/11/3, , 11
2018/11/4, , 11
2018/11/5, , 9
2018/11/6, , 8
2018/11/7, , 10
2018/11/8, , 11
2018/11/9, , 6
2018/11/10, , 10
2018/11/11, , 11
2018/11/12, , 8
2018/11/13, , 7
2018/11/14, , 10
2018/11/15, , 6
2018/11/16, , 11
2018/11/17, , 14
2018/11/18, , 18
2018/11/19, , 23
2018/11/20, , 11
2018/11/21, , 14
2018/11/22, , 13
2018/11/23, , 17
2018/11/24, , 7
2018/11/25, , 11
2018/11/26, , 8
2018/11/27, , 10
2018/11/28, , 11
2018/11/29, , 14
2018/12/5, , 10
2018/9/4, , 12
2018/9/5, , 15
2018/9/6, , 11
2018/9/7, , 14
2018/9/8, , 15
2018/9/9, , 12
2018/9/10, , 12
2018/9/11, , 10
2018/9/12, , 13
2018/9/13, , 9
2018/9/14, , 9
2018/9/15, , 6
2018/9/16, , 5
2018/9/17, , 6
2018/9/18, , 8
2018/9/19, , 13
2018/9/20, , 19
2018/9/21, , 16
2018/9/22, , 18
2018/9/23, , 18
2018/9/24, , 15
2018/9/25, , 13
2018/9/26, , 12
2018/9/27, , 11
2018/9/28, , 10
2018/9/29, , 12
2018/9/30, , 10
