date, pm25, o3, so2
2019/4/26, 23, 35, 
2019/4/27, 14, 37, 1
2019/4/28, 27, 31, 
2019/4/29, 19, 29, 
2019/4/30, 17, 30, 
2019/5/1, 14, 28, 1
2019/5/2, 23, 29, 1
2019/5/3, 17, 42, 1
2019/5/4, 30, 43, 
2019/5/5, 37, 34, 
2019/5/6, 16, 33, 
2019/5/7, 11, 31, 
2019/5/8, 16, 30, 
2019/5/9, 21, 33, 
2019/5/10, 13, 37, 
2019/5/11, 22, 35, 
2019/5/12, 26, 40, 
2019/5/13, 19, 46, 
2019/5/14, 30, 45, 1
2019/5/15, 27, 42, 
2019/5/16, 32, 31, 
2019/5/17, 13, 22, 
2019/5/18, 14, 20, 
2019/5/19, 12, 28, 
2019/5/20, 13, 27, 
2019/5/21, 15, 39, 
2019/5/22, 33, 30, 
2019/5/23, 18, 31, 
2019/5/24, 13, 41, 
2019/5/25, 29, 32, 
2019/5/26, 19, 20, 
2019/5/27, 19, 33, 
2019/5/28, 18, 38, 1
2019/6/3, 24, 44, 1
2019/6/4, 42, 33, 
2019/6/5, 49, 41, 
2019/6/6, 41, 43, 
2019/6/7, 39, 45, 
2019/6/8, 43, 29, 
2019/6/9, 54, 31, 
2019/6/10, 23, 39, 
2019/6/11, 33, 30, 
2019/6/12, 27, 26, 
2019/6/13, 28, 27, 
2019/6/14, 33, 28, 
2019/6/15, 28, 23, 
2019/6/16, 29, 33, 
2019/6/17, 33, 28, 
2019/6/18, 41, 27, 
2019/6/19, 31, 25, 
2019/6/20, 39, 28, 
2019/6/21, 35, 33, 
2019/6/22, 29, 40, 
2019/6/23, 42, 29, 1
2019/6/24, 38, 37, 1
2019/6/25, 30, 42, 1
2019/6/26, 35, 48, 1
2019/6/27, 34, 46, 
2019/6/28, 25, 35, 
2019/6/29, 43, 32, 
2019/6/30, 49, 32, 1
2019/1/1, 19, , 3
2019/1/2, 37, , 3
2019/1/3, 32, , 2
2019/1/4, 43, , 3
2019/1/5, 48, , 2
2019/1/6, 15, , 
2019/1/7, 25, , 1
2019/1/8, 37, , 
2019/1/9, 18, , 1
2019/1/10, 18, , 
2019/1/11, 36, , 
2019/1/12, 40, , 
2019/1/13, 17, , 1
2019/1/14, 49, , 1
2019/1/15, 40, , 4
2019/1/16, 19, , 1
2019/1/17, 32, , 1
2019/1/18, 25, , 
2019/1/19, 13, , 2
2019/1/20, 17, , 
2019/1/22, 47, , 2
2019/1/23, 33, , 1
2019/1/24, 42, , 
2019/1/25, 27, , 3
2019/1/26, 52, , 1
2019/1/27, 33, , 1
2019/1/28, 16, , 
2019/1/29, 20, , 1
2019/1/30, 23, , 1
2019/1/31, 43, , 1
2019/2/1, 46, , 2
2019/2/2, 90, , 3
2019/2/3, 64, , 
2019/2/5, 14, , 2
2019/2/6, 17, , 2
2019/2/7, 17, , 
2019/2/8, 18, , 8
2019/2/9, 46, , 3
2019/2/10, 33, , 
2019/2/11, 15, , 
2019/2/12, 16, , 1
2019/2/13, 18, , 1
2019/2/14, 51, , 
2019/2/15, 23, , 
2019/2/16, 26, , 
2019/2/17, 12, , 1
2019/2/18, 22, , 2
2019/2/19, 55, , 1
2019/2/20, 42, , 3
2019/2/21, 61, , 4
2019/2/22, 76, , 1
2019/2/23, 52, , 
2019/2/24, 24, , 
2019/2/25, 19, , 
2019/2/26, 19, , 1
2019/2/27, 17, , 3
2019/2/28, 52, , 1
2019/3/1, 56, , 1
2019/3/2, 27, , 4
2019/3/3, 21, , 5
2019/3/4, 37, , 1
2019/3/5, 33, , 3
2019/3/6, 42, , 2
2019/3/7, 44, , 1
2019/3/8, 67, , 1
2019/3/9, 61, , 
2019/3/10, 38, , 
2019/3/11, 45, , 1
2019/3/12, 54, , 
2019/3/13, 45, , 1
2019/3/14, 36, , 1
2019/3/15, 14, , 
2019/3/16, 19, , 1
2019/3/17, 26, , 1
2019/3/18, 32, , 2
2019/3/19, 39, 34, 1
2019/3/20, 38, 41, 1
2019/3/21, 33, 37, 1
2019/3/22, 16, 41, 2
2019/3/23, 30, 38, 
2019/3/24, 30, 36, 1
2019/3/25, 13, 36, 1
2019/3/26, 31, 39, 
2019/3/27, 38, 32, 2
2019/3/28, 37, 33, 
2019/3/29, 12, 37, 4
2019/3/30, 14, 36, 
2019/3/31, 16, 28, 
2018/10/1, 14, 17, 1
2018/10/2, 14, 27, 1
2018/10/3, 20, 25, 5
2018/10/4, 11, 21, 
2018/10/5, 8, 13, 3
2018/10/6, 21, 14, 
2018/10/7, 9, 21, 
2018/10/8, 37, 24, 1
2018/10/9, 25, 18, 1
2018/10/10, 14, 21, 1
2018/10/11, 8, 26, 
2018/10/12, 18, 25, 2
2018/10/13, 20, 17, 1
2018/10/14, 15, 17, 
2018/10/15, 11, 25, 2
2018/10/16, 15, 20, 4
2018/10/17, 14, , 2
2018/10/18, 21, , 2
2018/10/19, 21, , 2
2018/10/20, 23, , 2
2018/10/21, 20, , 6
2018/10/22, 26, , 1
2018/10/23, 18, , 1
2018/10/24, 13, , 2
2018/10/25, 43, , 1
2018/10/26, 55, , 1
2018/10/27, 5, , 1
2018/10/30, 45, , 3
2018/10/31, 31, , 1
2018/11/1, 28, , 5
2018/11/2, 12, , 3
2018/11/3, 17, , 
2018/11/4, 20, , 3
2018/11/5, 20, , 5
2018/11/6, 16, , 
2018/11/7, 18, , 1
2018/11/8, 16, , 
2018/11/9, 30, , 2
2018/11/10, 18, , 1
2018/11/11, 27, , 
2018/11/12, 31, , 
2018/11/13, 15, , 1
2018/11/14, 27, , 
2018/11/15, 49, , 
2018/11/16, 40, , 1
2018/11/17, 18, , 1
2018/11/18, 28, , 2
2018/11/19, 25, , 1
2018/11/20, 25, , 
2018/11/21, 20, , 
2018/11/22, 23, , 1
2018/11/23, 60, , 
2018/11/24, 28, , 1
2018/11/25, 11, , 1
2018/11/26, 14, , 
2018/11/27, 16, , 1
2018/11/28, 26, , 
2018/11/29, 48, , 1
2018/11/30, 74, , 
2018/12/1, 49, , 
2018/12/2, 10, , 1
2018/12/3, 9, , 2
2018/12/4, 16, , 1
2018/12/5, 30, , 
2018/12/6, 20, , 
2018/12/7, 29, , 1
2018/12/8, 57, , 
2018/12/9, 56, , 2
2018/12/10, 63, , 1
2018/12/11, 54, , 
2018/12/12, 64, , 
2018/12/13, 78, , 2
2018/12/14, 75, , 2
2018/12/15, 71, , 2
2018/12/16, 51, , 1
2018/12/17, 30, , 1
2018/12/18, 39, , 1
2018/12/19, 53, , 2
2018/12/20, 63, , 1
2018/12/21, 12, , 1
2018/12/22, 29, , 1
2018/12/23, 35, , 
2018/12/24, 28, , 2
2018/12/25, 54, , 1
2018/12/26, 38, , 
2018/12/27, 40, , 
2018/12/28, 17, , 1
2018/12/29, 17, , 1
2018/12/30, 25, , 
2018/7/1, 23, 40, 2
2018/7/2, 15, 52, 2
2018/7/3, 35, 14, 1
2018/7/4, 53, 31, 2
2018/7/5, 32, 37, 1
2018/7/6, 17, 40, 3
2018/7/7, 18, 47, 2
2018/7/8, 41, 42, 2
2018/7/9, 29, 28, 4
2018/7/10, 24, 34, 1
2018/7/11, 38, 43, 1
2018/7/12, 80, 42, 3
2018/7/13, 27, 37, 1
2018/7/14, 30, 43, 2
2018/7/15, 42, 27, 1
2018/7/16, 23, 18, 4
2018/7/17, 13, 31, 2
2018/7/18, 23, 43, 1
2018/7/19, 26, 44, 1
2018/7/20, 39, 35, 1
2018/7/21, 40, 31, 1
2018/7/22, 55, 22, 3
2018/7/23, 31, 31, 2
2018/7/24, 31, 31, 3
2018/7/25, 19, 20, 1
2018/7/26, 15, 19, 1
2018/7/27, 17, 26, 1
2018/7/28, 30, 30, 2
2018/7/29, 35, 35, 1
2018/7/30, 37, 42, 2
2018/7/31, 42, 32, 2
2018/8/1, 30, 15, 1
2018/8/2, 16, 35, 1
2018/8/3, 23, 42, 1
2018/8/4, 37, 44, 2
2018/8/5, 43, 35, 2
2018/8/6, 39, 20, 1
2018/8/7, 21, 36, 2
2018/8/8, 32, 31, 2
2018/8/9, 50, 37, 2
2018/8/10, 46, 27, 1
2018/8/11, 56, 34, 2
2018/8/12, 67, 37, 2
2018/8/13, 66, 42, 2
2018/8/14, 67, 45, 1
2018/8/15, 54, 35, 1
2018/8/16, 56, 31, 1
2018/8/17, 51, 24, 1
2018/8/18, 56, 35, 3
2018/8/19, 66, 30, 1
2018/8/20, 63, 22, 3
2018/8/21, 54, 24, 2
2018/8/22, 35, 37, 5
2018/8/23, 50, 37, 1
2018/8/24, 50, 27, 1
2018/8/25, 38, 33, 1
2018/8/26, 45, 34, 1
2018/8/27, 45, 34, 2
2018/8/28, 17, 18, 1
2018/8/29, 12, 24, 
2018/8/30, 16, 48, 1
2018/8/31, 24, 33, 1
2018/9/1, 26, 28, 1
2018/9/2, 11, 20, 
2018/9/3, 19, 25, 1
2018/9/4, 17, 24, 2
2018/9/5, 15, 29, 
2018/9/6, 15, 25, 1
2018/9/7, 18, 23, 
2018/9/8, 13, 25, 
2018/9/9, 13, 33, 3
2018/9/10, 26, 39, 2
2018/9/11, 27, 43, 2
2018/9/12, 33, 42, 2
2018/9/13, 26, 41, 6
2018/9/14, 42, 55, 2
2018/9/15, 39, 37, 1
2018/9/16, 37, 35, 2
2018/9/17, 28, 11, 
2018/9/18, 8, 13, 
2018/9/19, 8, 31, 
2018/9/20, 26, 29, 2
2018/9/21, 13, 28, 1
2018/9/22, 16, 38, 2
2018/9/23, 19, 34, 1
2018/9/24, 27, 22, 1
2018/9/25, 27, 23, 
2018/9/26, 16, 29, 1
2018/9/27, 14, 19, 
2018/9/28, 19, 22, 
2018/9/29, 19, 20, 
2018/9/30, 18, 21, 
2018/4/1, 21, , 2
2018/4/2, 26, , 
2018/4/3, 13, , 
2018/4/4, 15, , 2
2018/4/5, 41, , 5
2018/4/6, 26, , 1
2018/4/7, 22, , 2
2018/4/8, 24, , 2
2018/4/9, 32, , 2
2018/4/10, 33, , 1
2018/4/11, 44, , 1
2018/4/12, 30, , 1
2018/4/13, 28, , 1
2018/4/14, 12, , 1
2018/4/15, 10, , 3
2018/4/16, 15, , 1
2018/4/17, 12, , 
2018/4/18, 12, , 3
2018/4/19, 16, , 8
2018/4/20, 50, , 4
2018/4/24, 26, , 2
2018/4/25, 12, , 1
2018/4/26, 18, , 1
2018/4/27, 8, , 1
2018/4/28, 14, , 1
2018/4/29, 24, , 1
2018/4/30, 27, , 4
2018/5/1, 36, , 1
2018/5/2, 20, , 1
2018/5/3, 16, , 2
2018/5/4, 26, , 2
2018/5/5, 38, , 1
2018/5/6, 15, , 1
2018/5/7, 24, , 2
2018/5/8, 51, , 1
2018/5/9, 41, , 2
2018/5/10, 16, , 1
2018/5/11, 11, , 1
2018/5/12, 13, , 1
2018/5/13, 29, , 1
2018/5/14, 28, 35, 1
2018/5/15, 21, 49, 1
2018/5/16, 25, 35, 1
2018/5/17, 15, 39, 1
2018/5/18, 11, 38, 1
2018/5/19, 27, 37, 1
2018/5/20, 12, 30, 1
2018/5/21, 23, 39, 1
2018/5/22, 27, 44, 1
2018/5/23, 25, 62, 1
2018/5/24, 34, 47, 2
2018/5/25, 40, 55, 1
2018/5/26, 32, 58, 2
2018/5/27, 43, 51, 1
2018/5/28, 34, 56, 
2018/5/29, 33, 40, 1
2018/5/30, 47, 42, 1
2018/5/31, 32, 30, 2
2018/6/1, 12, 20, 
2018/6/2, 12, 20, 
2018/6/3, 17, 44, 
2018/6/4, 15, 37, 
2018/6/5, 16, 32, 1
2018/6/6, 32, 36, 
2018/6/7, 28, 29, 
2018/6/8, 16, 44, 
2018/6/9, 36, 35, 
2018/6/10, 32, 41, 
2018/6/11, 29, 42, 1
2018/6/12, 43, 36, 1
2018/6/13, 28, 49, 1
2018/6/14, 42, 49, 1
2018/6/15, 23, 45, 1
2018/6/16, 39, 37, 2
2018/6/17, 49, 26, 1
2018/6/18, 13, 21, 1
2018/6/19, 26, 27, 1
2018/6/20, 27, 27, 1
2018/6/21, 25, 34, 1
2018/6/22, 14, 37, 1
2018/6/23, 29, 36, 1
2018/6/24, 28, 28, 1
2018/6/25, 31, 34, 1
2018/6/26, 25, 41, 2
2018/6/27, 34, 49, 2
2018/6/28, 33, 44, 1
2018/6/29, 36, 33, 1
2018/6/30, 35, 34, 2
2018/1/1, 25, , 2
2018/1/2, 33, , 2
2018/1/3, 29, , 6
2018/1/4, 18, , 8
2018/1/5, 21, , 1
2018/1/6, 22, , 3
2018/1/7, 44, , 1
2018/1/8, 45, , 1
2018/1/9, 47, , 
2018/1/10, 51, , 1
2018/1/11, 21, , 2
2018/1/12, 16, , 
2018/1/13, 18, , 2
2018/1/14, 34, , 
2018/1/15, 30, , 
2018/1/16, 30, , 1
2018/1/17, 40, , 5
2018/1/18, 46, , 3
2018/1/19, 49, , 1
2018/1/20, 57, , 3
2018/1/21, 76, , 
2018/1/22, 33, , 2
2018/1/23, 15, , 2
2018/1/24, 21, , 
2018/1/25, 46, , 
2018/1/26, 44, , 2
2018/1/27, 34, , 2
2018/1/28, 25, , 1
2018/1/29, 18, , 
2018/1/30, 21, , 2
2018/1/31, 27, , 
2018/2/1, 19, , 2
2018/2/2, 16, , 
2018/2/3, 22, , 1
2018/2/4, 14, , 1
2018/2/5, 29, , 1
2018/2/6, 39, , 1
2018/2/7, 45, , 2
2018/2/8, 55, , 
2018/2/9, 38, , 5
2018/2/10, 42, , 1
2018/2/11, 46, , 1
2018/2/12, 38, , 2
2018/2/13, 46, , 3
2018/2/14, 69, , 1
2018/2/15, 47, , 1
2018/2/16, 17, , 1
2018/2/17, 21, , 
2018/2/18, 40, , 
2018/2/19, 39, , 
2018/2/20, 21, , 
2018/2/21, 15, , 
2018/2/22, 26, , 
2018/2/23, 26, , 
2018/2/24, 21, , 2
2018/2/25, 26, , 3
2018/2/26, 27, , 1
2018/2/27, 36, , 
2018/2/28, 33, , 
2018/3/1, 24, , 2
2018/3/2, 30, , 
2018/3/3, 21, , 
2018/3/4, 17, , 
2018/3/5, 14, , 
2018/3/6, 18, , 1
2018/3/7, 13, , 
2018/3/8, 9, , 
2018/3/9, 13, , 
2018/3/10, 17, , 1
2018/3/11, 27, , 2
2018/3/12, 28, , 1
2018/3/13, 21, , 2
2018/3/14, 25, , 
2018/3/15, 23, , 1
2018/3/16, 19, , 1
2018/3/17, 26, , 1
2018/3/18, 26, , 
2018/3/19, 10, , 
2018/3/20, 13, , 
2018/3/21, 16, , 7
2018/3/22, 18, , 
2018/3/23, 22, , 
2018/3/24, 12, , 
2018/3/25, 12, , 
2018/3/26, 69, , 
2018/3/27, 29, , 1
2018/3/28, 46, , 
2018/3/29, 31, , 1
2018/3/30, 25, , 1
2018/3/31, 21, , 
2017/10/1, 14, , 
2017/10/2, 23, , 
2017/10/3, 30, , 
2017/10/4, 11, , 
2017/10/5, 15, , 1
2017/10/6, 13, , 
2017/10/7, 34, , 2
2017/10/8, 18, , 
2017/10/9, 25, , 
2017/10/10, 7, , 
2017/10/11, 13, , 
2017/10/12, 13, , 1
2017/10/13, 31, , 
2017/10/14, 15, , 
2017/10/15, 8, , 2
2017/10/16, 19, , 
2017/10/17, 17, , 2
2017/10/18, 19, , 2
2017/10/19, 18, , 1
2017/10/20, 42, , 1
2017/10/21, 46, , 1
2017/10/22, 22, , 2
2017/10/23, 23, , 
2017/10/27, 13, , 1
2017/10/28, 9, , 2
2017/10/29, 16, , 1
2017/10/30, 19, , 3
2017/10/31, 12, , 1
2017/11/1, 25, , 1
2017/11/2, 38, , 1
2017/11/3, 17, , 
2017/11/4, 17, , 1
2017/11/5, 20, , 1
2017/11/6, 18, , 2
2017/11/7, 26, , 2
2017/11/8, 47, , 1
2017/11/9, 26, , 2
2017/11/10, 13, , 
2017/11/11, 33, , 6
