date, pm25, pm10, o3, so2
2020/1/2, 39, 21, 13, 
2020/1/3, 38, 7, 15, 
2020/1/4, 22, 10, 13, 
2020/1/5, 20, 13, 21, 
2020/1/6, 26, 12, 17, 
2020/1/7, 22, 12, 16, 
2020/1/8, 30, 17, 18, 
2020/1/9, 40, 24, 17, 
2020/1/10, 45, 29, 16, 
2020/1/11, 46, 14, 14, 
2020/1/12, 30, 16, 10, 
2020/1/13, 32, 14, 13, 
2020/1/14, 25, 15, 11, 
2020/1/15, 23, , , 
2019/10/1, 39, 16, 15, 
2019/10/2, 33, 17, 19, 
2019/10/3, 37, 15, 18, 1
2019/10/4, 30, 12, 18, 
2019/10/5, 36, 14, 15, 
2019/10/6, 34, 17, 14, 
2019/10/7, 28, 18, 16, 
2019/10/8, 37, 17, 16, 
2019/10/9, 40, 11, 15, 
2019/10/10, 22, 13, 15, 
2019/10/11, 29, 11, 15, 
2019/10/12, 29, 12, 13, 
2019/10/13, 29, 12, 12, 
2019/10/14, 29, 10, 12, 
2019/10/15, 23, 7, 10, 
2019/10/16, 25, 11, 14, 
2019/10/17, 29, 9, 12, 
2019/10/18, 31, 6, 11, 
2019/10/19, 25, 13, 14, 
2019/10/20, 35, 12, 14, 1
2019/10/21, 25, 14, 15, 
2019/10/22, 21, 11, 15, 
2019/10/23, 23, 17, 14, 
2019/10/24, 53, 19, 12, 
2019/10/25, 44, 19, 14, 
2019/10/26, 32, 10, 14, 
2019/10/27, 31, 11, 15, 
2019/10/28, 26, 9, 9, 
2019/10/29, 17, 13, 10, 
2019/10/30, 24, 11, 9, 
2019/10/31, 18, 7, 12, 
2019/11/1, 18, 8, 14, 
2019/11/2, 27, 8, 15, 
2019/11/3, 32, 16, 12, 
2019/11/4, 43, 20, 12, 1
2019/11/5, 56, 17, 15, 
2019/11/6, 52, 17, 12, 
2019/11/7, 39, 6, 10, 
2019/11/8, 23, 10, 13, 
2019/11/9, 34, 10, 16, 
2019/11/10, 36, 15, 16, 
2019/11/11, 33, 6, 15, 
2019/11/12, 17, 7, 12, 
2019/11/13, 24, 9, 11, 
2019/11/14, 33, 7, 15, 
2019/11/15, 36, 15, 15, 1
2019/11/16, 40, 11, 16, 
2019/11/17, 41, 14, 18, 1
2019/11/18, 47, 22, 20, 
2019/11/19, 55, 19, 16, 
2019/11/20, 39, 19, 18, 
2019/11/21, 46, 14, 19, 
2019/11/22, 35, 13, 18, 
2019/11/23, 28, 8, 12, 
2019/11/24, 21, 11, 14, 
2019/11/25, 33, 15, 15, 
2019/11/26, 30, 21, 13, 
2019/11/27, 42, 10, 13, 3
2019/11/28, 25, 16, 13, 
2019/11/29, 32, 16, 17, 
2019/11/30, 28, 14, 15, 
2019/12/1, 24, 13, 12, 
2019/12/2, 16, 10, 12, 
2019/12/3, 26, 23, 18, 1
2019/12/4, 57, 17, 16, 
2019/12/5, 46, 14, 15, 
2019/12/6, 36, 12, 12, 
2019/12/7, 41, 17, 16, 
2019/12/8, 43, 19, 17, 
2019/12/9, 37, 12, 14, 
