date, no2, so2
2020/1/2, 14, 1
2020/1/3, 12, 
2020/1/5, 1, 
2020/1/6, 1, 1
2020/1/7, 14, 1
2020/1/8, 7, 1
2020/1/9, 13, 1
2020/1/10, 14, 2
2020/1/11, 8, 2
2020/1/12, 5, 2
2020/1/13, 13, 2
2020/1/14, 17, 2
2020/1/15, 11, 1
2020/1/16, 7, 
2019/10/1, 11, 2
2019/10/2, 9, 2
2019/10/3, 3, 2
2019/10/4, 2, 3
2019/10/5, 12, 2
2019/10/6, 4, 2
2019/10/7, 7, 2
2019/10/8, 4, 2
2019/10/9, 10, 3
2019/10/10, 8, 3
2019/10/11, 7, 
2019/10/14, 13, 3
2019/10/15, 14, 3
2019/10/16, 7, 3
2019/10/17, 12, 3
2019/10/18, 13, 3
2019/10/19, 12, 3
2019/10/20, 8, 3
2019/10/21, 11, 3
2019/10/22, 17, 3
2019/10/23, 18, 3
2019/10/24, 19, 3
2019/10/25, 18, 3
2019/10/26, 17, 3
2019/10/27, 13, 3
2019/10/28, 17, 3
2019/10/29, 14, 
2019/10/30, 12, 
2019/10/31, 5, 
2019/11/1, 6, 
2019/11/2, 6, 
2019/11/3, 5, 
2019/11/4, 6, 
2019/11/5, 8, 
2019/11/6, 7, 
2019/11/7, 2, 7
2019/11/13, 12, 1
2019/11/14, 7, 1
2019/11/15, 4, 1
2019/11/16, 7, 1
2019/11/17, 6, 1
2019/11/18, 6, 1
2019/11/19, 8, 1
2019/11/20, 7, 1
2019/11/21, 9, 1
2019/11/22, 8, 2
2019/11/23, 6, 2
2019/11/24, 8, 2
2019/11/25, 6, 2
2019/11/26, 13, 2
2019/11/27, 12, 2
2019/11/28, 9, 2
2019/11/29, 12, 2
2019/11/30, 3, 2
2019/12/1, 7, 2
2019/12/2, 7, 2
2019/12/3, 1, 2
2019/12/4, 8, 2
2019/12/5, 14, 2
2019/12/6, 15, 3
2019/12/7, 15, 3
2019/12/8, 14, 3
2019/12/9, 8, 3
2019/12/10, 1, 2
2019/12/11, 6, 2
2019/12/12, 8, 3
2019/12/13, 9, 3
2019/12/14, 4, 3
2019/12/15, 9, 4
2019/12/16, 6, 3
2019/12/17, 9, 
2019/12/24, 9, 1
2019/12/25, 6, 1
2019/12/26, 1, 1
2019/12/27, 6, 
2019/12/28, 1, 
2019/7/1, 16, 3
2019/7/2, 18, 3
2019/7/3, 7, 3
2019/7/4, 5, 3
2019/7/5, 11, 3
2019/7/6, 11, 3
2019/7/7, 10, 3
2019/7/8, 9, 3
2019/7/9, 7, 3
2019/7/10, 5, 3
2019/7/11, 2, 3
2019/7/12, 8, 3
2019/7/13, 9, 3
2019/7/14, 1, 3
2019/7/15, 2, 3
2019/7/16, 2, 3
2019/7/17, 5, 3
2019/7/18, 11, 3
2019/7/19, 12, 3
2019/7/20, 12, 3
2019/7/21, 12, 3
2019/7/22, 14, 3
2019/7/23, 2, 3
2019/7/24, 4, 3
2019/7/25, 5, 3
2019/7/26, 11, 3
2019/7/27, 9, 3
2019/7/28, 3, 3
2019/7/29, 8, 3
2019/7/30, 8, 3
2019/7/31, 9, 3
2019/8/1, 9, 4
2019/8/2, 10, 4
2019/8/3, 6, 3
2019/8/4, 3, 3
2019/8/5, 4, 3
2019/8/6, 12, 3
2019/8/7, 12, 3
2019/8/8, 14, 3
2019/8/9, 13, 4
2019/8/10, 16, 4
2019/8/11, 15, 4
2019/8/12, 20, 4
2019/8/13, 22, 3
2019/8/14, 6, 3
2019/8/15, 2, 2
2019/8/16, 3, 
2019/8/20, 13, 2
2019/8/21, 13, 2
2019/8/22, 6, 2
2019/8/23, 12, 2
2019/8/24, 6, 2
2019/8/25, 8, 2
2019/8/26, 13, 2
2019/8/27, 13, 2
2019/8/28, 13, 2
2019/8/29, 15, 2
2019/8/30, 12, 2
2019/8/31, 6, 2
2019/9/1, 12, 2
2019/9/2, 8, 2
2019/9/3, 2, 2
2019/9/4, 4, 2
2019/9/5, 11, 2
2019/9/6, 12, 2
2019/9/7, 6, 
2019/9/9, 9, 2
2019/9/10, 8, 2
2019/9/11, 12, 2
2019/9/12, 8, 2
2019/9/13, 3, 2
2019/9/14, 1, 2
2019/9/15, 6, 2
2019/9/16, 14, 2
2019/9/17, 10, 2
2019/9/18, 10, 2
2019/9/19, 3, 2
2019/9/20, 2, 2
2019/9/21, 7, 2
2019/9/22, 11, 2
2019/9/23, 7, 2
2019/9/24, 6, 2
2019/9/25, 9, 2
2019/9/26, 7, 2
2019/9/27, 10, 2
2019/9/28, 11, 2
2019/9/29, 10, 2
2019/9/30, 13, 2
2019/4/1, 15, 4
2019/4/2, 14, 2
2019/4/3, 7, 2
2019/4/4, 2, 2
2019/4/5, 5, 2
2019/4/6, 12, 2
2019/4/7, 14, 2
2019/4/8, 7, 2
2019/4/9, 13, 2
2019/4/10, 10, 2
2019/4/11, 11, 2
2019/4/12, 6, 2
2019/4/13, 4, 2
2019/4/14, 2, 2
2019/4/15, 2, 2
2019/4/16, 7, 2
2019/4/17, 8, 3
2019/4/18, 2, 5
2019/4/19, 3, 2
2019/4/20, 3, 5
2019/4/21, 7, 2
2019/4/22, 3, 2
2019/4/23, 5, 2
2019/4/24, 5, 2
2019/4/25, 11, 2
2019/4/26, 10, 
2019/4/29, 5, 2
2019/4/30, 7, 2
2019/5/1, 9, 2
2019/5/2, 10, 2
2019/5/3, 8, 2
2019/5/4, 4, 2
2019/5/5, 3, 2
2019/5/6, 2, 2
2019/5/7, 2, 2
2019/5/8, 9, 2
2019/5/9, 8, 2
2019/5/10, 11, 2
2019/5/11, 10, 2
2019/5/12, 5, 2
2019/5/13, 4, 2
2019/5/14, 1, 2
2019/5/15, 5, 2
2019/5/16, 5, 2
2019/5/17, 8, 2
2019/5/18, 6, 3
2019/5/19, 4, 3
2019/5/20, 6, 3
2019/5/21, 5, 3
2019/5/22, 8, 2
2019/5/23, 8, 2
2019/5/24, 7, 2
2019/5/25, 7, 2
2019/5/26, 7, 2
2019/5/27, 8, 2
2019/5/28, 6, 3
2019/5/29, 6, 3
2019/5/30, 4, 2
2019/5/31, 2, 3
2019/6/1, 5, 3
2019/6/2, 8, 3
2019/6/3, 9, 3
2019/6/4, 7, 3
2019/6/5, 6, 2
2019/6/6, 5, 2
2019/6/7, 8, 3
2019/6/8, 10, 3
2019/6/9, 16, 3
2019/6/10, 13, 3
2019/6/11, 9, 3
2019/6/12, 10, 3
2019/6/13, 8, 3
2019/6/14, 16, 3
2019/6/15, 16, 3
2019/6/16, 13, 3
2019/6/17, 4, 3
2019/6/18, 8, 3
2019/6/19, 9, 3
2019/6/20, 8, 3
2019/6/21, 12, 3
2019/6/22, 12, 3
2019/6/23, 7, 3
2019/6/24, 3, 3
2019/6/25, 1, 3
2019/6/26, 3, 3
2019/6/27, 5, 3
2019/6/28, 4, 3
2019/6/29, 2, 3
2019/6/30, 7, 3
2019/1/1, 5, 
2019/1/2, 10, 
2019/1/3, 1, 
2019/1/4, 1, 
2019/1/5, 3, 
2019/1/6, 2, 
2019/1/7, 1, 
2019/1/8, 17, 1
2019/1/9, 3, 1
2019/1/10, 1, 1
2019/1/11, 2, 
2019/1/14, 8, 1
2019/1/15, 4, 1
2019/1/16, 14, 1
2019/1/17, 11, 1
2019/1/18, 5, 1
2019/1/19, 6, 1
2019/1/20, 9, 1
2019/1/21, 9, 1
2019/1/22, 6, 1
2019/1/23, 9, 1
2019/1/24, 6, 1
2019/1/25, 1, 1
2019/1/26, 4, 1
2019/1/27, 7, 1
2019/1/28, 6, 1
2019/1/29, 11, 1
2019/1/30, 11, 1
2019/1/31, 9, 1
2019/2/1, 4, 2
2019/2/2, 1, 2
2019/2/3, 3, 2
2019/2/4, 2, 3
2019/2/5, 2, 2
2019/2/6, 1, 2
2019/2/7, 8, 5
2019/2/8, 11, 7
2019/2/9, 13, 7
2019/2/10, 8, 7
2019/2/11, 3, 4
2019/2/12, 2, 1
2019/2/13, 3, 1
2019/2/14, 3, 1
2019/2/15, 3, 1
2019/2/16, 9, 1
2019/2/17, 12, 4
2019/2/18, 14, 7
2019/2/19, 14, 7
2019/2/20, 16, 4
2019/2/21, 19, 1
2019/2/22, 13, 
2019/2/23, 1, 4
2019/2/24, 1, 1
2019/2/25, 5, 1
2019/2/26, 7, 1
2019/2/27, 4, 1
2019/2/28, 12, 1
2019/3/1, 11, 1
2019/3/2, 10, 1
2019/3/3, 9, 1
2019/3/4, 11, 1
2019/3/5, 10, 1
2019/3/6, 10, 1
2019/3/7, 3, 1
2019/3/8, 4, 1
2019/3/9, 7, 1
2019/3/10, 7, 1
2019/3/11, 7, 1
2019/3/12, 1, 1
2019/3/13, 8, 1
2019/3/14, 5, 1
2019/3/15, 10, 
2019/3/19, 2, 2
2019/3/20, 1, 5
2019/3/21, 2, 4
2019/3/22, 10, 6
2019/3/23, 5, 5
2019/3/24, 6, 3
2019/3/25, 10, 1
2019/3/26, 1, 1
2019/3/27, 1, 4
2019/3/28, 2, 3
2019/3/29, 3, 3
2019/3/30, 10, 2
2019/3/31, 13, 4
2018/10/1, 11, 
2018/10/3, 12, 
2018/10/11, 13, 1
2018/10/12, 19, 1
2018/10/13, 13, 
2018/10/15, 22, 1
2018/10/16, 15, 1
2018/10/17, 17, 1
2018/10/18, 18, 
2018/10/21, 1, 1
2018/10/22, 2, 1
2018/10/23, 4, 1
2018/10/24, 12, 1
2018/10/25, 5, 1
2018/10/26, 10, 1
2018/10/27, 5, 2
2018/10/28, 5, 6
2018/10/29, 4, 6
2018/10/30, 7, 6
2018/10/31, 9, 6
2018/11/1, 4, 6
2018/11/2, 6, 6
2018/11/3, 13, 6
2018/11/4, 10, 6
2018/11/5, 5, 
2018/11/12, 13, 
2018/11/13, 14, 
2018/11/14, 3, 
2018/11/15, 2, 
2018/11/16, 2, 
2018/11/17, 2, 
2018/11/18, 2, 
2018/11/19, 6, 6
2018/11/20, 7, 6
2018/11/21, 10, 6
2018/11/22, 12, 4
2018/11/23, 16, 1
2018/11/24, 5, 2
2018/11/25, 4, 2
2018/11/26, 13, 1
2018/11/27, 3, 1
2018/11/28, 2, 1
2018/11/29, 3, 1
2018/11/30, 18, 1
2018/12/1, 20, 2
2018/12/2, 16, 2
2018/12/3, 18, 2
2018/12/4, 11, 1
2018/12/5, 5, 1
2018/12/6, 21, 2
2018/12/7, 20, 2
2018/12/8, 6, 2
2018/12/9, 5, 2
2018/12/10, 13, 1
2018/12/11, 10, 5
2018/12/12, 12, 6
2018/12/13, 7, 6
2018/12/14, 6, 6
2018/12/15, 2, 6
2018/12/16, 5, 6
2018/12/17, 9, 3
2018/12/18, 2, 
2018/12/19, 8, 1
2018/12/20, 8, 1
