date, pm25, pm10, so2
2019/2/20, 156, 68, 4
2019/2/21, 157, , 
2019/2/24, 42, 19, 4
2019/2/25, 53, 38, 6
2019/2/26, 78, 56, 6
2019/2/27, 117, 31, 2
2019/2/28, 74, , 
2019/3/3, 63, 50, 5
2019/3/4, 91, 50, 2
2019/3/5, 119, 22, 2
2019/3/6, 46, 26, 5
2019/3/7, 53, , 
2019/3/10, 42, 11, 1
2019/3/11, 30, 11, 3
2019/3/12, 25, 13, 2
2019/3/13, 30, 13, 2
2019/3/14, 38, , 
2019/3/17, 42, 11, 2
2019/3/18, 25, 5, 1
2019/3/19, 17, 10, 
2019/3/20, 30, 12, 1
2019/3/21, 38, , 
2019/3/24, 55, 27, 5
2019/3/25, 59, 4, 1
2019/3/26, 13, 7, 1
2019/3/27, 21, 8, 
2019/3/28, 25, , 
2019/3/31, 70, 19, 2
2018/10/1, 38, 4, 
2018/10/2, 17, 12, 3
2018/10/3, 34, 12, 1
2018/10/4, 38, , 
2018/10/7, 42, 15, 
2018/10/8, 50, 36, 
2018/10/9, 93, 31, 1
2018/10/10, 82, 33, 3
2018/10/11, 82, , 
2018/10/13, 89, 35, 2
2018/10/14, 87, 32, 1
2018/10/15, 82, , 1
2018/10/17, 63, 45, 3
2018/10/18, 107, , 
2018/10/21, 55, 12, 1
2018/10/22, 42, 17, 2
2018/10/23, 50, 40, 2
2018/10/24, 85, 12, 1
2018/10/25, 34, , 
2018/10/28, 30, 23, 1
2018/10/29, 38, 20, 3
2018/10/30, 38, 13, 1
2018/10/31, 25, , 
2018/11/4, 65, 19, 
2018/11/5, 53, 20, 2
2018/11/6, 46, 19, 1
2018/11/7, 50, 19, 1
2018/11/8, 46, , 
2018/11/11, 46, 27, 3
2018/11/12, 61, 41, 2
2018/11/13, 85, 12, 1
2018/11/14, 38, 10, 
2018/11/15, 34, , 
2018/11/18, 59, 11, 1
2018/11/19, 42, 7, 2
2018/11/20, 21, 10, 1
2018/11/21, 30, 10, 1
2018/11/22, 38, , 
2018/11/24, 46, 9, 1
2018/11/25, 25, , 1
2018/11/27, 21, , 
2018/12/4, 109, 12, 1
2018/12/5, 34, , 
2018/12/9, 46, 16, 2
2018/12/10, 50, 12, 2
2018/12/11, 38, 15, 3
2018/12/12, 42, , 
2018/12/15, 53, , 2
2018/12/17, 59, 11, 1
2018/12/18, 38, 12, 2
2018/12/19, 38, 18, 2
2018/12/20, 57, , 
2018/12/26, 72, 29, 7
2018/12/27, 74, , 
2018/7/1, 30, 17, 1
2018/7/2, 46, 22, 1
2018/7/3, 57, 20, 1
2018/7/4, 53, 22, 
2018/7/5, 53, , 
2018/7/7, 38, 13, 3
2018/7/8, 42, 17, 2
2018/7/9, 42, 21, 4
2018/7/10, 55, 12, 
2018/7/11, 38, 14, 
2018/7/12, 34, , 
2018/7/15, 46, 13, 1
2018/7/16, 38, 17, 3
2018/7/17, 46, 22, 
2018/7/18, 55, 21, 
2018/7/19, 55, , 
2018/7/22, 46, 18, 
2018/7/23, 46, 20, 
2018/7/24, 57, 25, 
2018/7/25, 61, 11, 
2018/7/26, 30, , 
2018/7/29, 59, 20, 1
2018/7/30, 57, 24, 3
2018/7/31, 61, 28, 6
2018/8/1, 63, 18, 2
2018/8/2, 53, , 
2018/8/5, 57, 23, 6
2018/8/6, 63, 25, 
2018/8/7, 65, 24, 2
2018/8/8, 65, 30, 
2018/8/9, 70, 22, 
2018/8/10, 57, , 
2018/8/13, 55, 10, 
2018/8/14, 30, , 1
2018/8/19, 59, 22, 4
2018/8/20, 59, 24, 4
2018/8/21, 63, 25, 2
2018/8/22, 63, 26, 5
2018/8/23, 70, , 
2018/8/26, 13, 9, 
2018/8/27, 25, 17, 3
2018/8/28, 46, 17, 2
2018/8/29, 46, 21, 2
2018/8/30, 55, , 
2018/9/2, 21, 10, 1
2018/9/3, 30, 14, 1
2018/9/4, 34, 19, 2
2018/9/5, 50, 19, 1
2018/9/6, 53, , 
2018/9/9, 50, 20, 1
2018/9/10, 55, 20, 1
2018/9/11, 55, 29, 2
2018/9/12, 63, 24, 1
2018/9/13, 59, , 
2018/9/15, 63, , 
2018/9/22, 53, 20, 
2018/9/23, 53, 18, 
2018/9/24, 34, , 
2018/9/26, 17, 16, 3
2018/9/27, 38, , 
2018/9/30, 25, 13, 1
2018/4/2, 38, 21, 6
2018/4/3, 42, , 4
2018/4/5, 34, , 5
2018/4/10, 53, 20, 3
2018/4/11, 42, , 2
2018/4/15, 61, 56, 4
2018/4/16, 82, 14, 4
2018/4/17, 38, , 3
2018/4/19, 50, , 
2018/4/22, 46, , 
2018/4/25, 57, , 
2018/4/30, 61, 16, 7
2018/5/1, 34, 29, 10
2018/5/2, 53, 19, 8
2018/5/3, 46, , 
2018/5/5, 53, 19, 7
2018/5/6, 53, 18, 8
2018/5/7, 50, , 12
2018/5/9, 42, 21, 10
2018/5/10, 55, , 
2018/5/12, 59, , 
2018/5/14, 34, 10, 9
2018/5/15, 21, 11, 4
2018/5/16, 25, 11, 
2018/5/17, 30, , 
2018/5/20, 46, , 1
2018/5/22, 46, 20, 1
2018/5/23, 50, 25, 3
2018/5/24, 59, 19, 3
2018/5/25, 55, , 
2018/5/27, 55, 30, 6
2018/5/28, 74, 30, 5
2018/5/29, 76, 27, 9
2018/5/30, 63, 30, 8
2018/5/31, 61, , 
2018/6/3, 55, 22, 8
2018/6/4, 50, 22, 4
2018/6/5, 50, 20, 5
2018/6/6, 50, 19, 4
2018/6/7, 46, , 
2018/6/10, 57, 25, 7
2018/6/11, 61, 26, 6
2018/6/12, 53, 16, 5
2018/6/13, 42, 7, 4
2018/6/14, 17, , 
2018/6/17, 50, 21, 8
2018/6/18, 53, 13, 6
2018/6/19, 34, 15, 
2018/6/20, 42, 20, 
2018/6/21, 53, , 
2018/6/24, 38, 6, 
2018/6/25, 17, 8, 
2018/6/26, 25, 7, 1
2018/6/27, 25, 16, 8
2018/6/28, 38, , 
2018/1/7, 55, 22, 3
2018/1/8, 53, 20, 2
2018/1/9, 38, 19, 
2018/1/10, 42, 11, 1
2018/1/11, 30, , 
2018/1/14, 42, 19, 3
2018/1/15, 57, 25, 3
2018/1/16, 74, 45, 3
2018/1/17, 104, 30, 5
2018/1/18, 57, , 
