date, pm25, pm10, so2
2020/1/2, 38, 26, 
2020/1/3, 41, 25, 6
2020/1/4, 36, 24, 
2020/1/5, 36, 32, 6
2020/1/6, 38, 24, 
2020/1/7, 32, 28, 
2020/1/8, 37, 27, 
2020/1/9, 38, 27, 
2020/1/10, 33, 29, 
2020/1/11, 36, 23, 
2020/1/12, 34, 28, 
2020/1/13, 38, 33, 1
2020/1/14, 37, 27, 
2020/1/15, 33, , 
2019/10/1, 33, 32, 
2019/10/2, 37, 31, 
2019/10/3, 40, 32, 7
2019/10/4, 47, 35, 
2019/10/5, 47, 33, 
2019/10/6, 51, 41, 
2019/10/7, 55, 43, 
2019/10/8, 67, 41, 
2019/10/9, 67, 33, 
2019/10/10, 58, 30, 6
2019/10/11, 47, 28, 
2019/10/12, 50, 28, 
2019/10/13, 44, 24, 
2019/10/14, 37, 34, 
2019/10/15, 39, 29, 
2019/10/16, 34, 32, 
2019/10/17, 42, 30, 5
2019/10/18, 40, 25, 
2019/10/19, 37, 31, 
2019/10/20, 44, 37, 
2019/10/21, 62, 29, 
2019/10/22, 47, 38, 46
2019/10/23, 63, 33, 12
2019/10/24, 64, 29, 
2019/10/25, 53, 25, 
2019/10/26, 45, 20, 
2019/10/27, 43, 26, 
2019/10/28, 31, 31, 9
2019/10/29, 58, 31, 
2019/10/30, 41, 36, 
2019/10/31, 43, 32, 
2019/11/1, 42, 28, 
2019/11/2, 42, 28, 
2019/11/3, 44, 27, 
2019/11/4, 35, 27, 
2019/11/5, 41, 26, 6
2019/11/6, 34, 24, 
2019/11/7, 38, 17, 
2019/11/8, 27, 19, 
2019/11/9, 32, 21, 
2019/11/10, 27, 25, 8
2019/11/11, 40, 20, 
2019/11/12, 42, 22, 
2019/11/13, 44, 21, 
2019/11/14, 42, 24, 
2019/11/15, 34, 25, 
2019/11/16, 33, 20, 
2019/11/17, 32, 23, 5
2019/11/18, 34, 34, 
2019/11/19, 46, 32, 
2019/11/20, 51, 28, 
2019/11/21, 44, 42, 
2019/11/22, 62, 27, 
2019/11/23, 46, 20, 
2019/11/24, 36, 26, 
2019/11/25, 36, 38, 
2019/11/26, 44, 46, 
2019/11/27, 60, 40, 4
2019/11/28, 59, 38, 
2019/11/29, 56, 38, 
2019/11/30, 57, 33, 
2019/12/1, 54, 31, 
2019/12/2, 51, 28, 4
2019/12/3, 51, 30, 
2019/12/4, 54, 29, 
