date, pm25, o3, no2, co
2020/1/2, 15, 22, 25, 3
2020/1/3, 21, 18, 26, 4
2020/1/4, 31, 12, 28, 4
2020/1/5, 36, 26, 25, 4
2020/1/6, 22, 17, 25, 3
2020/1/7, 23, 21, 23, 3
2020/1/8, 24, 27, 18, 1
2020/1/9, 28, 30, 13, 1
2020/1/10, 12, 26, 19, 1
2020/1/11, 19, 29, 15, 1
2020/1/12, 19, 30, 15, 1
2020/1/13, 11, 32, 13, 1
2020/1/14, 12, 21, 33, 3
2020/1/15, 21, , 42, 9
2020/1/16, 51, , , 
2019/10/1, 21, 31, 11, 1
2019/10/2, 17, 32, 20, 2
2019/10/3, 24, 33, 12, 1
2019/10/4, 21, 31, 9, 1
2019/10/5, 15, 33, 11, 1
2019/10/6, 18, 35, 19, 2
2019/10/7, 38, 29, 22, 3
2019/10/8, 28, 32, 7, 
2019/10/9, 16, 24, 8, 
2019/10/10, 10, 28, 15, 1
2019/10/11, 20, 32, 23, 2
2019/10/12, 27, 36, 23, 2
2019/10/13, 30, 34, 25, 3
2019/10/14, 27, 34, 23, 3
2019/10/15, 30, 34, 26, 3
2019/10/16, 32, 36, 14, 1
2019/10/17, 34, 32, 11, 1
2019/10/18, 19, 30, 10, 1
2019/10/19, 12, 28, 8, 
2019/10/20, 11, 29, 15, 1
2019/10/21, 11, 26, 15, 2
2019/10/22, 13, 32, 15, 2
2019/10/23, 13, 30, 17, 2
2019/10/24, 14, 27, 22, 3
2019/10/25, 23, 32, 15, 2
2019/10/26, 24, 25, 5, 
2019/10/27, 13, 31, 10, 1
2019/10/28, 11, 26, 6, 
2019/10/29, 11, 24, 14, 1
2019/10/30, 12, 19, 27, 4
2019/10/31, 29, 18, 30, 5
2019/11/1, 45, 22, 29, 4
2019/11/2, 45, 26, 31, 4
2019/11/3, 64, 22, 31, 4
2019/11/4, 54, 24, 26, 3
2019/11/5, 45, 20, 28, 4
2019/11/6, 36, 12, 29, 5
2019/11/7, 53, 17, 34, 5
2019/11/8, 43, 21, 30, 4
2019/11/9, 43, 23, 27, 3
2019/11/10, 45, 28, 21, 3
2019/11/11, 22, 22, 29, 4
2019/11/12, 28, 23, 27, 4
2019/11/13, 35, 16, 29, 4
2019/11/14, 33, 16, 32, 6
2019/11/15, 54, 29, 21, 3
2019/11/16, 35, 30, 24, 2
2019/11/17, 25, 19, 31, 5
2019/11/18, 30, 11, 31, 5
2019/11/19, 46, 16, 20, 2
2019/11/20, 44, 21, 2, 
2019/11/21, 6, 13, 20, 2
2019/11/22, 29, 23, 16, 2
2019/11/23, 21, 18, 22, 3
2019/11/24, 44, 26, 18, 2
2019/11/25, 28, 22, 19, 2
2019/11/26, 18, 29, 14, 1
2019/11/27, 18, 33, 19, 1
2019/11/28, 27, 30, 16, 1
2019/11/29, 15, 28, 17, 1
2019/11/30, 20, 24, 27, 2
2019/12/1, 32, 14, 34, 3
2019/12/2, 81, 18, 33, 3
2019/12/3, 103, 12, 35, 6
2019/12/4, 122, 2, 36, 4
2019/12/5, 102, 7, 28, 4
2019/12/6, 74, 7, 21, 3
2019/12/7, 37, 17, 21, 3
2019/12/8, 29, 22, 19, 2
2019/12/9, 25, 17, 24, 4
2019/12/10, 33, 5, 31, 5
2019/12/11, 43, 11, 26, 2
2019/12/12, 30, 28, 15, 2
2019/12/13, 11, 25, 16, 1
2019/12/14, 12, 28, 13, 1
2019/12/15, 16, 27, 11, 1
2019/12/16, 13, 22, 23, 3
2019/12/17, 29, 9, 35, 5
2019/12/18, 51, 7, 38, 6
2019/12/19, 82, 12, 33, 7
2019/12/20, 64, 4, 36, 9
2019/12/21, 80, 27, 17, 1
2019/12/22, 13, 26, 18, 1
2019/12/23, 16, 26, 10, 1
2019/12/24, 13, 19, 13, 
2019/12/25, 24, 21, 16, 1
2019/12/26, 28, 24, 14, 1
2019/12/27, 27, 23, 16, 1
2019/12/28, 11, , , 
2019/7/1, 19, 42, 7, 1
2019/7/2, 15, 61, 7, 
2019/7/3, 29, 42, 4, 
2019/7/4, 41, 55, 6, 
2019/7/5, 49, 55, 5, 
2019/7/6, 30, 38, 4, 
2019/7/7, 20, 41, 6, 
2019/7/8, 32, 49, 9, 1
2019/7/9, 36, 42, 6, 
2019/7/10, 29, 37, 7, 1
2019/7/11, 23, 43, 6, 
2019/7/12, 23, 39, 5, 
2019/7/13, 19, 41, 5, 
2019/7/14, 18, 44, 5, 
2019/7/15, 19, 47, 6, 
2019/7/16, 27, 59, 7, 
2019/7/17, 36, 46, 5, 
2019/7/18, 22, 47, 5, 
2019/7/19, 22, 59, 8, 
2019/7/20, 27, 57, 5, 
2019/7/21, 29, 70, 4, 
2019/7/22, 24, 50, 7, 
2019/7/23, 29, 47, 6, 
2019/7/24, 33, 58, 6, 
2019/7/25, 33, 47, 8, 1
2019/7/26, 27, 46, 4, 
2019/7/27, 14, 49, 5, 
2019/7/28, 25, 42, 8, 
2019/7/29, 20, 46, 6, 
2019/7/30, 16, 35, 7, 
2019/7/31, 22, 56, 6, 
2019/8/1, 19, 62, 6, 
2019/8/2, 27, 50, 5, 
2019/8/3, 19, 50, 4, 
2019/8/4, 15, 64, 4, 
2019/8/5, 16, 59, 7, 1
2019/8/6, 24, 41, 9, 
2019/8/7, 21, 40, 7, 
2019/8/8, 35, 47, 7, 
2019/8/9, 19, 40, 7, 
2019/8/10, 22, 44, 7, 
2019/8/11, 20, 47, 7, 
2019/8/12, 24, 64, 8, 
2019/8/13, 23, 51, 10, 1
2019/8/14, 25, 53, 10, 1
2019/8/15, 28, 37, 7, 
2019/8/16, 24, 39, 6, 
2019/8/17, 21, 55, 5, 
2019/8/18, 21, 38, 8, 1
2019/8/19, 17, 44, 9, 1
2019/8/20, 17, 65, 12, 1
2019/8/21, 24, 45, 10, 1
2019/8/22, 33, 41, 8, 
2019/8/23, 25, 45, 7, 
2019/8/24, 20, 38, 9, 1
2019/8/25, 27, 44, 7, 
2019/8/26, 22, 58, 11, 1
2019/8/27, 23, 65, 13, 1
2019/8/28, 29, 47, 10, 1
2019/8/29, 28, 51, 6, 
2019/8/30, 20, 58, 8, 1
2019/8/31, 31, 48, 5, 
2019/9/1, 24, 47, 7, 
2019/9/2, 20, 37, 9, 
2019/9/3, 23, 57, 10, 1
2019/9/4, 22, 52, 9, 1
2019/9/5, 30, 45, 7, 
2019/9/6, 21, 51, 7, 
2019/9/7, 24, 42, 6, 
2019/9/8, 29, 51, 7, 1
2019/9/9, 61, 38, 11, 1
2019/9/10, 37, 36, 9, 1
2019/9/11, 27, 40, 9, 1
2019/9/12, 23, 43, 12, 1
2019/9/13, 21, 47, 12, 1
2019/9/14, 21, 43, 12, 1
2019/9/15, 20, 40, 7, 1
2019/9/16, 19, 39, 4, 
2019/9/17, 26, 41, 11, 1
2019/9/18, 18, 37, 7, 1
2019/9/19, 20, 32, 7, 
2019/9/20, 14, 31, 6, 
2019/9/21, 15, 34, 7, 
2019/9/22, 12, 36, 11, 1
2019/9/23, 16, 35, 10, 1
2019/9/24, 21, 34, 11, 1
2019/9/25, 16, 38, 12, 1
2019/9/26, 18, 26, 9, 1
2019/9/27, 23, 31, 5, 
2019/9/28, 13, 33, 6, 
2019/9/29, 14, 34, 11, 1
2019/9/30, 18, 36, 13, 1
2019/4/1, 17, 38, 7, 2
2019/4/2, 11, 31, 13, 2
2019/4/3, 19, 37, 11, 2
2019/4/4, 10, 41, 9, 2
2019/4/5, 14, 38, 5, 1
2019/4/6, 11, 40, 7, 2
2019/4/7, 11, 35, 10, 3
2019/4/8, 35, 35, 8, 2
2019/4/9, 20, 33, 4, 1
2019/4/10, 7, 37, 5, 2
2019/4/11, 9, 36, 7, 2
2019/4/12, 12, 39, 7, 2
2019/4/13, 13, 39, 8, 2
2019/4/14, 9, 30, 12, 2
2019/4/15, 20, 34, 10, 2
2019/4/16, 15, 39, 10, 3
2019/4/17, 8, 44, 11, 3
2019/4/18, 13, 39, 13, 3
2019/4/19, 16, 40, 5, 2
2019/4/20, 14, 41, 7, 2
2019/4/21, 21, 40, 5, 2
2019/4/22, 12, 37, 9, 2
2019/4/23, 16, 33, 9, 2
2019/4/24, 14, 34, 8, 2
2019/4/25, 16, 37, 8, 2
2019/4/26, 14, 47, 8, 2
2019/4/27, 21, 59, 4, 2
2019/4/28, 19, 48, 5, 2
2019/4/29, 13, 38, 7, 2
2019/4/30, 18, 42, 8, 2
2019/5/1, 16, 46, 10, 2
2019/5/2, 11, 45, 9, 2
2019/5/3, 18, 47, 8, 2
2019/5/4, 18, 48, 6, 2
2019/5/5, 22, 46, 8, 2
2019/5/6, 39, 43, 7, 2
2019/5/7, 22, 35, 5, 1
2019/5/8, 16, 33, 1, 1
2019/5/9, 8, 45, 3, 1
2019/5/10, 12, 46, 8, 2
2019/5/11, 19, 46, 5, 2
2019/5/12, 18, 52, 10, 2
2019/5/13, 26, 46, 9, 2
2019/5/14, 26, 47, 7, 2
2019/5/15, 26, 44, 5, 1
2019/5/16, 22, 43, 4, 1
2019/5/17, 12, 34, 4, 1
2019/5/18, 9, 45, 4, 1
2019/5/19, 11, 44, 4, 1
2019/5/20, 9, 35, 8, 2
2019/5/21, 11, 28, 9, 2
2019/5/22, 12, 42, 4, 1
2019/5/23, 8, 37, 8, 2
2019/5/24, 10, 41, 5, 2
2019/5/25, 10, 49, 6, 2
2019/5/26, 16, 45, 2, 1
2019/5/27, 14, 40, 6, 1
2019/5/28, 11, 39, 6, 1
2019/5/29, 10, 46, 4, 1
2019/5/30, 12, 51, 7, 2
2019/5/31, 13, 56, 3, 1
