date, pm25, pm10, so2
2020/1/2, 24, 24, 1
2020/1/3, 43, 34, 1
2020/1/4, 51, 33, 1
2020/1/5, 50, 19, 1
2020/1/6, 36, 15, 1
2020/1/7, 27, 33, 1
2020/1/8, 49, 27, 2
2020/1/9, 49, 20, 3
2020/1/10, 38, 20, 2
2020/1/11, 36, 20, 1
2020/1/12, 34, 20, 2
2020/1/13, 40, 21, 2
2020/1/14, 38, 19, 1
2020/1/15, 32, 17, 1
2020/1/16, 36, , 
2019/10/1, 31, 22, 1
2019/10/2, 38, 40, 1
2019/10/3, 58, 43, 3
2019/10/4, 70, 33, 3
2019/10/5, 59, 46, 2
2019/10/6, 70, 48, 2
2019/10/7, 74, 21, 3
2019/10/8, 37, 26, 3
2019/10/9, 51, 13, 3
2019/10/10, 21, 19, 2
2019/10/11, 29, 34, 1
2019/10/12, 52, 28, 3
2019/10/13, 45, 20, 1
2019/10/14, 38, 39, 4
2019/10/15, 59, 30, 1
2019/10/16, 53, 46, 1
2019/10/17, 61, 42, 5
2019/10/18, 63, 39, 4
2019/10/19, 70, 39, 4
2019/10/20, 68, 26, 7
2019/10/21, 44, 17, 3
2019/10/22, 33, 32, 3
2019/10/23, 44, 35, 3
2019/10/24, 51, 39, 4
2019/10/25, 57, 40, 5
2019/10/26, 61, 28, 3
2019/10/27, 58, 25, 4
2019/10/28, 42, 20, 4
2019/10/29, 31, 20, 5
2019/10/30, 35, 19, 4
2019/10/31, 35, 18, 1
2019/11/1, 31, 40, 1
2019/11/2, 60, 33, 3
2019/11/3, 50, 18, 3
2019/11/4, 36, 29, 1
2019/11/5, 46, 41, 1
2019/11/6, 63, 33, 2
2019/11/7, 54, 20, 4
2019/11/8, 33, 15, 4
2019/11/9, 25, 21, 1
2019/11/10, 40, 14, 1
2019/11/11, 28, 29, 1
2019/11/12, 45, 32, 2
2019/11/13, 49, 25, 5
2019/11/14, 36, 23, 5
2019/11/15, 33, 29, 5
2019/11/16, 47, 26, 3
2019/11/17, 38, 20, 4
