date, pm10, no2, so2
2020/1/2, 16, 43, 5
2020/1/3, 30, 34, 4
2020/1/4, 42, 21, 3
2020/1/5, 25, 47, 4
2020/1/6, 11, 53, 4
2020/1/7, 29, 51, 5
2020/1/8, 45, 53, 5
2020/1/9, 46, 47, 4
2020/1/10, 40, 56, 5
2020/1/11, 43, 34, 4
2020/1/12, 36, 27, 3
2020/1/13, 22, 23, 3
2020/1/14, 14, 25, 3
2020/1/15, 12, , 
2019/10/4, 2, 19, 3
2019/10/5, 4, 22, 4
2019/10/6, 4, 16, 3
2019/10/7, 5, 18, 3
2019/10/8, 11, 28, 4
2019/10/9, 19, 33, 4
2019/10/10, 24, 28, 4
2019/10/11, 12, 24, 3
2019/10/12, 14, 26, 3
2019/10/13, 21, 30, 4
2019/10/14, 26, 32, 4
2019/10/15, 26, 38, 5
2019/10/16, 27, 36, 5
2019/10/17, 28, 37, 5
2019/10/18, 34, 38, 5
2019/10/19, 33, 32, 5
2019/10/20, 37, 29, 4
2019/10/21, 35, 33, 5
2019/10/22, 37, 35, 4
2019/10/23, 39, 36, 4
2019/10/24, 35, 35, 5
2019/10/25, 34, 34, 4
2019/10/26, 37, 32, 4
2019/10/27, 41, 30, 4
2019/10/28, 39, 35, 5
2019/11/1, 2, 26, 3
2019/11/2, 2, 17, 3
2019/11/19, 6, 27, 4
2019/11/20, 7, 37, 3
2019/11/21, 9, 39, 3
2019/11/22, 10, 36, 4
2019/11/23, 12, 34, 3
2019/11/24, 16, 36, 4
2019/11/25, 22, 44, 5
2019/11/26, 25, 38, 4
2019/11/27, 33, 46, 5
2019/11/28, 32, 38, 3
2019/11/29, 22, 39, 5
2019/11/30, 13, 25, 3
2019/12/1, 7, 30, 3
2019/12/2, 12, 36, 4
2019/12/3, 14, 38, 3
2019/12/4, 14, 41, 4
2019/12/5, 20, 46, 4
2019/12/6, 22, 43, 5
2019/12/7, 27, 38, 4
2019/12/8, 33, 38, 4
2019/12/9, 23, 36, 4
2019/12/10, 13, 44, 5
2019/12/11, 18, 37, 4
2019/12/12, 19, 42, 4
2019/12/13, 15, 43, 4
2019/12/14, 12, 40, 5
2019/12/15, 17, 45, 4
2019/12/16, 23, 51, 6
2019/12/17, 35, 52, 7
2019/12/18, 46, 54, 7
2019/12/19, 50, 57, 9
2019/12/20, 53, 49, 7
2019/12/21, 36, 36, 3
2019/12/22, 19, 39, 3
2019/12/23, 11, 31, 4
2019/12/24, 6, 18, 3
2019/12/25, 5, 17, 2
2019/12/26, 9, 21, 3
2019/12/27, 7, 17, 2
2019/12/28, 7, 13, 3
2019/9/20, 6, 19, 2
2019/9/21, 5, 20, 3
2019/9/22, 7, 25, 3
2019/9/23, 9, 29, 4
2019/9/24, 10, 33, 4
2019/9/25, 14, 31, 3
2019/9/26, 14, 26, 3
2019/9/27, 11, 22, 3
2019/9/28, 12, 22, 3
2019/9/29, 10, 17, 3
2019/9/30, 7, 25, 4
2019/4/1, 18, 30, 7
2019/4/2, 17, 34, 7
2019/4/3, 15, 36, 8
2019/4/4, 17, 25, 8
2019/4/5, 19, 22, 7
2019/4/6, 16, 22, 7
2019/4/7, 19, 30, 7
2019/4/8, 18, 28, 7
2019/4/9, 17, 30, 8
2019/4/10, 13, 26, 7
2019/4/11, 14, 25, 7
2019/4/12, 11, 19, 7
2019/4/13, 9, 17, 7
2019/4/14, 8, 29, 7
2019/4/15, 11, 23, 7
2019/4/16, 13, 18, 7
2019/4/17, 10, 31, 7
2019/4/18, 10, 23, 7
2019/4/19, 12, 31, 7
2019/4/20, 14, , 
2019/5/4, 10, 24, 8
2019/5/5, 10, 17, 8
2019/5/6, 10, 15, 8
2019/5/7, 6, 23, 8
2019/5/8, 7, 28, 8
2019/5/9, 10, 21, 8
2019/5/10, 8, 21, 8
2019/5/11, 8, 24, 8
2019/5/12, 9, 35, 8
2019/5/13, 10, 32, 8
2019/5/14, 12, 23, 8
2019/5/15, 12, 15, 8
2019/5/23, 22, 17, 8
2019/5/24, 23, 14, 8
2019/5/25, 24, 16, 8
2019/1/1, 15, 16, 7
2019/1/2, 11, 15, 7
2019/1/3, 5, 20, 7
2019/1/4, 8, 24, 7
2019/1/5, 11, 15, 7
2019/1/6, 13, 26, 8
2019/1/7, 10, 35, 8
2019/1/8, 22, 28, 8
2019/1/9, 22, 36, 8
2019/1/10, 26, 30, 8
2019/1/11, 28, 30, 8
2019/1/12, 29, 30, 8
2019/1/13, 31, 36, 9
2019/1/14, 22, 25, 8
2019/1/15, 11, 35, 8
2019/1/16, 11, 41, 9
2019/1/17, 15, 55, 11
2019/1/18, 34, , 
2019/2/19, 28, 39, 10
2019/2/20, 28, 34, 8
2019/2/21, 12, 29, 8
2019/2/22, 7, 25, 3
2019/2/23, 10, 32, 3
2019/2/24, 15, 32, 3
2019/2/25, 17, 33, 3
2019/2/26, 23, 23, 2
2019/2/27, 17, 30, 2
2019/2/28, 12, 26, 2
2019/3/1, 15, 16, 2
2019/3/2, 17, 30, 2
2019/3/3, 15, 34, 3
2019/3/4, 19, 27, 2
2019/3/5, 19, 32, 2
2019/3/6, 11, 34, 3
2019/3/7, 14, 42, 5
2019/3/8, 25, 29, 2
2019/3/9, 16, 20, 2
