date, pm25, pm10, o3, so2
2019/4/23, 23, 13, 29, 1
2019/4/24, 23, 8, 30, 1
2019/4/25, 12, 13, 42, 1
2019/4/26, 21, 17, 44, 1
2019/4/27, 33, 17, 44, 1
2019/4/28, 35, 18, 31, 1
2019/4/29, 39, 20, 25, 1
2019/4/30, 40, 21, 26, 1
2019/5/1, 45, 11, 37, 1
2019/5/2, 18, 11, 29, 1
2019/5/3, 18, 7, 28, 1
2019/5/4, 11, 11, 42, 1
2019/5/5, 20, 13, 37, 1
2019/5/6, 26, 18, 39, 1
2019/5/7, 33, 15, 32, 1
2019/5/8, 26, 12, 29, 1
2019/5/9, 21, 12, 14, 1
2019/5/10, 19, 7, 20, 1
2019/5/11, 12, 11, 26, 1
2019/5/12, 6, 9, 44, 1
2019/5/13, 19, 14, 49, 1
2019/5/14, 25, 18, 49, 2
2019/5/15, 36, 20, 46, 1
2019/5/16, 42, 21, 40, 1
2019/5/17, 42, 19, 29, 1
2019/5/18, 36, 21, 33, 1
2019/5/19, 44, 20, 18, 2
2019/5/20, 37, 24, 27, 2
2019/5/21, 38, 25, 22, 2
2019/5/22, 47, 22, 25, 2
2019/5/23, 34, 17, 33, 2
2019/5/24, 32, 16, 29, 1
2019/5/25, 29, 20, 32, 1
2019/5/26, 38, 22, 33, 2
2019/5/27, 45, 18, 20, 2
2019/5/28, 33, 21, 28, 2
2019/5/29, 35, 15, 28, 2
2019/5/30, 29, 14, 34, 2
2019/5/31, 26, 19, 43, 2
2019/6/1, 47, 23, 37, 2
2019/6/2, 51, 19, 45, 2
2019/6/3, 42, 21, 43, 2
2019/6/4, 58, 10, 20, 2
2019/6/5, 21, 11, 29, 2
2019/6/6, 23, 14, 33, 2
2019/6/7, 21, , 31, 
2019/6/8, 18, , 35, 
2019/6/9, 42, 21, 31, 1
2019/6/10, 35, 15, 39, 2
2019/6/11, 16, 18, 46, 2
2019/6/12, 31, , 29, 
2019/6/13, 15, , 43, 
2019/6/14, 35, 18, 33, 2
2019/6/15, 40, , 29, 
2019/6/16, 26, 13, 34, 2
2019/6/17, 22, 14, 38, 2
