date, pm25, o3, so2, co
2020/1/2, 51, 21, 7, 10
2020/1/3, 59, 42, 7, 8
2020/1/4, 69, 32, 4, 5
2020/1/5, 38, 24, 5, 6
2020/1/6, 46, 24, 10, 10
2020/1/7, 79, 61, 8, 8
2020/1/8, 70, 34, 10, 8
2020/1/9, 66, 33, 9, 9
2020/1/10, 50, 28, 8, 8
2020/1/11, 56, , , 
2020/1/13, 51, 44, 10, 8
2020/1/14, 60, 23, 13, 9
2020/1/15, 84, , , 
2019/10/1, 93, 39, 6, 7
2019/10/2, 72, 42, 8, 7
2019/10/3, 85, 52, 7, 7
2019/10/4, 59, 50, 5, 8
2019/10/5, 65, 40, 3, 6
2019/10/6, 49, 42, 8, 6
2019/10/7, 47, 45, 12, 7
2019/10/8, 65, 54, 8, 6
2019/10/9, 59, 40, 4, 7
2019/10/10, 47, 40, 4, 7
2019/10/11, 51, 54, 8, 6
2019/10/12, 84, 41, 4, 7
2019/10/13, 59, 41, 6, 8
2019/10/14, 68, 32, 6, 7
2019/10/15, 77, 20, 4, 7
2019/10/16, 65, 33, 7, 9
2019/10/17, 73, 40, 10, 11
2019/10/18, 88, 1, 9, 9
2019/10/19, 78, , , 
2019/10/22, 50, 31, 9, 10
2019/10/23, 61, 22, 19, 16
2019/10/24, 91, 31, 20, 17
2019/10/25, 95, 19, 10, 14
2019/10/26, 74, 35, 6, 11
2019/10/27, 64, 38, 7, 9
2019/10/28, 57, 38, 7, 9
2019/10/29, 67, 33, 7, 9
2019/10/30, 76, 38, 8, 10
2019/10/31, 75, 49, 4, 7
2019/11/1, 56, 44, 4, 8
2019/11/2, 55, 44, 3, 6
2019/11/3, 49, 39, 3, 6
2019/11/4, 54, 39, 5, 7
2019/11/5, 59, 39, 5, 9
2019/11/6, 62, 33, 9, 10
2019/11/7, 73, 42, 9, 10
2019/11/8, 72, 23, 3, 9
2019/11/9, 58, 37, 2, 7
2019/11/10, 55, 26, 4, 10
2019/11/11, 63, 19, 6, 11
2019/11/12, 69, 21, 4, 10
2019/11/13, 60, 26, 3, 6
2019/11/14, 56, 16, 4, 8
2019/11/15, 58, 19, 5, 9
2019/11/16, 68, 27, 3, 6
2019/11/17, 45, 26, 4, 8
2019/11/18, 64, 21, 6, 10
2019/11/19, 72, 33, 5, 8
2019/11/20, 64, 24, 6, 9
2019/11/21, 56, 35, 4, 8
2019/11/22, 66, 31, 6, 9
2019/11/23, 67, 46, 4, 8
2019/11/24, 64, 37, 6, 8
2019/11/25, 66, 21, 12, 12
2019/11/26, 67, 20, 6, 8
2019/11/27, 64, 23, 5, 8
2019/11/28, 64, 26, 5, 10
2019/11/29, 84, 32, 4, 8
2019/11/30, 56, 3, 3, 6
2019/12/1, 63, 32, 7, 9
2019/12/2, 55, 35, 8, 11
2019/12/3, 69, 30, 7, 10
2019/12/4, 63, 40, 5, 9
2019/12/5, 63, 37, 5, 10
2019/12/6, 63, 37, 3, 8
2019/12/7, 49, 35, 4, 8
2019/12/8, 49, 31, 7, 11
2019/12/9, 70, 34, 5, 10
2019/12/10, 65, 34, 5, 7
2019/12/11, 62, 29, 5, 8
2019/12/12, 57, 28, 11, 11
2019/12/13, 89, 31, 8, 11
2019/12/14, 74, 43, 9, 12
2019/12/15, 79, 42, 7, 11
2019/12/16, 56, 43, 5, 9
2019/12/17, 59, 30, 8, 12
2019/12/18, 77, 24, 9, 14
2019/12/19, 73, 24, 9, 15
2019/12/20, 77, 28, 9, 13
2019/12/21, 71, 26, 7, 10
2019/12/22, 60, 17, 5, 8
2019/12/23, 58, 27, 7, 11
2019/12/24, 65, 40, 5, 7
2019/12/25, 49, 29, 6, 7
2019/12/26, 53, 30, 5, 8
2019/12/27, 52, 22, 6, 8
2019/12/28, 65, , , 
2019/7/1, 59, 14, 7, 9
2019/7/2, 56, 29, 9, 11
2019/7/3, 93, 26, 9, 9
2019/7/4, 65, 28, 15, 10
2019/7/5, 66, 24, 5, 4
2019/7/6, 35, 27, 2, 4
2019/7/7, 35, 27, 4, 6
2019/7/8, 52, 34, 9, 6
2019/7/9, 46, 40, 5, 4
2019/7/10, 37, 32, 11, 8
2019/7/11, 62, 32, 14, 10
2019/7/12, 78, 34, 12, 11
2019/7/13, 66, 30, 3, 6
2019/7/14, 51, 27, 6, 8
2019/7/15, 61, 35, 13, 8
2019/7/16, 53, 39, 9, 7
2019/7/17, 52, 36, 5, 6
2019/7/18, 42, 38, 4, 6
2019/7/19, 43, 33, 4, 6
2019/7/20, 39, 35, 3, 6
2019/7/21, 38, 28, 6, 8
2019/7/22, 61, 19, 7, 10
2019/7/23, 71, 27, 7, 9
2019/7/24, 62, 28, 9, 9
2019/7/25, 80, 36, 5, 6
2019/7/26, 61, 35, 7, 8
2019/7/27, 64, 31, 3, 6
2019/7/28, 35, 44, 5, 6
2019/7/29, 51, 42, 9, 6
2019/7/30, 55, 39, 6, 5
2019/7/31, 53, 34, 7, 7
2019/8/1, 53, 30, 9, 10
2019/8/2, 71, 36, 5, 8
2019/8/3, 44, 41, 4, 6
2019/8/4, 36, 51, 4, 6
2019/8/5, 49, 47, 6, 6
2019/8/6, 45, 45, 7, 6
2019/8/7, 53, 44, 5, 4
2019/8/8, 48, 40, 4, 4
2019/8/9, 49, 39, 3, 5
2019/8/10, 40, 15, 5, 5
2019/8/11, 27, 47, 4, 4
2019/8/12, 43, 43, 5, 4
2019/8/13, 56, 83, 4, 5
2019/8/14, 75, 84, 3, 6
2019/8/15, 87, 76, 3, 5
2019/8/16, 55, 61, 6, 7
2019/8/17, 57, 43, 5, 6
2019/8/18, 45, 42, 5, 6
2019/8/19, 63, 39, 5, 6
2019/8/20, 53, 51, 2, 5
2019/8/21, 41, 58, 1, 6
2019/8/22, 41, 58, 2, 7
2019/8/23, 57, 51, 1, 6
2019/8/24, 58, 56, 1, 6
2019/8/25, 40, 66, 1, 6
2019/8/26, 49, 63, 1, 6
2019/8/27, 35, 53, 2, 6
2019/8/28, 56, 55, 3, 7
2019/8/29, 68, 69, 3, 7
2019/8/30, 74, 51, 4, 8
2019/8/31, 56, 33, 2, 7
2019/9/1, 34, 63, 3, 9
2019/9/2, 61, 53, 8, 10
2019/9/3, 66, 48, 5, 8
2019/9/4, 41, 46, 4, 8
2019/9/5, 52, 43, 3, 5
2019/9/6, 43, 55, 2, 5
2019/9/7, 39, 66, 1, 3
2019/9/8, 36, 50, 3, 5
2019/9/9, 38, 57, 7, 7
2019/9/10, 59, 41, 10, 9
2019/9/11, 76, 36, 6, 8
2019/9/12, 99, 56, 3, 5
2019/9/13, 57, 45, 3, 6
2019/9/14, 93, 48, 3, 6
2019/9/15, 72, 54, 6, 8
2019/9/16, 73, 42, 10, 9
2019/9/17, 84, 41, 3, 8
2019/9/18, 77, 45, 3, 9
2019/9/19, 80, 55, 8, 12
2019/9/20, 88, 56, 11, 14
2019/9/21, 84, 43, 8, 10
2019/9/22, 62, 52, 4, 7
2019/9/23, 46, 58, 9, 14
2019/9/24, 77, 64, 8, 9
2019/9/25, 84, 63, 9, 10
2019/9/26, 78, 56, 4, 8
2019/9/27, 64, 44, 4, 6
2019/9/28, 71, 42, 5, 6
2019/9/29, 63, 40, 6, 8
2019/9/30, 70, 66, 10, 8
2019/4/1, 54, 25, 5, 11
2019/4/2, 54, 23, 10, 14
2019/4/3, 84, 13, 6, 12
2019/4/4, 60, 25, 4, 12
2019/4/5, 74, 19, 1, 8
2019/4/6, 63, , , 
2019/4/8, 79, 41, 12, 13
2019/4/9, 80, 49, 3, 9
2019/4/10, 68, 40, 12, 11
2019/4/11, 77, 51, 11, 10
2019/4/12, 72, 41, 5, 9
2019/4/13, 56, 39, 7, 9
2019/4/14, 57, 27, 5, 9
2019/4/15, 65, 30, 6, 8
2019/4/16, 59, 21, 5, 9
2019/4/17, 69, 30, 7, 11
2019/4/18, 68, 28, 4, 11
2019/4/19, 54, 33, 4, 10
2019/4/20, 63, 22, 1, 8
2019/4/21, 45, 15, 9, 13
2019/4/22, 71, 32, 7, 11
2019/4/23, 61, 19, 7, 13
2019/4/24, 69, 29, 12, 13
2019/4/25, 80, 22, 5, 12
2019/4/26, 64, 23, 10, 17
2019/4/27, 81, 32, 3, 9
2019/4/28, 54, 26, 6, 10
2019/4/29, 61, 20, 7, 9
2019/4/30, 56, 40, 6, 6
2019/5/1, 51, 33, 5, 9
2019/5/2, 63, 32, 7, 8
2019/5/3, 52, 28, 5, 8
2019/5/4, 47, 35, 1, 5
2019/5/5, 35, 28, 3, 7
2019/5/6, 49, 30, 6, 9
2019/5/7, 65, 22, 5, 8
2019/5/8, 70, 21, 5, 11
2019/5/9, 68, 26, 4, 10
2019/5/10, 60, 40, 7, 11
2019/5/11, 74, 31, 3, 10
2019/5/12, 67, 10, 8, 16
2019/5/13, 90, 7, 9, 13
2019/5/14, 81, 11, 11, 10
2019/5/15, 63, 32, 6, 6
2019/5/16, 60, 26, 3, 7
2019/5/17, 95, 30, 4, 6
2019/5/18, 53, 21, 2, 7
2019/5/19, 48, 21, 10, 13
2019/5/20, 94, 31, 8, 10
2019/5/21, 81, 25, 9, 8
2019/5/22, 64, 23, 10, 9
2019/5/23, 71, 30, 8, 7
2019/5/24, 51, 29, 3, 7
2019/5/25, 57, 29, 4, 8
2019/5/26, 64, 33, 9, 8
2019/5/27, 79, 27, 12, 10
2019/5/28, 76, 30, 5, 8
2019/5/29, 65, 22, 4, 8
2019/5/30, 60, 25, 3, 9
2019/5/31, 62, 32, 3, 9
2019/6/1, 61, 26, 4, 9
2019/6/2, 54, 27, 7, 9
2019/6/3, 56, 26, 9, 10
2019/6/4, 56, 29, 7, 9
2019/6/5, 52, 32, 3, 6
2019/6/6, 45, 33, 5, 8
2019/6/7, 71, 30, 11, 9
2019/6/8, 70, 29, 8, 8
2019/6/9, 63, 26, 5, 7
2019/6/10, 62, 19, 11, 10
2019/6/11, 77, 18, 17, 10
2019/6/12, 82, 15, 10, 13
2019/6/13, 89, 19, 8, 14
2019/6/14, 97, 27, 8, 12
2019/6/15, 75, 25, 5, 9
2019/6/16, 51, 27, 3, 5
2019/6/17, 46, 30, 4, 4
2019/6/18, 42, 35, 8, 6
2019/6/19, 55, 26, 7, 5
2019/6/22, 44, 29, 3, 4
2019/6/23, 38, 28, 5, 7
2019/6/24, 67, 41, 8, 9
2019/6/25, 89, 38, 9, 7
2019/6/26, 91, 34, 7, 7
2019/6/27, 66, 29, 5, 8
2019/6/28, 58, 26, 6, 8
2019/6/29, 51, 33, 2, 4
2019/6/30, 23, 21, 6, 6
2019/1/1, 59, 23, 2, 5
2019/1/2, 46, 20, 5, 6
2019/1/3, 57, 23, 3, 6
2019/1/4, 50, 28, 5, 6
2019/1/5, 54, 25, 5, 9
2019/1/6, 63, 18, 4, 10
2019/1/7, 77, 19, 3, 8
2019/1/8, 57, 17, 10, 10
2019/1/9, 69, 14, 3, 8
2019/1/10, 49, 20, 4, 7
2019/1/11, 60, 31, 4, 7
2019/1/12, 59, 10, 1, 5
2019/1/13, 43, 23, 4, 7
2019/1/14, 58, 25, 6, 10
2019/1/15, 78, 24, 7, 10
2019/1/16, 81, 28, 7, 10
2019/1/17, 73, 29, 12, 11
2019/1/18, 81, 25, 4, 9
2019/1/19, 63, 26, 2, 6
2019/1/20, 42, 27, 3, 8
2019/1/21, 63, 34, 5, 9
2019/1/22, 57, 34, 4, 8
2019/1/23, 56, 29, 2, 6
2019/1/24, 49, 33, 8, 9
2019/1/25, 65, 37, 7, 8
2019/1/26, 62, 36, 7, 8
2019/1/27, 56, 27, 4, 8
2019/1/28, 54, 38, 5, 9
2019/1/29, 59, 44, 7, 10
2019/1/30, 64, 27, 7, 12
2019/1/31, 69, 30, 3, 10
2019/2/1, 63, 32, 4, 9
2019/2/2, 55, 38, 3, 9
2019/2/3, 50, 23, 6, 12
2019/2/4, 69, 21, 5, 10
2019/2/5, 74, 26, 8, 10
2019/2/6, 75, 17, 6, 11
2019/2/7, 72, 34, 7, 12
2019/2/8, 75, 28, 5, 10
2019/2/9, 60, 31, 3, 8
2019/2/10, 59, 29, 5, 9
2019/2/11, 64, 19, 5, 10
2019/2/12, 62, 24, 5, 9
2019/2/13, 60, 29, 12, 13
2019/2/14, 87, 19, 12, 13
2019/2/15, 74, 53, 11, 12
